gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.278 0.238 0.336 0.315 0.27  0.323 0.311 0.272 0.266 0.27 ],[2.83  2.955 3.295 3.135 2.74  3.345 3.055 2.985 2.8   2.825],[1.  1.5 2.  2.  2.  2.  2.  1.  1.  1. ],"[0.81485691 0.88357536 1.14032361 1.08415411 0.777433   1.16481739
 0.98323911 0.90913377 0.84164118 0.8843601 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.53423924 0.6318148  0.78690075 0.76311895 0.50935164 0.81536518
 0.67611203 0.65107317 0.57155696 0.62386937]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04900901 0.05042335 0.05133074 0.05046937 0.05139873 0.05063081
 0.04982745 0.04946835 0.04891402 0.04949869]"
1.5,0.1,[0.604 0.513 0.533 0.587 0.612 0.494 0.567 0.497 0.6   0.545],[3.355 2.915 3.125 3.02  3.23  2.815 3.07  2.92  3.4   2.97 ],[1.5 1.  2.  2.  2.  2.  2.  1.5 2.  2. ],"[1.47883138 1.2067695  1.25494796 1.28403338 1.43739579 1.12972862
 1.31797964 1.1791249  1.54550326 1.29130084]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.91565053 0.6864689  0.71768447 0.72215777 0.85241898 0.61519981
 0.77332296 0.6844493  0.92683992 0.74033404]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09998223 0.10058547 0.10182119 0.10071395 0.10052748 0.09964263
 0.09933472 0.10048333 0.10029622 0.09959376]"
1.5,0.15000000000000002,[0.845 0.781 0.944 0.787 0.727 0.764 0.785 0.763 0.684 0.821],[2.99  3.225 3.46  3.07  2.815 3.03  3.205 2.945 2.76  3.145],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.52624404 1.64988974 1.89783619 1.55744348 1.31546162 1.5167595
 1.58776409 1.42987202 1.30012364 1.6047258 ]",[1. 1. 1. 1. 1. 1. 0. 1. 0. 1.],"[0.71596023 0.80991385 0.95965626 0.74061883 0.60492817 0.72055955
 0.8265144  0.68534321 0.60572545 0.75302933]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14829468 0.15076516 0.15011852 0.14903846 0.14932672 0.15281434
 0.15021464 0.14932712 0.15075944 0.15073259]"
1.5,0.2,[1.03  0.922 1.049 1.064 1.071 1.014 1.04  1.095 0.937 0.923],[3.09  2.63  3.375 3.275 3.425 3.02  3.285 3.2   3.005 3.125],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.73401827 1.40602225 1.9085397  1.86254357 1.98930577 1.68781193
 1.88609031 1.83097102 1.62105809 1.72574587]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.7300461  0.50230277 0.84474362 0.80422448 0.82936528 0.69854801
 0.82920494 0.75416286 0.68992254 0.73699282]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1993603  0.20268187 0.20028937 0.19958315 0.20020169 0.20213599
 0.19936382 0.20043511 0.20057269 0.20031242]"
1.5,0.25,[1.151 1.045 1.369 1.164 1.156 1.245 1.234 1.246 1.226 1.099],[2.94  2.955 3.27  3.055 3.16  3.37  3.01  3.265 3.585 2.995],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.71136666 1.65246696 2.02533946 1.76259128 1.89459401 2.12008872
 1.80026158 2.00259425 2.21983251 1.8077566 ]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.61657936 0.61584739 0.75740764 0.64006534 0.73345265 0.81191611
 0.64667577 0.77757289 0.91677403 0.64848749]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24961259 0.25127647 0.24948104 0.2507634  0.24953665 0.24936126
 0.24983387 0.24937945 0.24965566 0.24846436]"
1.5,0.3,[1.362 1.327 1.351 1.139 1.443 1.247 1.507 1.069 1.229 1.163],[3.175 2.935 3.18  2.745 3.32  3.005 3.53  2.58  2.935 2.815],[1.5 2.  2.  2.  2.  2.  2.  1.  1.  2. ],"[2.03726678 1.88399831 2.03188537 1.63030528 2.16728554 1.82295094
 2.30440579 1.54497069 1.86725622 1.71336942]",[1.   1.   1.   1.   1.25 1.   1.25 1.   1.   1.  ],"[0.70481316 0.5891689  0.69064331 0.51892955 0.73604927 0.62326924
 0.82283719 0.47924712 0.61430211 0.53433378]",[0.    0.    0.    0.    0.125 0.    0.25  0.    0.    0.   ],"[0.3000964  0.30193545 0.30167947 0.30022204 0.30117524 0.30066474
 0.3012029  0.29915937 0.30024112 0.29807969]"
1.5,0.35000000000000003,[1.391 1.315 1.26  1.283 1.539 1.24  1.496 1.3   1.346 1.271],[3.1   2.84  2.885 2.815 3.16  2.625 3.26  2.955 2.975 2.775],[2.  1.  1.  1.  2.  1.5 2.  2.  2.  2. ],"[2.02334606 1.86724212 1.8184942  1.82320217 2.12367712 1.7124611
 2.14857595 1.91444986 1.91504043 1.78330611]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.63313579 0.54756591 0.54359827 0.54019955 0.67299841 0.45038713
 0.69534079 0.57977365 0.58263228 0.50920149]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35112294 0.34905129 0.35055077 0.34934927 0.34808051 0.3520715
 0.35132533 0.34950616 0.34800249 0.34972829]"
1.5,0.4,[1.695 1.492 1.382 1.607 1.63  1.658 1.704 1.514 1.451 1.308],[3.495 3.105 2.87  3.32  3.53  3.435 3.355 3.025 2.805 2.745],[2. 2. 2. 2. 2. 2. 2. 2. 1. 1.],"[2.3903193  2.0827115  1.92059496 2.2798625  2.46466749 2.34515684
 2.34150174 2.00383202 1.88529837 1.80535368]","[1.25    1.      1.      1.25    1.      1.21875 1.      1.      1.
 1.     ]","[0.72132027 0.58951082 0.51990862 0.65606856 0.7666487  0.71706266
 0.69505673 0.53885308 0.48624105 0.48942534]",[0.25  0.    0.    0.125 0.    0.    0.    0.    0.    0.   ],"[0.40114345 0.40039858 0.4001111  0.39768907 0.40058599 0.40077684
 0.39980566 0.39991621 0.40018655 0.40144236]"
1.5,0.45,[1.634 1.509 1.457 1.596 1.342 1.402 1.44  1.561 1.546 1.41 ],[3.125 2.92  2.755 3.09  2.62  2.895 3.055 3.135 3.235 2.67 ],[2.  2.  1.5 2.  1.  2.  2.  1.  2.  1. ],"[2.1859713  1.97026447 1.83354684 2.14579603 1.75244649 1.94386633
 2.06031212 2.18395693 2.22428989 1.79106473]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.59434624 0.51871632 0.46530496 0.58026411 0.43267567 0.52416723
 0.54633629 0.61213015 0.63628147 0.45661435]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45037228 0.44852386 0.45206749 0.45052143 0.45204583 0.44932754
 0.45149856 0.45026784 0.45096289 0.45081883]"
1.6,0.05,[0.242 0.267 0.263 0.322 0.256 0.204 0.267 0.276 0.279 0.233],[2.59  2.93  2.87  2.72  2.915 2.56  2.74  3.015 2.875 2.26 ],[1.  1.  2.  1.  1.5 1.  2.  2.  1.  1. ],"[0.67943668 0.92412486 0.88953196 0.86824577 0.91553748 0.70721488
 0.70999452 0.96355936 0.85175955 0.52201788]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44818302 0.65338481 0.61969462 0.55947136 0.63941351 0.47628715
 0.44832979 0.67153696 0.58267264 0.3033222 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05069132 0.04979205 0.05051234 0.04925157 0.05025101 0.05080302
 0.0511245  0.05077577 0.05041727 0.05102114]"
