gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.6,0.35000000000000003,[1.224 1.455 1.296 1.224 1.389 1.234 1.197 1.259 1.274 1.299],[2.78  3.18  2.97  2.86  3.215 2.555 2.64  2.765 2.845 2.99 ],[1. 2. 1. 2. 2. 1. 1. 1. 2. 1.],"[1.78492195 2.14247967 1.9357007  1.83766953 2.08057194 1.63284099
 1.6754716  1.78124738 1.77986369 1.93359446]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.51262397 0.66574048 0.59562074 0.55233353 0.68048771 0.43264934
 0.51100749 0.5156407  0.506309   0.62041148]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34882953 0.3488242  0.35006683 0.34810062 0.35011022 0.34912073
 0.34740857 0.35262195 0.3488432  0.35018316]"
1.6,0.4,[1.384 1.308 1.388 1.201 1.423 1.463 1.26  1.201 1.45  1.293],[2.77  2.785 2.91  2.48  2.935 3.07  2.685 2.575 2.955 2.72 ],[1.  1.  2.  1.  1.  2.  1.5 1.  2.  2. ],"[1.81244149 1.81488282 1.97567538 1.60232397 1.98327142 2.06449729
 1.74054818 1.68473023 1.99697951 1.77233661]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.48812386 0.49713349 0.55072177 0.39745336 0.54511713 0.59729362
 0.47495004 0.4585022  0.55255934 0.47484699]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40210082 0.40258153 0.39974486 0.40224093 0.39961175 0.40041059
 0.40296138 0.40129556 0.39625182 0.39997598]"
1.6,0.45,[1.316 1.448 1.42  1.38  1.446 1.342 1.699 1.337 1.406 1.557],[2.55  2.7   2.79  2.835 2.91  2.825 3.26  2.68  2.8   2.96 ],[1. 1. 1. 1. 2. 2. 2. 1. 2. 2.],"[1.6864783  1.8934352  1.93413906 1.92415619 1.94621532 1.88613687
 2.29484655 1.78780088 1.9131731  2.06136968]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.39661288 0.4817787  0.49910519 0.50913361 0.52059154 0.48016946
 0.64849187 0.45352018 0.49334522 0.53830632]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45190291 0.44653257 0.45101121 0.44925874 0.45024781 0.44987089
 0.45141227 0.45118271 0.44932438 0.44722488]"
1.7000000000000002,0.05,[0.28  0.195 0.231 0.247 0.241 0.339 0.223 0.274 0.21  0.242],[2.465 2.37  2.33  2.765 2.62  3.    2.535 2.855 2.625 2.805],[1. 1. 1. 1. 1. 2. 1. 2. 1. 2.],"[0.7797043  0.62770987 0.59153311 0.84350653 0.76456014 0.95203798
 0.72671791 0.86231912 0.69461559 0.76758675]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.52737001 0.43190024 0.35975088 0.59567236 0.51432576 0.63733492
 0.49998207 0.57315591 0.49757885 0.51080666]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05049508 0.05154836 0.04894802 0.05041762 0.04827647 0.04966716
 0.05017279 0.04897256 0.05061137 0.05163943]"
1.7000000000000002,0.1,[0.417 0.498 0.473 0.458 0.394 0.451 0.445 0.439 0.302 0.438],[2.59  2.65  2.895 2.45  2.505 2.745 2.48  2.535 2.3   2.425],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.89981425 1.04769097 1.22114855 0.92532456 0.90136409 1.08345096
 0.89263464 0.95227755 0.75552036 0.89324765]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.48460429 0.53658013 0.73580217 0.48220658 0.47080378 0.61589939
 0.4446543  0.5122098  0.40751407 0.45322934]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09843172 0.10232132 0.10067062 0.10068796 0.09955221 0.09989313
 0.09981171 0.09863462 0.10001216 0.10026484]"
1.7000000000000002,0.15000000000000002,[0.619 0.738 0.684 0.719 0.645 0.661 0.693 0.602 0.591 0.627],[2.44  2.825 2.475 2.68  2.52  2.575 2.75  2.345 2.595 2.495],[1.  2.  1.  1.  1.5 1.  1.  1.  1.  1. ],"[1.11423181 1.38025696 1.15060227 1.34361546 1.10955694 1.19562078
 1.33586039 1.00620194 1.18851734 1.15028771]",[0. 1. 0. 1. 0. 0. 0. 0. 0. 0.],"[0.47053674 0.62742524 0.50177201 0.60057347 0.46880896 0.50775335
 0.63329875 0.42404496 0.5531554  0.50674279]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15020312 0.15001771 0.15158088 0.15045801 0.15061255 0.15013959
 0.1501554  0.14888692 0.15106987 0.15002016]"
1.7000000000000002,0.2,[0.706 0.631 0.752 1.02  0.861 0.976 0.813 0.869 0.899 0.884],[2.29  2.32  2.42  3.08  2.755 2.73  2.48  2.74  2.855 2.645],[1. 1. 1. 2. 1. 1. 1. 1. 1. 1.],"[1.09614275 1.08177466 1.27979993 1.7152137  1.43170569 1.54313113
 1.3033963  1.50778149 1.56877939 1.44323703]",[1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.37199114 0.41048072 0.4747334  0.72298592 0.57603552 0.6015314
 0.47997345 0.60702282 0.65220255 0.54810672]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19834829 0.20026186 0.20149254 0.20155788 0.20060688 0.19807813
 0.19912226 0.2023428  0.19893007 0.1997551 ]"
1.7000000000000002,0.25,[1.07  0.842 1.012 1.008 1.048 1.102 0.946 1.029 1.094 0.976],[2.915 2.325 2.6   2.735 2.74  2.675 2.505 2.825 2.775 2.535],[2. 1. 1. 1. 1. 1. 1. 1. 2. 1.],"[1.66428757 1.27209012 1.50636599 1.58525999 1.59828275 1.5866323
 1.40484336 1.65670184 1.61325532 1.46159949]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.62088456 0.3887283  0.50831393 0.56883451 0.57279478 0.53871848
 0.47173026 0.59755389 0.53826143 0.50953955]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24815077 0.25167355 0.24914802 0.25020866 0.25001463 0.25067484
 0.25091547 0.25210775 0.24888362 0.25054684]"
1.7000000000000002,0.3,[1.012 1.038 1.212 1.072 0.98  1.052 1.089 1.031 1.184 1.184],[2.465 2.56  2.88  2.63  2.325 2.535 2.42  2.36  2.74  2.66 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.39642555 1.53406118 1.81062922 1.58677538 1.3348926  1.50550571
 1.4557073  1.46901376 1.70884725 1.66154563]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.40015449 0.4782543  0.58726985 0.51555589 0.37457766 0.47195103
 0.40708791 0.40021798 0.50186605 0.50628378]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29958393 0.2972088  0.30090287 0.30176971 0.29786296 0.30185061
 0.30455393 0.30103422 0.30156708 0.30253715]"
1.7000000000000002,0.35000000000000003,[1.326 1.3   1.29  1.147 1.043 1.22  1.152 0.956 1.274 1.216],[2.835 2.87  2.765 2.6   2.38  2.7   2.475 2.24  2.84  2.735],[1. 2. 1. 1. 1. 2. 1. 1. 1. 1.],"[1.87229948 1.87215432 1.80556676 1.59860612 1.42978057 1.75895357
 1.56700992 1.31833749 1.80825729 1.72936026]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55704649 0.55750741 0.52275945 0.44689836 0.3875772  0.48757906
 0.40494694 0.31811471 0.53629715 0.50282584]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35042104 0.34941241 0.34903443 0.34986261 0.34924199 0.35220553
 0.35281819 0.34874088 0.34974278 0.34950467]"
