gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.377 0.32  0.296 0.308 0.324 0.294 0.288 0.294 0.319 0.266],[3.255 3.355 3.215 3.25  3.48  2.85  2.76  3.31  3.35  3.035],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[1.10001935 1.11637125 1.01996398 1.13756063 1.23816038 0.88029191
 0.84007174 1.11956934 1.12083944 0.94808164]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.76116467 0.81424357 0.73329314 0.84198477 0.92308836 0.61623307
 0.52596041 0.8205929  0.80436117 0.67995329]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05004055 0.04934489 0.04979276 0.04985156 0.04869522 0.05000738
 0.05196159 0.05051682 0.04962139 0.0503735 ]"
1.5,0.1,[0.54  0.59  0.579 0.696 0.52  0.565 0.682 0.591 0.545 0.535],[2.9   3.13  3.36  3.545 3.32  3.035 3.305 3.15  3.    3.035],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[1.21875065 1.46732247 1.46664579 1.6583829  1.42858784 1.27449191
 1.49112383 1.30967372 1.25740121 1.20904949]",[0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],"[0.66387669 0.83035134 0.87191221 0.98780825 0.87251576 0.73211001
 0.84443987 0.76063442 0.73039865 0.69731731]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09999825 0.10163033 0.1006867  0.09985656 0.10004037 0.1006768
 0.10060612 0.10027395 0.09996038 0.10212115]"
1.5,0.15000000000000002,[0.844 0.804 0.743 0.792 0.825 0.932 0.662 0.728 0.648 0.806],[3.045 3.27  3.2   2.81  3.025 3.525 2.595 2.97  2.745 3.165],[2. 2. 2. 1. 2. 2. 1. 2. 1. 2.],"[1.5480149  1.58856246 1.5979493  1.39156871 1.5038143  1.87188153
 1.16851395 1.45016872 1.2605436  1.57069199]",[1. 0. 1. 1. 1. 1. 0. 1. 1. 1.],"[0.73635474 0.80024337 0.80437569 0.6413441  0.68978475 0.93373029
 0.51288407 0.67888057 0.55927041 0.78158036]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14870932 0.1499716  0.15295021 0.15043018 0.15114109 0.14960987
 0.15175247 0.14939425 0.14973052 0.15018845]"
1.5,0.2,[0.895 1.081 1.057 0.943 1.039 1.035 0.911 0.975 0.937 0.958],[2.8   3.11  3.345 3.08  3.225 3.22  2.92  3.05  3.035 3.065],[1.  2.  2.  2.  2.  2.  2.  1.5 2.  1. ],"[1.50083066 1.80032914 1.85268711 1.674098   1.88112561 1.81045306
 1.54495936 1.72888323 1.70336828 1.69506051]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.59922849 0.73656144 0.79889835 0.72177653 0.80485944 0.78086597
 0.63185267 0.75246905 0.71618048 0.73516732]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19917004 0.20194933 0.2021046  0.2025511  0.1990933  0.20071262
 0.20199102 0.19927481 0.20013613 0.19917506]"
1.5,0.25,[1.115 1.264 1.226 1.08  1.209 1.203 1.247 1.249 1.06  1.227],[2.895 3.405 3.025 2.925 3.29  3.11  3.195 3.375 2.905 3.29 ],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[1.70242004 2.05350215 1.81120399 1.67156695 1.97661421 1.88059177
 1.94247443 2.05216787 1.72086443 2.0466979 ]","[1.      1.      1.      1.      1.      1.      1.      1.21875 1.
 1.     ]","[0.61051971 0.81503413 0.63496497 0.61464953 0.76906172 0.69931156
 0.74308631 0.78332266 0.65314836 0.77063741]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.24746439 0.25001656 0.25023595 0.25101904 0.2502449  0.24942641
 0.2522435  0.25185101 0.25083621 0.25014769]"
1.5,0.3,[1.152 1.231 1.329 1.306 1.452 1.214 1.398 1.3   1.29  1.532],[2.87  2.99  3.145 3.28  3.29  2.815 3.135 3.235 2.875 3.42 ],[1. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.7365782  1.77960138 1.98931404 2.0526488  2.1603434  1.76617797
 1.9614053  2.05287059 1.81490649 2.21004276]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.25],"[0.59361494 0.58418146 0.66600715 0.75034472 0.7223185  0.55045623
 0.63673672 0.69393108 0.56350024 0.7831345 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29997112 0.29912852 0.30045038 0.29979825 0.30305172 0.30247153
 0.29801234 0.30224309 0.29946708 0.3001771 ]"
1.5,0.35000000000000003,[1.269 1.274 1.437 1.353 1.604 1.537 1.419 1.328 1.266 1.358],[2.835 2.84  3.21  2.99  3.515 3.35  3.095 3.09  2.835 2.985],[1.  1.5 1.  2.  2.  2.  2.  2.  1.  2. ],"[1.83097237 1.89134738 2.1171943  1.96167584 2.35227103 2.262094
 2.00810656 2.00078558 1.83886797 1.89297317]",[1.   1.   1.   1.   1.25 1.25 1.   1.   1.   1.  ],"[0.53438515 0.52522586 0.68210793 0.5856181  0.76197959 0.712878
 0.60152209 0.60723334 0.52780474 0.57005661]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.35057671 0.35055185 0.35073587 0.35229091 0.34843664 0.35076253
 0.35049581 0.35181932 0.34965524 0.35102262]"
1.5,0.4,[1.546 1.384 1.478 1.346 1.572 1.417 1.454 1.636 1.485 1.472],[3.125 3.14  3.195 2.88  3.31  2.97  3.105 3.215 3.26  3.095],[2.  2.  2.  1.  2.  1.5 2.  2.  2.  2. ],"[2.06660984 2.0487191  2.16173197 1.89878686 2.25506936 1.95724128
 2.07175126 2.20403058 2.15117666 2.11326797]",[1.    1.125 1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.60473393 0.60510552 0.61337107 0.52819116 0.66800362 0.55970862
 0.59656175 0.6379588  0.65018179 0.60567154]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40104742 0.40043904 0.40065176 0.40006357 0.40185712 0.40095401
 0.40037152 0.40076233 0.40111982 0.40190122]"
1.5,0.45,[1.541 1.479 1.383 1.685 1.543 1.385 1.63  1.429 1.488 1.64 ],[3.22  3.055 2.86  3.425 3.175 2.78  3.325 2.84  2.925 3.255],[2. 2. 1. 2. 2. 1. 2. 2. 2. 2.],"[2.25894792 2.09882378 1.94721031 2.38749023 2.20045386 1.8826811
 2.29806729 1.90285031 2.02814153 2.24816903]",[1.    1.25  1.    1.125 1.    1.    1.    1.    1.    1.   ],"[0.64051591 0.56221307 0.52426353 0.69088104 0.5991004  0.49522749
 0.66807217 0.48626797 0.53414831 0.65626321]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44897178 0.45060706 0.44979331 0.44990087 0.4503304  0.45244841
 0.44925457 0.45218131 0.45286564 0.45060624]"
1.6,0.05,[0.317 0.262 0.266 0.288 0.252 0.283 0.265 0.291 0.281 0.284],[3.105 2.97  2.89  3.13  2.5   2.65  2.52  3.03  2.475 2.73 ],[2.  1.  1.5 1.  1.  1.  1.  2.  1.  1. ],"[0.99232738 0.97555133 0.83462182 1.06723607 0.69093305 0.73869219
 0.70713395 0.97115288 0.68775065 0.79728547]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.6812849  0.68759235 0.58028924 0.79046025 0.43899793 0.47377092
 0.45377945 0.6818264  0.41619669 0.54733735]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0495587  0.04942079 0.04901263 0.04956368 0.04931359 0.05095123
 0.05177292 0.04929359 0.04984647 0.04966644]"
