gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.318 0.272 0.3   0.285 0.289 0.279 0.285 0.263 0.268 0.28 ],[3.045 3.    2.925 2.975 2.865 3.18  3.11  3.145 3.005 3.18 ],[2. 2. 2. 2. 2. 2. 2. 2. 1. 1.],"[1.01085375 0.95948429 0.92519437 0.95071996 0.90379314 0.98716491
 0.98328216 1.0016041  0.982379   0.99332485]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.70260973 0.66969425 0.62663602 0.65749608 0.61001018 0.68748839
 0.69972717 0.72429636 0.7093898  0.7352206 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05036127 0.04947107 0.0502339  0.05040157 0.04850182 0.04862884
 0.05083825 0.05031744 0.05046416 0.04910654]"
1.5,0.1,[0.635 0.616 0.474 0.555 0.588 0.544 0.558 0.566 0.569 0.51 ],[3.28  3.305 2.81  3.185 3.155 2.975 3.22  3.045 3.075 3.025],[2. 2. 1. 2. 2. 1. 2. 2. 2. 2.],"[1.47320214 1.49201159 1.14292413 1.33618465 1.39094575 1.2683991
 1.41630393 1.24227519 1.30098603 1.2812564 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.86305565 0.87891192 0.65485894 0.79650814 0.81965242 0.72191686
 0.85125937 0.73406963 0.72965454 0.73461089]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09902426 0.10053819 0.09891715 0.09944432 0.10129278 0.09940793
 0.09978056 0.09817523 0.10031423 0.10024534]"
1.5,0.15000000000000002,[0.749 0.781 0.799 0.682 0.739 0.668 0.82  0.794 0.807 0.801],[3.045 2.795 3.045 2.785 2.76  2.875 3.265 3.07  2.965 3.165],[1.5 2.  1.  1.5 2.  2.  2.  2.  1.  2. ],"[1.51718445 1.31452262 1.56333776 1.32848952 1.29789556 1.3097777
 1.67563214 1.51996745 1.49323932 1.58264545]",[0.  1.  1.  1.  0.5 0.  1.  1.  1.  1. ],"[0.75110688 0.591426   0.77213171 0.61197097 0.60250463 0.62756945
 0.85258649 0.74988078 0.70261096 0.78531269]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14914137 0.15118524 0.15121731 0.15085196 0.14948649 0.15015498
 0.14946976 0.15030017 0.15084762 0.15058023]"
1.5,0.2,[1.172 0.994 0.929 0.951 0.928 1.029 0.934 0.994 1.052 0.989],[3.515 3.045 2.86  2.955 2.935 3.125 2.87  3.205 3.135 3.05 ],[2. 2. 2. 1. 1. 2. 1. 2. 2. 2.],"[2.09416792 1.65172626 1.56885949 1.64025433 1.60221426 1.80500446
 1.56158614 1.73657053 1.81460688 1.68191615]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.89556867 0.6824477  0.62758996 0.71729352 0.66984518 0.75662921
 0.64584487 0.76191935 0.75964411 0.69968532]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19922641 0.19985178 0.1994044  0.20024633 0.20207592 0.19887919
 0.20017269 0.20092133 0.19991367 0.19938489]"
1.5,0.25,[1.249 1.158 1.227 1.093 1.029 1.213 1.05  1.135 1.203 1.022],[3.16  3.21  3.095 2.905 2.745 3.19  2.95  2.96  3.1   2.755],[1. 1. 2. 2. 2. 1. 1. 2. 2. 1.],"[1.91598534 1.95651514 1.90935639 1.73447162 1.56639287 2.00606931
 1.78750443 1.75007847 1.9254112  1.5909575 ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.72617882 0.77945978 0.70881135 0.63032978 0.54745    0.77317014
 0.65601853 0.60090977 0.70222395 0.56614915]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25090345 0.24935061 0.24820082 0.25140648 0.25155341 0.25032387
 0.25061415 0.25228145 0.24991271 0.25532413]"
1.5,0.3,[1.18  1.184 1.357 1.344 1.146 1.274 1.248 1.211 1.047 1.303],[2.84  2.88  3.315 3.175 2.775 3.03  3.055 2.895 2.44  3.075],[2.  1.5 2.  2.  2.  2.  1.  2.  1.  2. ],"[1.78732415 1.75530481 2.0911714  2.01937562 1.67769805 1.90766121
 1.9555219  1.79149885 1.46196253 1.88746733]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.5573855  0.58331019 0.7526454  0.69365693 0.52254547 0.63474037
 0.67139135 0.56766981 0.42668421 0.61963286]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29887281 0.29865651 0.29716565 0.30105419 0.29790958 0.30124297
 0.30051936 0.30214934 0.29066997 0.29975211]"
1.5,0.35000000000000003,[1.463 1.339 1.435 1.363 1.456 1.248 1.394 1.436 1.52  1.543],[3.1   2.955 3.155 3.125 3.415 2.815 3.03  3.055 3.32  3.335],[2.  2.  2.  1.5 2.  1.  2.  2.  2.  2. ],"[2.08291365 1.88086462 2.03581902 2.04229819 2.27041153 1.84901078
 2.02622312 2.06846773 2.22030924 2.29649004]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.61660506 0.56202215 0.64238763 0.65601005 0.75992904 0.55500565
 0.61705839 0.62559176 0.74012308 0.73551043]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35057267 0.35188026 0.34495264 0.35065717 0.35036189 0.35127329
 0.34970042 0.3484967  0.35019999 0.35155337]"
1.5,0.4,[1.257 1.334 1.502 1.48  1.419 1.328 1.358 1.575 1.452 1.454],[2.695 2.825 3.005 3.035 2.885 2.56  2.83  3.31  2.995 3.115],[1. 1. 1. 1. 1. 1. 2. 2. 2. 2.],"[1.78798284 1.83556458 2.04760935 2.05523697 1.99028341 1.72197515
 1.85346373 2.30107665 2.01280465 2.06050161]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.47128423 0.50941101 0.57950633 0.59943955 0.54480429 0.41147954
 0.50258482 0.69655028 0.58090768 0.61019156]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40090135 0.39760753 0.39963044 0.40055353 0.39922336 0.39749535
 0.40322317 0.39925822 0.39932035 0.39864301]"
1.5,0.45,[1.285 1.451 1.377 1.279 1.639 1.682 1.528 1.469 1.269 1.466],[2.63  2.85  2.8   2.76  3.215 3.365 2.995 2.99  2.675 2.88 ],[1. 2. 1. 2. 2. 2. 1. 1. 2. 1.],"[1.73696854 1.91696635 1.92879948 1.83867093 2.23598606 2.32253769
 2.06096059 2.06619242 1.75528052 1.96066985]",[1.   1.   1.   1.   1.25 1.25 1.   1.   1.   1.  ],"[0.43366653 0.51304667 0.50886784 0.48132139 0.61276371 0.68256638
 0.56692678 0.56391123 0.43212256 0.53462524]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.45310886 0.45338827 0.45174286 0.45136947 0.44966248 0.45241953
 0.44971296 0.44875797 0.4479019  0.45054821]"
1.6,0.05,[0.267 0.301 0.3   0.291 0.278 0.252 0.236 0.318 0.301 0.209],[3.08  2.625 2.78  2.965 3.115 2.85  2.445 3.    2.71  2.65 ],[1.5 1.  1.  1.  2.  1.  1.  2.  1.  1. ],"[0.93102432 0.79055609 0.88162646 0.96048144 1.00641115 0.84347648
 0.62510175 0.92587992 0.82871941 0.7050711 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.665457   0.52229651 0.59816057 0.68488115 0.73342409 0.60512046
 0.40445783 0.61565165 0.55017815 0.48161407]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04982906 0.05002408 0.04918696 0.05112269 0.0503014  0.04944455
 0.04889539 0.04929317 0.04966489 0.04926639]"
