gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.325 0.275 0.332 0.304 0.301 0.253 0.28  0.337 0.252 0.336],[3.175 2.885 3.245 3.28  3.01  2.98  2.865 3.31  2.51  3.095],[2. 2. 2. 2. 1. 2. 2. 2. 1. 2.],"[1.10543071 0.89789367 1.11614663 1.0781507  0.97902728 0.89954006
 0.86894702 1.20430676 0.68133856 1.01443701]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.76724529 0.61431609 0.75567239 0.76275702 0.70486132 0.64726222
 0.59441851 0.87735638 0.43721533 0.67674902]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0502956  0.05048394 0.04966392 0.04853847 0.04974233 0.0497602
 0.05038115 0.04952878 0.04978437 0.04982907]"
1.5,0.1,[0.57  0.433 0.579 0.505 0.398 0.538 0.524 0.5   0.511 0.65 ],[3.185 2.445 3.25  2.69  2.48  2.975 3.145 2.995 2.99  3.355],[1. 1. 2. 2. 1. 2. 2. 2. 2. 2.],"[1.4652638  0.88332907 1.42073055 1.05268086 0.90483559 1.16567183
 1.27245174 1.25074307 1.2515274  1.55201871]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.88037732 0.45111258 0.84432674 0.53435872 0.48458749 0.65556135
 0.75727352 0.74484372 0.72633605 0.93131498]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10030523 0.09925773 0.10132378 0.09880945 0.1005285  0.10056075
 0.09954406 0.09783148 0.099872   0.09997412]"
1.5,0.15000000000000002,[0.686 0.756 0.751 0.699 0.785 0.76  0.685 0.84  0.7   0.783],[2.79  2.98  2.85  2.855 3.285 2.87  2.75  3.29  2.67  3.095],[2.  2.  1.5 2.  2.  2.  1.  2.  1.  2. ],"[1.27264298 1.48046944 1.3737934  1.30520634 1.58429473 1.4231792
 1.29066497 1.68492198 1.3088154  1.51614654]",[0.  1.  1.  1.  0.5 1.  0.5 1.  0.  1. ],"[0.59282212 0.70829018 0.64000739 0.61634037 0.8137564  0.65216846
 0.59460997 0.83927104 0.605514   0.71690948]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15061408 0.14970924 0.14990689 0.15049998 0.14874909 0.14949757
 0.1488669  0.1496909  0.14960588 0.14706504]"
1.5,0.2,[1.029 0.866 0.986 0.944 1.073 1.007 1.199 1.033 1.006 0.848],[3.305 2.78  3.1   3.025 3.205 3.115 3.66  3.22  3.4   2.55 ],[2. 1. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.85138366 1.47258768 1.7109864  1.63325034 1.86520098 1.75026953
 2.17019055 1.76947082 1.89062873 1.32970628]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.81771942 0.62505198 0.72821052 0.68317588 0.79474291 0.71421423
 0.98110822 0.78874694 0.8544297  0.48313951]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20075208 0.1990204  0.20037275 0.19702758 0.20007828 0.19864694
 0.19834928 0.19916325 0.19928427 0.19962956]"
1.5,0.25,[1.117 1.133 1.022 1.164 1.19  1.119 1.032 0.881 1.17  1.055],[3.005 3.1   2.79  2.985 3.    3.03  2.98  2.575 2.935 2.93 ],[2.  2.  1.5 2.  1.  2.  1.  2.  2.  1.5],"[1.8364309  1.8192837  1.59065449 1.80530953 1.80888728 1.81977383
 1.72549108 1.34530998 1.7419327  1.68809008]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.65463921 0.68830378 0.57254811 0.64855538 0.68118465 0.67663785
 0.68256475 0.44178825 0.63775698 0.66039354]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24677812 0.24947541 0.25026163 0.24820837 0.24709135 0.24866628
 0.2473826  0.25453    0.24877323 0.24972016]"
1.5,0.3,[1.404 1.254 1.289 1.218 1.312 1.428 1.317 1.303 1.169 1.184],[3.285 2.965 3.11  2.96  3.355 3.395 3.02  3.215 2.84  2.82 ],[2. 2. 2. 2. 2. 2. 2. 1. 1. 1.],"[2.21022936 1.83796219 1.91244783 1.84370411 2.09341545 2.21766096
 1.90143586 2.08481585 1.73312977 1.74239301]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.73795274 0.59583085 0.66132143 0.60845844 0.74419273 0.7693324
 0.60674104 0.73388964 0.56207447 0.58707532]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ],"[0.30100089 0.29851217 0.30235793 0.30130186 0.30090223 0.29879152
 0.29919442 0.29927219 0.30301602 0.29882996]"
1.5,0.35000000000000003,[1.399 1.318 1.408 1.233 1.501 1.573 1.499 1.489 1.336 1.244],[3.095 2.905 2.935 2.82  3.25  3.415 3.295 3.235 2.86  2.795],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[2.06241658 1.90080396 1.90378282 1.77044939 2.20670174 2.27307463
 2.18046421 2.14751226 1.83259506 1.76308958]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.63954426 0.58141798 0.56971086 0.52817644 0.70994485 0.7332852
 0.67215854 0.68214238 0.52514145 0.50399625]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.3491736  0.34945367 0.35018841 0.34937519 0.35116685 0.3485986
 0.34960571 0.34785954 0.35133184 0.35003191]"
1.5,0.4,[1.49  1.344 1.161 1.349 1.434 1.674 1.322 1.436 1.434 1.432],[2.955 2.815 2.435 2.96  3.08  3.43  2.63  2.89  2.85  2.945],[2.  1.  1.  2.  2.  2.  2.  1.5 1.  2. ],"[2.00183402 1.85287609 1.5744335  1.96200448 2.00036886 2.36044176
 1.70880319 1.99116375 1.91635283 1.9650596 ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55738334 0.52509472 0.37179067 0.54117319 0.56275656 0.72379625
 0.42003366 0.55474743 0.53401488 0.54700937]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39860587 0.39987193 0.40304183 0.39980328 0.40114225 0.39699721
 0.39907644 0.39646254 0.40220396 0.39963837]"
1.5,0.45,[1.345 1.283 1.459 1.512 1.384 1.508 1.613 1.359 1.395 1.673],[2.845 2.675 3.015 2.96  2.825 3.11  3.08  2.765 2.735 3.46 ],[2.  2.  2.  2.  1.5 2.  2.  1.  1.5 2. ],"[1.90147069 1.73776937 2.07158075 2.01734651 1.88993065 2.12082299
 2.14435216 1.88087983 1.84530682 2.45002843]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   1.25],"[0.50574498 0.43303427 0.57662378 0.53059816 0.49261497 0.58523004
 0.59834752 0.5011316  0.47322644 0.71656713]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125],"[0.45227845 0.44663645 0.45039086 0.45014249 0.44630988 0.45049899
 0.45015905 0.44922041 0.4502286  0.45016123]"
1.6,0.05,[0.263 0.337 0.326 0.207 0.246 0.291 0.217 0.262 0.338 0.238],[2.98  3.12  2.99  2.44  2.82  2.715 2.295 2.83  2.96  2.86 ],[2.  2.  2.  1.  1.  1.5 1.  1.  2.  1. ],"[0.91711756 1.10014029 0.91263978 0.59843949 0.872329   0.79488908
 0.58750635 0.87675431 1.02452771 0.90733573]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.64348475 0.77454764 0.59575257 0.39021195 0.63759664 0.50446671
 0.35768732 0.60422624 0.68430249 0.6602053 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0502343  0.05021692 0.05106961 0.05024176 0.05001904 0.050329
 0.04931865 0.04956465 0.05070672 0.04943608]"
1.6,0.1,[0.42  0.551 0.417 0.618 0.411 0.502 0.398 0.476 0.474 0.548],[2.425 2.985 2.66  3.17  2.595 2.98  2.395 2.81  2.59  3.115],[1.  2.  1.  2.  1.5 1.  1.  1.5 1.  2. ],"[0.87917672 1.27628612 0.96621912 1.35485837 0.9686949  1.2556129
 0.85588585 1.1383053  1.03067546 1.29438935]",[0.  0.  0.  0.5 0.  0.  0.  0.  0.  0. ],"[0.46326241 0.71305034 0.53876306 0.76438474 0.53496748 0.73881572
 0.43066276 0.64328943 0.553856   0.74216858]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09884474 0.09979598 0.10015919 0.10174074 0.09933333 0.10005173
 0.10025748 0.09851956 0.10019139 0.10169149]"
1.6,0.15000000000000002,[0.702 0.585 0.837 0.619 0.746 0.808 0.652 0.723 0.722 0.739],[2.955 2.415 2.96  2.57  2.91  3.155 2.645 2.555 2.99  3.185],[1. 1. 2. 1. 2. 2. 1. 1. 1. 2.],"[1.458383   1.00437391 1.46493707 1.10746587 1.4299857  1.6330888
 1.25339558 1.21849603 1.50439534 1.59484196]",[1. 0. 1. 0. 1. 1. 0. 1. 1. 1.],"[0.71332868 0.41666609 0.69873376 0.50115942 0.66488774 0.79669994
 0.57882497 0.51796838 0.72686268 0.81538243]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14926687 0.15194547 0.15079197 0.14843139 0.15073924 0.15058637
 0.15060162 0.1494535  0.15045194 0.15002436]"
1.6,0.2,[0.887 0.927 0.785 0.979 0.977 0.993 0.934 1.047 0.863 0.852],[2.805 2.905 2.555 2.93  3.21  2.92  2.95  3.18  2.72  2.685],[1. 1. 1. 2. 2. 2. 1. 1. 2. 1.],"[1.50739416 1.56869315 1.33460347 1.5394082  1.77359319 1.54926053
 1.6473931  1.83529541 1.43135004 1.46642519]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.59877111 0.65800223 0.54212575 0.64040735 0.76920721 0.62503812
 0.68905722 0.79892334 0.53163446 0.57237947]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20114618 0.20053856 0.19946026 0.197365   0.20137103 0.1984954
 0.20037364 0.19882791 0.19999492 0.20001547]"
1.6,0.25,[1.075 0.995 1.1   1.098 1.171 1.112 0.912 0.831 1.044 1.032],[2.965 2.58  2.865 2.96  3.035 3.04  2.395 2.315 2.755 2.805],[2. 1. 2. 2. 2. 2. 1. 1. 1. 2.],"[1.75649789 1.50414199 1.65316637 1.76188878 1.8437355  1.77305026
 1.31481517 1.21406931 1.60319805 1.60414677]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.6701365  0.49155532 0.58826402 0.64463994 0.66998245 0.6717319
 0.44650584 0.36567942 0.54824566 0.56290592]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25094925 0.25181154 0.24740602 0.25026775 0.24919215 0.24881016
 0.24969034 0.25292086 0.25033453 0.25000588]"
1.6,0.3,[1.153 1.192 1.153 1.24  1.199 1.401 1.127 1.141 1.027 1.113],[2.605 2.75  2.855 3.095 2.745 3.03  2.54  2.925 2.44  2.83 ],[1. 1. 1. 2. 1. 2. 1. 1. 1. 1.],"[1.63507937 1.75972315 1.7401     1.93417709 1.70696435 1.93958759
 1.56470036 1.78891564 1.42600869 1.75507008]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.49269289 0.52710627 0.57817099 0.66136581 0.53928094 0.62452198
 0.50173863 0.61103234 0.41139321 0.58915028]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29664039 0.30406604 0.29966307 0.3015436  0.29867978 0.2996802
 0.30043492 0.30015716 0.30098643 0.29976365]"
1.6,0.35000000000000003,[1.218 1.112 1.248 1.269 1.261 1.158 1.181 1.251 1.188 1.418],[2.71  2.43  2.605 2.745 2.635 2.52  2.495 2.825 2.54  3.025],[1. 1. 1. 2. 1. 1. 1. 1. 2. 2.],"[1.71965547 1.50693158 1.63221769 1.74576077 1.70799084 1.64034388
 1.5590274  1.78529539 1.57648604 1.99683502]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.50084413 0.38174359 0.4463046  0.50114956 0.46585338 0.41586512
 0.41954192 0.52096861 0.42642317 0.59267517]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35050653 0.34862385 0.35308495 0.35019349 0.34861486 0.34751892
 0.35123766 0.35066294 0.353035   0.35131352]"
1.6,0.4,[1.543 1.339 1.192 1.292 1.211 1.361 1.254 1.241 1.384 1.401],[3.2   2.68  2.55  2.565 2.5   2.815 2.575 2.77  2.965 2.79 ],[1. 1. 1. 1. 1. 2. 1. 2. 1. 1.],"[2.20889535 1.77140902 1.6636424  1.66951403 1.55744265 1.87345284
 1.68561631 1.75478235 1.97382737 1.84133349]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66753732 0.46171114 0.41633619 0.41823809 0.42319339 0.48707222
 0.43068467 0.47227473 0.58970322 0.49116076]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39805015 0.40108551 0.39803249 0.40447552 0.39851529 0.39853523
 0.39851909 0.40148092 0.4010131  0.40109509]"
1.6,0.45,[1.268 1.369 1.248 1.566 1.421 1.338 1.545 1.396 1.407 1.358],[2.71  2.81  2.525 3.075 2.935 2.845 3.185 2.905 2.675 2.89 ],[1.  2.  1.  1.  2.  1.  1.5 1.5 1.  1. ],"[1.81434409 1.88818177 1.63555623 2.09826663 1.94203908 1.9201754
 2.19465816 1.89827735 1.77644376 1.95691105]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.47510215 0.48764221 0.41662801 0.58821872 0.54076253 0.51058433
 0.61466212 0.52236426 0.43805875 0.51973911]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44893529 0.44889894 0.45141295 0.44809472 0.45118396 0.44933773
 0.45280272 0.44954701 0.45119872 0.44849755]"
1.7000000000000002,0.05,[0.2   0.252 0.218 0.324 0.216 0.276 0.304 0.23  0.238 0.264],[2.315 2.495 2.315 3.025 2.66  2.84  2.32  2.59  2.47  2.44 ],[1. 1. 1. 2. 1. 1. 1. 1. 1. 1.],"[0.58064358 0.72140554 0.58501756 1.04819913 0.77876508 0.94507532
 0.62917411 0.76425297 0.73172521 0.74697702]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39461148 0.47864003 0.37654588 0.73645108 0.53545545 0.6616369
 0.33416435 0.52833958 0.49789647 0.47032174]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04871374 0.05059303 0.0504913  0.0501069  0.04911925 0.05005768
 0.05420481 0.0492738  0.05038446 0.04896742]"
1.7000000000000002,0.1,[0.548 0.449 0.528 0.446 0.426 0.418 0.536 0.418 0.438 0.494],[2.925 2.675 2.835 2.725 2.43  2.415 2.625 2.345 2.665 2.665],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.24927256 1.01571961 1.2454532  1.06282841 0.843837   0.81302272
 1.10311884 0.88370088 0.98084557 1.14277411]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.73099223 0.55498719 0.69779146 0.60943485 0.4338846  0.3839236
 0.57894587 0.44171022 0.54741539 0.61266729]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10060442 0.0982254  0.10049704 0.09944161 0.10086008 0.1014967
 0.10015818 0.10120743 0.10073955 0.09931198]"
1.7000000000000002,0.15000000000000002,[0.618 0.72  0.714 0.622 0.658 0.702 0.713 0.622 0.643 0.626],[2.5   2.705 2.885 2.585 2.66  2.735 2.795 2.535 2.595 2.565],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.14201587 1.33294835 1.42498774 1.20805105 1.25055415 1.36992636
 1.35858929 1.11473664 1.18583574 1.14448443]",[0. 1. 0. 1. 0. 0. 1. 0. 0. 0.],"[0.50034717 0.60939427 0.70785883 0.5418514  0.59921169 0.65794821
 0.61947308 0.48964967 0.53254716 0.51040729]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14961047 0.1493678  0.14909912 0.14779503 0.14999639 0.14958764
 0.14970188 0.15172032 0.14899014 0.14874156]"
1.7000000000000002,0.2,[0.787 0.933 0.799 0.694 0.925 0.909 0.828 0.733 0.844 0.851],[2.565 2.945 2.47  2.365 2.8   2.845 2.525 2.375 2.575 2.44 ],[1.  2.  1.  1.  1.  1.  1.  1.  1.5 1. ],"[1.3481517  1.62639284 1.27369284 1.09310966 1.54469739 1.55368089
 1.29268638 1.16681568 1.35615533 1.28549896]",[1. 1. 1. 0. 1. 1. 1. 1. 1. 1.],"[0.51506332 0.68821138 0.49378806 0.41596855 0.62385572 0.65735704
 0.50916984 0.42589283 0.4972677  0.48286376]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20124049 0.20013284 0.19948384 0.19662326 0.20311775 0.20175669
 0.20219876 0.19962495 0.19798415 0.20313546]"
