gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.232 0.284 0.391 0.287 0.271 0.294 0.306 0.364 0.29  0.216],[2.695 2.79  3.575 3.    3.5   2.97  2.87  3.52  3.275 2.92 ],[1. 1. 2. 2. 2. 2. 1. 2. 2. 2.],"[0.80633524 0.85510788 1.27857213 0.95556437 1.07072215 0.90172653
 0.92597724 1.3070731  1.01554362 0.81693528]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56473245 0.57937912 0.90727239 0.66847361 0.80143809 0.60945969
 0.63424781 0.95993962 0.73605143 0.56950212]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04974153 0.05019843 0.04913018 0.04988462 0.04944229 0.05139328
 0.04945188 0.04926954 0.05140454 0.05064185]"
1.5,0.1,[0.548 0.677 0.543 0.406 0.507 0.591 0.461 0.452 0.656 0.515],[2.895 3.48  3.03  2.67  2.93  3.33  2.915 2.62  3.415 3.245],[1. 2. 1. 1. 2. 2. 1. 1. 2. 2.],"[1.27242827 1.59146075 1.35630644 1.00924017 1.1619029  1.40499859
 1.13004925 1.04727609 1.5828995  1.34935893]",[0. 1. 0. 0. 0. 1. 0. 0. 1. 0.],"[0.69757048 0.93390917 0.78069182 0.581247   0.64631269 0.80643475
 0.67448956 0.58459665 0.94033236 0.78961253]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09967518 0.10094839 0.10121185 0.10041888 0.09926339 0.10048733
 0.09942129 0.10066359 0.09842813 0.09891841]"
1.5,0.15000000000000002,[0.738 0.988 0.766 0.797 0.733 0.715 0.741 0.779 0.754 0.843],[2.84  3.535 3.1   3.085 3.14  2.995 2.905 2.99  2.935 3.105],[1.5 2.  1.  2.  2.  1.  2.  2.  2.  2. ],"[1.3757394  1.92135603 1.54141587 1.5260322  1.50602021 1.43911808
 1.31762931 1.4648511  1.39330675 1.61897672]",[1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],"[0.6390945  0.95969465 0.76626786 0.73683176 0.7436789  0.73148808
 0.60840568 0.68089511 0.66959581 0.77399839]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15003491 0.15007908 0.15083367 0.15067906 0.14974401 0.14914375
 0.15032958 0.15006193 0.14783573 0.1514793 ]"
1.5,0.2,[0.96  0.979 0.99  0.877 1.001 0.965 1.025 0.943 0.844 0.846],[3.125 3.245 3.16  2.92  3.015 3.095 3.21  3.13  2.355 2.58 ],[2. 1. 2. 2. 2. 2. 2. 2. 1. 1.],"[1.72407908 1.80082617 1.71419222 1.52981236 1.65256011 1.65669017
 1.77280881 1.65505762 1.19446504 1.36730615]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.75476359 0.83360876 0.72795931 0.65414952 0.69493804 0.68744701
 0.79177915 0.6777688  0.42058076 0.51688379]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20031903 0.19972826 0.19904083 0.19869764 0.2012174  0.19990761
 0.19917467 0.20106046 0.19978239 0.20103478]"
1.5,0.25,[1.259 1.108 1.449 1.2   1.272 1.29  1.137 1.356 1.125 1.206],[3.26  2.89  3.515 3.115 3.33  3.33  3.04  3.58  2.92  3.34 ],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[2.00339649 1.67910441 2.21282097 1.88490069 2.05409904 2.02835549
 1.83411707 2.21376847 1.78053174 2.07019771]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.76461659 0.61814677 0.84891228 0.68710009 0.78817619 0.75374703
 0.65772943 0.85933366 0.63783765 0.78985774]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.2470213  0.2503758  0.25066508 0.25099197 0.24877589 0.25109385
 0.25108712 0.25054003 0.25046995 0.25030909]"
1.5,0.3,[1.225 1.196 1.264 1.43  1.302 1.033 1.365 1.364 1.18  1.236],[2.95  2.835 3.175 3.195 3.21  2.625 3.28  3.49  2.91  3.08 ],[2. 2. 2. 2. 2. 1. 2. 2. 2. 1.],"[1.7707828  1.73854255 1.97760535 2.0745742  2.00303371 1.57330665
 2.07382034 2.21811521 1.79630798 1.95580101]","[1.      1.      1.      1.09375 1.      1.      1.25    1.      1.
 1.     ]","[0.56909579 0.53165809 0.66818031 0.67079124 0.69539516 0.48972755
 0.71562423 0.79001645 0.59645447 0.66971123]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.29622042 0.3025618  0.30175403 0.30042688 0.29807118 0.29694429
 0.30020851 0.29905762 0.30024392 0.29922799]"
1.5,0.35000000000000003,[1.542 1.455 1.42  1.472 1.439 1.524 1.226 1.316 1.511 1.432],[3.375 3.255 3.055 3.26  3.085 3.45  2.72  2.935 3.205 3.055],[2. 2. 2. 2. 2. 2. 1. 1. 1. 2.],"[2.28581224 2.12113409 2.00565797 2.16768902 2.06351817 2.30419939
 1.71658148 1.95099578 2.11683317 2.01488972]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.71576768 0.66242803 0.61108766 0.69612682 0.64011912 0.75647814
 0.5293836  0.60456511 0.67989133 0.59505269]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35180482 0.3507009  0.34923678 0.35040004 0.34992588 0.34877158
 0.34630245 0.34789119 0.3484639  0.3495951 ]"
1.5,0.4,[1.461 1.427 1.459 1.353 1.459 1.382 1.25  1.359 1.322 1.222],[2.985 2.945 3.29  2.815 3.055 2.825 2.605 2.865 2.92  2.68 ],[2. 2. 2. 1. 2. 2. 1. 2. 1. 1.],"[2.02549433 1.9314317  2.19219022 1.85429002 2.04962605 1.91085893
 1.68360656 1.88595242 1.95525891 1.70777225]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55502894 0.54521497 0.67434781 0.52765123 0.58360646 0.52155534
 0.43523253 0.48598599 0.57176373 0.47237063]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40033773 0.39984333 0.40045973 0.40058618 0.39871501 0.40007672
 0.4001526  0.40665364 0.40033673 0.39761721]"
1.5,0.45,[1.537 1.641 1.689 1.398 1.554 1.689 1.453 1.726 1.557 1.52 ],[3.35  3.595 3.42  2.82  3.065 3.405 2.835 3.575 3.14  2.905],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[2.25368647 2.46493731 2.40386376 1.90456685 2.07903611 2.41793358
 1.9145642  2.53541335 2.1460796  1.97929961]",[1.    1.25  1.125 1.    1.    1.25  1.    1.    1.    1.   ],"[0.66091791 0.75135089 0.68920677 0.49838949 0.5667128  0.68086876
 0.49897094 0.76497786 0.60642872 0.50591582]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.44769035 0.45165238 0.45019833 0.45087606 0.44824646 0.45175
 0.45032478 0.44848863 0.45123547 0.44637295]"
1.6,0.05,[0.253 0.273 0.232 0.289 0.217 0.337 0.285 0.267 0.316 0.299],[3.05  2.77  2.79  3.05  2.675 3.255 2.875 2.67  2.97  2.905],[2. 2. 1. 2. 1. 2. 2. 1. 1. 1.],"[0.99498196 0.79540979 0.82917274 0.95217537 0.79603994 1.05680657
 0.89708577 0.83413654 1.04289369 0.90922594]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.72542629 0.514956   0.58119514 0.65334938 0.54155019 0.73813927
 0.60681935 0.54861194 0.72975404 0.63666674]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04822493 0.04931361 0.04939457 0.04988165 0.04992258 0.04918639
 0.0514228  0.05039123 0.05053431 0.04970346]"
