gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.303 0.287 0.317 0.315 0.262 0.314 0.264 0.285 0.24  0.24 ],[3.22  2.945 3.12  3.24  3.27  3.345 3.075 3.295 2.84  3.015],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.04684949 0.9386388  1.0314532  1.12300507 0.9743947  1.12810108
 0.91876289 1.10136573 0.70925467 0.8389123 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.7407591  0.63256245 0.74136989 0.81219299 0.70139909 0.82594898
 0.65237007 0.81794777 0.46870413 0.58569208]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0502242  0.05029446 0.04990396 0.05052474 0.04954638 0.05113139
 0.05032245 0.05062928 0.05112446 0.04927781]"
1.5,0.1,[0.533 0.641 0.611 0.658 0.57  0.411 0.463 0.517 0.595 0.62 ],[2.795 3.245 2.89  3.415 3.23  2.69  2.62  3.025 3.435 3.19 ],[1.5 2.  2.  2.  2.  1.  1.  2.  2.  2. ],"[1.14981086 1.45143184 1.28626262 1.60941277 1.36813467 0.98327806
 1.0745471  1.262229   1.51090367 1.37909197]",[0. 1. 1. 1. 0. 0. 0. 0. 1. 0.],"[0.63960944 0.8180212  0.6818571  0.95183403 0.78479971 0.53425859
 0.5609558  0.72974121 0.87414464 0.77792558]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10062525 0.1        0.0988554  0.09960775 0.10067155 0.10045002
 0.09961243 0.09926694 0.10086594 0.10029367]"
1.5,0.15000000000000002,[0.847 0.821 0.746 0.785 0.763 0.806 0.804 0.609 0.815 0.869],[2.95  3.07  2.94  3.06  2.695 3.39  3.275 2.6   2.935 3.195],[2. 1. 2. 1. 1. 2. 2. 2. 2. 1.],"[1.4734733  1.61562729 1.4354004  1.58552484 1.3346855  1.74499414
 1.65440494 1.12871746 1.46601028 1.68846901]",[1. 1. 1. 1. 1. 1. 1. 0. 1. 1.],"[0.6891276  0.78337998 0.6710135  0.78956048 0.58799574 0.89518762
 0.82435916 0.49260845 0.68125778 0.86095284]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14885467 0.15116089 0.14929012 0.15092013 0.15090888 0.15060457
 0.14906901 0.14785969 0.14881219 0.14865351]"
1.5,0.2,[1.071 0.929 0.897 0.861 0.972 1.056 0.932 0.882 0.937 0.932],[3.2   3.07  2.875 2.775 3.155 3.28  3.095 2.87  2.905 2.965],[2.  1.5 2.  2.  2.  2.  2.  1.  2.  2. ],"[1.81459346 1.6878979  1.52523492 1.42176602 1.77084291 1.84553825
 1.73328932 1.5616519  1.5817091  1.60644092]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.77686854 0.71195735 0.62719659 0.53623135 0.76723786 0.77633292
 0.75001631 0.64524809 0.63447064 0.68763172]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19956039 0.20067994 0.2002946  0.20234101 0.19901121 0.20070342
 0.20061821 0.19963997 0.19857498 0.19948451]"
1.5,0.25,[1.127 1.202 1.392 1.152 1.126 1.019 1.398 1.208 0.989 1.108],[3.095 3.115 3.605 3.13  3.13  2.9   3.57  3.145 2.76  3.22 ],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.79447775 1.87698819 2.28427648 1.86036963 1.8213416  1.69242042
 2.26324091 1.92734604 1.56978855 1.94293554]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.6981423  0.69667996 0.91443975 0.67654028 0.72038823 0.61844367
 0.89867609 0.75028824 0.54898075 0.76491247]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ],"[0.25201788 0.25080425 0.24821248 0.25015298 0.25029556 0.24833914
 0.25091127 0.24897145 0.25064978 0.24902086]"
1.5,0.3,[1.081 1.329 1.263 1.486 1.502 1.218 1.099 1.251 1.172 1.266],[2.77  2.955 3.07  3.37  3.345 2.945 2.645 2.925 2.805 3.105],[2.  2.  1.5 2.  2.  2.  1.  1.5 1.  2. ],"[1.59453712 1.88364536 1.98401085 2.23063993 2.18937206 1.84149517
 1.6026922  1.84354361 1.74315982 1.92468517]",[1.    1.    1.    1.25  1.125 1.    1.    1.    1.    1.   ],"[0.51621193 0.59686741 0.65420463 0.75693204 0.75478619 0.61433056
 0.49774347 0.59113485 0.53657718 0.66330516]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29943983 0.29823112 0.30046395 0.30025475 0.30242865 0.29911519
 0.29778143 0.30199632 0.30256353 0.29904401]"
1.5,0.35000000000000003,[1.554 1.278 1.545 1.494 1.402 1.241 1.306 1.316 1.496 1.375],[3.2   2.995 3.475 3.13  3.015 2.765 2.795 2.91  3.26  2.925],[2.  1.5 2.  2.  2.  1.  2.  1.  2.  1. ],"[2.17400828 1.97080461 2.36086793 2.11665277 1.99639978 1.77192919
 1.81750748 1.89640276 2.19238448 1.93053708]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66267009 0.61285967 0.76550752 0.63094232 0.6109173  0.5221245
 0.49821427 0.55689684 0.70678603 0.5642471 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34944755 0.34786901 0.35081665 0.3492646  0.35108979 0.35055103
 0.34949764 0.35135868 0.34903811 0.35210454]"
1.5,0.4,[1.617 1.475 1.367 1.387 1.304 1.509 1.675 1.592 1.437 1.48 ],[3.335 2.985 3.    2.89  2.775 2.995 3.375 3.14  3.085 3.015],[2. 2. 2. 1. 2. 1. 2. 1. 2. 1.],"[2.31938708 2.04303727 1.96500532 1.95850929 1.85068635 2.04360601
 2.29994742 2.17844006 2.05290956 2.04782125]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.6972008  0.57798967 0.57234632 0.54972938 0.48482301 0.58460363
 0.7012075  0.63676007 0.5988141  0.58935415]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39975496 0.39957829 0.39970545 0.39995031 0.4006421  0.39785258
 0.40156849 0.4009408  0.40049463 0.39947011]"
1.5,0.45,[1.669 1.537 1.673 1.542 1.657 1.646 1.722 1.585 1.578 1.327],[3.255 3.11  3.165 3.3   3.285 3.345 3.42  3.265 3.185 2.69 ],[2.  1.  2.  2.  2.  2.  2.  2.  2.  1.5],"[2.31976077 2.18115214 2.19308492 2.28411455 2.27119923 2.31552221
 2.39468091 2.22678984 2.17237632 1.76520931]","[1.      1.      1.      1.      1.21875 1.      1.125   1.25    1.25
 1.     ]","[0.64340732 0.61328806 0.60181295 0.67954607 0.63133167 0.67875921
 0.70027539 0.65331907 0.61949699 0.44828549]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.44984055 0.44926583 0.44818231 0.45122775 0.44765814 0.44981484
 0.44913136 0.44891694 0.44650955 0.44981138]"
1.6,0.05,[0.273 0.279 0.202 0.29  0.222 0.26  0.209 0.321 0.251 0.263],[2.76  2.84  2.53  2.805 2.975 2.465 2.685 2.795 2.375 2.68 ],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.76003523 0.83866709 0.68523999 0.88871724 0.90612647 0.66684812
 0.74031609 0.90389518 0.62207117 0.7993478 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.51846114 0.57706522 0.44900586 0.58509053 0.65542456 0.40506101
 0.5170147  0.5926113  0.36737757 0.52778439]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05072175 0.04995715 0.04821325 0.048895   0.04869218 0.05148055
 0.04893054 0.05009049 0.05053474 0.05040912]"
