gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.342 0.284 0.269 0.284 0.34  0.329 0.362 0.306 0.261 0.24 ],[3.125 2.76  2.875 3.085 3.2   3.515 3.455 3.01  3.015 2.95 ],[2.  1.5 2.  2.  2.  2.  2.  1.  2.  2. ],"[1.05036811 0.84019372 0.78427462 0.98432932 1.13480307 1.21751442
 1.2193991  1.00223147 0.85743512 0.90002   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.72020087 0.55493218 0.52248294 0.70951029 0.80005088 0.8520832
 0.87406127 0.71824679 0.59762188 0.64347947]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05007023 0.05097552 0.05001578 0.05134374 0.04996178 0.0494673
 0.0508439  0.04929238 0.04945167 0.04867906]"
1.5,0.1,[0.483 0.51  0.565 0.597 0.637 0.501 0.612 0.602 0.511 0.614],[2.685 2.825 3.22  3.255 3.55  3.205 3.39  3.185 2.96  3.19 ],[1. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.08311447 1.1318618  1.35470752 1.44645497 1.58541443 1.35010147
 1.51419687 1.35140803 1.22926026 1.46166107]",[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],"[0.58389786 0.63368675 0.77675037 0.84590717 0.97091522 0.81385544
 0.90539194 0.77007868 0.70072999 0.83244232]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09870033 0.09921527 0.09908309 0.10004335 0.09835953 0.09875523
 0.1000345  0.09909949 0.10096056 0.10097489]"
1.5,0.15000000000000002,[0.834 0.871 0.775 0.889 0.778 0.69  0.879 0.844 0.74  0.744],[3.035 3.44  2.82  3.365 3.13  2.86  3.23  3.035 2.69  2.98 ],[2. 2. 2. 2. 1. 1. 2. 2. 1. 2.],"[1.48210223 1.82169633 1.35510306 1.76846931 1.54212924 1.34043993
 1.67972319 1.60313358 1.25912444 1.40875657]",[1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],"[0.70017687 0.91704392 0.62024466 0.91007453 0.79213473 0.65681902
 0.82911498 0.77550846 0.55291595 0.65487596]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14935181 0.14951701 0.15165923 0.15201544 0.14944    0.14732719
 0.14943937 0.15123068 0.14989621 0.14961211]"
1.5,0.2,[1.045 0.854 1.005 0.852 0.895 1.    0.866 0.771 1.092 0.883],[3.09  2.625 3.04  2.85  2.785 3.38  2.935 2.685 3.225 2.745],[1.5 1.  2.  2.  2.  1.  1.  1.  2.  1. ],"[1.77589871 1.39589098 1.67743917 1.48452672 1.49637535 1.96040352
 1.55514362 1.34181762 1.87363634 1.45893549]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.74343137 0.51542956 0.71112295 0.59549993 0.59576499 0.89394905
 0.67210437 0.55713897 0.80168047 0.56736383]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19868775 0.19899127 0.19791925 0.19714405 0.19960403 0.19854426
 0.19813721 0.19797406 0.2009647  0.20121544]"
1.5,0.25,[1.15  0.969 1.094 0.972 1.085 1.106 1.186 1.043 1.244 1.074],[2.995 2.675 2.705 2.7   2.915 2.885 2.95  2.92  3.245 2.84 ],[1.5 1.  2.  1.5 2.  2.  2.  1.  2.  1.5],"[1.77771781 1.49872913 1.54555147 1.48598443 1.68135795 1.70266706
 1.8273205  1.76864908 2.00024654 1.68888745]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.6555828  0.51068042 0.50429048 0.51403374 0.62499045 0.60807904
 0.64679804 0.68039987 0.76546475 0.60587872]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25054668 0.24998007 0.2540118  0.2511655  0.25087255 0.25212687
 0.25276791 0.25032298 0.25350667 0.24910883]"
1.5,0.3,[1.516 1.469 1.221 1.37  1.267 1.156 1.336 1.097 1.184 1.193],[3.305 3.38  2.97  3.44  3.165 2.975 3.135 2.79  2.93  2.885],[2.  2.  2.  2.  2.  2.  2.  2.  2.  1.5],"[2.17329102 2.20281404 1.87936792 2.1461595  1.93352562 1.84237735
 2.00704035 1.70375587 1.82271755 1.78934982]",[1.    1.    1.    1.25  1.    1.    1.125 1.    1.    1.   ],"[0.75025757 0.7965143  0.61906763 0.76106062 0.64329369 0.61563114
 0.64085566 0.56045417 0.59037532 0.57466354]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ],"[0.29959026 0.30007147 0.29910106 0.30089903 0.30042762 0.30120682
 0.30001784 0.29972979 0.29937282 0.30010363]"
1.5,0.35000000000000003,[1.298 1.449 1.343 1.237 1.209 1.426 1.191 1.504 1.363 1.205],[3.065 3.095 2.87  2.76  2.67  3.115 2.7   3.24  2.875 2.79 ],[2. 2. 1. 1. 1. 2. 1. 2. 2. 1.],"[1.96432329 1.98066516 1.85838572 1.745466   1.67800341 2.06415481
 1.71507968 2.10232306 1.82867479 1.80348466]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.61328051 0.60978992 0.55526987 0.49733337 0.49189165 0.63723465
 0.49711276 0.66149695 0.530963   0.52874834]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34916605 0.3460925  0.3518115  0.35058902 0.3505897  0.35191562
 0.3514419  0.34940957 0.34864274 0.35207359]"
1.5,0.4,[1.532 1.444 1.398 1.354 1.612 1.35  1.433 1.449 1.372 1.363],[3.245 3.035 3.04  2.86  3.345 2.87  3.005 3.05  2.805 2.835],[2.  2.  2.  1.5 2.  2.  2.  2.  2.  2. ],"[2.20875418 2.02843105 2.01699781 1.89148812 2.25348092 1.87816854
 1.97692196 2.02015315 1.85117704 1.90848003]",[1.   1.   1.25 1.   1.25 1.   1.   1.   1.   1.  ],"[0.65907828 0.57416927 0.56793043 0.52286202 0.68233285 0.51799306
 0.55560848 0.5950149  0.47766294 0.49439556]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ],"[0.39990828 0.40053699 0.39814197 0.39971295 0.39896047 0.40064356
 0.39988536 0.40043938 0.40404843 0.39845132]"
1.5,0.45,[1.511 1.434 1.583 1.454 1.603 1.474 1.558 1.525 1.368 1.552],[3.115 2.85  3.045 2.97  3.27  2.99  3.215 3.09  2.69  3.245],[2. 2. 1. 2. 2. 2. 2. 2. 1. 2.],"[2.09664174 1.89153202 2.14555301 2.03785024 2.28816688 2.04526254
 2.17827145 2.11470967 1.74898331 2.23578869]",[1.   1.   1.   1.25 1.25 1.   1.   1.   1.   1.  ],"[0.58542805 0.50175663 0.5852164  0.53315175 0.65876228 0.55513895
 0.62308591 0.57547749 0.44471207 0.66328014]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44926136 0.44891052 0.44884628 0.44866132 0.45154764 0.44941503
 0.45033637 0.45148294 0.4498746  0.44908741]"
1.6,0.05,[0.275 0.259 0.284 0.204 0.201 0.218 0.199 0.276 0.222 0.272],[2.975 2.52  2.985 2.47  2.38  2.64  2.38  2.865 2.675 3.145],[2. 1. 1. 1. 1. 1. 1. 1. 1. 2.],"[0.89700133 0.70341511 0.98040849 0.70457901 0.63772382 0.73339494
 0.65461925 0.92141263 0.66446731 1.02448635]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.62730528 0.45354817 0.70378679 0.49970841 0.41857373 0.50538835
 0.42458263 0.64664395 0.45143599 0.73617703]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05022321 0.05084171 0.0493736  0.04957777 0.05146182 0.04940108
 0.05056321 0.0502244  0.05003217 0.05023228]"
