gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.244 0.277 0.317 0.281 0.268 0.2   0.275 0.272 0.271 0.353],[2.815 2.865 3.305 2.975 2.815 2.74  3.075 2.83  3.135 3.63 ],[2. 2. 2. 1. 2. 1. 2. 1. 2. 2.],"[0.73257685 0.85048451 1.12125037 0.99700551 0.85978541 0.78277591
 0.98489671 0.86332808 1.03011156 1.32694881]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.49439326 0.57603108 0.78904395 0.6914739  0.57797327 0.55889682
 0.70551378 0.60863509 0.73512957 1.01129879]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04945583 0.05052005 0.05061222 0.04967276 0.04965595 0.04927546
 0.05071435 0.05041874 0.04946195 0.05006882]"
1.5,0.1,[0.512 0.512 0.615 0.49  0.574 0.527 0.577 0.538 0.456 0.462],[2.925 2.96  2.78  2.985 3.14  3.08  3.19  2.96  2.755 2.605],[1. 2. 2. 2. 2. 2. 2. 2. 1. 1.],"[1.21016128 1.20122023 1.18948137 1.15943406 1.36412256 1.22966811
 1.38589775 1.25702634 1.09138102 0.97599123]",[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],"[0.72043685 0.70275466 0.59327623 0.68619187 0.79427759 0.71616653
 0.80607505 0.71079495 0.60318613 0.52640444]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10005809 0.09978039 0.1012529  0.10106006 0.10031057 0.10064759
 0.10033839 0.10132001 0.10149878 0.09832252]"
1.5,0.15000000000000002,[0.873 0.769 0.863 0.685 0.802 0.82  0.822 0.642 0.686 0.815],[3.395 2.81  3.335 3.045 3.065 2.975 3.25  2.78  2.65  3.095],[2. 1. 2. 2. 2. 2. 2. 2. 1. 1.],"[1.80224868 1.39273396 1.74124245 1.43463514 1.52372236 1.49175174
 1.61657021 1.22576216 1.29970232 1.57928738]",[1. 1. 1. 0. 1. 1. 1. 0. 0. 1.],"[0.90052139 0.64355489 0.8828138  0.72981367 0.7295445  0.7142847
 0.80737435 0.56910323 0.60571581 0.76897549]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1501729  0.1499457  0.15117464 0.14874045 0.14965358 0.15069964
 0.14900568 0.14823189 0.15042494 0.15130809]"
1.5,0.2,[1.035 0.876 1.026 1.068 0.967 1.085 1.12  0.995 0.881 1.054],[3.215 2.78  3.065 3.415 3.08  3.185 3.11  2.855 2.75  3.17 ],[1.  1.  2.  2.  1.5 2.  2.  2.  2.  2. ],"[1.85819644 1.47966782 1.72265415 1.90290122 1.71971841 1.83629003
 1.7691793  1.57586328 1.45497724 1.80263666]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.80398349 0.60907578 0.6970322  0.83809287 0.74379434 0.7899381
 0.73505821 0.59944848 0.57537244 0.76696802]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19911022 0.20051654 0.19925938 0.20011888 0.20041506 0.19920026
 0.19910394 0.19966589 0.20180598 0.20022698]"
1.5,0.25,[1.053 1.163 1.345 1.133 1.161 1.125 1.124 1.171 1.148 1.055],[2.825 2.995 3.355 2.985 3.085 2.945 3.09  3.115 3.095 2.915],[1. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.67722992 1.81166044 2.13288756 1.71133122 1.84577371 1.67457111
 1.8365202  1.80683645 1.89537698 1.68717051]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.58972168 0.63561949 0.80504088 0.62732365 0.67263834 0.59179889
 0.67798565 0.69698996 0.69285257 0.61426005]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24869995 0.2525157  0.25104916 0.25160312 0.25005355 0.24624137
 0.25095795 0.25030964 0.25099308 0.24939817]"
1.5,0.3,[1.235 1.286 1.273 1.425 1.335 1.408 1.105 1.298 1.287 1.154],[2.96  3.01  3.04  3.19  2.965 3.58  2.605 3.175 3.21  2.805],[2. 2. 2. 2. 2. 2. 1. 2. 1. 1.],"[1.89031715 1.90268082 1.89743922 2.04472247 1.86512049 2.27203811
 1.5795835  1.94878435 2.04373291 1.72645294]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.59868233 0.61040024 0.63156824 0.69107623 0.59845514 0.82321975
 0.49389227 0.65844988 0.7256958  0.5416809 ]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.30244393 0.30119086 0.29987557 0.2988961  0.30057866 0.29957752
 0.30190118 0.2994508  0.30017414 0.30064229]"
1.5,0.35000000000000003,[1.478 1.364 1.527 1.445 1.438 1.377 1.459 1.492 1.286 1.522],[3.075 3.055 3.205 3.05  3.195 3.01  3.2   3.23  2.675 3.405],[2. 2. 2. 2. 2. 2. 2. 1. 2. 2.],"[1.98402449 1.98483063 2.13994637 2.00739445 2.08985303 1.94380869
 2.14682017 2.2211091  1.69986808 2.33995197]",[1.    1.    1.    1.    1.    1.    1.125 1.    1.    1.   ],"[0.6017906  0.61499359 0.68668404 0.60092228 0.64633893 0.58111887
 0.65935924 0.70687204 0.46755668 0.75595966]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34999649 0.34801427 0.35186838 0.35059835 0.34971085 0.3478114
 0.34876855 0.35033428 0.35213074 0.35127203]"
1.5,0.4,[1.387 1.588 1.544 1.395 1.292 1.505 1.584 1.467 1.36  1.521],[2.965 3.225 3.095 2.93  2.62  3.17  3.285 3.11  2.87  3.205],[2. 2. 2. 2. 1. 2. 2. 2. 1. 2.],"[1.9714915  2.21851023 2.09244547 1.96789653 1.6884254  2.17663871
 2.23574152 2.08081517 1.8954877  2.13186016]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.57296001 0.65470256 0.59633341 0.54493724 0.45395182 0.6162963
 0.66646174 0.61134373 0.51572696 0.61563091]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.40062071 0.39882418 0.40096516 0.40237545 0.39826152 0.39628394
 0.40067436 0.4003322  0.39846797 0.40076805]"
1.5,0.45,[1.566 1.543 1.621 1.799 1.544 1.335 1.536 1.394 1.435 1.558],[3.23  3.125 3.33  3.5   3.205 2.8   3.22  2.905 2.99  3.25 ],[2. 2. 2. 2. 2. 2. 2. 1. 2. 1.],"[2.2313456  2.15011886 2.2267288  2.49373456 2.21888703 1.86308887
 2.19942776 1.93284859 2.01274588 2.29664482]",[1.25 1.   1.   1.25 1.   1.   1.25 1.   1.   1.  ],"[0.63230324 0.61835463 0.68530882 0.74783948 0.61936554 0.48589771
 0.62948208 0.53807808 0.55811209 0.67329155]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.   ],"[0.44840893 0.45115991 0.45028706 0.44856621 0.4528233  0.44845628
 0.45032778 0.44861209 0.44712548 0.4505872 ]"
1.6,0.05,[0.279 0.293 0.268 0.294 0.285 0.259 0.289 0.229 0.229 0.276],[2.83  2.915 2.54  3.205 2.885 2.54  3.09  2.755 2.835 2.91 ],[1.  2.  1.5 2.  1.  1.  2.  1.  1.5 1. ],"[0.8708203  0.9119896  0.66395923 1.07823922 0.92715847 0.69958601
 1.01339846 0.80538304 0.77515587 0.94052878]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.58955047 0.62603623 0.40320727 0.78096749 0.64792935 0.42555495
 0.71373873 0.55471776 0.55058922 0.67221335]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04871568 0.04901871 0.04815878 0.05063274 0.04951684 0.0502715
 0.04994087 0.05085164 0.04941442 0.05060483]"
