gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.276 0.287 0.332 0.306 0.286 0.288 0.315 0.287 0.239 0.248],[2.795 3.23  3.02  2.895 3.12  2.865 3.165 3.175 2.765 3.225],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[0.79594004 0.95842309 0.97370709 0.93763599 0.99919295 0.87693334
 1.11144213 1.00910007 0.8399863  1.03637136]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.52021616 0.66398583 0.66076519 0.64144641 0.71474319 0.59926335
 0.77716265 0.69515354 0.57363376 0.76447225]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05182937 0.04956757 0.04925963 0.05038563 0.04948522 0.05045837
 0.05089272 0.05000475 0.05078623 0.05013357]"
1.5,0.1,[0.55  0.539 0.543 0.495 0.57  0.616 0.51  0.643 0.609 0.519],[2.72  3.05  3.155 2.765 3.035 3.28  3.12  3.3   3.135 3.1  ],[1. 1. 2. 1. 2. 2. 2. 2. 2. 1.],"[1.11062221 1.35905335 1.34145023 1.13008836 1.31150802 1.47794417
 1.21098211 1.53195195 1.43269427 1.37240288]",[0.  0.  0.  0.  0.  1.  0.  0.  0.5 0. ],"[0.58486415 0.79296327 0.80317935 0.62108385 0.73758529 0.85500228
 0.69936925 0.89391271 0.81884356 0.82146416]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0999077  0.10055702 0.09941838 0.10020063 0.10014775 0.10218512
 0.09867513 0.10115307 0.10100246 0.10036482]"
1.5,0.15000000000000002,[0.758 0.689 0.956 0.718 0.751 0.908 0.857 0.74  0.753 0.891],[2.91  2.855 3.335 2.975 3.045 3.34  3.235 3.12  3.005 3.32 ],[1.  1.  2.  2.  2.  2.  2.  2.  2.  1.5],"[1.45729602 1.40407077 1.78981656 1.45827462 1.44765353 1.78047907
 1.65068761 1.5062633  1.45507509 1.75325874]",[1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.69754016 0.69018161 0.88869596 0.6831379  0.71897006 0.86744898
 0.80090367 0.75871203 0.67034975 0.88845588]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15035675 0.1492768  0.14906559 0.15098103 0.15068533 0.15024748
 0.14985119 0.1494113  0.14995628 0.15054753]"
1.5,0.2,[1.064 1.004 0.94  0.914 0.932 0.957 0.997 0.843 0.999 0.972],[3.24  3.27  2.85  2.94  3.005 3.165 3.23  2.755 3.215 3.09 ],[2. 2. 1. 2. 2. 2. 1. 1. 2. 2.],"[1.88556461 1.83571115 1.56665004 1.60940053 1.61045202 1.70098055
 1.84287403 1.44504673 1.73053221 1.72411317]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.81512943 0.80324777 0.63841182 0.65277608 0.69550176 0.74810671
 0.83234852 0.58229466 0.77334288 0.73455141]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20281465 0.20154295 0.19911245 0.19900671 0.20100098 0.20083431
 0.19977177 0.19940789 0.19949286 0.20050002]"
1.5,0.25,[0.982 1.148 1.16  1.207 1.341 1.007 1.197 1.007 1.086 1.04 ],[2.515 3.135 3.045 3.185 3.43  2.89  3.275 2.95  2.98  2.78 ],[1.  2.  1.  2.  2.  1.  2.  2.  1.5 2. ],"[1.4371059  1.84789962 1.83793601 1.91864152 2.1484395  1.71596222
 1.96662029 1.71418587 1.73458332 1.62061803]","[1.      1.      1.      1.      1.25    1.      1.21875 1.      1.
 1.     ]","[0.44204608 0.69964736 0.68236808 0.74116533 0.81034624 0.65096192
 0.75100475 0.63803048 0.6535915  0.57249669]",[0.    0.    0.    0.    0.125 0.    0.    0.    0.    0.   ],"[0.25233269 0.25014085 0.25015016 0.24930362 0.24994942 0.25060113
 0.24683792 0.24813038 0.24829744 0.25030227]"
1.5,0.3,[1.526 1.188 1.287 1.155 1.434 1.108 1.145 1.373 1.258 1.171],[3.355 2.905 2.975 2.85  3.315 2.665 2.785 3.2   3.13  3.045],[2.  1.  2.  1.5 2.  1.  1.  2.  2.  1. ],"[2.15326352 1.81957369 1.88793963 1.76912826 2.17505242 1.62202408
 1.69745182 2.06222274 1.99774977 1.91123748]",[1.    1.    1.    1.    1.    1.    1.    1.    1.125 1.   ],"[0.72057706 0.61753909 0.61823748 0.5778511  0.7540545  0.49663955
 0.54371158 0.7068193  0.66605727 0.65572845]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.30298239 0.29919845 0.29970326 0.29978726 0.30061233 0.3004199
 0.29976113 0.29985086 0.30008906 0.3004519 ]"
1.5,0.35000000000000003,[1.272 1.562 1.449 1.558 1.327 1.402 1.541 1.227 1.279 1.742],[2.87  3.475 3.075 3.58  2.955 3.2   3.3   2.705 2.9   3.59 ],[2.  2.  2.  2.  2.  1.  2.  2.  1.5 2. ],"[1.85600056 2.32667844 2.07066804 2.4077689  1.95925969 2.09288184
 2.20820018 1.68042276 1.88992608 2.48490392]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.25],"[0.55140675 0.78928068 0.6310489  0.82949376 0.5826093  0.67487464
 0.67987132 0.47152322 0.55527764 0.80907354]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.34973621 0.35034558 0.34978643 0.35027544 0.34957486 0.35108583
 0.35261158 0.34974426 0.34999685 0.35155614]"
1.5,0.4,[1.392 1.538 1.561 1.383 1.385 1.216 1.467 1.468 1.188 1.57 ],[2.97  3.235 3.255 2.965 2.8   2.525 3.17  3.135 2.545 3.24 ],[2. 2. 2. 2. 2. 1. 2. 2. 1. 2.],"[1.964733   2.21080281 2.24098247 1.92357651 1.84895414 1.6516924
 2.11893011 2.04834681 1.67076691 2.19360915]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.55220493 0.66641743 0.68627331 0.54093308 0.4819119  0.39993214
 0.5995014  0.61041254 0.42102814 0.63598097]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.39907338 0.39921993 0.39935363 0.40087016 0.39788618 0.39751098
 0.40094788 0.39980464 0.40282611 0.40020121]"
1.5,0.45,[1.452 1.142 1.388 1.473 1.618 1.509 1.633 1.527 1.273 1.656],[2.87  2.41  2.72  2.98  3.57  2.9   3.33  3.005 2.745 3.27 ],[1.5 1.  1.  1.  2.  2.  2.  1.  1.  2. ],"[1.92607147 1.54904573 1.89547718 2.02041969 2.49639252 2.03001306
 2.31677571 2.05577319 1.79451207 2.26282559]",[1.    1.    1.    1.    1.25  1.    1.125 1.    1.    1.   ],"[0.51537934 0.36034578 0.49552357 0.55689552 0.74445069 0.52239465
 0.66655873 0.59293628 0.453411   0.65559201]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.449928   0.45460678 0.44948305 0.45194652 0.44965283 0.44897529
 0.44882212 0.44864269 0.44788949 0.4482017 ]"
1.6,0.05,[0.296 0.308 0.226 0.272 0.229 0.25  0.287 0.239 0.252 0.25 ],[3.11  2.54  2.915 2.81  2.405 2.915 2.92  2.64  2.875 2.905],[2. 1. 2. 1. 1. 2. 1. 1. 2. 2.],"[0.95217771 0.70644284 0.8746636  0.85517207 0.64408943 0.85074084
 0.91430999 0.75890979 0.82166902 0.8509507 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.68266843 0.41823849 0.63056631 0.59882685 0.38859383 0.59843982
 0.65131042 0.51893207 0.5590384  0.59295509]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04943526 0.05170634 0.04879393 0.05053219 0.05174053 0.04897637
 0.05039731 0.05065876 0.05051314 0.050359  ]"
