gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.253 0.239 0.287 0.327 0.283 0.375 0.295 0.268 0.295 0.279],[3.1   2.585 2.98  3.395 2.79  3.155 3.145 2.825 3.025 2.735],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[0.96690792 0.7293576  0.91788187 1.18124992 0.79381582 1.01557012
 1.04353512 0.84464279 0.98636021 0.73681805]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.69334622 0.48087128 0.60064554 0.860718   0.53281118 0.69724767
 0.74822751 0.56978775 0.68264012 0.4697575 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04979672 0.05001301 0.04954526 0.05008833 0.04953526 0.0506315
 0.04989804 0.05088901 0.04949422 0.04554114]"
1.5,0.1,[0.52  0.604 0.509 0.566 0.621 0.51  0.511 0.588 0.585 0.66 ],[3.04  2.925 2.705 3.3   3.54  3.145 2.93  3.29  2.995 3.4  ],[1. 2. 1. 2. 2. 2. 1. 2. 2. 2.],"[1.32094692 1.23625704 1.05100892 1.4699806  1.66282125 1.33557169
 1.26171654 1.49713046 1.25860278 1.55851189]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],"[0.80135098 0.65722262 0.57002259 0.8722563  1.01401449 0.79654886
 0.74413841 0.88885775 0.70238787 0.91757317]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10182744 0.09919522 0.1014217  0.10034606 0.0997456  0.09942511
 0.09951735 0.10000535 0.09914396 0.10035564]"
1.5,0.15000000000000002,[0.725 0.8   0.682 0.872 0.83  0.823 0.913 0.778 0.844 0.752],[3.15  3.12  3.01  3.17  3.275 3.26  3.6   3.04  3.345 2.845],[2. 1. 2. 2. 2. 2. 2. 1. 2. 2.],"[1.51310102 1.65235478 1.43128458 1.60784755 1.67236231 1.65226859
 1.90536374 1.53676138 1.68909133 1.35659387]",[1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],"[0.75962812 0.84457982 0.72334299 0.77950984 0.86070918 0.82981864
 0.99492612 0.75441061 0.85478163 0.62594965]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15089562 0.14956436 0.15171535 0.1498877  0.15101263 0.14897914
 0.15125964 0.15022236 0.15058975 0.15083706]"
1.5,0.2,[1.116 0.981 0.997 0.973 1.002 0.974 1.053 0.916 1.091 1.118],[3.395 3.005 3.22  2.865 3.105 3.38  3.235 2.905 3.5   3.41 ],[2. 2. 2. 2. 1. 2. 2. 1. 2. 2.],"[1.92803581 1.65365614 1.83056756 1.59467954 1.71041573 1.92242106
 1.87195181 1.59752912 2.02855052 1.99226208]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.85973258 0.68981886 0.78517083 0.65053709 0.72569191 0.86691325
 0.79914724 0.6562901  0.89960795 0.88579693]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20116612 0.19970644 0.19990608 0.2000665  0.20042258 0.19835829
 0.20053466 0.2008629  0.2004986  0.19915318]"
1.5,0.25,[1.057 1.119 1.051 1.263 1.23  0.999 1.279 1.057 1.171 1.203],[2.61  3.05  2.78  3.265 3.22  2.85  3.315 2.86  3.18  3.155],[1. 2. 1. 2. 2. 1. 2. 1. 2. 2.],"[1.51511086 1.79353306 1.61720049 2.01230633 1.96143225 1.60029577
 2.0865983  1.68551542 1.88371075 1.91589225]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.49666603 0.6777689  0.56136949 0.76606122 0.73913122 0.59056371
 0.78618265 0.6006146  0.71505719 0.72758109]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25173313 0.24912764 0.25141808 0.25042894 0.24999341 0.2497322
 0.25143296 0.24965092 0.25158509 0.25064917]"
1.5,0.3,[1.497 1.234 1.289 1.382 1.175 1.384 1.316 1.164 1.183 1.145],[3.61  2.98  2.945 3.195 3.07  3.335 3.055 2.775 2.785 2.75 ],[2. 1. 2. 2. 2. 2. 2. 1. 2. 2.],"[2.3847776  1.89294784 1.85605124 2.04112847 1.90350703 2.11804432
 1.87622645 1.71711203 1.69000929 1.68090836]",[1.25 1.   1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.85473914 0.63204543 0.5943978  0.70734734 0.65391139 0.74204335
 0.58805507 0.56905447 0.52493849 0.52357804]",[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.29978766 0.29914249 0.30002649 0.29850763 0.29868781 0.30082907
 0.29797927 0.30081915 0.29919879 0.29937687]"
1.5,0.35000000000000003,[1.489 1.419 1.314 1.343 1.244 1.202 1.205 1.326 1.353 1.545],[3.325 3.075 2.9   2.93  2.73  2.72  2.605 2.89  3.125 3.245],[2. 2. 2. 2. 1. 1. 2. 2. 1. 2.],"[2.19409214 2.0289936  1.82560467 1.89552162 1.74636961 1.72279811
 1.63078313 1.89233648 2.0877607  2.20945839]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.69665684 0.61513953 0.54331585 0.55872078 0.51560728 0.49173335
 0.46201237 0.56660802 0.66207497 0.6754493 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35151568 0.35056345 0.34548169 0.34821471 0.34854366 0.34935767
 0.34948097 0.35004088 0.35096719 0.35217129]"
1.5,0.4,[1.466 1.583 1.356 1.321 1.719 1.518 1.441 1.392 1.4   1.444],[2.92  3.11  2.9   2.75  3.585 3.155 3.03  2.94  3.035 3.035],[2.  2.  1.  1.  2.  1.  2.  1.  1.5 1. ],"[1.95671355 2.17831018 1.93409718 1.83415121 2.51221269 2.1009654
 2.00930186 1.97842925 1.97150741 2.0202025 ]",[1.    1.    1.    1.    1.25  1.    1.125 1.    1.    1.   ],"[0.55326964 0.61152307 0.54218556 0.49417104 0.77456285 0.63361433
 0.57275859 0.55840453 0.5762294  0.60007799]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39932479 0.40081994 0.39984037 0.39883253 0.40049497 0.40057584
 0.40350277 0.39838224 0.39874096 0.40028448]"
1.5,0.45,[1.568 1.46  1.607 1.955 1.446 1.482 1.653 1.399 1.421 1.39 ],[3.235 2.715 3.295 4.015 3.02  2.895 3.165 2.9   2.845 2.71 ],[2. 1. 2. 2. 2. 2. 2. 2. 1. 1.],"[2.26175714 1.9370415  2.28768632 2.90599641 1.99841884 1.93767858
 2.24198447 1.91804006 1.97544964 1.80782318]",[1.    1.    1.    1.25  1.    1.    1.125 1.    1.    1.   ],"[0.6564303  0.47716357 0.67192551 0.92543397 0.55064907 0.50581548
 0.6241619  0.49732595 0.52350323 0.46235687]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ],"[0.45006964 0.45273847 0.45037367 0.44889838 0.45063665 0.45317704
 0.45012297 0.44432762 0.45153944 0.4483634 ]"
1.6,0.05,[0.326 0.231 0.282 0.207 0.248 0.268 0.302 0.265 0.292 0.237],[2.865 2.885 2.675 2.43  2.68  2.795 2.83  2.755 3.22  2.34 ],[2. 1. 1. 1. 1. 1. 1. 1. 2. 1.],"[0.92396057 0.88938176 0.74567065 0.62530601 0.72429443 0.79202947
 0.90701065 0.77759563 1.13808885 0.64921014]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.59574646 0.65369084 0.48356127 0.41890464 0.48899169 0.54976201
 0.61946121 0.52672161 0.80737901 0.40671258]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05007852 0.04980862 0.04931345 0.0512708  0.0489139  0.05033934
 0.04966049 0.05115225 0.05085854 0.04817232]"
1.6,0.1,[0.503 0.508 0.532 0.504 0.483 0.438 0.475 0.461 0.536 0.546],[2.97  2.665 2.88  2.6   2.635 2.6   2.72  2.74  2.845 3.035],[1. 1. 2. 2. 1. 1. 1. 2. 1. 2.],"[1.24887091 1.07788333 1.16985717 0.99320808 1.03398267 0.98366597
 1.06002012 1.07544458 1.22626592 1.29540829]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.71672186 0.57804507 0.62454863 0.49304146 0.54723829 0.54062245
 0.59145689 0.59621393 0.6851212  0.75776821]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10055781 0.10089925 0.10116258 0.09971315 0.09825097 0.09970036
 0.0998447  0.10011889 0.09849041 0.10057951]"
1.6,0.15000000000000002,[0.746 0.694 0.717 0.82  0.77  0.769 0.731 0.777 0.626 0.746],[2.545 2.94  2.85  3.23  2.895 3.115 3.08  2.85  2.735 3.09 ],[1. 1. 1. 2. 2. 1. 2. 1. 1. 1.],"[1.17208189 1.40549902 1.39589888 1.67749759 1.40470801 1.58542776
 1.44566581 1.4368194  1.24491434 1.52536317]",[1. 0. 1. 1. 1. 1. 0. 1. 0. 0.],"[0.48504392 0.71344092 0.65601423 0.85929385 0.64984168 0.7835079
 0.7115557  0.6655279  0.58046426 0.77072663]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15096457 0.15045202 0.14879596 0.14962686 0.1500391  0.15078422
 0.14848126 0.15104582 0.15092316 0.15106151]"
1.6,0.2,[1.031 0.834 0.804 0.902 0.879 0.957 0.933 0.799 0.967 0.789],[3.1   2.53  2.65  2.93  2.75  3.065 2.79  2.565 2.85  2.48 ],[1. 1. 1. 2. 1. 2. 1. 1. 2. 1.],"[1.75773718 1.31536952 1.3866952  1.58678996 1.44661926 1.74143398
 1.48369764 1.3459543  1.54351743 1.24848749]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.75278478 0.46371913 0.54768915 0.65243327 0.57710327 0.71987637
 0.61161268 0.50789216 0.59349667 0.46518183]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20040127 0.19833204 0.20004315 0.20221783 0.2018567  0.19758188
 0.19939183 0.19897666 0.1987956  0.20086144]"
1.6,0.25,[1.015 1.017 1.078 0.963 1.067 1.027 1.057 0.997 0.97  1.113],[2.635 2.915 2.78  2.645 2.76  2.54  2.625 2.515 2.595 2.86 ],[1.  2.  1.5 1.  1.  1.  1.  1.  2.  1. ],"[1.54453346 1.64196331 1.66858612 1.51428266 1.5963718  1.48134096
 1.54728745 1.43259705 1.45658472 1.68696393]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.52063209 0.593018   0.57055512 0.53345319 0.55808811 0.4849637
 0.52933212 0.46310731 0.48841089 0.59667798]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25013011 0.2507088  0.24840686 0.25062192 0.25126546 0.25396425
 0.24961256 0.25241876 0.24986701 0.2503172 ]"
1.6,0.3,[1.19  1.156 1.139 1.077 1.116 1.113 1.328 1.174 1.075 1.061],[2.86  2.655 2.665 2.58  2.805 2.87  2.83  2.735 2.53  2.645],[1. 1. 2. 1. 1. 2. 1. 2. 1. 1.],"[1.78620151 1.67177045 1.6146813  1.4902777  1.71199199 1.70607026
 1.87190303 1.61042567 1.54380104 1.56443264]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.56993686 0.49912031 0.46716025 0.44254943 0.55295726 0.5522757
 0.57305201 0.49293757 0.44493873 0.48888943]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29969069 0.3015639  0.30020916 0.30051062 0.29804417 0.30121865
 0.30013004 0.29698593 0.29703154 0.29938371]"
1.6,0.35000000000000003,[1.223 1.486 1.226 1.27  1.198 1.392 1.546 1.193 1.333 1.266],[2.625 3.17  2.635 2.765 2.755 2.945 3.305 2.85  2.925 2.79 ],[1.  2.  1.  1.  1.5 1.  2.  1.  2.  2. ],"[1.66613363 2.13626212 1.69155149 1.82719236 1.74876574 1.94800284
 2.22091941 1.80214293 1.87227166 1.79514813]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.46015127 0.64523063 0.51277921 0.51588621 0.50255724 0.59284506
 0.71267997 0.54562346 0.55023553 0.51618176]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35026661 0.35057223 0.34804338 0.34993802 0.35169979 0.34998324
 0.35127277 0.34863636 0.35147959 0.35095249]"
1.6,0.4,[1.461 1.373 1.5   1.27  1.306 1.369 1.355 1.28  1.224 1.26 ],[2.885 2.755 3.175 2.585 2.76  2.785 2.795 2.69  2.525 2.75 ],[2. 1. 1. 1. 1. 1. 1. 2. 1. 1.],"[1.94719978 1.78428643 2.18257707 1.73145957 1.82110082 1.80502316
 1.84331028 1.76134087 1.61766993 1.77360899]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.52596137 0.48661889 0.65268327 0.42195243 0.48987523 0.49442074
 0.53282383 0.46307031 0.40850245 0.48782865]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.3990908  0.39794456 0.39900056 0.39944464 0.39820088 0.39955972
 0.40050373 0.4012597  0.39526558 0.40081084]"
