gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.38  0.266 0.318 0.222 0.332 0.314 0.281 0.288 0.393 0.311],[3.64 3.2  3.18 3.06 2.82 3.14 3.04 2.9  3.76 3.6 ],[2. 1. 2. 2. 2. 1. 2. 2. 2. 2.],"[1.34953151 1.21408813 1.08510731 0.86497012 0.85531217 1.18974718
 0.97638355 0.89024802 1.37210599 1.32045513]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.95851345 0.94160522 0.76094228 0.64912052 0.52301847 0.86795397
 0.6724895  0.61107321 0.99501737 1.03730083]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04930325 0.04965356 0.0492844  0.04807558 0.0502489  0.04930346
 0.04916211 0.05040595 0.05189661 0.04954625]"
1.5,0.1,[0.651 0.647 0.418 0.441 0.417 0.629 0.45  0.587 0.681 0.449],[3.26 3.5  2.62 2.84 2.6  3.22 2.4  3.98 3.76 2.58],[2. 2. 1. 1. 2. 2. 1. 2. 2. 1.],"[1.43824056 1.56394295 1.00564578 1.15928316 0.91207222 1.47745571
 0.89241654 1.81686537 1.73682744 1.01611464]",[1.  1.  0.  0.  0.  1.  0.  0.  0.5 0. ],"[0.79016927 0.92773689 0.58343875 0.70065523 0.46053901 0.85069789
 0.44770951 1.19992934 1.09379522 0.5666017 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09932413 0.09899798 0.10280179 0.09836472 0.09955029 0.09995787
 0.10236341 0.09877739 0.09766091 0.09809443]"
1.5,0.15000000000000002,[0.885 0.893 0.967 0.982 0.88  0.627 0.704 0.774 0.646 0.822],[2.94 3.52 3.56 3.86 3.5  2.84 2.9  3.02 2.94 3.16],[2.  2.  2.  1.5 2.  1.5 1.5 1.  1.  1. ],"[1.42918286 1.89554171 1.92812539 2.27017555 1.91420588 1.28802372
 1.41804899 1.54704418 1.40169938 1.69281184]",[1.  1.  1.  1.  1.  0.  0.5 1.  0.  1. ],"[0.5790791  0.96718844 1.01948403 1.23894019 1.00697199 0.64619754
 0.67470915 0.73775707 0.7326674  0.87158747]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15026317 0.14989762 0.15092334 0.15027924 0.15131963 0.14754909
 0.15274373 0.15348248 0.15075982 0.14563642]"
1.5,0.2,[1.021 0.897 1.152 1.112 0.844 0.78  0.866 0.832 0.981 1.002],[3.5  3.   3.72 3.56 2.56 2.72 2.96 2.92 3.14 3.1 ],[2.  2.  2.  2.  1.  1.  2.  1.  2.  1.5],"[1.88907458 1.52489451 2.1476543  2.10553423 1.36879222 1.4188229
 1.50677805 1.48400073 1.73761438 1.66959062]",[1.   1.   1.25 1.   1.   0.   1.   0.5  1.25 1.  ],"[0.86054919 0.61473826 0.98464649 0.95138873 0.51542796 0.61972255
 0.60014719 0.65353076 0.71271447 0.70271562]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.25 0.  ],"[0.19740249 0.19928401 0.19990468 0.19920658 0.20144178 0.19838297
 0.19649864 0.19847328 0.19825635 0.20190109]"
1.5,0.25,[1.03  1.397 1.126 0.921 1.08  0.984 1.143 1.035 1.223 1.269],[2.74 3.62 2.72 2.48 2.84 2.24 3.16 2.96 3.18 3.5 ],[1. 2. 1. 1. 1. 1. 2. 1. 2. 2.],"[1.56249559 2.32951016 1.62768523 1.30854423 1.74417478 1.30853711
 1.84921096 1.7145614  1.90374314 2.13276926]",[1.   1.25 1.   0.5  1.   1.   1.   1.   1.25 1.25],"[0.54828661 0.91784513 0.51663055 0.45073173 0.61240232 0.35400586
 0.72065628 0.6386532  0.71147263 0.84322336]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.25  0.125],"[0.2493921  0.24880858 0.25128018 0.25033775 0.25114768 0.24633431
 0.25028691 0.25052632 0.24996343 0.24937017]"
1.5,0.3,[1.455 0.965 1.166 1.429 1.589 1.206 1.262 1.667 1.179 1.432],[3.62 2.54 2.72 3.14 3.88 2.5  2.98 4.08 2.68 3.38],[2.  2.  2.  2.  2.  1.  1.  2.  1.5 1.5],"[2.25943096 1.41374985 1.70936678 2.03641221 2.58899377 1.61278458
 1.95291992 2.68267522 1.62268008 2.17369663]",[1.    1.    1.    1.25  1.    1.    1.    1.125 1.    1.   ],"[0.8557542  0.40291    0.51497225 0.60129502 0.99830285 0.47554703
 0.678125   1.02482366 0.49717227 0.7955521 ]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.   ],"[0.29772177 0.29705072 0.30027933 0.30274592 0.29930454 0.30089444
 0.30191776 0.30233614 0.30241151 0.29676111]"
1.5,0.35000000000000003,[1.03  1.627 1.353 1.571 1.462 1.365 1.214 1.173 1.292 1.446],[2.4  3.62 3.   3.54 3.36 3.42 2.48 2.66 3.08 2.98],[1.  2.  1.  2.  2.  1.5 1.  2.  2.  1. ],"[1.46934126 2.37745713 1.96890583 2.36785849 2.19213078 2.16265245
 1.5434142  1.59101972 1.87323236 1.98980687]",[1.    1.25  1.    1.125 1.25  1.    1.    1.    1.    1.   ],"[0.4389958  0.76652939 0.63638019 0.77257162 0.72113468 0.79933458
 0.39045765 0.41273847 0.56486811 0.59174535]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.34893393 0.34736033 0.34847497 0.35227054 0.34666667 0.34821312
 0.35078457 0.34372564 0.34933506 0.3559843 ]"
1.5,0.4,[1.524 1.618 1.643 1.706 1.326 1.331 1.532 1.417 1.485 1.422],[3.16 3.64 3.5  3.66 3.12 2.98 3.24 2.74 3.02 3.04],[2.  2.  2.  2.  1.5 1.5 2.  1.  1.5 2. ],"[2.13202293 2.44015989 2.40323697 2.48941111 1.98224179 1.90923482
 2.1710747  1.8933722  2.12861773 2.06814667]",[1.    1.125 1.    1.25  1.    1.    1.125 1.    1.    1.25 ],"[0.60303855 0.78556883 0.75412565 0.803166   0.60112851 0.5758315
 0.6245769  0.4558722  0.59102008 0.59156952]",[0.    0.125 0.    0.    0.    0.    0.125 0.    0.    0.   ],"[0.41053447 0.39795684 0.39677054 0.40189299 0.40283875 0.39720615
 0.39981109 0.40590508 0.40214687 0.39956942]"
1.5,0.45,[1.896 1.473 1.348 1.477 1.146 1.138 1.611 1.62  0.94  1.747],[3.92 3.16 2.8  2.88 2.46 2.3  3.4  3.1  2.26 3.56],[2.  1.5 2.  2.  1.  1.  2.  2.  2.  2. ],"[2.72193872 2.09377626 1.8983772  1.92827883 1.56315359 1.41438317
 2.3582438  2.2173977  1.31409287 2.486197  ]",[1.   1.   1.   1.25 1.   1.   1.   1.25 1.   1.25],"[0.87656031 0.62421571 0.50627759 0.48670657 0.39070242 0.34024254
 0.68883462 0.59772485 0.287296   0.73701731]",[0.    0.    0.    0.25  0.    0.    0.    0.125 0.    0.25 ],"[0.45103815 0.44897369 0.45114943 0.45028719 0.45980871 0.44758621
 0.45339384 0.45162534 0.42813765 0.44800547]"
1.6,0.05,[0.226 0.28  0.301 0.317 0.247 0.357 0.234 0.4   0.273 0.168],[3.   2.9  2.92 2.56 2.94 3.12 2.52 3.08 3.12 2.48],[2.  1.  1.5 1.  1.  2.  1.  2.  2.  1. ],"[0.82656279 0.92644749 0.96158944 0.88778242 0.92827054 1.02599725
 0.59721219 1.1509639  0.92209444 0.61516038]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.60932646 0.64183811 0.6546473  0.55555586 0.64383206 0.67086542
 0.36833036 0.75951004 0.64806612 0.44744554]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04782467 0.04865772 0.04867754 0.05361165 0.05152061 0.049974
 0.05400343 0.0509468  0.04906438 0.04930704]"
