gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.243 0.391 0.339 0.315 0.24  0.22  0.217 0.294 0.284 0.417],[2.54 3.98 3.64 3.26 2.66 2.68 2.58 3.1  2.7  4.02],[1.5 2.  2.  2.  2.  1.  1.  2.  2.  2. ],"[0.6778462  1.50267569 1.37337479 1.11011772 0.67614779 0.791023
 0.75340019 1.03544666 0.68706688 1.62658764]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.43979932 1.1379003  1.03444901 0.79263237 0.42149935 0.57413335
 0.55814628 0.74841541 0.40456688 1.19695873]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05414634 0.0498766  0.05101093 0.05090584 0.05112474 0.04766087
 0.04991681 0.04612974 0.05300128 0.05081807]"
1.5,0.1,[0.586 0.444 0.519 0.59  0.637 0.535 0.713 0.465 0.608 0.521],[3.5  3.26 3.5  3.4  3.68 2.7  3.54 2.54 3.24 2.86],[1.  1.5 2.5 2.  2.  2.  2.  1.  2.  1.5],"[1.57382788 1.39573708 1.35017294 1.48878669 1.76066875 1.13507213
 1.70573355 0.9732082  1.39609122 1.18327755]",[0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],"[1.00499487 0.90407692 0.81710653 0.86508552 1.13905986 0.55460338
 0.97674429 0.51697285 0.78730216 0.65486446]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09744678 0.09989301 0.10237781 0.10159067 0.10088044 0.09900398
 0.10098659 0.1009144  0.10107084 0.10083386]"
1.5,0.15000000000000002,[0.867 0.661 0.613 0.85  0.726 0.801 0.718 0.994 0.919 0.946],[3.24 2.58 2.74 3.22 2.98 3.06 2.76 3.5  3.82 3.8 ],[1.5 1.  2.  2.  2.  2.  2.  2.  3.  3. ],"[1.65984499 1.18594327 1.21852105 1.71290409 1.3462607  1.48836058
 1.30688099 2.07624708 1.95325131 1.96432583]","[1.      0.      0.      1.09375 0.5     1.      1.      1.      1.
 1.25   ]","[0.8144739  0.50979092 0.58793756 0.81077274 0.65730074 0.73486448
 0.57496692 1.03638624 1.04870541 1.0311813 ]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125],"[0.14692321 0.15165722 0.15152062 0.1521252  0.14751553 0.15257048
 0.15156042 0.1464281  0.15140739 0.14591734]"
1.5,0.2,[0.954 0.969 1.014 0.907 0.933 0.823 0.775 1.009 0.759 0.914],[2.8  2.64 3.18 3.04 2.92 2.78 2.58 3.5  2.2  3.1 ],[2.  1.  2.  1.5 2.  1.  1.  2.  2.  2. ],"[1.5090301  1.57269603 1.87669363 1.65773103 1.54317824 1.46790522
 1.28542724 1.87258084 1.02931038 1.63458006]",[1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],"[0.57510798 0.62955638 0.81766776 0.74394197 0.60728957 0.67787592
 0.51040282 0.8390701  0.27556038 0.71391356]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20151097 0.20138942 0.2013665  0.19771779 0.20175131 0.19887311
 0.20258539 0.19789554 0.19067797 0.19908013]"
1.5,0.25,[0.921 1.283 1.308 1.097 1.359 0.92  1.254 1.472 0.943 0.842],[2.78 3.42 3.46 3.06 3.54 2.62 3.36 3.82 2.88 2.28],[2.  2.  2.  1.  1.5 1.5 2.  2.  1.  1.5],"[1.50909996 2.1035874  2.1417665  1.83197382 2.2831814  1.38425904
 2.03130111 2.41950011 1.64039429 1.1498827 ]",[1.    1.    1.125 1.    1.    1.    1.    1.    0.5   1.   ],"[0.51605308 0.82782568 0.85168959 0.68970819 0.92865504 0.46800904
 0.78706283 0.98253355 0.67718872 0.31511708]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.25419355 0.25044705 0.24688096 0.24660557 0.24892806 0.24950978
 0.24779062 0.24860491 0.24759305 0.22400756]"
1.5,0.3,[1.466 1.411 1.569 1.317 1.03  1.176 1.414 1.205 0.985 1.192],[3.56 3.48 3.82 3.2  2.72 2.62 3.34 2.96 2.56 3.16],[2. 2. 2. 2. 2. 2. 1. 2. 1. 2.],"[2.27955415 2.19082394 2.57539692 2.06209318 1.47291975 1.60334136
 2.24983936 1.73028318 1.42533076 1.87926196]",[1.    1.    1.125 1.    1.25  1.    1.    1.    1.    1.125],"[0.82582368 0.80859249 0.95196553 0.71376066 0.43295881 0.45381011
 0.81205738 0.56819333 0.4342956  0.65484302]",[0.    0.    0.125 0.    0.25  0.    0.    0.    0.    0.125],"[0.30459283 0.30010353 0.30108202 0.30165926 0.30668414 0.3102381
 0.30170319 0.30283821 0.3106675  0.29848218]"
1.5,0.35000000000000003,[0.831 1.272 1.475 1.312 1.251 1.412 1.527 1.164 1.64  1.081],[1.88 2.92 3.18 2.78 3.04 3.04 2.96 2.74 3.38 2.26],[1.  1.  2.  2.  1.5 2.  1.  1.  2.  1. ],"[1.04885487 1.87252484 2.1346437  1.80317015 1.88916734 1.96472344
 2.08477958 1.73040338 2.30988496 1.39217901]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.20822987 0.56996625 0.64578628 0.45563109 0.59283433 0.56487969
 0.59103446 0.52513483 0.73207735 0.32777472]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.35483871 0.34097334 0.35561324 0.35674755 0.3547486  0.35073178
 0.35257103 0.345701   0.34997257 0.34820867]"
1.5,0.4,[1.36  1.444 1.191 0.985 1.218 1.244 1.413 1.922 1.113 1.523],[2.82 3.3  2.62 2.16 2.64 2.78 2.98 4.   2.46 2.98],[1. 2. 2. 1. 2. 1. 2. 2. 1. 2.],"[1.91384789 2.12444269 1.60491864 1.3240335  1.68388632 1.73763794
 1.96647542 2.82982714 1.52215602 2.02978932]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.52964867 0.64666315 0.42388348 0.29740752 0.42193319 0.50925903
 0.55151448 0.93783495 0.38540797 0.55298268]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39797508 0.39956097 0.40708112 0.39902433 0.40153734 0.40640177
 0.40597051 0.39873983 0.39964095 0.4026519 ]"
1.5,0.45,[1.291 1.513 1.324 1.512 1.416 1.684 1.628 1.769 1.164 1.333],[2.46 3.02 2.62 3.12 2.76 3.4  3.26 3.46 2.32 2.9 ],[1. 2. 1. 2. 2. 2. 2. 1. 2. 2.],"[1.69777647 2.06043677 1.77839101 2.11973881 1.80132194 2.38117213
 2.26345331 2.53578311 1.44059581 1.88996278]",[1.    1.    1.    1.    1.125 1.    1.    1.    1.    1.   ],"[0.36043272 0.54863989 0.45115468 0.62004154 0.44874382 0.6881985
 0.63876581 0.75079654 0.30606456 0.53680848]",[0.    0.    0.    0.    0.125 0.    0.    0.    0.    0.   ],"[0.45545852 0.4505     0.44850451 0.450724   0.44599156 0.44710136
 0.43820762 0.45023955 0.43350717 0.44633173]"
1.6,0.05,[0.26  0.202 0.324 0.196 0.304 0.234 0.171 0.288 0.256 0.292],[1.86 2.5  3.   2.72 3.14 2.6  2.56 3.24 2.76 3.16],[1.  1.  2.  1.  2.  1.  1.  2.  2.  1.5],"[0.45988665 0.64664826 0.90730477 0.79281639 1.09582872 0.6531956
 0.64824018 1.08688589 0.76984455 1.00666013]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.21715105 0.41837678 0.61932504 0.58572166 0.79789049 0.42710185
 0.46872846 0.77657827 0.51323322 0.71983884]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04859172 0.05147541 0.05088227 0.04653402 0.05173434 0.05004766
 0.04896362 0.04952893 0.04994346 0.04927915]"
