gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.265 0.25  0.38  0.213 0.255 0.196 0.25  0.24  0.393 0.353],[3.36 3.12 2.68 2.98 3.18 2.66 2.54 2.58 4.28 3.06],[2.  1.  1.  2.  2.  1.  2.  1.5 2.  2. ],"[1.16650856 0.98799968 0.79156528 0.74642867 1.01901173 0.65044745
 0.71422865 0.65162141 1.76371962 0.97416546]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.88954079 0.76606609 0.43750278 0.50775679 0.74640431 0.46958808
 0.43936537 0.41531526 1.36016615 0.63845257]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05097349 0.04869565 0.04505814 0.04594017 0.04954146 0.04703161
 0.05275468 0.04852287 0.05082999 0.05123145]"
1.5,0.1,[0.407 0.619 0.6   0.648 0.53  0.839 0.705 0.624 0.41  0.521],[2.26 3.64 3.8  3.48 3.72 4.26 3.86 3.12 2.7  3.22],[1.  2.  2.  2.  2.  2.  2.  1.5 1.  1.5],"[0.87703553 1.56840814 1.7185282  1.62463181 1.5490167  2.25299644
 1.79865025 1.45245316 1.01711835 1.35943793]",[0.   0.   0.   1.   0.   1.25 1.   0.5  0.   0.  ],"[0.46930116 0.98944574 1.11597937 0.95184739 1.00166318 1.39133751
 1.08147984 0.82921219 0.58542646 0.85301215]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.0986855  0.09946612 0.10301085 0.09973211 0.09843271 0.10028187
 0.10134757 0.09965026 0.10008424 0.0969498 ]"
1.5,0.15000000000000002,[0.825 0.622 0.865 0.695 0.855 0.929 0.675 0.669 0.88  0.819],[3.16 2.96 3.38 2.92 3.46 3.64 2.88 2.44 3.16 3.04],[1.  2.  2.5 1.  2.  2.  2.  2.  2.  2. ],"[1.70622103 1.33509164 1.58390206 1.46048794 1.6755452  1.94292747
 1.2682751  0.98156223 1.54777053 1.47590928]",[0.    1.    1.    0.5   1.    1.125 0.    0.5   1.    1.   ],"[0.90859163 0.66277719 0.76396554 0.75739834 0.86665971 1.03019309
 0.61550898 0.37435031 0.69159866 0.67054795]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14921977 0.14575042 0.14894552 0.14808716 0.14986579 0.14876222
 0.15089009 0.14990817 0.15503306 0.14966485]"
1.5,0.2,[1.037 1.216 0.974 1.052 0.945 0.903 1.082 1.053 0.963 1.097],[3.44 3.62 3.2  2.52 3.22 2.54 3.32 3.5  2.8  3.36],[2.  2.  2.  1.5 2.5 1.  1.  2.  2.  2. ],"[1.84923014 2.17751337 1.7146661  1.52937332 1.70491353 1.41711931
 1.92156074 1.96510187 1.53518473 1.97410292]",[1.   1.25 1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.87235514 0.94506708 0.70267391 0.48253372 0.68332173 0.55380388
 0.87479805 0.96224542 0.61252604 0.88385024]",[0.   0.25 0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.19774011 0.20320427 0.20219966 0.20196436 0.20673461 0.19689611
 0.19929786 0.2028278  0.20155489 0.19817773]"
1.5,0.25,[1.387 1.159 0.947 1.073 1.27  1.247 1.024 1.131 0.916 1.4  ],[3.56 2.98 2.88 2.76 3.6  3.24 2.86 3.28 2.82 3.64],[2.  1.  1.5 1.  2.  1.  1.  2.  2.  2. ],"[2.29536166 1.84532579 1.59816375 1.61733512 2.16996834 2.02823801
 1.61251169 1.97614386 1.48424303 2.33930735]","[1.      1.      1.      1.      1.      1.      1.      1.      0.5
 1.21875]","[0.91728549 0.70254015 0.62215301 0.54282096 0.90252815 0.8113862
 0.60582224 0.75614386 0.58411608 0.94625681]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.24846896 0.25169563 0.25313666 0.25320909 0.25030986 0.24873055
 0.25482625 0.25278383 0.24765265 0.25013942]"
1.5,0.3,[1.09  1.405 1.574 1.268 1.285 0.998 1.198 1.309 1.304 1.214],[2.98 3.2  3.6  3.08 3.16 2.42 2.74 2.76 3.42 2.78],[2.  1.5 2.  2.  2.  1.  1.5 1.5 1.5 2. ],"[1.70336535 2.10950932 2.45193097 1.90295257 1.94214839 1.42162491
 1.76351594 1.82375783 2.12901308 1.75393318]",[1.    1.    1.25  1.    1.125 1.    1.    1.    1.    1.   ],"[0.60481555 0.70068608 0.84543561 0.66706389 0.60885249 0.42828994
 0.5610843  0.54119923 0.79474551 0.51948249]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ],"[0.30092025 0.29937337 0.29903148 0.29724499 0.30167504 0.30363707
 0.29947539 0.30337175 0.3010147  0.29991891]"
1.5,0.35000000000000003,[1.21  1.084 1.346 1.139 1.221 1.507 1.254 1.427 1.855 1.255],[2.5  2.58 2.92 2.32 2.7  3.4  2.6  3.14 4.04 3.  ],[1. 1. 2. 1. 1. 2. 1. 2. 2. 2.],"[1.56449258 1.55412251 1.87743479 1.475326   1.69489462 2.2199264
 1.66705691 2.11262396 2.88004043 1.86521137]",[1.    1.    1.125 1.    1.    1.25  1.    1.    1.    1.   ],"[0.40500039 0.47836079 0.55278635 0.35212287 0.48889853 0.68502405
 0.45291629 0.66321478 1.00768447 0.59308857]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34675732 0.34881481 0.35295836 0.35492958 0.34811691 0.34350207
 0.35152621 0.34629915 0.34830833 0.349239  ]"
1.5,0.4,[1.201 1.608 1.792 1.265 1.977 1.378 1.018 1.94  1.343 1.373],[2.62 3.54 3.96 2.74 4.12 3.1  2.48 4.1  2.62 2.98],[2. 2. 2. 1. 2. 1. 1. 3. 1. 1.],"[1.68737716 2.36820311 2.81284543 1.80924213 2.93781716 2.05632444
 1.39842223 2.90105012 1.74447853 1.96324238]",[1.25 1.25 1.   1.   1.25 1.   1.   2.   1.   1.  ],"[0.4304631  0.71570311 0.93672238 0.49205951 0.99765114 0.65159788
 0.36842223 0.91684602 0.45305275 0.59720722]",[0.25 0.25 0.   0.   0.25 0.   0.   0.25 0.   0.  ],"[0.39269663 0.4032323  0.39743189 0.40090546 0.39902993 0.39577723
 0.39313725 0.40301028 0.40280241 0.39919309]"
1.5,0.45,[1.565 1.459 1.701 1.669 1.482 1.502 1.737 1.275 1.699 1.448],[3.32 3.06 3.3  3.42 2.96 3.22 3.38 2.36 3.48 2.86],[1.5 2.  2.  2.  1.  2.  2.  1.  2.  2. ],"[2.26679659 2.07129089 2.3296717  2.40079216 2.023592   2.20113347
 2.35394022 1.5904445  2.49515923 1.91398243]",[1.   1.   1.25 1.   1.   1.25 1.25 1.   1.25 1.  ],"[0.67168062 0.57397644 0.63661506 0.68390251 0.5572004  0.62962102
 0.63594584 0.34099138 0.73267022 0.48834278]",[0.    0.    0.25  0.    0.    0.125 0.    0.    0.    0.   ],"[0.44952292 0.4506386  0.44584838 0.45085866 0.44972723 0.45009022
 0.45347558 0.44523549 0.449037   0.45020408]"
1.6,0.05,[0.225 0.267 0.339 0.258 0.243 0.255 0.367 0.298 0.21  0.176],[2.62 2.6  3.2  2.42 3.14 3.22 3.02 2.94 2.36 2.44],[1. 1. 2. 2. 1. 1. 2. 1. 1. 2.],"[0.70539239 0.79688841 1.18539307 0.67236683 1.06617795 1.11770066
 0.98465468 0.97662848 0.61976026 0.49748751]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.49896172 0.51270384 0.84045288 0.3966637  0.79287717 0.85841355
 0.6171498  0.6795423  0.43077588 0.31627292]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04944242 0.05307534 0.05007425 0.0557041  0.05109659 0.049414
 0.05325645 0.05099614 0.04736229 0.05108903]"
