gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.217 0.291 0.286 0.243 0.28  0.303 0.311 0.273 0.319 0.306],[2.32 3.5  2.62 2.52 3.78 2.82 3.32 3.6  3.   3.24],[1.  2.  2.  1.5 2.  1.5 2.  2.  2.  2. ],"[0.54276874 1.27257953 0.73708643 0.74331942 1.35943632 0.90225154
 1.08027734 1.18465045 0.85322624 1.10261355]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.3109914  0.93163471 0.44911768 0.46376864 1.06677031 0.59369685
 0.75199609 0.88235553 0.54681999 0.80828372]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05791723 0.05070823 0.05140737 0.05244073 0.05013216 0.05202036
 0.05086051 0.05036364 0.04784843 0.0484116 ]"
1.5,0.1,[0.51  0.519 0.554 0.632 0.462 0.648 0.453 0.597 0.598 0.638],[3.   3.1  2.56 3.72 2.9  3.16 2.4  3.04 3.1  3.18],[2. 1. 1. 2. 2. 1. 1. 2. 1. 2.],"[1.21149863 1.31676266 1.14202327 1.78616331 1.08916585 1.51697821
 0.97898188 1.20415778 1.39588206 1.44102357]",[0.  0.  0.  0.  0.  1.  0.  0.  0.  0.5],"[0.68528281 0.8033984  0.60808773 1.10404539 0.6215096  0.88067328
 0.48710688 0.66255133 0.83654734 0.79129701]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09884638 0.09913702 0.10252294 0.09991222 0.1028014  0.1015993
 0.09217661 0.10060699 0.10078967 0.10144476]"
1.5,0.15000000000000002,[0.694 0.923 0.81  0.776 0.839 0.764 0.768 1.037 0.779 0.614],[2.94 3.42 3.26 3.12 3.04 2.98 3.48 3.72 2.98 2.46],[2.  2.  2.  2.  1.  1.  1.  2.5 1.5 1. ],"[1.3625018  1.82246194 1.66017014 1.61678859 1.62831101 1.49787121
 1.66994826 2.03250048 1.49917177 1.13666841]",[0.5  1.   1.   1.   1.   1.   0.   1.25 0.   0.  ],"[0.67508481 0.90991312 0.84238327 0.82703762 0.79157273 0.71060558
 0.93131545 1.01810106 0.73264345 0.48121919]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.  ],"[0.14882495 0.15116141 0.14980059 0.15036803 0.14979741 0.15046575
 0.15171891 0.14802369 0.14689995 0.15230346]"
1.5,0.2,[0.755 0.982 1.015 0.97  0.789 0.948 1.243 1.29  0.835 0.809],[2.34 2.78 3.22 3.3  2.98 2.96 3.86 3.74 2.7  2.44],[1.  1.  1.  2.  2.  1.5 2.  2.  1.  2. ],"[1.18710058 1.50074678 1.79706064 1.89904642 1.37787169 1.66456246
 2.34949967 2.30860359 1.439676   1.2311066 ]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.43765234 0.57418428 0.82579111 0.87732767 0.57017638 0.72353218
 1.12279435 0.99312995 0.59510935 0.40999332]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.  ],"[0.19574508 0.20287187 0.19827128 0.19949156 0.18894009 0.19549399
 0.20077105 0.19924659 0.19848636 0.20173305]"
1.5,0.25,[1.105 1.266 1.344 1.427 1.297 1.021 1.091 1.328 1.119 0.869],[3.18 3.5  3.2  3.4  3.38 2.9  2.92 3.62 2.9  2.36],[1.  1.5 2.  2.  2.  1.  1.5 2.  2.  1. ],"[1.86850633 2.11367104 2.03665304 2.2446777  2.02481911 1.70924989
 1.76831331 2.15303789 1.72875541 1.29603373]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.73781786 0.88465737 0.72801535 0.8368066  0.77930641 0.62173035
 0.65739046 0.89329057 0.58482963 0.39671733]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24794823 0.25027187 0.24852071 0.25056304 0.24867214 0.24892499
 0.24835757 0.24950986 0.24962519 0.25597805]"
1.5,0.3,[1.182 1.262 1.061 1.077 1.32  1.025 1.253 1.069 1.018 0.897],[2.96 3.2  2.56 2.52 3.36 2.5  2.92 2.26 2.38 1.96],[2. 2. 2. 1. 2. 2. 1. 1. 1. 1.],"[1.79943157 1.94793394 1.46086969 1.55726492 2.1703034  1.43066838
 1.86743484 1.39545142 1.3850173  1.13598758]",[1.125 1.25  1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.58363079 0.64812437 0.40975641 0.48707937 0.74853094 0.40621038
 0.62566482 0.33170142 0.36642355 0.25426883]",[0.125 0.125 0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.29767852 0.30498974 0.29986053 0.29972094 0.30050693 0.29960762
 0.29895497 0.29567054 0.30231278 0.30792079]"
1.5,0.35000000000000003,[1.547 1.299 1.333 1.272 1.418 0.977 1.365 1.27  1.218 1.561],[3.34 2.84 2.88 2.86 3.22 2.18 3.12 2.84 2.64 3.24],[2. 2. 1. 2. 2. 1. 2. 1. 2. 2.],"[2.29336847 1.82050966 1.87468018 1.84869011 2.03264015 1.25247973
 2.01622303 1.76902033 1.6138258  2.26028244]",[1.125 1.    1.    1.    1.    1.    1.25  1.    1.    1.25 ],"[0.71264582 0.51614931 0.55447876 0.55708733 0.64849953 0.26527269
 0.61335193 0.52999689 0.41626721 0.71819748]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.125],"[0.35402503 0.34804247 0.35320465 0.35092573 0.34572805 0.35096931
 0.35631244 0.35440522 0.34877368 0.35510452]"
1.5,0.4,[1.472 1.372 1.166 1.633 1.642 1.432 1.543 1.286 1.342 1.524],[3.18 2.82 2.46 3.4  3.5  3.14 3.26 2.62 2.92 3.16],[2.  2.  1.  2.  2.  1.5 1.  1.  2.  2. ],"[2.15783522 1.88660798 1.565867   2.34840095 2.40066599 2.11228087
 2.23475609 1.74462313 1.90950592 2.07749769]",[1.   1.25 1.   1.25 1.   1.   1.   1.   1.   1.25],"[0.63988478 0.47973298 0.39346954 0.68910408 0.74604196 0.62575743
 0.71246239 0.45445712 0.51925202 0.58486585]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.25],"[0.40154966 0.40267413 0.40250784 0.39332882 0.3993218  0.40072758
 0.39958428 0.39884051 0.40361209 0.39646712]"
1.5,0.45,[1.783 1.387 1.563 1.761 1.387 1.578 1.37  1.459 1.496 1.276],[3.46 2.88 3.18 3.68 2.96 3.1  2.98 2.88 2.94 2.64],[2.  1.5 2.  2.  2.  1.  2.  2.  1.  1. ],"[2.48482944 1.86636924 2.17115615 2.56141467 1.86375553 2.20148413
 1.95652861 1.98601146 1.9773187  1.69652158]",[1.   1.   1.   1.25 1.25 1.   1.   1.   1.   1.  ],"[0.72346958 0.51592978 0.60555068 0.76678577 0.48706241 0.60567358
 0.52694365 0.48964427 0.52370542 0.43084287]",[0.    0.    0.    0.125 0.25  0.    0.    0.    0.    0.   ],"[0.45116118 0.44040078 0.44821318 0.44647541 0.44995926 0.44978143
 0.45215764 0.45555236 0.45393068 0.44670905]"
1.6,0.05,[0.234 0.305 0.256 0.292 0.317 0.215 0.218 0.162 0.311 0.34 ],[3.22 3.02 2.52 2.48 3.28 2.7  2.9  2.94 2.82 3.34],[2.  2.  1.  1.5 2.  2.  1.  2.  1.  2. ],"[1.08210971 1.00320958 0.64574665 0.57919152 1.05641583 0.77256152
 0.84265715 0.56475429 0.81385223 1.25501978]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.81269076 0.70761876 0.40262165 0.3013009  0.73744611 0.54274096
 0.61753508 0.40803554 0.50788177 0.90285181]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05035887 0.05002236 0.04917513 0.05181347 0.05254425 0.05152444
 0.05031738 0.04768786 0.0505184  0.0484986 ]"
