gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.26  0.265 0.422 0.305 0.238 0.225 0.212 0.174 0.413 0.325],[3.34 3.36 3.72 3.2  2.94 2.58 2.02 2.02 3.34 3.14],[2.  1.  2.  2.  1.5 1.  1.  1.  2.  2. ],"[1.11914495 1.19835296 1.38008346 1.05224493 0.80385953 0.77398575
 0.42243563 0.5091992  1.07815064 0.95546457]",[0.  0.  0.5 0.  0.  0.  0.  0.  0.  0. ],"[0.86970526 0.92925017 0.96943405 0.74476446 0.56370328 0.55797501
 0.20938875 0.33947752 0.66666626 0.63241769]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04863681 0.04920597 0.04940576 0.05273164 0.04865848 0.04762716
 0.05058824 0.04963469 0.05278311 0.04762916]"
1.5,0.1,[0.44  0.407 0.554 0.623 0.768 0.596 0.461 0.295 0.596 0.43 ],[2.66 2.72 3.08 3.82 4.1  3.38 2.58 1.8  2.82 2.78],[2.  1.  1.5 2.  2.  2.  1.  1.  2.  1. ],"[0.92192278 0.97220626 1.28821723 1.77027625 2.07644114 1.43733825
 0.99731644 0.48114573 1.20899438 1.0325334 ]",[0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],"[0.48317278 0.58193282 0.74959541 1.12749793 1.27976999 0.83351989
 0.50803788 0.19958323 0.60321313 0.5979875 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.093702   0.09648701 0.1001551  0.09969836 0.10169885 0.10263802
 0.0979157  0.0776699  0.10224654 0.10117379]"
1.5,0.15000000000000002,[0.808 0.68  0.858 0.875 1.049 0.756 0.794 0.976 1.053 0.564],[2.9  2.82 3.82 3.7  3.62 3.04 3.26 3.18 3.78 2.64],[2.  1.5 3.  1.5 2.  2.  2.  2.  2.  2. ],"[1.39134648 1.24816516 1.8240885  2.00834578 1.99288764 1.53205727
 1.66507617 1.67190273 2.17838011 1.12752643]",[1.    0.5   1.25  1.    1.25  0.5   0.5   1.125 1.    1.   ],"[0.6248084  0.59244007 0.96907874 1.10266707 0.96504096 0.78402993
 0.90040088 0.77081386 1.12021726 0.51102253]",[0.    0.    0.25  0.    0.25  0.    0.    0.125 0.    0.   ],"[0.15473656 0.1499015  0.15031892 0.14978519 0.15107831 0.14926527
 0.15030405 0.14826848 0.14959495 0.1506346 ]"
1.5,0.2,[1.252 1.019 1.062 0.805 1.379 0.702 0.929 0.741 0.857 0.829],[3.32 3.24 3.24 2.24 4.04 2.46 3.02 2.46 2.66 2.74],[1. 1. 2. 1. 2. 1. 2. 2. 1. 2.],"[2.16736156 1.9090968  1.80099411 1.18165125 2.556557   1.20367954
 1.60873837 1.1944965  1.38902812 1.31523638]",[1.    1.    1.    1.    1.125 1.    1.    1.    1.    1.   ],"[0.94883861 0.87104993 0.73752243 0.37711634 1.19816833 0.44575473
 0.68621395 0.42535587 0.54367656 0.48875201]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19984514 0.20060557 0.19931572 0.19449981 0.20063225 0.19743645
 0.19813074 0.19103568 0.19670086 0.19222097]"
1.5,0.25,[1.132 1.17  1.207 1.09  1.131 1.126 1.1   0.916 1.006 1.227],[3.   3.04 3.18 2.94 2.84 2.88 2.9  2.74 2.94 3.38],[1.  1.  2.  2.  1.5 2.  1.5 2.  2.  2. ],"[1.82901482 1.87320519 1.92453074 1.6992709  1.69399086 1.76241812
 1.66098082 1.41113175 1.59351293 2.0114979 ]",[1.    1.    1.25  1.    1.    1.    1.    1.    1.    1.125],"[0.68202019 0.68395226 0.69794871 0.60793301 0.58257972 0.6460668
 0.61236754 0.50234268 0.56708715 0.80237681]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.25132702 0.24708866 0.25418994 0.24483823 0.24585388 0.24984472
 0.24612694 0.24830527 0.23642465 0.24905437]"
1.5,0.3,[1.527 1.117 1.196 1.418 1.776 1.157 1.132 1.245 1.546 1.168],[3.76 2.78 2.88 3.24 4.08 2.7  2.9  3.28 3.54 3.04],[2. 1. 1. 1. 2. 2. 2. 2. 2. 1.],"[2.4539099  1.72621294 1.80260838 2.11216095 2.76770524 1.67128559
 1.67776129 2.00460828 2.37035682 1.91133217]",[1.25 1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.91820189 0.58417315 0.57364354 0.71448517 1.01471696 0.50609638
 0.57025153 0.74855969 0.86442298 0.67983193]",[0.25 0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.29819585 0.30170601 0.29649078 0.29853161 0.29755892 0.30148701
 0.30237741 0.30464726 0.29991239 0.30310298]"
1.5,0.35000000000000003,[1.634 1.482 1.515 1.36  1.309 1.302 1.276 1.171 1.648 1.154],[3.12 3.24 3.66 3.14 2.88 2.88 3.1  2.7  3.48 2.44],[1.  2.  2.  2.  2.  1.  2.  1.5 2.  2. ],"[2.25143462 2.14467449 2.4147938  1.99018273 1.89085444 1.80293217
 1.86666307 1.61703417 2.43565465 1.57211482]",[1.    1.    1.    1.    1.    1.    1.    1.    1.125 1.   ],"[0.69680937 0.6815446  0.90965342 0.62458214 0.5445434  0.55304936
 0.59447313 0.48930468 0.78262242 0.36813044]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35053536 0.35173489 0.35040059 0.35251137 0.34972033 0.34205949
 0.35128336 0.35206552 0.35189406 0.34368737]"
1.5,0.4,[1.21  1.432 1.121 1.63  1.592 1.294 1.882 1.398 1.512 1.257],[2.64 2.96 2.34 3.08 3.22 2.78 3.68 2.94 3.24 2.7 ],[1.  1.5 1.  1.5 2.  2.  2.  1.5 2.  2. ],"[1.65496628 1.92605158 1.4938922  2.11987822 2.21983376 1.76633563
 2.55176716 1.94818833 2.18359378 1.76085901]",[1.    1.    1.    1.    1.25  1.125 1.25  1.    1.    1.125],"[0.44892624 0.55009455 0.35029845 0.55097197 0.61493141 0.45377215
 0.77518025 0.57394517 0.64718265 0.45334436]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.3955463  0.39780931 0.3982902  0.4025476  0.40677966 0.40047178
 0.3977605  0.3984546  0.3935198  0.40282949]"
1.5,0.45,[1.437 1.488 1.244 1.32  1.473 1.742 1.498 1.868 1.548 1.269],[3.04 3.16 2.76 2.9  2.9  3.76 3.12 3.66 3.16 2.66],[2. 1. 2. 1. 2. 2. 1. 2. 2. 2.],"[2.08950552 2.11932516 1.6784905  1.85672426 1.99649304 2.54036178
 2.13470855 2.6763357  2.20541962 1.67561661]",[1.125 1.    1.125 1.    1.125 1.125 1.    1.    1.    1.   ],"[0.5551769  0.63349508 0.42179128 0.53955629 0.51702527 0.7887651
 0.62314605 0.80044581 0.58529267 0.39022598]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ],"[0.45088888 0.45006309 0.44067452 0.45255055 0.4571296  0.45151363
 0.44755357 0.44684131 0.44466578 0.47035957]"
1.6,0.05,[0.266 0.377 0.202 0.254 0.244 0.238 0.305 0.145 0.206 0.22 ],[3.1  3.12 1.98 2.7  2.4  2.44 2.88 2.76 2.38 2.9 ],[1.5 2.  1.  1.5 1.  1.  2.  2.  1.  2. ],"[1.02624335 1.0720539  0.49661221 0.77304925 0.60625956 0.66275132
 0.90298272 0.62511175 0.68692577 0.78397315]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.76993598 0.70982368 0.2907919  0.54498284 0.35551738 0.39724351
 0.59841241 0.47412421 0.44891307 0.55866065]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04992187 0.05087616 0.04901961 0.05052616 0.04851752 0.05066345
 0.05159521 0.05066885 0.04872495 0.05006805]"
