gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.271 0.186 0.228 0.323 0.3   0.207 0.368 0.22  0.337 0.31 ],[3.18 3.04 2.72 2.98 3.5  2.32 3.8  3.44 3.22 3.18],[2. 2. 1. 1. 2. 1. 2. 2. 2. 1.],"[0.95321036 0.87899872 0.79265133 1.065847   1.18975266 0.59828294
 1.48378004 1.02842786 1.01974994 1.06793917]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.68750723 0.68580536 0.56103024 0.73352766 0.89009934 0.39716721
 1.13763746 0.80018689 0.69868549 0.75378634]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04937667 0.04849824 0.05217244 0.05092364 0.04755965 0.05000296
 0.0487111  0.04911749 0.05068315 0.04963926]"
1.5,0.1,[0.655 0.639 0.486 0.698 0.386 0.52  0.722 0.31  0.606 0.42 ],[3.46 3.28 2.98 4.04 2.62 2.72 3.68 2.2  3.32 2.8 ],[2.  2.  2.  3.  1.5 1.  2.  1.  1.5 2. ],"[1.59428881 1.40660806 1.20792389 1.84925729 0.87170347 1.1489565
 1.76843374 0.59611569 1.50065261 1.09536554]",[1.     1.     0.     1.1875 0.     0.     1.     0.     0.     0.    ],"[0.91562792 0.78369791 0.67865631 1.1435444  0.49900816 0.6444399
 1.06091543 0.28082272 0.92238112 0.65703058]",[0.  0.  0.  0.5 0.  0.  0.  0.  0.  0. ],"[0.09870973 0.10022417 0.09895772 0.10139636 0.1029952  0.10237566
 0.10015578 0.09833135 0.0999381  0.09982798]"
1.5,0.15000000000000002,[0.915 0.81  0.936 1.005 0.886 0.699 0.794 0.719 0.906 1.005],[3.62 3.26 3.5  3.68 3.34 2.8  2.84 2.98 3.72 3.3 ],[1.  2.  2.  1.  2.  2.  2.  2.  2.5 2. ],"[1.94047568 1.63631235 1.9379941  2.19016362 1.6561662  1.35171283
 1.43821428 1.42701558 1.95809445 1.83979006]",[1.   1.   1.   1.   1.   0.   1.   1.   1.25 1.  ],"[1.04467978 0.81582895 0.98302828 1.14555424 0.80186932 0.65551044
 0.64822404 0.68158101 0.98989011 0.88509645]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.14723894 0.14989883 0.14996605 0.15112909 0.14842958 0.15324932
 0.15014427 0.14850402 0.1515494  0.14935065]"
1.5,0.2,[1.057 0.951 1.113 1.27  0.793 0.926 0.944 0.949 1.057 0.866],[3.26 3.02 2.92 3.84 2.96 3.02 3.08 2.98 3.2  2.98],[1.5 1.5 2.  1.5 1.  1.5 1.  2.  2.  2. ],"[1.88846044 1.66196531 1.76499946 2.38588112 1.4649973  1.64897927
 1.76476232 1.68298563 1.7678862  1.4993384 ]",[1.  1.  1.  1.  0.  1.  0.5 1.  1.  1. ],"[0.83013525 0.70441648 0.67920966 1.1138694  0.68014378 0.68130349
 0.78925939 0.71018045 0.7709526  0.62234621]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19988511 0.19966085 0.19948416 0.19826229 0.20194011 0.20459733
 0.2040404  0.20022602 0.19927888 0.20577211]"
1.5,0.25,[1.731 1.376 1.275 0.945 1.02  0.999 1.159 0.803 1.467 1.017],[4.24 3.58 3.44 2.7  2.52 2.64 3.18 2.38 3.92 2.74],[3.  2.  1.5 1.5 1.5 2.  2.  1.  2.  1. ],"[2.78090806 2.3239549  2.1532915  1.51067864 1.49296543 1.40642464
 1.90227668 1.18625604 2.51269668 1.56493429]","[1.40625 1.      1.      1.      1.      1.      1.      0.5     1.25
 1.     ]","[1.13896959 0.90798078 0.88736132 0.53824944 0.46472324 0.42736214
 0.70196906 0.41886834 1.03052382 0.55429464]",[0.3125 0.     0.     0.     0.     0.     0.     0.     0.25   0.    ],"[0.24984711 0.24644428 0.24948049 0.24902763 0.25014213 0.24682203
 0.25097382 0.24493083 0.251076   0.25307437]"
1.5,0.3,[1.06  1.06  1.229 1.297 1.12  1.228 1.195 1.233 1.158 0.92 ],[2.38 2.62 2.72 3.28 2.8  2.4  2.74 3.18 2.74 2.4 ],[1.  1.5 1.  2.  1.  1.  1.  1.  2.  1. ],"[1.45577767 1.49145447 1.76073164 2.06765622 1.71403508 1.55039174
 1.75282493 2.04244307 1.61097672 1.31747336]",[1.    1.    1.    1.125 1.    1.    1.    1.    1.25  1.   ],"[0.37505502 0.44668885 0.54946211 0.72416501 0.56878118 0.38026967
 0.5548159  0.72927046 0.47423844 0.4033132 ]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.31320525 0.2950429  0.30129278 0.29925096 0.31355932 0.30536787
 0.29964337 0.29966981 0.28717472 0.28944591]"
1.5,0.35000000000000003,[1.458 1.422 1.549 1.206 1.633 1.453 1.517 1.452 1.081 1.639],[3.24 3.12 3.12 2.64 3.32 3.28 3.26 2.96 2.26 3.28],[2. 2. 2. 1. 2. 2. 1. 1. 1. 2.],"[2.14708884 2.04111421 2.15259015 1.69618351 2.31878009 2.19799237
 2.22812966 2.04826513 1.37538275 2.24423717]",[1.125 1.125 1.25  1.    1.25  1.125 1.    1.    1.    1.25 ],"[0.6462197  0.61034272 0.61244489 0.46774601 0.69517414 0.68155438
 0.73575173 0.6002329  0.33099188 0.65358287]",[0.    0.125 0.    0.    0.125 0.    0.    0.    0.    0.25 ],"[0.35236849 0.3563378  0.35051505 0.34738372 0.34875595 0.34992264
 0.35117312 0.35439299 0.34696783 0.34972703]"
1.5,0.4,[1.686 1.702 1.609 1.864 1.381 1.336 1.455 1.332 1.382 1.119],[3.4  3.3  3.22 3.78 2.8  2.92 3.1  3.02 3.08 2.48],[2.5 2.  1.  2.  2.  2.  1.  2.  1.  1.5],"[2.34398854 2.37321919 2.28196645 2.64756718 1.83197138 1.86766794
 2.05034639 1.94078303 2.02499575 1.49698125]","[1.40625 1.25    1.      1.25    1.      1.      1.      1.      1.
 1.     ]","[0.66954641 0.70604877 0.65155995 0.84382328 0.48552607 0.50674997
 0.61065889 0.54515803 0.61440249 0.40398809]",[0.25 0.   0.   0.25 0.   0.   0.   0.   0.   0.  ],"[0.39902212 0.4015041  0.40102667 0.40082934 0.39977477 0.401
 0.40076128 0.39413939 0.39971003 0.40324105]"
1.5,0.45,[1.675 1.411 1.853 1.615 1.723 1.719 1.557 1.27  1.68  2.028],[3.32 2.76 3.68 3.26 3.42 3.5  3.06 2.7  3.18 4.02],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[2.28761271 1.81328725 2.58892574 2.23762907 2.4042761  2.44180306
 2.19000982 1.7256498  2.27881191 2.96639107]","[1.125   1.125   1.40625 1.      1.25    1.25    1.      1.      1.125
 1.25   ]","[0.66436441 0.43280873 0.7161816  0.63821501 0.69980832 0.70447885
 0.58308599 0.44043984 0.58227383 0.92018013]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.125],"[0.44998354 0.44833869 0.45099418 0.45226046 0.45095014 0.44887205
 0.45297402 0.44591918 0.45480507 0.44840145]"
1.6,0.05,[0.333 0.223 0.329 0.313 0.255 0.215 0.275 0.311 0.321 0.336],[3.46 2.62 2.92 2.64 2.92 3.02 3.34 2.72 2.8  3.22],[1.  1.  1.  2.  1.  2.  2.  1.5 1.  2. ],"[1.31951504 0.71972654 0.99948442 0.73634004 1.00093721 0.77164225
 1.01889178 0.7220235  1.05438197 1.12464516]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.97162075 0.49188475 0.64369463 0.43812227 0.70622407 0.5315739
 0.74295428 0.42307819 0.73677577 0.78327309]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05045894 0.0508916  0.0486431  0.05064488 0.05101362 0.05210558
 0.05335366 0.04729309 0.05031116 0.04966698]"
