gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.344 0.319 0.331 0.313 0.322 0.262 0.261 0.266 0.363 0.26 ],[2.8  3.24 3.58 3.06 3.2  2.48 3.1  2.96 3.56 2.72],[1.  1.5 2.  1.  2.  2.  2.  1.  1.5 2. ],"[0.9594328  1.04645748 1.28386455 1.00602001 1.00679972 0.57632129
 0.97579041 0.91976202 1.32384852 0.69510135]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.62064374 0.7311694  0.92794536 0.7220454  0.68089762 0.32382129
 0.7236786  0.6492005  0.94776453 0.43640506]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05188172 0.04856047 0.04811057 0.04917826 0.04842359 0.04677755
 0.05081762 0.05153901 0.05234523 0.05059032]"
1.5,0.1,[0.793 0.664 0.571 0.375 0.607 0.457 0.679 0.609 0.544 0.467],[3.82 3.82 2.84 2.62 2.98 2.56 3.74 2.94 2.92 2.84],[2. 2. 2. 1. 2. 1. 2. 1. 2. 1.],"[1.99816299 1.77554086 1.14818175 0.89337538 1.22276239 1.04078272
 1.8166154  1.3964534  1.16929056 1.1184938 ]",[1.  1.  0.  0.  1.  0.  1.  0.5 1.  0. ],"[1.2059938  1.11082406 0.56859191 0.5242787  0.63064692 0.58574854
 1.10844645 0.7661177  0.61616556 0.68813736]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10160891 0.09902795 0.10626938 0.09641256 0.10103491 0.09979508
 0.0986246  0.10087188 0.10196987 0.09996996]"
1.5,0.15000000000000002,[0.65  0.906 0.554 0.817 0.816 0.751 0.587 0.803 0.667 0.689],[2.62 3.84 2.64 3.5  2.84 2.9  2.74 3.16 3.   2.54],[1.  2.  1.  1.5 2.  1.  2.  2.  2.  2. ],"[1.22975874 2.06802976 1.07239078 1.80888292 1.36896224 1.39538435
 1.07908884 1.49749615 1.38707316 1.09343423]",[0.  1.  0.  0.  1.  1.  0.5 0.5 0.5 1. ],"[0.59145185 1.14154416 0.49746891 0.98597765 0.57605209 0.66882185
 0.48098337 0.73023052 0.68551066 0.41905923]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14745591 0.15133633 0.15082825 0.15103164 0.15199737 0.15159171
 0.15556217 0.14809843 0.15288529 0.14757161]"
1.5,0.2,[0.807 1.164 1.067 0.734 1.01  0.997 1.13  0.874 0.735 0.912],[2.96 3.66 3.22 2.92 2.94 3.4  2.86 2.68 2.66 2.88],[2. 2. 2. 2. 1. 2. 2. 1. 1. 2.],"[1.43506674 2.04069631 1.88277369 1.40068378 1.71177717 1.81631972
 1.75615016 1.44800379 1.27708018 1.43754481]",[1.25 1.25 1.   0.   1.   1.   1.25 1.   0.5  1.  ],"[0.59764486 0.8894756  0.77357936 0.66785175 0.71829084 0.82343886
 0.59251735 0.54511317 0.53375987 0.54750575]",[0.25  0.25  0.    0.    0.    0.    0.125 0.    0.    0.   ],"[0.16751527 0.20325147 0.19559401 0.19750635 0.20340262 0.1982988
 0.20198245 0.20519542 0.20500205 0.20822943]"
1.5,0.25,[0.936 0.931 1.244 1.225 1.404 1.476 1.131 0.925 1.165 1.02 ],[2.58 2.48 3.18 3.1  3.86 3.96 2.94 2.64 3.12 2.6 ],[1.  2.  2.  2.  2.  2.  2.  1.  1.5 1. ],"[1.4302786  1.28411567 1.95347308 1.87501399 2.38103725 2.61632245
 1.75868743 1.45256074 1.93229201 1.4725442 ]",[1.    1.    1.125 1.25  1.25  1.25  1.25  1.    1.    1.   ],"[0.49880399 0.38036567 0.74104999 0.67921321 0.94771084 1.07366376
 0.60854583 0.5240439  0.77317458 0.45501247]",[0.    0.    0.125 0.25  0.25  0.    0.25  0.    0.    0.   ],"[0.24950356 0.26346154 0.2502226  0.25153299 0.25022783 0.25025478
 0.25230769 0.25021192 0.25230275 0.25224613]"
1.5,0.3,[1.02  1.579 1.122 0.975 1.098 1.127 1.26  1.415 1.359 1.29 ],[2.86 3.44 2.58 2.46 2.98 2.58 3.34 3.52 3.38 3.14],[1.5 2.  1.  1.  1.  1.  2.  2.  3.  1. ],"[1.60970433 2.34045693 1.60142475 1.38886367 1.76929889 1.57981385
 1.95494975 2.16909077 2.07901099 2.01575527]",[1.    1.25  1.    1.    1.    1.    1.125 1.    1.25  1.   ],"[0.55735692 0.7890104  0.48925678 0.41517226 0.61164752 0.45967713
 0.68631694 0.79526753 0.68206275 0.71005947]",[0.    0.25  0.    0.    0.    0.    0.125 0.    0.25  0.   ],"[0.2978404  0.29960481 0.2979767  0.29862009 0.30399579 0.29795125
 0.30317571 0.30340655 0.29536604 0.29794198]"
1.5,0.35000000000000003,[1.288 1.114 1.485 1.459 1.381 1.396 1.39  1.505 1.463 1.42 ],[2.9  2.7  3.28 2.92 2.92 2.94 3.14 3.42 3.18 2.94],[1. 2. 2. 1. 2. 1. 2. 2. 2. 2.],"[1.86458347 1.56889746 2.20379532 1.98214591 1.91112858 1.93672889
 1.99355778 2.23619154 2.14027439 1.93504723]",[1.    1.    1.    1.    1.    1.    1.25  1.125 1.125 1.   ],"[0.58815769 0.48170996 0.68433731 0.54933341 0.55172917 0.63537635
 0.64353825 0.71099135 0.66555759 0.59487145]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.34698511 0.35436242 0.34864852 0.35676583 0.3490261  0.3479446
 0.34982811 0.35031847 0.34854272 0.35129158]"
1.5,0.4,[1.165 1.564 1.221 1.291 1.786 1.614 1.858 2.022 1.79  1.308],[2.44 3.2  2.8  2.6  3.68 3.34 3.8  4.14 3.84 2.7 ],[1.  1.5 2.  1.  2.  2.  2.  2.  2.5 1. ],"[1.53090297 2.25408846 1.74439805 1.74439519 2.60000569 2.2867114
 2.69891477 3.03396751 2.58437456 1.81966379]",[1.    1.    1.    1.    1.125 1.25  1.25  1.25  1.25  1.   ],"[0.3854098  0.65129183 0.50763048 0.43755925 0.80478718 0.6488403
 0.86422727 1.00893822 0.85480302 0.49067941]",[0.   0.   0.   0.   0.   0.25 0.25 0.25 0.25 0.  ],"[0.40572034 0.398714   0.4017341  0.40672053 0.39931842 0.40038248
 0.40226139 0.40001175 0.40198737 0.3987013 ]"
1.5,0.45,[1.649 1.45  1.684 1.713 1.898 1.701 1.407 1.534 1.64  1.581],[3.1  2.86 3.4  3.42 3.7  3.46 2.78 3.   3.3  3.14],[2.  1.  2.  2.  1.  2.5 1.5 1.5 2.  2. ],"[2.28103527 1.95883816 2.37110406 2.39828474 2.71282701 2.3558765
 1.85632226 2.05416728 2.27784531 2.22225228]",[1.   1.   1.   1.25 1.   1.25 1.   1.   1.   1.25],"[0.57521984 0.5356033  0.68981256 0.68402204 0.84708116 0.67838138
 0.46575586 0.54837138 0.65351426 0.62361459]",[0.    0.    0.    0.25  0.    0.25  0.    0.    0.    0.125],"[0.45550419 0.4497     0.45102515 0.45037907 0.44983145 0.44894063
 0.45606005 0.45678258 0.44770228 0.44954165]"
1.6,0.05,[0.168 0.314 0.277 0.212 0.296 0.199 0.298 0.247 0.176 0.286],[2.58 3.26 2.56 2.88 3.   2.12 3.06 2.98 2.86 3.08],[2.  1.  2.  1.5 2.  1.5 2.  1.  2.  2. ],"[0.5733519  1.12116517 0.78490596 0.78000751 0.8733304  0.45441699
 0.98252842 0.96909133 0.67382395 0.97095941]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40501694 0.79222474 0.5104333  0.57842548 0.59786165 0.24316699
 0.69118077 0.72078567 0.47093333 0.67041742]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04722395 0.05080589 0.0514384  0.04907975 0.04928815 0.05485893
 0.04970909 0.04773718 0.05358807 0.04809732]"
