gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.312 0.209 0.28  0.363 0.392 0.266 0.278 0.117 0.306 0.354],[2.5  2.28 3.46 3.32 3.82 3.38 2.84 2.5  3.   3.32],[1.  2.  2.  2.  2.  1.5 1.  1.  2.  1.5],"[0.87431722 0.3398786  1.11526833 1.24042185 1.47352115 1.20089424
 0.92513717 0.4704409  1.03207778 1.12979669]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56960409 0.1761286  0.82723244 0.86664256 1.07889346 0.90513985
 0.61813522 0.35396629 0.7108644  0.80196466]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04944401 0.03508772 0.04924509 0.04985802 0.04965323 0.04950079
 0.04905113 0.05023968 0.05017769 0.04709369]"
1.5,0.1,[0.449 0.545 0.482 0.565 0.618 0.531 0.626 0.522 0.46  0.381],[2.34 3.24 2.88 3.08 3.42 2.74 3.66 3.2  2.66 2.58],[1.  1.  2.  1.  1.  1.5 2.  2.  1.  1. ],"[0.94167761 1.4709763  1.00920663 1.4397951  1.63339467 1.11633967
 1.67574226 1.33745546 1.05367949 0.88478136]",[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0. ],"[0.45949988 0.90830296 0.54109628 0.86779925 1.01421132 0.59141779
 1.04224129 0.78181092 0.57405547 0.49048449]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09977959 0.10012681 0.09884428 0.09948886 0.09886315 0.09431438
 0.09894632 0.10622914 0.09756449 0.10216257]"
1.5,0.15000000000000002,[0.882 0.729 0.82  0.813 0.57  0.945 0.695 0.81  0.858 0.741],[3.14 2.82 3.28 2.48 2.82 3.64 2.98 3.06 3.3  2.94],[2.  1.  2.  1.  1.5 2.  2.  2.  1.  1. ],"[1.65150696 1.43439827 1.61418907 1.27914693 1.14473308 1.90645831
 1.34990007 1.50985383 1.83040993 1.46940501]",[1.    1.    1.125 1.    0.    1.    0.    1.    1.    1.   ],"[0.79724914 0.68878304 0.74681602 0.5096169  0.57358074 0.97225909
 0.64110613 0.67674836 0.94319801 0.73340891]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.15323646 0.15073529 0.14960266 0.14992313 0.15284553 0.1493771
 0.1454828  0.14826432 0.14694545 0.14741349]"
1.5,0.2,[0.673 1.088 1.052 1.199 1.05  0.776 0.958 1.009 1.004 0.925],[2.22 3.16 3.12 3.9  3.36 2.56 3.14 3.36 3.12 2.98],[1.5 2.  1.  2.  2.  1.  2.  2.  1.  2. ],"[0.91537472 1.80657987 1.87307316 2.28282296 1.91424616 1.30104793
 1.64954397 1.90012824 1.74275603 1.57082858]",[0.    1.    1.    1.125 1.    1.    0.5   1.    1.    1.   ],"[0.27803097 0.72598905 0.82245793 1.08049386 0.85244929 0.50106746
 0.74403615 0.8550025  0.74483489 0.61676608]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20600414 0.19940722 0.19612591 0.20177654 0.19847437 0.19432055
 0.19854094 0.2019553  0.20141674 0.21015377]"
1.5,0.25,[1.213 1.052 0.943 1.063 1.218 1.521 1.065 1.068 1.152 1.146],[3.36 3.08 2.54 2.78 3.06 3.84 2.54 2.7  2.98 3.08],[2.  1.5 1.5 1.5 2.  2.  2.  1.  2.  1. ],"[2.03547382 1.77517227 1.34405443 1.58369179 1.88959987 2.47901978
 1.53206028 1.62388467 1.73476526 1.91074354]",[1.    1.    1.    1.    1.    1.25  1.    1.    1.125 1.   ],"[0.79851093 0.71781388 0.43356615 0.57438027 0.66384792 0.98095826
 0.46975681 0.56914102 0.59081995 0.71334608]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ],"[0.24991994 0.24670888 0.24801902 0.24704471 0.24807568 0.25184099
 0.251684   0.24867446 0.25161037 0.24808362]"
1.5,0.3,[1.041 1.09  1.452 1.443 1.24  1.234 1.293 1.323 1.415 1.258],[2.14 2.68 3.44 3.42 3.18 3.34 3.3  3.28 3.54 2.74],[1.  1.5 2.  2.  1.  2.  2.  2.  2.  1. ],"[1.32578108 1.55563684 2.21920727 2.23533773 2.02799645 2.02956229
 1.97848272 2.03979338 2.28208511 1.78107207]",[1.    1.    1.25  1.25  1.    1.    1.25  1.    1.125 1.   ],"[0.28874983 0.48399622 0.77690625 0.78358968 0.75716026 0.75205741
 0.70467413 0.69384123 0.85841812 0.54314116]",[0.    0.    0.25  0.125 0.    0.    0.25  0.    0.125 0.   ],"[0.3032368  0.29597343 0.29661288 0.30061516 0.29964021 0.30209955
 0.29383822 0.29916377 0.2999127  0.29601565]"
1.5,0.35000000000000003,[1.195 1.529 1.134 1.375 1.389 1.227 1.188 1.595 1.56  1.148],[2.8  3.18 2.34 3.22 3.14 2.98 2.52 3.36 3.3  2.72],[1. 2. 2. 2. 2. 2. 1. 2. 2. 1.],"[1.74818702 2.2292538  1.44266427 2.07560139 2.02875571 1.81087257
 1.6198734  2.26417218 2.17713824 1.66461441]",[1.    1.25  1.    1.125 1.25  1.125 1.    1.25  1.25  1.   ],"[0.54584327 0.66448817 0.30190256 0.66539631 0.59618247 0.54499366
 0.39403356 0.68945538 0.65956256 0.48729019]",[0.    0.    0.    0.    0.    0.125 0.    0.25  0.25  0.   ],"[0.34003656 0.34724297 0.35703246 0.34959038 0.35329563 0.33815866
 0.35625    0.35545024 0.3526035  0.34938481]"
1.5,0.4,[1.262 1.295 1.354 1.081 1.718 1.492 1.477 1.636 1.646 1.329],[2.64 2.8  2.64 2.36 3.48 3.14 3.16 3.12 3.4  2.46],[1. 2. 1. 1. 2. 2. 2. 1. 2. 1.],"[1.65063491 1.79987333 1.79957706 1.46883844 2.38013787 2.22617489
 2.05536549 2.22969253 2.28815726 1.64338597]",[1.    1.    1.    1.    1.25  1.25  1.125 1.    1.125 1.   ],"[0.39266616 0.4637454  0.46942081 0.38038141 0.68357048 0.64203915
 0.60026295 0.65233413 0.70589652 0.37794164]",[0.   0.   0.   0.   0.25 0.25 0.   0.   0.   0.  ],"[0.40091678 0.39620318 0.40647482 0.4137606  0.39764087 0.40218978
 0.39999703 0.39950719 0.39920677 0.40070723]"
1.5,0.45,[1.463 1.634 1.645 1.519 1.737 1.604 1.451 1.646 1.514 1.38 ],[2.98 3.24 3.44 3.14 3.5  3.32 2.82 3.06 3.08 2.76],[2.  2.  2.  1.5 1.  1.  2.  2.  1.  1. ],"[1.99792329 2.25155044 2.33809893 2.1803984  2.52323279 2.29779886
 1.93621036 2.09505104 2.13373898 1.93599644]",[1.   1.25 1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.5441269  0.61522232 0.68640948 0.62375167 0.77241248 0.67972268
 0.49697208 0.54151589 0.61129757 0.49470738]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.45149414 0.4567807  0.44834418 0.45295581 0.45022913 0.44918737
 0.45260042 0.4447875  0.45051043 0.44627851]"
1.6,0.05,[0.308 0.182 0.356 0.198 0.357 0.225 0.126 0.204 0.281 0.252],[3.08 2.26 3.12 2.56 2.82 2.46 2.   2.8  3.14 3.06],[1.  1.  1.  1.  2.  1.5 1.  1.  2.  1. ],"[1.02960291 0.49636079 1.20990022 0.74571045 0.88523954 0.58872998
 0.28292551 0.82996598 0.76886935 0.96865989]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.72355798 0.30241548 0.82955476 0.54473267 0.53178251 0.36142041
 0.15917551 0.62426286 0.4979172  0.73657859]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04869409 0.04695326 0.05036747 0.04970119 0.05152456 0.0484579
 0.02579365 0.04900043 0.0510397  0.05004091]"
