gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.327 0.284 0.302 0.345 0.267 0.323 0.329 0.42  0.274 0.249],[3.6  2.48 3.04 2.14 2.96 3.58 2.9  4.1  2.26 2.64],[1.  1.  2.  1.  2.  2.  1.5 3.  1.  1. ],"[1.54374326 0.69000761 1.00914951 0.66980378 0.93205231 1.20437166
 0.83828649 1.49816328 0.55005036 0.69091115]",[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"[1.17679746 0.40547636 0.71376377 0.33043244 0.66265412 0.88469393
 0.53916539 1.04976485 0.28067536 0.46057179]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05009593 0.05265273 0.0499157  0.04965559 0.05150827 0.04919521
 0.05203229 0.04922767 0.06056701 0.05057845]"
1.5,0.1,[0.487 0.595 0.607 0.701 0.666 0.585 0.387 0.596 0.839 0.611],[3.   3.04 2.96 3.94 3.5  3.28 2.66 3.28 3.72 3.48],[1.5 1.  1.5 2.  2.  2.  2.  2.  2.  2. ],"[1.28209737 1.41980316 1.29123977 2.0215821  1.64700613 1.48680589
 0.90045249 1.34824821 1.8651822  1.61372004]",[0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],"[0.78511983 0.85323578 0.7093013  1.34948005 0.9789739  0.8957097
 0.50351401 0.77535759 1.06978547 0.99932063]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09836312 0.0998277  0.10124801 0.10057022 0.09965679 0.10124916
 0.09607079 0.10645376 0.10112035 0.1009968 ]"
1.5,0.15000000000000002,[0.75  0.903 0.748 0.592 0.724 0.547 0.644 0.789 0.712 0.754],[2.4  2.94 2.58 2.56 3.08 2.56 2.76 3.16 3.22 2.98],[2.  2.  2.  1.  1.5 1.  1.5 2.  2.  2. ],"[1.19489644 1.57680981 1.1739515  1.14900073 1.46891047 1.02988562
 1.21415848 1.47474759 1.51737568 1.47054785]","[1.      1.      1.      0.      0.      0.      0.      1.09375 0.
 1.     ]","[0.40302144 0.7386604  0.484264   0.54692797 0.76841486 0.47496374
 0.60530106 0.70076322 0.8017641  0.68679052]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.1572536  0.14977083 0.15426252 0.15020305 0.14770897 0.14425908
 0.14987058 0.16164443 0.15198853 0.15118747]"
1.5,0.2,[0.677 1.015 1.247 0.974 0.884 1.387 0.982 1.108 1.184 0.858],[2.28 3.22 3.7  3.   3.3  3.98 3.3  3.32 3.56 2.42],[1. 2. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.04591154 1.84761502 2.15653173 1.60479292 1.74117924 2.53641103
 1.84038815 1.92232855 2.09953776 1.32544708]",[0.    1.    1.25  1.125 0.    1.125 1.    1.    1.    1.   ],"[0.36539885 0.8041116  0.91921727 0.60823042 0.8455933  1.1948998
 0.84038815 0.84512152 0.94272624 0.47868316]",[0.    0.    0.25  0.    0.    0.125 0.    0.    0.    0.   ],"[0.2025272  0.19865288 0.20025481 0.1943499  0.20186057 0.2009755
 0.19871664 0.19803531 0.20415968 0.20202355]"
1.5,0.25,[1.139 1.105 0.983 1.083 1.028 1.323 0.889 1.166 1.164 1.276],[2.8  3.2  2.72 2.9  2.82 3.62 2.04 2.94 3.02 3.22],[1.  1.5 2.  2.  2.  2.  1.  2.  2.  2. ],"[1.71793328 1.9233149  1.54803528 1.6479896  1.59783818 2.13138105
 1.17808091 1.75297816 1.74937065 2.00130869]",[1.    1.    1.    1.    1.    1.25  1.    1.    1.    1.125],"[0.59590325 0.78594307 0.5318341  0.56625131 0.56730108 0.85734297
 0.2787938  0.64084925 0.60050346 0.76343149]",[0.    0.    0.    0.    0.    0.25  0.    0.    0.    0.125],"[0.25305247 0.25141076 0.24758479 0.25423729 0.25210492 0.24914102
 0.25157961 0.24808653 0.25560324 0.24928781]"
1.5,0.3,[1.251 1.335 1.137 1.215 1.098 1.25  1.752 1.668 1.016 0.944],[2.92 3.06 2.88 2.88 2.84 2.88 4.12 3.94 2.4  2.22],[1.  1.  2.  2.  2.  2.  2.  3.  1.5 1. ],"[1.84373253 1.98300127 1.69841407 1.75873824 1.69526162 1.73199415
 2.89520832 2.59189261 1.39734176 1.23405368]","[1.      1.      1.      1.25    1.      1.      1.25    1.40625 1.
 1.     ]","[0.60202843 0.66490068 0.552219   0.51319137 0.55856241 0.5234004
 1.10722981 0.94379691 0.34921676 0.32144137]",[0.    0.    0.    0.25  0.    0.    0.125 0.25  0.    0.   ],"[0.29935318 0.30005084 0.29940896 0.31441348 0.29736276 0.30391148
 0.3008325  0.30344717 0.3177458  0.29565121]"
1.5,0.35000000000000003,[1.306 1.266 1.22  1.197 1.382 1.433 1.303 1.787 2.051 1.617],[3.12 2.78 2.68 2.68 2.98 3.26 3.   3.98 4.44 3.  ],[1.5 2.  1.  1.  1.  2.  1.  2.5 3.  2. ],"[2.06413551 1.77993089 1.65434568 1.65624875 1.96921392 2.11776453
 1.94646995 2.72135421 3.13569206 2.16500452]",[1.     1.125  1.     1.     1.     1.     1.     1.25   1.5625 1.125 ],"[0.68497536 0.49760667 0.48959959 0.48931515 0.61534917 0.67790857
 0.63473899 0.95930832 1.13177727 0.57908655]","[0.      0.125   0.      0.      0.      0.      0.      0.25    0.28125
 0.     ]","[0.35189233 0.35097969 0.34193677 0.34657871 0.35323373 0.35060778
 0.34982009 0.35050266 0.35150151 0.34735401]"
1.5,0.4,[1.304 1.352 1.56  1.372 1.397 1.63  1.235 1.501 1.02  1.863],[2.84 3.02 3.18 3.   2.88 3.3  2.42 2.96 2.24 3.9 ],[1.5 1.  2.  2.  2.  2.  1.  2.  1.  2. ],"[1.84156987 1.9509742  2.15871484 1.9626986  1.89554318 2.34439519
 1.6011502  1.98916085 1.34701893 2.75439124]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   1.25],"[0.5147144  0.59275154 0.60216088 0.58914879 0.50614865 0.69509588
 0.36286895 0.50851632 0.31715565 0.89879554]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.40418918 0.39773578 0.39787217 0.40148026 0.39703542 0.39773587
 0.40045249 0.41217594 0.39011799 0.3999591 ]"
1.5,0.45,[1.815 1.399 1.494 2.157 1.718 1.371 1.659 1.467 1.623 2.15 ],[3.62 2.92 3.16 4.4  3.48 2.64 3.2  2.78 3.4  4.08],[2.  2.  1.5 2.  2.  1.  1.5 1.  2.  2.5],"[2.66128922 1.92921882 2.07272247 3.19731118 2.44408459 1.78698195
 2.3063745  1.91017974 2.31359421 3.06652586]","[1.25      1.        1.        1.25      1.25      1.        1.
 1.        1.25      1.9453125]","[0.78399429 0.55538582 0.62255524 1.08684365 0.73557873 0.43973586
 0.62357176 0.47180083 0.70436082 0.91843016]",[0.25  0.    0.    0.25  0.25  0.    0.    0.    0.125 0.25 ],"[0.45234937 0.45535009 0.45654957 0.4517474  0.44615579 0.4557067
 0.45160885 0.45739    0.45293452 0.44921409]"
1.6,0.05,[0.255 0.196 0.202 0.308 0.227 0.288 0.248 0.23  0.308 0.198],[3.04 2.1  2.06 2.84 2.94 3.06 2.62 2.66 2.6  2.9 ],[2. 1. 1. 1. 2. 2. 1. 1. 1. 1.],"[0.96052701 0.44589683 0.43990879 0.98842762 0.82721851 0.88191726
 0.76405533 0.85240419 0.78427879 0.93384608]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.66671842 0.23058433 0.22319004 0.67626087 0.59812061 0.60402663
 0.49287247 0.58703798 0.49468895 0.74160731]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04864602 0.05670103 0.03699789 0.05120926 0.04818616 0.04724634
 0.04934996 0.05112699 0.05133432 0.05027211]"
