gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.36  0.269 0.322 0.357 0.335 0.304 0.346 0.276 0.328 0.363],[3.45 3.31 2.86 3.51 2.85 3.02 3.62 2.62 2.94 3.38],[2.  2.  2.  2.  1.5 1.  2.  1.  2.  2. ],"[1.28800837 0.98383025 0.96566429 1.27169439 1.0039339  1.01289693
 1.25653361 0.70256384 0.85695657 1.24749092]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.9325616  0.70825408 0.64723533 0.92243841 0.6847298  0.69374165
 0.94428263 0.44181188 0.53809427 0.90870918]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.612 0.51  0.541 0.595 0.635 0.527 0.627 0.667 0.618 0.5  ],[3.21 2.91 2.96 3.2  2.99 3.02 3.19 3.29 3.15 2.8 ],[2. 2. 1. 2. 2. 2. 2. 1. 1. 1.],"[1.4423157  1.17595793 1.17942032 1.3866781  1.33177445 1.15281472
 1.42454182 1.50929399 1.40545702 1.09270057]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.84979678 0.63417815 0.65865861 0.81318933 0.73196183 0.63078103
 0.8323647  0.89665971 0.80846056 0.62108802]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.732 0.673 0.729 0.674 0.662 0.756 0.783 0.796 0.792 0.882],[3.06 2.58 3.15 2.77 2.8  2.99 2.98 3.2  3.1  3.24],[1. 1. 2. 1. 1. 2. 2. 2. 2. 1.],"[1.59914568 1.24548749 1.54187388 1.26925389 1.3293606  1.48857544
 1.4950643  1.612975   1.51519101 1.74674965]",[0.  0.5 0.5 0.  0.5 1.  1.  1.  1.  1. ],"[0.84156145 0.54343182 0.79018931 0.57237889 0.64245142 0.71169068
 0.67614951 0.80103164 0.74172971 0.88206154]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.039 1.141 0.737 1.089 0.836 0.88  1.015 0.878 0.933 0.89 ],[3.29 3.65 2.52 3.32 2.5  2.8  3.29 2.83 2.79 2.91],[2. 2. 1. 2. 1. 2. 2. 2. 2. 1.],"[1.85349395 2.12059084 1.25950944 1.88801241 1.31347883 1.55983866
 1.84502979 1.5018837  1.48683292 1.58437239]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.80183684 0.99642092 0.49626542 0.86445284 0.49960676 0.61024638
 0.80028186 0.6010524  0.56737979 0.6741789 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.116 1.409 1.139 1.132 1.229 1.107 1.182 1.101 1.126 1.192],[2.82 3.62 2.85 3.15 3.24 2.85 2.77 3.06 3.13 3.07],[1.5 2.  2.  2.  2.  2.  2.  2.  2.  2. ],"[1.65899595 2.29516116 1.69929292 1.87472434 1.96607813 1.64415321
 1.67725219 1.79162682 1.85837347 1.86751733]",[1.    1.25  1.    1.    1.125 1.    1.    1.    1.    1.   ],"[0.56860777 0.89342776 0.56774019 0.72680442 0.72378076 0.58525917
 0.55768004 0.65256432 0.6991889  0.68335717]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.3,[1.327 1.168 1.267 1.226 1.302 1.231 1.385 1.212 1.292 1.196],[3.2  2.96 3.09 3.02 3.05 2.86 3.13 2.93 3.   2.87],[2.  2.  2.  2.  2.  1.  2.  1.5 1.  1. ],"[2.01279817 1.82175374 1.98131948 1.7934154  1.91514843 1.78034879
 2.06762465 1.80860891 1.95230553 1.78670536]",[1.    1.    1.    1.    1.    1.    1.125 1.    1.    1.   ],"[0.68469331 0.60269368 0.65895376 0.60895983 0.65926037 0.55826627
 0.66442702 0.60995901 0.65188805 0.58290409]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.497 1.483 1.25  1.316 1.382 1.532 1.617 1.393 1.242 1.635],[3.3  3.36 2.78 3.02 3.12 3.28 3.54 2.75 2.8  3.7 ],[2. 2. 1. 2. 2. 2. 2. 1. 2. 2.],"[2.2352495  2.26261572 1.7883056  1.92417778 2.02702378 2.25715366
 2.35151795 1.84617893 1.79649658 2.55699179]",[1.25 1.25 1.   1.   1.   1.   1.   1.   1.   1.25],"[0.72319261 0.70603857 0.51684564 0.61193291 0.62087205 0.68263706
 0.74515443 0.50161838 0.52092529 0.83857138]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.4,[1.582 1.715 1.484 1.323 1.772 1.21  1.35  1.368 1.189 1.458],[3.15 3.43 3.08 2.71 3.67 2.43 2.94 2.83 2.45 2.92],[2.  2.  2.  2.  2.  1.  1.5 1.  1.  2. ],"[2.14626827 2.4084919  2.057563   1.86639653 2.54025923 1.57916507
 1.89946939 1.90582797 1.56970211 1.98294777]",[1.25 1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.61204891 0.72787971 0.58625685 0.47207524 0.77948347 0.38756107
 0.55493265 0.55299838 0.37871578 0.5240464 ]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.45,[1.57  1.338 1.239 1.624 1.344 1.428 1.44  1.561 1.139 1.655],[3.07 2.92 2.58 3.3  2.71 3.03 3.01 3.05 2.35 3.4 ],[2.  1.  2.  2.  1.  2.  1.5 2.  1.  2. ],"[2.14446271 1.99372426 1.63825658 2.30459162 1.84236448 2.02015124
 2.00321965 2.05697638 1.43423733 2.36844684]",[1.    1.    1.    1.125 1.    1.    1.    1.    1.    1.25 ],"[0.5895506  0.57076039 0.40264195 0.62889582 0.46988523 0.56726794
 0.56928166 0.52833136 0.31815335 0.68925617]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25]
1.6,0.05,[0.24  0.341 0.234 0.29  0.255 0.277 0.282 0.287 0.256 0.302],[2.73 3.39 2.28 3.12 2.35 2.97 2.95 2.79 2.81 2.75],[2.  2.  1.  2.  1.  2.  1.  2.  1.  1.5],"[0.69814993 1.09688197 0.52420554 0.95436301 0.63948957 0.98502928
 0.94339345 0.87151523 0.88229686 0.8722356 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.43491019 0.77001185 0.29217429 0.66155296 0.41199934 0.66380125
 0.63247487 0.58932773 0.62024364 0.56500355]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
