gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.317 0.305 0.277 0.204 0.331 0.259 0.252 0.29  0.247 0.363],[3.01 3.42 2.96 3.08 2.88 2.77 2.9  3.42 3.26 3.23],[2.  2.  1.5 2.  2.  1.  1.  2.  1.  2. ],"[0.96459071 1.15815736 0.94074799 0.81224164 1.03081601 0.8536756
 0.89811817 1.18804747 1.08626397 1.09502398]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.64099208 0.87066163 0.6543747  0.5924394  0.6936578  0.59165656
 0.63518909 0.90934264 0.81284539 0.73163347]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.452 0.612 0.495 0.465 0.452 0.666 0.593 0.561 0.378 0.472],[2.54 3.18 2.98 2.52 2.75 3.41 3.25 2.85 2.52 2.93],[1.5 2.  1.  1.  1.  1.5 2.  2.  1.5 2. ],"[0.93127411 1.33179874 1.28369823 0.90134361 1.09926263 1.59393168
 1.40705335 1.16830823 0.84872786 1.16498992]",[0.  0.  0.  0.  0.  0.  0.  0.5 0.  0. ],"[0.48300263 0.74805362 0.78375438 0.47607872 0.64254144 0.98621683
 0.81079786 0.61519787 0.44660384 0.67738677]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.87  0.653 0.694 0.902 0.721 0.83  0.839 0.787 0.854 0.819],[3.31 3.03 2.79 3.14 2.84 3.51 3.08 2.79 3.55 2.95],[2.  2.  1.  1.5 2.  2.  1.  1.5 2.  2. ],"[1.69693579 1.41595149 1.31165981 1.66520557 1.35908203 1.81442668
 1.65449951 1.39557989 1.88297577 1.47281121]",[1. 0. 0. 1. 1. 1. 1. 1. 1. 1.],"[0.83215002 0.74512141 0.6203268  0.80267932 0.60789856 0.95286479
 0.80760987 0.6171192  1.01162079 0.70478631]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.999 1.024 1.017 1.227 0.991 1.034 0.941 0.919 0.905 0.888],[3.17 3.19 3.32 3.68 3.16 3.33 3.04 2.97 3.07 2.76],[2.  1.5 1.5 2.  1.5 1.  1.  1.  2.  1. ],"[1.75635634 1.85530761 1.85231098 2.20093885 1.71699055 1.95303787
 1.71154615 1.57566765 1.59287526 1.44374719]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.75933303 0.80477172 0.84157367 0.97583509 0.74607808 0.8902742
 0.76987623 0.66883904 0.67062184 0.59534631]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.186 1.206 1.036 1.103 1.151 1.058 1.256 1.206 1.116 1.02 ],[3.17 2.96 2.56 2.98 3.14 2.92 3.23 3.15 2.71 2.59],[2. 1. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.83461696 1.81040461 1.50691977 1.71597811 1.84688731 1.61575738
 2.00608619 1.87758528 1.63933709 1.46174919]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.70844203 0.66298273 0.46495688 0.59462069 0.6575947  0.57237848
 0.73473793 0.68897932 0.50104608 0.49373161]",[0.    0.    0.    0.    0.    0.    0.125 0.    0.    0.   ]
1.5,0.3,[1.24  1.317 1.183 1.223 1.333 1.39  1.315 1.646 1.112 1.43 ],[2.87 3.31 2.82 2.85 3.19 3.22 2.71 3.84 2.69 3.62],[1. 2. 1. 2. 2. 1. 1. 2. 2. 2.],"[1.78540361 2.04966782 1.76401253 1.74429808 1.98154361 2.13696253
 1.79588118 2.59069049 1.54136811 2.34404818]",[1.    1.125 1.    1.    1.25  1.    1.    1.25  1.    1.   ],"[0.58408891 0.71749741 0.58980599 0.53926512 0.66514224 0.74929407
 0.54839217 0.92675494 0.45203949 0.90553377]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.  ]
1.5,0.35000000000000003,[1.118 1.568 1.418 1.5   1.559 1.535 1.271 1.361 1.636 1.454],[2.73 3.36 3.12 3.11 3.46 3.37 2.81 2.99 3.45 3.08],[1. 2. 2. 2. 2. 2. 1. 1. 2. 2.],"[1.68534131 2.26800574 2.04370389 2.10506707 2.34286695 2.28074138
 1.75521572 1.96488179 2.32440221 2.02156902]",[1.   1.   1.25 1.   1.25 1.25 1.   1.   1.25 1.25],"[0.48705518 0.71573584 0.61488614 0.62367547 0.77922742 0.75602702
 0.51887539 0.59440694 0.72447789 0.60204815]",[0.    0.    0.25  0.    0.    0.125 0.    0.    0.25  0.25 ]
1.5,0.4,[1.775 1.507 1.305 1.292 1.561 1.449 1.591 1.756 1.438 1.46 ],[3.55 3.11 2.51 2.56 3.15 2.96 3.19 3.39 2.91 2.92],[2. 2. 1. 1. 1. 2. 2. 2. 1. 2.],"[2.46290099 2.10696351 1.65331268 1.69063104 2.18268989 1.97775277
 2.23663017 2.50144064 1.99565814 1.97209782]",[1.25  1.25  1.    1.    1.    1.    1.    1.125 1.    1.125],"[0.75034972 0.59077211 0.40653534 0.4021972  0.62207953 0.57876229
 0.64020439 0.71335958 0.5506557  0.52817204]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.45,[1.525 1.642 1.807 1.372 1.226 1.643 1.585 1.548 1.724 1.482],[3.26 3.37 3.66 2.67 2.44 3.4  3.36 3.   3.39 2.91],[2.  2.  2.  1.  2.  2.  2.  2.  1.  1.5],"[2.20658067 2.38249157 2.54974644 1.83864456 1.57994134 2.34654426
 2.30008118 2.06875963 2.45244745 2.00446326]",[1.25 1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.63574387 0.70052319 0.78695591 0.46499283 0.34516107 0.7122425
 0.69653198 0.57478441 0.73445611 0.52789832]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ]
1.6,0.05,[0.248 0.169 0.234 0.32  0.227 0.281 0.292 0.239 0.225 0.142],[2.94 2.68 2.45 2.81 2.72 2.72 2.88 2.5  2.38 2.28],[2.  1.  1.  1.5 1.  2.  2.  1.  1.  1. ],"[0.81789299 0.70823338 0.68015023 0.87687371 0.82861117 0.72263008
 0.89359075 0.67644477 0.66051743 0.48467197]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56466423 0.52173069 0.43947152 0.58302605 0.5818265  0.45839546
 0.59450383 0.44199409 0.43225877 0.33256259]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
