gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.272 0.277 0.221 0.247 0.208 0.354 0.28  0.239 0.315 0.184],[3.2  3.21 2.68 3.15 2.47 3.07 2.99 2.74 3.07 2.92],[2.  1.5 1.  2.  1.  2.  2.  1.  2.  1. ],"[0.99584499 1.13332451 0.72463235 0.93333054 0.57811977 1.05529592
 0.94749946 0.8327455  1.04622696 0.81108035]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.71150539 0.82028862 0.52116799 0.67913376 0.36800259 0.71251577
 0.66803901 0.5820082  0.73058365 0.61054813]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.521 0.506 0.544 0.499 0.558 0.576 0.652 0.368 0.615 0.475],[3.13 2.73 3.12 3.07 3.14 3.22 3.01 2.62 3.22 2.95],[2. 2. 2. 2. 1. 2. 2. 1. 2. 2.],"[1.2420601  1.01891596 1.34434508 1.22949721 1.3738581  1.34191983
 1.29583325 0.91234516 1.38161661 1.15375096]",[0.  0.  0.  0.  0.  0.5 1.  0.  0.  0. ],"[0.69743242 0.50283198 0.79143248 0.71415725 0.81515692 0.75768887
 0.68662915 0.51774067 0.80881997 0.66915257]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.879 0.722 0.746 0.914 0.662 0.87  0.72  0.974 0.857 0.884],[3.12 2.72 3.23 3.38 2.48 3.02 2.67 3.27 3.21 3.43],[2. 1. 2. 2. 1. 2. 1. 2. 2. 1.],"[1.60222564 1.41698994 1.59500575 1.73180054 1.10730506 1.58462841
 1.28486254 1.80544395 1.74084631 1.85163851]",[1.     1.     0.     1.0625 0.     1.     1.     1.     1.     1.    ],"[0.78151763 0.63523274 0.84074122 0.83957886 0.47224647 0.75296826
 0.56636645 0.84133629 0.82811621 0.97909091]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.84  0.965 1.031 0.976 0.946 0.627 0.948 0.946 0.984 0.893],[2.8  2.96 3.18 3.26 3.2  2.24 3.01 2.92 3.15 2.67],[1.5 2.  1.5 2.  2.  1.  2.  1.  2.  1. ],"[1.49687895 1.61063339 1.79344825 1.81957385 1.68439248 1.02082477
 1.60458573 1.61065914 1.73915051 1.48569781]",[1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],"[0.58565825 0.67418319 0.77782508 0.8212102  0.76618203 0.38812152
 0.67639725 0.69686519 0.72164014 0.56313433]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.007 1.071 1.167 1.097 1.027 1.183 1.34  1.138 1.233 1.307],[2.66 2.87 3.03 2.87 2.65 3.09 3.36 3.23 3.08 3.42],[1.5 2.  2.  2.  1.  1.  2.  2.  2.  2. ],"[1.47829861 1.63624278 1.82951527 1.67476787 1.58376392 1.94425953
 2.11176019 1.9088931  1.93381679 2.04433746]",[1.    1.    1.    1.    1.    1.    1.25  1.    1.125 1.   ],"[0.49111355 0.58475108 0.65575612 0.61797648 0.52309741 0.75297169
 0.79199457 0.73773953 0.69770656 0.79297271]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.3,[1.163 1.304 1.238 1.12  1.181 1.198 1.143 1.441 1.21  1.274],[2.76 3.23 3.12 2.51 2.82 2.77 2.91 3.3  3.13 2.93],[1.  2.  1.  1.  1.  1.  1.5 2.  1.  2. ],"[1.66973985 2.01091218 1.93850649 1.4893175  1.72789781 1.71399575
 1.77296947 2.08738559 1.9665695  1.81972535]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55026902 0.70630281 0.70145326 0.4040636  0.53871629 0.52981606
 0.58136303 0.70732943 0.67648893 0.57629273]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.28  1.367 1.247 1.407 1.698 1.429 1.573 0.874 1.359 1.303],[2.86 2.85 3.03 3.02 3.78 2.98 3.37 2.02 3.05 3.04],[2. 2. 2. 2. 2. 2. 2. 1. 1. 2.],"[1.79746392 1.83237998 1.86592769 1.97231224 2.61563293 1.96407174
 2.31579996 1.15993065 2.05664254 1.90229411]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.50563286 0.5257833  0.56551021 0.60716209 0.9024884  0.58081002
 0.73139322 0.24424217 0.64439096 0.5853355 ]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.4,[1.5   1.252 2.093 1.205 1.277 1.529 1.606 1.343 1.405 1.567],[3.18 2.57 4.07 2.61 2.82 3.01 3.25 2.9  3.01 3.41],[2.  1.  2.  1.  1.5 1.  2.  2.  2.  2. ],"[2.18193223 1.66887899 2.97665361 1.65251996 1.80241951 2.13346572
 2.26890792 1.89507038 2.00406722 2.27068746]",[1.   1.   1.25 1.   1.   1.   1.   1.25 1.   1.25],"[0.64279648 0.43272665 0.95149187 0.44428387 0.50479256 0.59167861
 0.67179671 0.53264118 0.56895369 0.68495992]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.45,[1.527 1.552 1.443 1.422 1.788 1.633 1.427 1.537 1.577 1.351],[3.01 3.02 3.   2.91 3.64 3.11 2.76 3.01 3.02 2.6 ],[1.5 2.  1.5 1.  2.  1.5 1.  2.  2.  1. ],"[2.05301882 2.10500075 2.04599979 1.97543608 2.57817368 2.19087777
 1.8958919  2.06554054 2.06671525 1.77325406]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.58270143 0.57589064 0.56244999 0.53370268 0.76549729 0.61229623
 0.49116412 0.55296791 0.56860856 0.42702847]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.6,0.05,[0.139 0.206 0.284 0.242 0.176 0.285 0.279 0.258 0.341 0.249],[2.49 2.44 2.78 2.76 2.87 2.85 2.63 2.43 2.62 2.68],[1. 1. 1. 2. 1. 1. 1. 1. 2. 1.],"[0.62357547 0.60166013 0.85954752 0.89143994 0.80555053 0.91441204
 0.81093258 0.65762042 0.75742808 0.81006925]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.46776248 0.36502194 0.60073465 0.62586377 0.59887817 0.65428935
 0.52759274 0.40345538 0.42370982 0.57925992]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
