gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.286 0.315 0.284 0.328 0.315 0.268 0.241 0.263 0.323 0.21 ],[3.18 3.16 2.98 3.22 2.91 3.2  2.85 3.16 2.77 2.73],[2.  2.  2.  2.  1.  2.  2.  2.  1.5 2. ],"[1.02200251 1.0129723  0.90625016 1.09261827 0.94151624 0.89760326
 0.79005585 0.94956613 0.82234215 0.61973806]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.76924067 0.69941761 0.60809037 0.7797423  0.62613782 0.62490307
 0.51026093 0.68405099 0.50046227 0.42722341]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.614 0.539 0.597 0.499 0.599 0.393 0.604 0.641 0.55  0.511],[3.25 2.44 3.1  2.84 3.31 2.66 3.15 3.56 3.11 3.1 ],[2.  1.  2.  2.  2.  1.5 2.  2.  2.  2. ],"[1.41774217 0.96980191 1.35084576 1.14708153 1.39586155 0.92305692
 1.35787446 1.65176131 1.31341513 1.31990964]",[0.5 0.  0.  0.  0.  0.  0.5 0.  0.  0. ],"[0.82144335 0.45169644 0.75335553 0.63192711 0.8170847  0.52491971
 0.74583588 1.02395979 0.78655234 0.78711301]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.846 0.619 0.679 0.819 0.851 0.892 0.837 0.718 0.836 0.662],[3.09 2.49 2.76 3.15 3.64 3.42 3.11 2.86 3.28 2.78],[2.  1.  1.5 2.  2.  2.  1.5 1.  2.  1.5],"[1.59146229 1.16099687 1.27410901 1.60915121 1.94079142 1.8138108
 1.62996942 1.46015735 1.66636362 1.26514478]",[1. 0. 0. 1. 1. 1. 1. 1. 1. 0.],"[0.75423878 0.51043595 0.62448315 0.78558004 1.03664408 0.92579322
 0.78293756 0.70304797 0.82615488 0.60841321]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.051 1.036 0.842 0.981 0.786 0.992 0.851 0.896 0.952 0.859],[2.93 3.05 2.98 2.87 2.61 3.11 2.7  2.94 2.96 2.57],[2.  2.  2.  1.  1.  2.  2.  1.  1.5 1. ],"[1.67023023 1.72621337 1.46924894 1.67366705 1.34614597 1.6638559
 1.38496404 1.65353636 1.63045782 1.32530806]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66097486 0.73939941 0.63256742 0.68658147 0.52807041 0.70094941
 0.5372199  0.70997496 0.67066534 0.48281538]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.114 1.135 1.118 1.126 1.176 1.308 1.106 1.212 1.007 1.144],[3.06 2.84 2.88 3.09 3.25 3.48 3.25 3.2  2.79 3.08],[2. 2. 1. 2. 2. 2. 1. 2. 2. 2.],"[1.80792532 1.7042275  1.68692529 1.86959193 1.93713544 2.20564509
 1.95097221 1.92966402 1.55256335 1.82426634]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.6910961  0.58083883 0.64541223 0.69563258 0.715742   0.90754084
 0.78476249 0.74900423 0.53099108 0.67092406]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ]
1.5,0.3,[1.448 1.028 1.624 1.193 1.431 1.439 1.413 1.238 1.295 1.533],[3.48 2.57 3.72 2.89 3.38 3.34 3.28 2.98 3.37 3.36],[2.  1.  2.  2.  2.  2.  2.  1.5 2.  2. ],"[2.25487819 1.53169825 2.46040072 1.74505005 2.12643878 2.18738734
 2.09105019 1.81290823 2.14764519 2.25116239]",[1.   1.   1.25 1.   1.   1.25 1.   1.   1.   1.  ],"[0.78195217 0.48741114 0.86793978 0.56969848 0.74487139 0.72639491
 0.73046425 0.58666067 0.77875847 0.77584501]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.35000000000000003,[1.408 1.402 1.226 1.184 1.528 1.221 1.431 1.338 1.205 1.178],[3.11 3.04 2.76 2.8  3.16 2.72 3.24 2.87 2.71 2.57],[2.  2.  1.  1.  1.5 1.  2.  2.  1.  1. ],"[2.06957822 2.07572707 1.75506828 1.71834999 2.11932951 1.70921889
 2.16517179 1.90449779 1.75242566 1.63109778]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.62119687 0.61487685 0.54250846 0.52349159 0.63872404 0.49431655
 0.71186368 0.54130198 0.52500684 0.44705726]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.252 1.516 1.906 1.347 1.339 1.264 1.477 1.492 1.445 1.3  ],[2.96 3.07 3.78 2.88 2.82 2.76 2.94 2.96 2.94 2.81],[2. 2. 2. 1. 2. 2. 2. 1. 2. 1.],"[1.87301996 2.06228255 2.76146964 1.91155269 1.81731587 1.81992494
 2.00332707 2.04540772 1.96005131 1.83316348]",[1.    1.125 1.25  1.    1.    1.    1.    1.    1.    1.   ],"[0.54132074 0.61376509 0.86252433 0.53406246 0.48786335 0.47883302
 0.52848332 0.57532715 0.53955571 0.52283145]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.45,[1.413 1.423 1.551 1.655 1.391 1.612 1.178 1.754 1.73  1.667],[2.85 2.8  3.16 3.3  2.71 3.19 2.54 3.44 3.52 3.17],[1.  1.5 2.  2.  2.  2.  1.  2.  2.  2. ],"[1.95234817 1.86779297 2.18541247 2.31798808 1.74328902 2.23651746
 1.60625304 2.44125163 2.48758169 2.20462708]",[1.    1.    1.25  1.25  1.    1.    1.    1.    1.125 1.   ],"[0.53186477 0.49338134 0.59925036 0.63691387 0.4258702  0.61853223
 0.39016417 0.74085002 0.70772207 0.62972047]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.6,0.05,[0.37  0.253 0.256 0.244 0.303 0.256 0.233 0.31  0.29  0.229],[3.11 2.64 2.33 2.62 3.02 2.86 2.62 2.61 2.83 2.56],[2. 1. 1. 2. 1. 1. 1. 1. 2. 1.],"[1.00982183 0.70293418 0.74088802 0.67967787 0.93854457 0.8780854
 0.72902004 0.80552991 0.86259199 0.66192934]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.65932378 0.4552114  0.48185665 0.43320692 0.66005885 0.61380684
 0.49807033 0.50434827 0.57404951 0.43631411]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
