gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.274 0.397 0.188 0.24  0.355 0.409 0.298 0.291 0.217 0.236],[3.11 3.44 3.06 2.8  3.46 3.91 3.02 3.45 2.58 2.71],[1.5 2.  1.5 2.  2.  2.  2.  2.  1.  2. ],"[1.01806023 1.16137146 0.91255522 0.75582602 1.2641571  1.50901704
 0.97196002 1.1380943  0.68856905 0.694153  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.7564019  0.81698181 0.70880278 0.51105917 0.93244506 1.11707917
 0.66911884 0.82085064 0.47267549 0.44893571]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.446 0.506 0.482 0.684 0.587 0.612 0.579 0.589 0.472 0.559],[2.58 2.67 2.83 3.49 2.89 3.46 3.16 3.4  2.77 3.19],[1. 2. 1. 2. 2. 2. 2. 2. 1. 2.],"[0.95730203 1.0222199  1.15324078 1.60949251 1.28839799 1.52225699
 1.42595121 1.47440372 1.18026525 1.22600469]",[0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],"[0.50446145 0.49057195 0.64202008 0.94965121 0.70344193 0.94561331
 0.84263822 0.85684757 0.68511937 0.70972783]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.886 0.833 0.656 0.807 0.738 0.765 1.002 0.736 0.831 0.846],[2.96 3.17 2.93 3.05 3.18 2.97 3.11 2.89 3.41 3.19],[1. 1. 1. 1. 2. 1. 2. 1. 2. 1.],"[1.52033269 1.59729014 1.37231741 1.57471811 1.55261507 1.48921801
 1.68552181 1.38761136 1.66381244 1.73803393]",[1. 0. 0. 1. 0. 1. 1. 0. 1. 1.],"[0.69956853 0.81821788 0.70471793 0.77896677 0.79815462 0.72778978
 0.72298763 0.68515897 0.87667071 0.84983812]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.039 0.798 0.875 1.07  1.    0.844 0.931 0.975 1.021 1.122],[3.   2.69 2.64 3.17 3.04 2.82 2.91 2.94 3.21 3.62],[2.  2.  1.5 2.  2.  2.  1.  1.5 1.  2. ],"[1.65321808 1.28675882 1.43854435 1.86701448 1.70387824 1.43037974
 1.58699805 1.7174961  1.89193712 2.06368754]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.63721954 0.48626565 0.53478276 0.79667818 0.68533088 0.58831919
 0.65650489 0.68091407 0.849135   0.96337993]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.211 1.122 1.08  1.255 1.023 1.069 0.893 0.964 1.351 1.035],[2.91 2.92 2.89 3.32 2.85 2.82 2.31 2.71 3.62 2.8 ],[1. 2. 1. 2. 2. 1. 1. 1. 2. 1.],"[1.82632447 1.7034426  1.70418062 2.01283152 1.63797964 1.70457936
 1.25612382 1.53874092 2.23903084 1.57386199]",[1.     1.     1.     1.1875 1.     1.     1.     1.     1.     1.    ],"[0.63888917 0.60689719 0.63073702 0.76796335 0.58589346 0.62412648
 0.37446123 0.57794502 0.88493843 0.56488677]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.145 1.155 1.104 1.361 1.337 1.148 1.158 1.209 1.161 1.44 ],[2.93 2.85 2.64 3.14 3.32 2.65 2.8  3.03 2.6  3.42],[2. 2. 1. 1. 2. 1. 1. 1. 1. 2.],"[1.79149152 1.72164677 1.58232925 2.09582124 2.02918477 1.62238208
 1.69589577 1.86824852 1.62760156 2.19523378]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.60491559 0.53330693 0.48017837 0.69980317 0.72041523 0.49706774
 0.54347389 0.65925438 0.48485986 0.75222353]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.381 1.301 1.587 1.466 1.327 1.491 1.574 1.34  1.421 1.58 ],[3.08 2.73 3.39 2.92 3.07 3.19 3.32 2.98 3.06 3.37],[2.  2.  2.  2.  2.  1.5 2.  1.  2.  2. ],"[2.01059628 1.76118037 2.28846918 1.9497452  1.93092254 2.13526615
 2.24141678 1.95617973 1.93876709 2.25099132]",[1.   1.   1.25 1.   1.   1.   1.25 1.   1.   1.25],"[0.60834591 0.48617427 0.70472712 0.55291902 0.60253142 0.70056095
 0.65933915 0.5805181  0.60167724 0.69640392]",[0.   0.   0.25 0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.4,[1.51  1.34  1.223 1.392 1.583 1.483 1.833 1.486 1.273 1.563],[3.06 2.7  2.89 3.   3.33 3.06 3.84 3.26 2.76 3.14],[2.  1.5 2.  2.  2.  2.  2.  2.  1.  2. ],"[2.05633193 1.79580717 1.7231845  1.97749484 2.20490354 2.09669665
 2.67447746 2.1817524  1.84164096 2.1583111 ]",[1.    1.    1.    1.25  1.25  1.    1.25  1.    1.    1.125],"[0.58414688 0.45487638 0.51692168 0.55293429 0.67318234 0.59688708
 0.84213615 0.63277047 0.50832797 0.60575739]",[0.    0.    0.    0.25  0.125 0.    0.25  0.    0.    0.   ]
1.5,0.45,[1.537 1.667 1.647 1.418 1.539 1.782 1.294 1.551 1.472 1.941],[2.95 3.49 3.24 2.84 3.37 3.63 2.62 2.98 3.01 4.03],[2. 2. 1. 2. 2. 2. 1. 2. 1. 2.],"[2.02919406 2.44738009 2.30475273 1.9329505  2.29098852 2.59775023
 1.70992625 2.0400691  2.10971947 2.86739801]",[1.    1.125 1.    1.    1.125 1.25  1.    1.    1.    1.   ],"[0.50894809 0.71709567 0.65180656 0.49687139 0.68423865 0.7878723
 0.45966624 0.53478955 0.5724514  0.93766534]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.22  0.281 0.289 0.237 0.296 0.264 0.383 0.414 0.266 0.303],[2.65 2.97 2.88 2.41 3.26 2.67 3.09 3.25 2.75 3.19],[1. 2. 1. 1. 2. 1. 1. 2. 2. 1.],"[0.73212619 0.90184984 0.92849348 0.59372803 1.04908672 0.76390993
 1.14158921 1.1084458  0.78593115 1.14443858]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.51246066 0.62204637 0.63022688 0.37216553 0.76093487 0.48663698
 0.76958908 0.71089209 0.52482763 0.84386485]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.1,[0.459 0.428 0.471 0.385 0.548 0.608 0.547 0.623 0.539 0.439],[2.61 2.46 2.7  2.35 2.57 3.21 2.98 2.98 2.98 2.86],[1. 1. 2. 1. 1. 2. 2. 2. 1. 1.],"[1.01587316 0.9634842  1.08389514 0.72296809 1.11239942 1.33407091
 1.23692242 1.26104476 1.31466093 1.12321886]",[0.  0.  0.  0.  0.  1.  0.  0.5 0.  0. ],"[0.56047216 0.5192386  0.60075061 0.35087825 0.5853169  0.74541857
 0.70361676 0.66532211 0.7781204  0.66384813]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.15000000000000002,[0.773 0.734 0.693 0.635 0.66  0.677 0.794 0.741 0.733 0.614],[2.9  2.98 2.59 2.56 2.69 2.75 3.17 2.92 3.2  2.57],[1.  1.  2.  1.  1.  1.  1.  1.5 2.  1. ],"[1.44255323 1.43798865 1.18766805 1.18356043 1.27961514 1.26902353
 1.66380402 1.40075981 1.53683936 1.17782577]",[1. 0. 0. 0. 0. 0. 1. 1. 0. 0.],"[0.65059522 0.73186865 0.50876912 0.54826258 0.60901456 0.60485361
 0.82494293 0.67115287 0.81509619 0.54629256]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.2,[0.902 0.895 0.936 1.045 0.904 0.882 0.873 0.894 0.745 0.755],[2.61 2.82 2.8  3.15 2.96 2.91 2.42 2.66 2.34 2.71],[1.  2.  2.  2.  2.  2.  1.  1.5 1.  2. ],"[1.38294791 1.46011331 1.50252077 1.77861836 1.59965303 1.55468887
 1.30685474 1.39379069 1.17359252 1.31054502]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.51826591 0.58605447 0.59755007 0.78206807 0.67877168 0.65276687
 0.47171314 0.54201335 0.43689086 0.52094297]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.25,[1.18  1.323 0.993 0.857 1.041 1.164 0.995 0.886 0.992 1.131],[3.08 3.38 2.85 2.4  2.92 2.75 2.77 2.53 2.74 2.86],[1.  1.  1.5 1.  2.  2.  1.5 1.  1.  1.5],"[1.90057403 2.18124109 1.61409102 1.27639631 1.64523151 1.60464513
 1.58904291 1.37156902 1.57924032 1.68168301]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.70909576 0.88746423 0.58576339 0.43297345 0.60462116 0.50673742
 0.59401544 0.4792863  0.56213827 0.60602627]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.3,[1.266 1.424 1.414 1.133 1.176 1.301 1.321 0.854 1.23  1.087],[2.85 3.46 3.31 2.51 2.73 3.34 3.05 2.44 2.94 2.62],[2.  1.  1.  1.  1.  2.  2.  1.  1.5 1. ],"[1.78943747 2.29362271 2.22122332 1.5748832  1.7008832  2.1283301
 1.94867596 1.22737036 1.8254316  1.59745666]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.55531638 0.84812771 0.78898761 0.49197061 0.55025332 0.77511721
 0.65494305 0.35611059 0.60056893 0.49933899]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.6,0.35000000000000003,[1.293 1.237 1.126 1.307 1.412 1.097 1.18  1.376 1.18  1.178],[2.74 2.6  2.59 2.6  2.95 2.48 2.56 3.   2.68 2.55],[1.  1.  1.  1.5 1.  2.  1.  2.  1.  1. ],"[1.80515385 1.6950652  1.59974011 1.71797197 2.08706405 1.43209255
 1.62185338 1.9502244  1.6939128  1.52071833]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.53581547 0.46175099 0.42509533 0.43568865 0.65285323 0.38576137
 0.44151402 0.59548136 0.48612959 0.39864802]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.4,[1.704 1.481 1.444 1.31  1.555 1.195 1.109 1.201 1.193 1.385],[3.47 3.11 2.99 2.76 3.1  2.53 2.52 2.46 2.69 2.81],[1.5 2.  2.  1.  1.  1.5 1.  1.  1.  2. ],"[2.41970392 2.12425482 2.01178119 1.79906678 2.18991122 1.57572364
 1.54963655 1.56722319 1.68698953 1.88925593]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.75347406 0.61426214 0.60290546 0.51427063 0.63528232 0.38904884
 0.39637727 0.39019194 0.45778787 0.50743464]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
