gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.275 0.298 0.245 0.263 0.284 0.329 0.216 0.256 0.243 0.238],[3.44 2.81 2.97 2.85 3.1  3.05 2.74 2.76 3.32 2.85],[2.  1.  1.  2.  1.5 2.  1.  2.  2.  1. ],"[1.1271862  0.85634492 1.00292179 0.87301898 1.00337507 1.0026833
 0.81138436 0.77988622 0.95365239 0.88798068]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.83642448 0.57988008 0.72290958 0.60962054 0.72421003 0.68766316
 0.57289315 0.51977879 0.71438054 0.64474154]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.609 0.491 0.589 0.516 0.531 0.607 0.468 0.654 0.557 0.578],[3.13 3.   3.06 3.03 2.68 3.39 2.84 3.25 3.03 3.14],[2. 2. 2. 2. 1. 2. 2. 2. 1. 2.],"[1.35808657 1.17596546 1.36104407 1.22691696 1.12014608 1.56718582
 1.10896381 1.41135443 1.29643635 1.37689306]",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.7661603  0.68740589 0.77268469 0.69163375 0.6280068  0.93373977
 0.63745319 0.80109808 0.73783283 0.78475927]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[1.038 0.769 0.793 0.623 0.785 0.886 0.805 0.672 0.861 0.679],[3.94 3.23 3.48 2.55 2.99 3.4  3.25 2.69 3.23 2.85],[2.  2.  2.  1.5 1.  2.  2.  1.  2.  2. ],"[2.21715509 1.62479902 1.66962229 1.15835827 1.44518423 1.8018255
 1.62571107 1.37280964 1.70749101 1.28125835]",[1.   1.   1.25 0.5  1.   1.   1.   1.   1.   0.  ],"[1.2026922  0.827628   0.85800364 0.51026867 0.68974966 0.8631048
 0.78680909 0.62968709 0.83573808 0.61682476]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.2,[0.996 0.92  1.151 1.024 0.997 0.886 1.192 1.054 0.899 0.926],[3.01 3.01 3.3  2.98 2.98 3.21 3.55 3.21 2.86 2.81],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.70617806 1.6395089  1.94324924 1.70405441 1.66166592 1.6341515
 2.07092355 1.84313582 1.52189636 1.54983338]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.68095345 0.71517235 0.79626193 0.71475204 0.67962857 0.70351429
 0.93942025 0.79850447 0.62436401 0.61257752]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.198 1.243 1.143 0.985 1.049 1.196 1.069 1.008 1.288 1.189],[3.04 3.21 3.11 2.79 2.63 3.11 2.62 2.87 3.2  3.13],[2.  1.5 2.  2.  1.  2.  1.  1.5 2.  1. ],"[1.88966212 2.01500857 1.84365846 1.50772751 1.60096152 1.85121805
 1.53966196 1.64485182 1.99478355 1.95023638]","[1.25    1.      1.      1.      1.      1.      1.      1.      1.09375
 1.     ]","[0.67076075 0.77549074 0.68731812 0.53549851 0.5352822  0.66266824
 0.50067759 0.60538893 0.74093589 0.7391231 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.461 0.995 1.048 1.213 1.188 1.333 1.161 1.271 1.309 1.35 ],[3.19 2.64 2.46 2.97 2.83 3.07 2.91 3.12 3.31 3.09],[1.  1.  1.5 2.  1.  2.  2.  2.  2.  1.5],"[2.15411296 1.48175069 1.44329058 1.85724503 1.78435378 1.96143368
 1.71921847 1.91673005 2.04333547 2.01557114]",[1.    1.    1.    1.    1.    1.125 1.    1.    1.    1.   ],"[0.71732402 0.48469747 0.37578082 0.59605729 0.55339858 0.62535824
 0.55436434 0.65395661 0.73726552 0.66519272]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.42  1.277 1.391 1.302 1.584 1.185 1.085 1.123 1.338 1.412],[3.11 2.74 2.97 2.84 3.49 2.53 2.31 2.63 3.03 3.04],[2.  2.  1.  1.5 2.  1.  2.  1.  1.  2. ],"[2.03703183 1.72385897 1.94734396 1.79044387 2.3185686  1.61748519
 1.36902531 1.64420161 2.01136956 1.99150411]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.62778866 0.50036287 0.60430685 0.5191841  0.75892382 0.42443831
 0.32086735 0.48074213 0.62872918 0.61267598]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.33  1.298 1.561 1.232 1.539 1.308 1.387 1.658 1.65  1.292],[2.82 2.85 3.18 2.65 3.   2.7  3.09 3.56 3.2  2.66],[1. 2. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.84728127 1.87409938 2.16035666 1.71625927 2.05729637 1.74012204
 2.03566349 2.38427428 2.26910038 1.69678471]",[1.    1.    1.125 1.    1.    1.    1.    1.25  1.25  1.   ],"[0.5200303  0.50991176 0.60943625 0.44695446 0.55419334 0.45631833
 0.59829655 0.72376769 0.6316785  0.46532719]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.  ]
1.5,0.45,[1.798 1.304 1.434 1.553 1.471 1.59  1.488 1.713 1.592 1.345],[3.54 2.63 2.64 3.16 3.07 3.26 3.08 3.4  3.4  2.79],[2.  1.  1.  2.  1.5 2.  2.  2.  2.  2. ],"[2.45949659 1.70225663 1.8024493  2.18688558 2.0373534  2.23539048
 2.09028435 2.39262023 2.39752042 1.8258511 ]",[1.25  1.    1.    1.25  1.    1.    1.25  1.    1.    1.125],"[0.71131543 0.44665848 0.45071346 0.5829128  0.58496998 0.63457993
 0.54765251 0.70240172 0.73102994 0.48206631]",[0.25 0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.6,0.05,[0.429 0.254 0.354 0.304 0.207 0.318 0.179 0.289 0.248 0.332],[3.26 3.14 3.36 2.82 2.9  3.48 2.44 3.09 2.79 3.31],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[1.16732829 1.00629012 1.13642208 0.82373344 0.80472522 1.2517003
 0.53088687 1.0257836  0.84615521 1.20487712]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.77415934 0.72784712 0.80627072 0.54677788 0.57787403 0.93931321
 0.36107242 0.72524527 0.61020245 0.84983195]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
