gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.224 0.32  0.291 0.338 0.31  0.315 0.327 0.25  0.299 0.369],[2.9  3.08 2.72 3.35 2.89 3.25 3.48 2.45 2.9  3.06],[1. 1. 1. 2. 1. 2. 2. 1. 1. 2.],"[0.88123136 1.11049035 0.92422965 1.12350031 0.93632481 1.07292616
 1.24609039 0.68430206 0.93620791 1.07642663]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.65923612 0.78399438 0.60354606 0.78873163 0.63998692 0.74864454
 0.90018219 0.44494659 0.66558535 0.7259005 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.582 0.665 0.614 0.688 0.706 0.503 0.618 0.703 0.572 0.409],[2.95 3.37 3.27 3.41 3.28 3.01 3.41 3.74 2.65 2.78],[2. 2. 2. 2. 2. 2. 2. 2. 1. 1.],"[1.25718672 1.52624369 1.44641039 1.62539377 1.4575546  1.1932822
 1.55949396 1.71977979 1.13696198 1.05895466]",[0.  1.  0.  1.  0.5 0.  0.  1.  0.  0. ],"[0.68886336 0.88246988 0.82418871 0.94203256 0.80665739 0.68643161
 0.94014093 1.03475721 0.57729462 0.61920918]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.745 0.833 0.735 0.747 0.706 0.613 0.773 0.73  0.83  0.682],[2.71 3.6  2.89 2.91 2.55 2.9  3.44 2.66 3.31 2.76],[1.5 2.  2.  2.  1.  2.  2.  1.  2.  1.5],"[1.32150654 1.7895533  1.42432632 1.42191422 1.2375498  1.28412789
 1.67670731 1.2528155  1.65495626 1.25460076]",[1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],"[0.60272236 0.92549812 0.66532424 0.65170059 0.55775732 0.62895882
 0.86917496 0.54037653 0.85992086 0.58481805]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.916 1.079 1.089 0.916 1.172 1.01  1.127 0.845 0.788 0.793],[2.62 3.23 3.18 2.63 3.53 3.18 3.5  2.91 2.62 2.63],[1. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[1.44878432 1.83989388 1.7844729  1.44818563 2.08352001 1.70354117
 1.98420918 1.49341507 1.27078325 1.30396904]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.56163283 0.78157235 0.73795679 0.53480673 0.9614436  0.73343924
 0.89894307 0.65961136 0.48801287 0.5076873 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[0.953 1.043 1.275 1.13  1.102 0.942 0.907 1.168 1.087 1.31 ],[2.72 2.55 3.35 2.86 2.93 2.9  2.53 3.39 2.81 3.49],[2. 1. 2. 1. 2. 2. 1. 2. 2. 2.],"[1.51160182 1.49033387 2.03880231 1.74627212 1.67014727 1.60286687
 1.3952222  2.04524624 1.6174029  2.14030699]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   1.25],"[0.55093775 0.44666199 0.79602643 0.61737563 0.57153643 0.60811589
 0.46399173 0.8342416  0.56671015 0.84461058]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25]
1.5,0.3,[1.223 1.071 1.12  1.234 1.522 1.47  1.185 1.38  1.213 1.413],[2.87 2.87 2.77 2.98 3.42 3.53 2.81 3.28 2.72 3.13],[2. 1. 2. 1. 2. 2. 2. 2. 2. 2.],"[1.81488819 1.74085124 1.73562906 1.91089572 2.19629162 2.29433607
 1.70226722 2.05660971 1.67043692 2.0269145 ]",[1.    1.    1.    1.    1.25  1.125 1.    1.25  1.    1.25 ],"[0.5861272  0.59851054 0.53491251 0.61720676 0.73389965 0.8275514
 0.52814613 0.70376181 0.50648001 0.6291435 ]",[0.   0.   0.   0.   0.25 0.   0.   0.25 0.   0.25]
1.5,0.35000000000000003,[1.114 1.323 1.368 1.253 1.279 1.332 1.617 0.98  1.63  1.207],[2.64 3.08 3.07 2.7  2.73 2.95 3.55 2.2  3.61 2.76],[2. 2. 2. 1. 1. 1. 2. 1. 2. 2.],"[1.58627183 2.0160949  1.96938338 1.75151054 1.75194663 1.93753039
 2.36936199 1.267174   2.39513962 1.7376541 ]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.4401378  0.61640618 0.60631697 0.5004174  0.51541099 0.57790393
 0.76308025 0.29269158 0.80951462 0.51528593]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.4,[1.615 1.873 1.366 1.677 1.263 1.386 1.592 1.485 1.519 1.669],[3.37 3.58 2.83 3.46 2.73 3.04 3.21 2.93 2.94 3.52],[2.  2.  2.  2.  1.5 2.  2.  2.  2.  2. ],"[2.25696854 2.52860643 1.91032751 2.40686348 1.74927849 1.96258146
 2.23384082 1.995276   2.02844224 2.38243284]",[1.25  1.25  1.    1.    1.    1.25  1.125 1.    1.    1.125],"[0.66110246 0.75915941 0.51348974 0.75533882 0.47218376 0.56310636
 0.65901904 0.52704663 0.54648362 0.73821164]",[0.25  0.125 0.    0.    0.    0.25  0.    0.    0.    0.125]
1.5,0.45,[1.64  1.644 1.406 1.864 1.48  1.78  1.372 1.55  1.783 1.317],[3.11 3.29 2.92 3.45 2.97 3.5  2.73 3.   3.53 2.54],[2. 2. 2. 2. 2. 2. 2. 2. 2. 1.],"[2.17255553 2.29906396 1.93551958 2.48430394 2.00108259 2.52053602
 1.83479933 2.06511936 2.50266083 1.71375899]",[1.   1.   1.   1.   1.   1.25 1.   1.25 1.25 1.  ],"[0.57272948 0.63391747 0.53454607 0.7209293  0.53895978 0.71983656
 0.46280714 0.50533909 0.73464203 0.40970626]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.25 0.  ]
1.6,0.05,[0.261 0.217 0.226 0.238 0.214 0.2   0.246 0.221 0.174 0.253],[2.91 2.6  2.58 2.9  2.92 3.06 2.53 2.76 2.69 3.45],[1.  1.  1.  2.  1.5 2.  1.  1.  2.  2. ],"[0.95554266 0.71700243 0.6896664  0.89761984 0.8733739  0.90992769
 0.72478648 0.80680773 0.65251825 1.17871554]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.68395575 0.4704204  0.48105189 0.6683132  0.6374364  0.70149752
 0.49071421 0.58763293 0.4612829  0.90757296]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
