gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.303 0.252 0.238 0.278 0.303 0.388 0.274 0.339 0.287 0.287],[3.24 3.   2.87 2.85 3.4  3.72 3.25 3.5  2.94 2.94],[2.  1.  1.5 1.  2.  2.  2.  2.  1.5 2. ],"[1.0624811  0.9383267  0.84672554 0.90979839 1.11538202 1.45431092
 0.9922666  1.21710758 0.89598539 0.8158606 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.77493654 0.6861392  0.60763252 0.65037395 0.8134997  1.05654175
 0.69347998 0.90086734 0.62110502 0.53185669]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.69  0.536 0.659 0.607 0.608 0.533 0.59  0.49  0.662 0.447],[3.61 2.88 3.25 3.34 3.64 2.94 3.18 2.83 3.08 2.69],[2. 1. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.72599397 1.20512894 1.49064878 1.42056211 1.62303228 1.22919602
 1.38565517 1.07392261 1.331797   1.01305362]",[1. 0. 1. 1. 0. 0. 0. 0. 1. 0.],"[1.01571443 0.69929642 0.84378111 0.82262144 1.01807378 0.68271165
 0.77724208 0.60129078 0.6906886  0.56121585]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.668 0.804 0.926 0.801 0.75  0.805 0.641 0.783 0.911 0.747],[2.8  3.54 3.47 3.26 2.77 3.13 2.61 2.89 3.6  2.81],[1. 2. 2. 2. 1. 2. 1. 1. 2. 2.],"[1.31191772 1.78505812 1.77747185 1.62701039 1.33860333 1.50422985
 1.22706373 1.4535332  1.97284132 1.36478819]",[0.   1.   1.25 1.   0.   1.   0.   1.   1.   0.5 ],"[0.65257445 0.94273452 0.87478142 0.79462025 0.64037091 0.71248852
 0.5831233  0.71027209 1.02792433 0.61670225]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.2,[0.836 1.094 1.257 1.177 0.977 1.052 0.819 0.91  0.86  1.002],[2.69 3.28 4.03 3.63 3.25 3.37 2.88 2.61 2.6  3.06],[1. 2. 2. 2. 2. 2. 2. 1. 1. 2.],"[1.44873442 1.95007063 2.40566626 2.19967065 1.74199357 1.93716196
 1.4712308  1.42903466 1.36847448 1.71243557]","[1.      1.      1.21875 1.      1.      1.      1.      1.      1.
 1.     ]","[0.58894317 0.82650617 1.12334754 1.02960595 0.76125871 0.84887949
 0.59404818 0.53945214 0.51961035 0.72295314]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.25,[1.083 1.179 1.127 1.171 1.033 1.148 1.075 1.091 1.165 0.946],[2.59 3.21 2.95 3.19 2.96 3.43 2.88 2.96 3.04 2.52],[1. 2. 1. 2. 2. 2. 2. 2. 1. 1.],"[1.57936126 1.90538732 1.76626558 1.84506588 1.64753707 2.06809928
 1.61873178 1.7312927  1.83682368 1.36788398]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.52334563 0.73470373 0.65717379 0.74378109 0.62179    0.85320914
 0.59870736 0.61198606 0.71212885 0.47421821]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.254 1.16  1.408 1.139 1.358 1.649 1.108 1.018 1.216 1.099],[2.89 2.75 3.36 2.77 3.08 3.76 2.7  2.75 2.99 2.69],[2.  2.  2.  1.  2.  2.  1.5 1.  2.  1. ],"[1.76294749 1.65880968 2.08249514 1.73102087 2.01578794 2.54458288
 1.5939613  1.59013446 1.87816884 1.63927389]",[1.125 1.25  1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.54393382 0.47927843 0.75973268 0.53390661 0.63213743 0.94457433
 0.49328503 0.50798419 0.65586904 0.54105917]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.431 1.812 1.439 1.201 1.392 1.633 1.465 1.038 1.432 1.23 ],[3.09 4.02 3.33 2.72 2.93 3.51 3.06 2.48 3.12 2.83],[2.  2.  1.5 2.  2.  2.  2.  1.  2.  2. ],"[2.06640989 2.77298797 2.22385014 1.70233647 1.8493096  2.42704802
 1.98927229 1.47542109 2.05390074 1.72277072]",[1.   1.25 1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.63194639 0.95729461 0.71832951 0.46531011 0.51530325 0.78480437
 0.59449507 0.41794551 0.64994444 0.50624728]",[0.   0.25 0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.5,0.4,[1.47  1.702 1.5   1.467 1.401 1.597 1.274 1.692 1.804 1.867],[2.86 3.41 3.18 3.13 3.06 3.18 2.76 3.25 3.57 3.78],[1.5 2.  2.  2.  2.  1.5 1.  2.  2.  2. ],"[1.93893679 2.36654829 2.16505964 2.14707502 1.99172603 2.20896632
 1.78758417 2.30815887 2.50522075 2.68118187]",[1.    1.125 1.    1.    1.    1.    1.    1.25  1.25  1.25 ],"[0.52951845 0.68672895 0.63051007 0.61971173 0.54768795 0.62858058
 0.48831171 0.64905975 0.74296733 0.84987755]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.25]
1.5,0.45,[1.757 1.326 1.633 1.441 1.543 1.385 1.657 1.404 1.437 1.33 ],[3.52 2.46 3.21 2.7  3.19 2.64 3.3  3.02 2.89 2.7 ],[2.  2.  2.  2.  2.  1.5 2.  2.  1.  2. ],"[2.46555186 1.64571036 2.26126364 1.80419867 2.19442094 1.73489595
 2.27538208 1.94124643 1.98767283 1.788916  ]",[1.    1.    1.    1.    1.    1.    1.125 1.    1.    1.   ],"[0.75558421 0.33885489 0.62809713 0.43800238 0.63097612 0.42438935
 0.6389978  0.53931772 0.55457224 0.45597654]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.326 0.247 0.235 0.27  0.228 0.309 0.308 0.213 0.292 0.33 ],[2.83 2.63 2.2  2.94 2.5  3.05 2.87 2.49 2.79 2.48],[2.  1.5 1.  1.  1.  2.  1.  1.5 1.  1. ],"[0.85469378 0.71653601 0.58075286 0.89868747 0.66564977 1.03787935
 1.00502497 0.61564661 0.83884645 0.76630419]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.50082171 0.47488317 0.35674896 0.65254489 0.44695836 0.75481172
 0.69368708 0.3986593  0.58661012 0.44409472]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
