gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.306 0.276 0.322 0.245 0.239 0.357 0.335 0.304 0.271 0.258],[2.87 2.76 2.83 3.09 3.   3.77 3.09 2.97 3.02 2.69],[2. 2. 1. 2. 2. 2. 2. 1. 2. 1.],"[0.90743192 0.83283789 0.92324745 0.9269983  0.93528617 1.34021313
 0.98520204 1.03636676 0.91781708 0.76510192]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.59644254 0.54815771 0.58891395 0.66569703 0.67923636 0.97180005
 0.66359011 0.7452901  0.65238495 0.50928039]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.643 0.507 0.607 0.491 0.583 0.583 0.501 0.573 0.519 0.502],[3.43 2.95 3.3  2.94 3.08 3.03 2.69 3.15 2.41 2.83],[2. 1. 2. 2. 2. 2. 1. 2. 1. 1.],"[1.52540087 1.27312941 1.51625275 1.14217578 1.36871942 1.34552987
 1.0415974  1.34446209 0.94421569 1.15964999]",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.89304186 0.7548274  0.90407929 0.64184374 0.79239862 0.77732064
 0.57654186 0.74860271 0.43304381 0.65629061]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.856 0.81  0.792 0.748 0.699 0.77  0.752 0.901 0.642 0.648],[3.16 3.27 3.07 3.26 2.8  3.   2.95 3.28 2.45 2.56],[1. 2. 2. 1. 2. 1. 1. 2. 1. 1.],"[1.68971835 1.60348551 1.48357004 1.62549047 1.29866375 1.49453927
 1.50902142 1.73364771 1.09170247 1.2278522 ]",[1. 1. 0. 0. 1. 1. 1. 1. 0. 0.],"[0.83297213 0.80550882 0.70427866 0.87034399 0.59792644 0.73341867
 0.71291119 0.81609644 0.4662264  0.57543643]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.054 1.    0.938 1.072 0.981 0.934 0.879 0.79  1.1   0.885],[3.33 3.06 3.2  3.16 2.95 3.2  2.61 2.46 3.24 2.92],[1.5 1.  1.5 1.5 2.  2.  1.5 1.  2.  2. ],"[1.93306719 1.68828255 1.76224243 1.83765506 1.61360343 1.67920983
 1.37121754 1.24602659 1.87940601 1.50080997]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.85918596 0.73681343 0.7977301  0.76382449 0.64746451 0.70097741
 0.51750844 0.44464537 0.79377613 0.61209659]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.5,0.25,[1.192 1.181 0.842 0.939 1.12  1.073 1.121 1.071 1.239 1.142],[2.97 3.22 2.68 2.56 2.91 3.1  2.88 3.17 3.43 2.76],[1. 2. 2. 1. 2. 2. 1. 2. 2. 1.],"[1.81474577 1.91354091 1.39306216 1.37231794 1.73898255 1.72506312
 1.69324852 1.80361533 2.01363504 1.66578512]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.64106413 0.73708278 0.49065982 0.46825544 0.6054181  0.6481222
 0.61195458 0.69708152 0.80214029 0.55613485]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.274 1.102 1.185 1.015 1.334 1.055 1.275 1.424 1.054 1.079],[3.06 2.77 2.51 2.37 3.09 2.65 3.05 3.29 2.28 2.74],[2.  1.  1.  1.  2.  1.  2.  1.5 1.  1.5],"[1.87605995 1.70068745 1.55177151 1.40332536 2.0069369  1.51479514
 1.91851573 2.1446292  1.36296883 1.65416149]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66882118 0.5229543  0.44275052 0.40286393 0.65255336 0.47034812
 0.62509654 0.75650908 0.36170052 0.52081921]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.224 1.46  1.449 1.727 1.528 1.523 1.297 1.436 1.629 1.194],[2.66 3.1  3.17 3.7  3.17 3.31 2.78 3.11 3.36 3.  ],[1. 2. 1. 2. 2. 2. 1. 2. 2. 2.],"[1.71504589 2.04182936 2.13404523 2.53058431 2.12341145 2.29344259
 1.76413781 2.06302283 2.30518906 1.8444564 ]",[1.   1.   1.   1.25 1.   1.25 1.   1.   1.25 1.  ],"[0.49647106 0.63292616 0.68658063 0.86207845 0.65540242 0.69924032
 0.51614953 0.64488379 0.72317246 0.57762168]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.5,0.4,[1.467 1.713 1.501 1.758 1.518 1.577 1.785 1.463 1.432 1.529],[3.44 3.54 3.04 3.45 3.27 3.28 3.69 2.94 2.97 3.41],[2. 2. 2. 2. 2. 2. 2. 1. 2. 1.],"[2.27229942 2.4333872  2.07947912 2.45507284 2.2707138  2.26844599
 2.58962962 2.00951605 1.91595629 2.36894451]",[1.   1.25 1.25 1.   1.25 1.   1.25 1.   1.25 1.  ],"[0.73253135 0.73216405 0.57236242 0.72460164 0.67686797 0.68127986
 0.80888866 0.57203558 0.53129076 0.76215069]",[0.   0.25 0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.45,[1.57  1.534 1.22  1.631 1.432 1.602 1.817 1.394 1.326 1.378],[3.35 3.03 2.28 3.13 2.79 3.09 3.62 2.75 2.68 2.87],[2.  1.5 1.  2.  1.  2.  2.  1.5 1.  1. ],"[2.16392761 2.13933196 1.47004416 2.17857971 1.88548523 2.13570247
 2.58017864 1.83160215 1.76062421 1.93425237]",[1.    1.    1.    1.    1.    1.    1.125 1.    1.    1.   ],"[0.62104675 0.5558139  0.2956301  0.58749572 0.46358338 0.59060725
 0.78773907 0.46799131 0.43169843 0.52068547]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.263 0.251 0.267 0.223 0.359 0.301 0.267 0.325 0.332 0.363],[2.86 2.48 2.57 2.07 3.25 3.17 3.03 3.24 3.02 3.01],[1.  1.  1.  1.  2.  2.  2.  1.5 2.  2. ],"[0.97468556 0.69956819 0.76543678 0.45471399 1.13111336 1.0470101
 1.05529387 1.1120747  0.9845839  0.97531855]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.68084767 0.45534944 0.49082252 0.24885462 0.77306343 0.73715902
 0.73806487 0.81611278 0.66916153 0.66272029]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
