gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.293 0.295 0.352 0.29  0.379 0.295 0.254 0.16  0.232 0.271],[2.81 2.66 3.38 3.03 3.9  3.17 2.99 2.38 2.94 3.66],[1. 1. 2. 2. 2. 2. 2. 1. 2. 2.],"[0.86006775 0.80274773 1.14770834 0.97889861 1.52531432 1.03822547
 0.90614421 0.53564731 0.7811961  1.27476839]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.58603943 0.4991491  0.81494467 0.69119231 1.15422301 0.72669715
 0.65177898 0.34784458 0.55361858 0.97405794]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.563 0.525 0.528 0.508 0.603 0.467 0.587 0.603 0.513 0.42 ],[3.12 3.45 3.1  2.86 3.44 2.9  2.98 3.3  2.8  2.91],[1.  2.  2.  1.  2.  1.  1.5 2.  2.  2. ],"[1.38487664 1.46469132 1.31269491 1.22815629 1.51956113 1.22412255
 1.3364221  1.42897729 1.03027726 1.07800851]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.83493096 0.89857804 0.78225973 0.70388017 0.91474179 0.74748436
 0.75052122 0.83989282 0.53576066 0.63763498]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.827 0.75  0.577 0.772 0.706 0.684 0.797 0.957 0.784 0.764],[3.46 2.78 2.44 3.07 2.76 2.95 2.98 3.08 2.83 3.11],[1.  1.  1.  2.  1.  2.  1.5 1.5 2.  2. ],"[1.83091979 1.39390662 1.07783614 1.45851163 1.33278533 1.38090574
 1.51773998 1.68526013 1.47332874 1.52593268]",[0. 1. 0. 1. 0. 1. 1. 1. 1. 1.],"[0.99685424 0.65016394 0.4758531  0.6775546  0.65138457 0.65138914
 0.7273225  0.7683363  0.66383961 0.75129645]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.218 0.696 1.001 0.847 0.82  1.091 0.672 1.098 0.822 1.014],[3.4  2.41 3.19 2.78 2.77 3.25 2.23 3.37 2.72 3.15],[2.  1.  1.5 1.  2.  2.  1.  2.  1.  2. ],"[2.0778422  1.09025507 1.7682917  1.40138313 1.40617207 1.82587153
 0.99875451 1.97159373 1.44771011 1.74103022]",[1. 0. 1. 1. 1. 1. 0. 1. 1. 1.],"[0.87489603 0.3991662  0.78952949 0.58808296 0.58118    0.78720209
 0.36300988 0.86864024 0.5943605  0.70835932]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.021 1.129 0.992 1.16  1.309 1.175 1.103 1.178 1.176 0.984],[2.87 2.87 2.93 2.79 3.33 3.14 3.04 3.16 3.14 2.68],[1.  2.  1.5 2.  2.  2.  1.  1.  2.  2. ],"[1.63669265 1.71078679 1.64893799 1.61777175 2.0532951  1.9106393
 1.82650387 1.93473037 1.90277029 1.48430579]",[1.    1.125 1.    1.25  1.    1.    1.    1.    1.    1.   ],"[0.61385025 0.58701238 0.62108399 0.49557509 0.79248456 0.72144009
 0.7334161  0.72845352 0.69623221 0.50473547]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.5,0.3,[1.26  1.139 1.321 1.469 1.442 1.266 1.574 1.476 1.316 1.432],[2.93 2.83 2.96 3.36 3.14 2.8  3.84 3.55 3.31 3.33],[1. 2. 1. 2. 2. 1. 2. 2. 2. 2.],"[1.81290298 1.69029373 1.90611403 2.18894354 2.0877903  1.7967684
 2.60255686 2.26401122 2.10066072 2.1595517 ]",[1.    1.    1.    1.    1.    1.    1.125 1.25  1.    1.   ],"[0.61591507 0.549095   0.63090407 0.7479035  0.67524086 0.5681484
 0.96399851 0.81983397 0.76232026 0.75019623]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ]
1.5,0.35000000000000003,[1.562 1.322 1.322 1.497 1.527 1.261 1.227 1.634 1.427 1.443],[3.44 2.87 2.83 3.37 3.33 2.81 2.67 3.54 3.23 3.21],[1.5 1.5 1.  2.  2.  1.5 1.  2.  2.  2. ],"[2.37413991 1.86854748 1.84275158 2.22733734 2.20209239 1.74292698
 1.73764657 2.35811421 2.12847814 2.11763629]",[1.   1.   1.   1.25 1.   1.   1.   1.25 1.   1.  ],"[0.76507008 0.55453381 0.52253674 0.72200347 0.69381846 0.5197501
 0.44470712 0.76468769 0.6929215  0.67626422]",[0.   0.   0.   0.25 0.   0.   0.   0.25 0.   0.  ]
1.5,0.4,[1.331 1.818 1.382 1.665 1.692 1.517 1.619 1.263 1.661 1.326],[3.03 3.56 2.85 3.42 3.37 3.15 3.22 2.79 3.25 2.74],[2.  2.  2.  2.  1.5 2.  2.  1.  2.  1. ],"[1.99796715 2.53689408 1.89016344 2.38843982 2.35684693 2.09217415
 2.19285718 1.77416991 2.19464269 1.80275527]",[1.    1.25  1.    1.    1.    1.    1.125 1.    1.25  1.   ],"[0.60409325 0.77510941 0.49206774 0.72297351 0.72108887 0.62169319
 0.62773023 0.51711791 0.63269445 0.49175429]",[0.    0.    0.    0.    0.    0.    0.    0.    0.125 0.   ]
1.5,0.45,[1.435 1.44  1.56  1.465 1.629 1.316 1.243 1.323 1.242 1.491],[2.87 2.86 3.09 3.   3.31 2.72 2.61 2.89 2.49 2.95],[1.  2.  2.  2.  2.  2.  1.  2.  1.  1.5],"[1.93695143 1.90254153 2.1349289  1.99789072 2.31371569 1.81229956
 1.66577688 1.91558935 1.58681317 2.00352919]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.50906996 0.5091846  0.58783051 0.56701914 0.66933275 0.45289282
 0.39824758 0.51163916 0.39171796 0.54278457]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.298 0.318 0.258 0.271 0.199 0.285 0.323 0.287 0.155 0.264],[3.06 3.32 2.75 3.1  2.36 2.45 3.05 3.2  2.49 3.09],[2. 1. 1. 2. 1. 1. 1. 1. 2. 2.],"[0.96067633 1.21284332 0.82048606 0.94489786 0.58423022 0.72037979
 1.00854368 1.15012745 0.52506226 1.01623852]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.66708991 0.8930423  0.57056479 0.66260782 0.37063953 0.44309219
 0.70734556 0.83519336 0.36508423 0.74353344]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.1,[0.502 0.436 0.582 0.332 0.503 0.454 0.47  0.326 0.526 0.562],[2.87 2.67 3.05 2.26 2.68 2.5  2.66 2.14 2.79 3.17],[1. 1. 1. 1. 1. 1. 1. 1. 2. 2.],"[1.17320205 0.94089929 1.32988453 0.73733971 1.13528908 0.91139588
 1.02719531 0.6336813  1.15132412 1.46988729]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.67846816 0.49301843 0.78276539 0.37035362 0.63197793 0.50382141
 0.5695     0.29722623 0.62224575 0.88340047]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.15000000000000002,[0.837 0.778 0.856 0.618 0.542 0.855 0.792 0.835 0.745 0.805],[3.1  2.99 3.39 2.24 2.21 2.97 3.02 3.31 2.69 2.9 ],[2.  2.  2.  1.  1.  1.  2.  1.5 1.  2. ],"[1.59153905 1.55607491 1.77456011 0.98734882 0.91021191 1.56755515
 1.50356477 1.80434696 1.34237271 1.41191648]",[1. 1. 1. 0. 0. 1. 1. 1. 0. 1.],"[0.75322606 0.75221077 0.91768266 0.39197773 0.37905041 0.72776023
 0.73475434 0.90781437 0.62574979 0.61535459]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
