gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.278 0.302 0.219 0.283 0.31  0.296 0.313 0.278 0.336 0.263],[3.49 3.18 2.3  3.03 3.53 2.96 3.24 3.38 3.35 2.86],[2. 2. 1. 2. 2. 2. 1. 2. 1. 1.],"[1.14744878 1.04776145 0.56617292 0.92847741 1.11527165 0.97287537
 1.15850946 1.12425056 1.20368237 0.8695347 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.86105473 0.74561668 0.34098738 0.64918663 0.8069788  0.68740662
 0.84395135 0.84590949 0.90396069 0.60313333]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.66  0.669 0.604 0.696 0.587 0.614 0.604 0.538 0.683 0.531],[3.71 3.42 3.22 3.96 3.3  3.36 3.31 3.09 3.44 3.19],[2. 2. 1. 2. 2. 2. 2. 1. 2. 2.],"[1.71183193 1.53572183 1.46198202 1.91750865 1.3996849  1.50444156
 1.41312203 1.38999128 1.58005667 1.28814634]",[1.  1.  0.  0.5 0.  1.  0.5 0.  1.  0. ],"[1.02750088 0.90459817 0.85974935 1.21502696 0.81336166 0.87885135
 0.8396119  0.8570445  0.91665579 0.74353452]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.792 0.714 0.815 0.92  0.805 0.782 0.75  0.591 0.856 0.756],[3.18 2.76 3.28 3.51 2.87 2.85 2.91 2.35 3.39 2.77],[2. 1. 2. 2. 1. 1. 1. 1. 2. 2.],"[1.596657   1.3407054  1.57929763 1.80082184 1.43855517 1.45682697
 1.44839021 1.00975098 1.72536615 1.32256331]",[1.  0.  1.  1.  1.  0.5 1.  0.  1.  1. ],"[0.81248037 0.63234481 0.80919082 0.89299347 0.6833269  0.71363606
 0.68111482 0.42222169 0.87812555 0.56593306]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.913 1.126 1.085 1.098 0.975 0.869 1.093 0.816 0.933 1.098],[3.05 3.11 3.11 3.4  3.18 2.77 3.16 2.89 3.13 3.47],[2.  1.5 2.  2.  1.5 2.  1.  1.  2.  2. ],"[1.68343814 1.82522367 1.79545195 1.92384062 1.77066982 1.38622827
 1.89339035 1.51006024 1.71312643 2.04486614]",[1. 1. 1. 1. 1. 1. 1. 0. 1. 1.],"[0.73366397 0.75149198 0.73861479 0.81980681 0.77154933 0.51398889
 0.79487533 0.66853436 0.76151449 0.92563152]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.157 0.956 1.187 1.295 1.359 1.131 1.112 1.329 1.111 1.14 ],[3.22 2.65 3.17 3.13 3.4  3.16 2.98 3.62 3.28 2.92],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.85720613 1.50232454 1.94279766 1.9606537  2.22495299 1.94292301
 1.6360384  2.29074617 1.89528931 1.79190148]","[1.21875 1.      1.      1.      1.      1.      1.      1.      1.
 1.     ]","[0.70222322 0.52885591 0.73759563 0.71152589 0.82699645 0.76297184
 0.58160481 0.91844636 0.7920752  0.62000695]",[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.3,[1.255 1.24  1.487 1.031 1.199 1.217 1.269 1.423 1.422 1.018],[2.93 3.15 3.31 2.68 2.83 2.77 3.13 3.12 3.37 2.45],[2.  1.  2.  2.  1.5 2.  2.  2.  2.  1. ],"[1.80168712 1.98671472 2.2155236  1.46429579 1.77422125 1.66050066
 1.87760402 2.06447996 2.16889958 1.34950987]",[1.25  1.    1.    1.    1.    1.125 1.    1.    1.25  1.   ],"[0.53295665 0.69356592 0.75702751 0.47211622 0.56141851 0.48704363
 0.61792629 0.69612669 0.78001896 0.39568419]",[0.25  0.    0.    0.    0.    0.    0.    0.    0.125 0.   ]
1.5,0.35000000000000003,[1.421 1.507 1.277 1.425 1.38  1.532 1.499 1.597 1.261 1.574],[3.04 3.19 2.85 2.92 2.88 3.5  3.17 3.74 2.59 3.34],[1. 2. 1. 2. 1. 2. 2. 2. 1. 2.],"[2.04499713 2.13048285 1.88269542 1.87568826 1.86408647 2.34058327
 2.13137437 2.57355127 1.7072483  2.27330637]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.62408649 0.68515204 0.56221385 0.54336648 0.54895952 0.74313943
 0.64044663 0.88908594 0.43290992 0.74658945]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ]
1.5,0.4,[1.348 1.549 1.63  1.379 1.551 1.379 1.366 1.525 1.524 1.545],[2.87 3.2  3.33 2.7  3.16 2.81 2.84 3.19 3.33 3.08],[1. 2. 2. 1. 2. 1. 2. 2. 2. 2.],"[1.87075355 2.21671644 2.30284914 1.77394278 2.18305229 1.86995095
 1.85214781 2.18911441 2.26302744 2.11485241]",[1.   1.25 1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.54606972 0.6433119  0.71396792 0.4548876  0.61811821 0.52198037
 0.52299497 0.65457095 0.68990854 0.57633678]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.45,[1.463 1.393 1.58  1.548 1.383 1.554 1.401 1.84  1.443 1.36 ],[2.97 2.66 3.33 3.08 2.71 3.19 2.91 3.67 2.87 2.77],[2. 1. 2. 2. 2. 2. 1. 2. 2. 2.],"[2.03354713 1.8111498  2.26800653 2.11011659 1.84905575 2.20070204
 1.92973053 2.63424654 1.95878648 1.81646041]",[1.   1.   1.25 1.   1.25 1.25 1.   1.25 1.   1.  ],"[0.53988502 0.45041738 0.6129992  0.5873163  0.45702938 0.61813917
 0.5335318  0.79701754 0.49522935 0.45258102]",[0.    0.    0.125 0.    0.    0.125 0.    0.25  0.    0.   ]
1.6,0.05,[0.276 0.185 0.211 0.37  0.289 0.273 0.297 0.311 0.289 0.25 ],[3.08 2.33 2.29 3.29 3.05 2.65 3.03 3.48 3.04 2.99],[2.  1.  1.  2.  1.5 1.  1.  2.  2.  2. ],"[0.93864575 0.42962723 0.56140321 1.07329417 0.9943126  0.83548903
 0.96776065 1.10819128 0.90729584 0.82255907]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.66279431 0.24919754 0.34766786 0.72213938 0.68406358 0.54359939
 0.69569766 0.79669225 0.63378144 0.54849901]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
