gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.25  0.269 0.22  0.217 0.221 0.452 0.365 0.363 0.344 0.36 ],[3.38 2.71 2.4  3.06 2.74 4.11 3.19 2.83 3.38 3.49],[2. 2. 1. 2. 2. 2. 1. 2. 2. 2.],"[1.12081532 0.79431863 0.72014629 0.9732259  0.77015285 1.68265261
 1.19699634 0.94126489 1.18196647 1.26216374]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.85159474 0.52089334 0.48664958 0.73077717 0.54934779 1.27151674
 0.83529712 0.60931543 0.83241813 0.91530888]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.543 0.582 0.527 0.583 0.589 0.687 0.681 0.412 0.543 0.545],[2.83 3.24 3.17 2.94 3.56 3.16 3.53 2.46 3.01 3.41],[1. 2. 2. 2. 2. 2. 2. 1. 2. 2.],"[1.25533842 1.38362482 1.36990042 1.28610051 1.6457527  1.43436204
 1.60101708 0.8882374  1.31296256 1.51647902]",[0. 0. 0. 0. 0. 1. 1. 0. 0. 0.],"[0.70496916 0.82286249 0.80586844 0.73955937 1.03071791 0.78218491
 0.93817284 0.46770517 0.76869498 0.93674513]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.619 0.785 0.687 0.664 0.875 0.84  0.906 0.752 0.916 0.722],[2.47 3.25 2.97 2.92 3.49 3.15 3.6  2.99 3.58 2.76],[1.  2.  2.  2.  2.  2.  2.  1.5 2.  2. ],"[1.040094   1.65672108 1.37576926 1.32194323 1.81496945 1.59256222
 1.87400892 1.43705894 1.83460504 1.32169094]",[0. 1. 0. 0. 1. 1. 1. 0. 1. 0.],"[0.46967896 0.8334618  0.65446982 0.6442406  0.93049313 0.77402828
 0.98265149 0.69901939 0.9488659  0.62417141]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.99  1.062 0.837 1.147 0.852 1.002 1.16  1.035 1.022 0.979],[3.15 3.3  2.4  3.59 2.83 3.36 3.48 2.95 3.18 2.99],[2.  2.  1.  2.5 2.  2.  2.  1.5 2.  1. ],"[1.70191332 1.87001371 1.28101981 2.06075094 1.41050281 1.85553221
 1.99163594 1.67895187 1.71352454 1.70630086]",[1.   1.   1.   1.25 1.   1.   1.   1.   1.   1.  ],"[0.71877367 0.82536649 0.45053641 0.8714565  0.52020984 0.83141844
 0.86879903 0.67501755 0.7254856  0.75482503]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.5,0.25,[1.068 0.982 1.264 1.136 1.36  1.033 1.189 1.054 1.117 0.916],[2.97 2.77 3.12 3.18 3.75 2.99 2.89 2.67 3.01 2.74],[1.5 1.  2.  2.  2.  1.  1.  1.5 2.  1. ],"[1.77676563 1.50421421 1.87185652 1.85868053 2.38091166 1.74054804
 1.78948408 1.55734368 1.78914433 1.52294725]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.67308337 0.5722092  0.64576888 0.74429333 0.9977476  0.64220026
 0.65783735 0.51596428 0.63370243 0.56908494]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.3,[1.618 1.154 1.2   1.295 1.359 1.374 1.479 1.506 1.134 1.327],[3.68 2.73 2.98 3.23 3.41 3.16 3.44 3.59 2.67 3.31],[3. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[2.36432335 1.62422863 1.83268067 2.02141255 2.20692382 2.09292263
 2.26879329 2.39379611 1.61310319 2.12321349]","[1.80208333 1.         1.         1.         1.125      1.
 1.         1.         1.         1.        ]","[0.83680687 0.52953625 0.62143372 0.72628804 0.78051757 0.70535915
 0.79663387 0.83474093 0.51277116 0.74124572]",[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.35000000000000003,[1.458 1.412 1.285 1.393 1.508 1.511 1.214 1.322 1.558 1.381],[2.94 3.15 2.73 2.95 3.35 3.37 2.62 2.98 3.12 2.84],[1.  2.  1.  1.5 2.  2.  1.5 1.5 2.  1. ],"[2.04748585 2.04530603 1.76028915 1.92259659 2.25571715 2.30688341
 1.65978861 1.86988622 2.11639322 1.89313368]",[1.   1.25 1.   1.   1.25 1.   1.   1.   1.25 1.  ],"[0.59558583 0.61708704 0.50796249 0.57657852 0.70433043 0.75132128
 0.45677348 0.58763524 0.61170389 0.54689589]",[0.    0.125 0.    0.    0.25  0.    0.    0.    0.    0.   ]
1.5,0.4,[1.19  1.274 1.362 1.23  1.496 1.151 1.774 1.529 1.474 1.527],[2.57 2.63 2.78 2.68 3.3  2.52 3.56 3.08 2.89 3.08],[2.  2.  2.  1.  2.  1.  1.5 2.  1.  2. ],"[1.61231219 1.70919855 1.85957502 1.68070509 2.25988712 1.55222997
 2.57790485 2.07662528 2.03697547 2.0590403 ]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.39735126 0.44579889 0.48627485 0.463318   0.68495426 0.43041357
 0.78558368 0.5534246  0.55868689 0.59262428]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.45,[1.443 1.382 1.518 1.494 1.382 1.508 1.568 1.345 1.834 1.591],[2.98 2.6  2.93 3.06 2.95 2.99 2.89 2.8  3.67 3.07],[1. 2. 2. 1. 1. 2. 2. 2. 2. 2.],"[2.02138976 1.73559498 2.04555207 2.1374132  1.99805369 2.01336135
 2.01817994 1.86081455 2.64787244 2.16662071]",[1.    1.125 1.    1.    1.    1.125 1.    1.    1.25  1.   ],"[0.58758544 0.38688648 0.53623444 0.59091112 0.56192393 0.54577346
 0.52749635 0.48958286 0.78901501 0.59456078]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.29  0.249 0.231 0.341 0.277 0.26  0.253 0.265 0.261 0.277],[2.91 2.86 2.8  3.08 2.72 2.31 2.8  2.79 2.84 2.37],[1.  2.  1.  2.  1.  1.  1.5 1.5 2.  1. ],"[0.85702517 0.87527999 0.81919018 0.99205727 0.89841037 0.60538051
 0.81228688 0.76109733 0.80311056 0.71587455]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.58586795 0.59278731 0.58174572 0.66841347 0.61450901 0.3742184
 0.57090016 0.52459342 0.54086691 0.47658072]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.1,[0.55  0.497 0.425 0.511 0.653 0.599 0.659 0.576 0.481 0.402],[2.97 2.88 2.52 3.33 3.16 3.62 3.67 3.14 2.66 2.71],[2.  1.5 1.  2.  2.  1.  2.  2.  1.  2. ],"[1.21757628 1.16171787 0.88645931 1.43071229 1.40273113 1.75951892
 1.65195465 1.38535796 1.01832417 0.9809548 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.67328429 0.65856113 0.4691943  0.88717225 0.80268962 1.13730457
 1.04111847 0.80493132 0.56110249 0.53964864]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.15000000000000002,[0.748 0.692 0.641 0.909 0.726 0.61  0.738 0.785 0.698 0.608],[2.73 2.78 2.48 3.65 3.02 2.5  2.86 2.81 2.52 2.58],[1. 1. 1. 2. 1. 1. 1. 2. 2. 1.],"[1.32402197 1.27585455 1.18070728 1.96745815 1.47991322 1.12313954
 1.36724375 1.44519091 1.20111695 1.16405587]",[0.     0.     0.     1.1875 1.     0.     0.     1.     1.     0.    ],"[0.62068701 0.61310308 0.52904285 1.03960842 0.72273548 0.50895558
 0.65401865 0.64961962 0.49106568 0.5546827 ]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.6,0.2,[0.83  0.939 0.933 0.894 0.926 0.854 1.01  0.663 0.632 0.958],[2.66 2.73 2.57 2.89 2.71 2.75 2.99 2.34 2.15 3.25],[1.  1.  2.  1.  1.  1.5 1.  1.  1.  2. ],"[1.39033136 1.48581839 1.37172054 1.58790633 1.50405179 1.4232201
 1.71585734 1.02644012 0.93648719 1.72188452]",[1. 1. 1. 1. 1. 1. 1. 0. 0. 1.],"[0.55653009 0.58691458 0.48900264 0.70789046 0.57662931 0.57236073
 0.72074503 0.36929901 0.30200477 0.78156713]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
