gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.32  0.315 0.394 0.327 0.404 0.269 0.337 0.222 0.347 0.338],[3.18 3.29 3.22 3.44 3.81 2.6  3.   2.97 3.08 3.12],[2.  2.  2.  2.  2.  1.  1.5 2.  1.  1.5],"[1.00849196 1.06022014 1.15547094 1.18738456 1.40157048 0.78538286
 1.04865973 0.8556164  1.19001192 1.11036741]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.71446181 0.74402079 0.79644567 0.85856193 0.98850163 0.50122759
 0.70398688 0.62740045 0.87052584 0.77941465]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.555 0.503 0.509 0.577 0.599 0.522 0.564 0.521 0.662 0.569],[3.13 3.07 3.04 3.53 3.3  2.71 2.81 2.74 3.11 3.3 ],[2. 2. 1. 2. 2. 2. 2. 1. 2. 1.],"[1.3612868  1.22485652 1.34667826 1.60750702 1.41561201 1.04748391
 1.20421337 1.09444204 1.4611304  1.51445302]",[0.5 0.  0.  0.  0.  0.  0.  0.  1.  0. ],"[0.76944354 0.71076961 0.79080424 0.99154694 0.83020918 0.52830422
 0.64795177 0.59166433 0.77776858 0.92076771]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.766 0.888 0.854 0.761 0.689 0.788 0.816 0.656 0.694 0.813],[2.91 3.4  3.29 3.05 2.73 3.08 3.13 2.69 3.01 3.09],[1. 1. 2. 1. 2. 2. 2. 1. 2. 1.],"[1.48550311 1.92863491 1.70133986 1.54107934 1.28155351 1.49008218
 1.62501586 1.23960506 1.42473655 1.588328  ]",[1. 1. 1. 0. 1. 1. 1. 0. 0. 1.],"[0.68609943 0.97267666 0.85437209 0.74860619 0.56191484 0.72040139
 0.82847228 0.59563106 0.71901573 0.75419042]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.19  0.746 0.897 1.072 1.039 0.923 0.963 1.172 0.911 1.112],[3.62 2.48 2.85 3.64 3.19 2.84 3.16 3.46 2.79 3.52],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[2.09780096 1.2218946  1.51976867 2.12304259 1.77196143 1.53028631
 1.68989141 2.11363742 1.51161272 2.08685838]","[1.09375 0.      1.      1.      1.      1.      1.      1.      1.
 1.     ]","[0.93757147 0.49305549 0.60417419 0.98082152 0.74266211 0.60741033
 0.7238416  0.93059298 0.58194963 0.93861192]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.25,[1.152 1.178 0.969 1.133 1.047 1.035 1.088 1.096 1.292 0.886],[3.07 2.84 2.67 2.89 2.89 2.81 2.96 2.96 3.28 2.6 ],[2.  2.  2.  2.  1.5 1.  2.  2.  2.  1. ],"[1.85921953 1.6979972  1.47409422 1.71502097 1.70352916 1.61455537
 1.73162637 1.7447341  2.00980455 1.45708095]",[1.    1.    1.    1.    1.    1.    1.    1.    1.125 1.   ],"[0.67524675 0.54892493 0.47686765 0.59414694 0.62154674 0.56861604
 0.65304971 0.63220969 0.76938279 0.51357631]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.522 1.354 1.299 1.277 1.657 1.157 1.42  1.225 1.26  1.188],[3.6  3.19 3.11 3.12 3.84 2.98 3.44 3.04 3.04 2.82],[2.  2.  2.  2.  2.  1.5 2.  2.  2.  1. ],"[2.31238184 2.03548225 1.99449216 1.96220043 2.59818615 1.83070013
 2.21565367 1.9182466  1.90054337 1.79340046]",[1.125 1.25  1.    1.125 1.25  1.    1.    1.    1.    1.   ],"[0.81278467 0.67385994 0.66182492 0.65452465 0.93186779 0.6381922
 0.77940795 0.63240431 0.64272294 0.63450581]",[0.   0.25 0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.35000000000000003,[1.105 1.414 1.255 1.18  1.232 1.177 1.465 1.404 1.344 1.183],[2.65 3.16 2.7  2.79 2.65 2.9  3.2  3.05 2.87 2.57],[1. 2. 1. 2. 1. 2. 2. 2. 1. 1.],"[1.58389383 2.07828175 1.72681161 1.73940816 1.58767413 1.74312938
 2.12461815 1.98216398 1.91695305 1.63042085]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.4748118  0.65518543 0.49313852 0.52304464 0.4523305  0.52144725
 0.66744957 0.60772551 0.55724114 0.46795015]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.42  1.391 1.365 1.524 1.488 1.578 1.132 1.54  1.535 1.735],[2.98 2.95 2.85 3.13 3.03 3.21 2.41 3.28 3.35 3.44],[1. 2. 2. 2. 2. 2. 1. 2. 2. 2.],"[1.99576042 1.95655396 1.86037403 2.13625829 2.00321084 2.22777257
 1.52409657 2.24607044 2.27517178 2.4440823 ]",[1.   1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.55852349 0.56362061 0.49255665 0.63544836 0.56372842 0.66488195
 0.358485   0.6630553  0.73538845 0.73882412]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.45,[1.492 1.467 1.476 1.524 1.665 1.631 1.427 1.378 1.216 1.709],[2.73 2.9  2.66 3.16 3.34 3.28 2.85 2.8  2.47 3.52],[2. 1. 1. 2. 2. 2. 1. 1. 1. 2.],"[1.88672471 1.9354364  1.80566723 2.14497099 2.26981845 2.27858334
 1.91526047 1.85206089 1.58939644 2.46644946]",[1.125 1.    1.    1.    1.25  1.    1.    1.    1.    1.25 ],"[0.45898789 0.5387616  0.4610487  0.60070768 0.64562045 0.68321102
 0.55088059 0.50833714 0.36663521 0.72537707]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.25]
1.6,0.05,[0.329 0.242 0.308 0.27  0.257 0.213 0.177 0.309 0.205 0.265],[2.86 2.45 3.53 2.8  3.18 2.81 2.27 3.21 2.64 2.59],[2.  1.  2.  1.  2.  2.  1.  1.5 1.  1. ],"[0.845503   0.68641889 1.19871144 0.94455605 1.05370262 0.76898162
 0.46651958 1.09049199 0.73289768 0.75122795]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.5412403  0.46217817 0.8912267  0.65002663 0.77467308 0.56290984
 0.274669   0.76066472 0.52674961 0.49138359]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
