gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.3   0.257 0.305 0.308 0.403 0.261 0.268 0.309 0.262 0.252],[3.03 2.82 3.05 3.17 3.93 2.62 3.01 3.1  2.98 2.92],[1. 1. 1. 2. 2. 2. 2. 2. 2. 2.],"[1.02178233 0.8618763  1.0258872  1.07298116 1.5853764  0.76713025
 0.8922408  1.06869591 0.79993801 0.79486948]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.73809581 0.60102608 0.72179296 0.78059957 1.18034649 0.51057996
 0.60633626 0.74319786 0.56682766 0.5441572 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.642 0.426 0.613 0.702 0.609 0.503 0.57  0.662 0.64  0.536],[3.57 2.63 3.14 3.55 3.39 2.9  3.43 3.14 3.56 2.67],[2.  1.5 2.  2.  2.  2.  2.  2.  2.  2. ],"[1.67678933 0.99962734 1.35310983 1.6399564  1.49159615 1.1528215
 1.46943022 1.45897073 1.63854751 1.0797846 ]",[1. 0. 0. 1. 0. 0. 0. 1. 0. 0.],"[1.0088102  0.52868007 0.76967721 0.95078892 0.8914991  0.66432296
 0.89898283 0.83841226 1.03738418 0.52240667]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.795 0.828 0.927 0.444 0.744 0.755 0.808 0.653 0.648 0.799],[3.1  3.24 3.55 2.11 3.18 2.98 3.2  2.73 2.57 2.8 ],[2. 1. 2. 1. 2. 2. 2. 2. 1. 2.],"[1.56295778 1.65383563 1.87305657 0.70670429 1.6074954  1.46564708
 1.62816285 1.16361171 1.12572424 1.3502144 ]",[1.  0.  1.  0.  0.  0.  0.  0.5 0.  1. ],"[0.76813967 0.85632648 0.95372552 0.26199787 0.84303739 0.73006907
 0.83827821 0.50594081 0.50733618 0.5596895 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.049 0.895 0.826 0.821 0.93  0.94  0.99  0.756 0.96  0.927],[3.43 3.01 2.72 2.76 3.08 2.95 3.32 2.37 2.9  2.89],[2. 2. 2. 1. 2. 2. 2. 1. 2. 2.],"[1.95430763 1.61009485 1.39044467 1.46327687 1.61096125 1.59520743
 1.84280981 1.17262879 1.56957402 1.49752572]","[1.      1.      1.      0.5     1.      1.      1.      0.5     1.
 1.09375]","[0.88909767 0.65855921 0.56121799 0.62366566 0.69618464 0.64934988
 0.86503759 0.42509949 0.65043157 0.55528939]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125]
1.5,0.25,[0.992 1.313 0.918 1.198 1.154 1.3   1.007 1.157 1.114 1.099],[2.78 3.43 2.64 3.13 3.35 3.47 2.99 3.28 2.89 3.22],[1. 2. 1. 2. 2. 2. 2. 2. 2. 2.],"[1.60534693 2.0528649  1.46143631 1.95151897 1.94665829 2.1479246
 1.64349163 1.94893981 1.68283882 1.86761196]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.57083704 0.80976919 0.50599441 0.71587688 0.80339168 0.864705
 0.62759563 0.7809973  0.59901802 0.74871487]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.079 1.368 1.248 1.507 1.112 1.336 1.256 1.244 1.315 1.285],[2.79 3.07 2.89 3.23 2.8  3.   3.15 2.94 2.89 3.15],[2.  2.  1.5 2.  1.5 2.  2.  2.  2.  2. ],"[1.63211818 1.97199609 1.77102752 2.16529947 1.67497738 1.90706419
 1.95575816 1.84212628 1.86010852 1.95193597]",[1.   1.   1.   1.25 1.   1.   1.   1.   1.   1.25],"[0.52908656 0.61879907 0.56792144 0.68348795 0.51341488 0.62918761
 0.65479624 0.58529035 0.55599048 0.64544183]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.125]
1.5,0.35000000000000003,[1.479 1.282 1.461 1.23  1.329 1.338 1.452 1.26  1.296 1.525],[3.42 2.84 3.36 2.84 2.88 2.91 3.31 2.74 2.73 2.97],[2. 2. 2. 2. 2. 2. 2. 1. 1. 2.],"[2.25635313 1.77661913 2.16501128 1.72001534 1.79193425 1.89629173
 2.19474588 1.80277475 1.83267562 2.08513948]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.25],"[0.76227537 0.54571032 0.72550505 0.52186592 0.50471257 0.57869651
 0.68834207 0.5418403  0.50146224 0.56133089]",[0.    0.    0.    0.    0.    0.    0.125 0.    0.    0.   ]
1.5,0.4,[1.464 1.422 1.658 1.395 1.042 1.395 1.389 1.175 1.616 1.483],[3.18 3.06 3.64 2.99 2.32 2.95 3.07 2.65 3.24 3.06],[2. 2. 2. 2. 1. 2. 2. 1. 2. 1.],"[2.10383563 1.99851132 2.42685063 1.98901345 1.39592841 1.93786246
 2.01521745 1.64622217 2.26633887 2.12264169]",[1.   1.   1.25 1.25 1.   1.   1.   1.   1.   1.  ],"[0.61826678 0.58363156 0.73040288 0.56522683 0.3519831  0.51295035
 0.58958757 0.46753138 0.66528174 0.6234791 ]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.45,[1.443 1.435 1.285 1.625 1.423 1.648 1.492 1.306 1.552 1.469],[2.96 3.07 2.61 3.35 3.11 3.21 3.08 2.57 2.96 2.9 ],[1.5 2.  2.  2.  2.  2.  1.5 1.  2.  2. ],"[1.98311245 2.04218362 1.65866775 2.30268283 2.10601164 2.27896073
 2.13327235 1.69911589 2.05928851 1.9466838 ]",[1.    1.125 1.125 1.    1.    1.    1.    1.    1.    1.25 ],"[0.55172329 0.54470803 0.38739822 0.65146823 0.58145109 0.64818009
 0.59640467 0.44128447 0.53786517 0.50081405]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25]
1.6,0.05,[0.197 0.31  0.3   0.343 0.319 0.24  0.268 0.28  0.273 0.233],[2.91 3.19 3.05 2.75 3.28 2.84 3.1  2.75 2.94 3.01],[2.  2.  1.5 2.  2.  1.  1.5 1.  1.  1. ],"[0.79015975 1.07011277 0.99268251 0.83110531 1.03295184 0.85749238
 0.9060992  0.90396985 0.92331121 0.90430132]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.57137069 0.76872727 0.68710573 0.48623227 0.74115801 0.61111787
 0.64418269 0.58809766 0.65778997 0.66775225]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.1,[0.464 0.67  0.419 0.501 0.537 0.448 0.66  0.412 0.522 0.464],[2.46 3.69 2.46 2.89 2.67 2.74 3.35 2.62 2.67 2.75],[1. 2. 2. 2. 1. 1. 2. 1. 1. 1.],"[0.89921506 1.72117479 0.83366129 1.08809219 1.12179954 1.01864952
 1.49647616 0.92302629 1.06283014 1.0756692 ]",[0. 1. 0. 0. 0. 0. 1. 0. 0. 0.],"[0.45843381 1.05099718 0.40170816 0.608329   0.57417931 0.58588585
 0.87615817 0.51224504 0.54989496 0.61117946]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.15000000000000002,[0.718 0.796 0.792 0.84  0.743 0.803 0.546 0.77  0.661 0.676],[2.93 2.94 3.11 3.14 3.   3.11 2.39 2.9  2.54 2.69],[1.  1.  2.  2.  1.  1.  1.  1.  1.  1.5],"[1.42253931 1.4549431  1.59355802 1.59430392 1.47772424 1.64202995
 1.03498242 1.47567927 1.1794501  1.29019895]",[1.  0.  1.  1.  1.  0.  0.  1.  0.  0.5],"[0.68533167 0.71993395 0.77074857 0.72562533 0.71680627 0.86326469
 0.45650586 0.6990179  0.54290713 0.59229856]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.2,[0.887 0.722 0.839 1.148 0.931 0.95  0.798 0.936 0.791 0.842],[2.78 2.44 2.56 3.39 3.01 3.02 2.76 2.62 2.39 2.56],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.47136761 1.17550189 1.40800577 2.0284147  1.63868962 1.66893153
 1.45674495 1.47007477 1.14967947 1.39513737]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.58212933 0.43806781 0.54868326 0.9084501  0.69385563 0.73469202
 0.61055355 0.5338266  0.38518728 0.52726932]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.25,[1.109 0.988 1.136 1.245 1.006 1.242 1.193 1.067 0.996 0.977],[3.   2.74 3.06 3.21 2.66 3.26 2.9  2.77 2.64 2.51],[2. 2. 1. 2. 2. 2. 2. 2. 2. 1.],"[1.70241268 1.47106023 1.78039995 1.96163137 1.49002716 1.97860002
 1.75835815 1.57311076 1.49560405 1.42305782]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.61483456 0.49533025 0.69765275 0.73898549 0.49833344 0.76758196
 0.62688598 0.55021708 0.47829387 0.48385616]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.3,[1.06  1.125 1.096 1.235 1.295 1.422 1.137 1.345 1.209 1.108],[2.52 2.64 2.45 2.88 3.03 3.06 2.66 3.29 2.8  2.67],[1.  1.  1.  1.  2.  2.  2.  2.  2.  1.5],"[1.49114869 1.55403066 1.50166318 1.86469108 1.94750848 2.03161442
 1.59537869 2.10633689 1.74863858 1.62756897]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.45276979 0.48586416 0.423421   0.58868034 0.63092584 0.63204655
 0.48750027 0.75008384 0.54475186 0.48277405]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.35000000000000003,[1.167 1.205 1.306 1.344 1.287 1.327 1.181 1.346 1.239 1.116],[2.59 2.84 2.95 2.73 2.9  2.78 2.62 2.96 2.69 2.46],[1.  1.  2.  1.  2.  1.  1.  1.  1.5 1. ],"[1.58615683 1.80349607 1.86139523 1.79520169 1.90379216 1.80315565
 1.62050275 1.92896894 1.77458132 1.60568675]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.45087179 0.57845822 0.58190854 0.51750576 0.57810063 0.49849501
 0.44561994 0.6087248  0.4912134  0.42107493]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
