gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.286 0.273 0.309 0.257 0.289 0.291 0.312 0.357 0.293 0.351],[3.05 2.99 3.07 2.99 2.84 3.76 2.88 2.95 2.81 3.13],[2. 1. 2. 2. 1. 2. 2. 2. 1. 2.],"[1.00953362 0.89787486 0.94832852 0.9142212  0.93059529 1.31004675
 0.89884737 0.9691078  0.8736776  1.01490954]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.69444633 0.63518931 0.63078946 0.6522754  0.66185994 0.97958898
 0.59406222 0.63756239 0.58823815 0.68831652]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.349 0.54  0.619 0.546 0.531 0.642 0.642 0.639 0.574 0.501],[2.5  3.25 3.22 3.   2.92 3.66 3.3  3.33 3.21 2.68],[1.  2.  1.  2.  1.5 2.  2.  2.  2.  1. ],"[0.8192131  1.32626297 1.50797358 1.24306737 1.16091989 1.60737556
 1.45982993 1.49675084 1.36958116 1.07913831]",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"[0.48714217 0.78647049 0.88915156 0.71272557 0.66316843 0.97774177
 0.80170738 0.89403051 0.80046495 0.61901624]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.767 0.676 0.838 0.705 0.811 0.835 0.941 0.845 0.883 0.908],[3.09 2.71 3.31 2.75 3.33 3.14 3.57 3.31 3.2  3.5 ],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.51690228 1.27413152 1.72888284 1.27447275 1.74460429 1.54730606
 1.90744163 1.66264151 1.65544929 1.83976627]",[1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.71240582 0.61945074 0.87086709 0.56720285 0.90385234 0.75160782
 0.95413108 0.84121573 0.78808845 0.94907841]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.064 0.883 0.835 1.013 1.064 0.976 1.051 0.95  0.943 1.036],[3.4  3.01 2.71 3.21 3.34 3.   3.27 3.07 2.86 3.16],[2. 2. 2. 2. 2. 2. 2. 1. 1. 2.],"[1.92291778 1.59534685 1.38678924 1.82714539 1.86663757 1.63650404
 1.82050339 1.74078597 1.59121154 1.85602866]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.88384796 0.68934648 0.53414519 0.79844666 0.80244446 0.64800307
 0.77352707 0.76871687 0.61199951 0.76927878]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.148 1.107 1.303 1.128 1.217 0.985 1.153 1.032 1.136 1.158],[3.05 2.98 3.34 3.05 3.18 2.69 2.99 2.6  2.88 3.05],[2.  1.5 1.5 1.  2.  2.  2.  1.  2.  1. ],"[1.82283795 1.7675281  2.12821235 1.87453097 1.92206548 1.46001986
 1.80531146 1.51056326 1.76479024 1.85830421]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.68281109 0.64457156 0.80408271 0.72830172 0.74278752 0.48202425
 0.6453548  0.5030535  0.59059346 0.69274146]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.249 0.969 1.216 1.348 1.22  1.031 1.266 1.179 1.181 1.311],[2.88 2.54 2.89 3.18 2.9  2.56 3.1  2.98 3.08 3.29],[2. 1. 2. 2. 1. 1. 2. 2. 2. 2.],"[1.79516154 1.37212981 1.74923348 2.02664869 1.84959517 1.52881981
 1.95314758 1.83820086 1.85447684 2.04032931]",[1.   1.   1.   1.25 1.   1.   1.   1.   1.   1.  ],"[0.55640971 0.424747   0.56509285 0.65623182 0.6142021  0.46633141
 0.66323975 0.61250201 0.59732657 0.70636447]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ]
1.5,0.35000000000000003,[1.235 1.516 1.314 1.544 1.493 1.291 1.55  1.514 1.362 1.505],[2.7  3.53 3.   3.15 3.09 2.81 3.25 3.34 2.9  3.21],[1.  2.  1.  1.5 1.  1.  2.  2.  2.  2. ],"[1.74916863 2.35164397 1.8957069  2.13741708 2.12292208 1.83439332
 2.24360313 2.22295427 1.86732919 2.1416037 ]",[1.    1.    1.    1.    1.    1.    1.125 1.    1.    1.25 ],"[0.50350701 0.79765166 0.61151866 0.66428537 0.63223604 0.5657605
 0.68706016 0.70584246 0.53739267 0.65321259]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.364 1.444 1.212 1.554 1.552 1.493 1.584 1.278 1.473 1.576],[2.7  3.1  2.63 3.14 2.97 3.15 3.16 2.75 3.26 3.25],[2.  2.  1.  2.  1.5 2.  2.  2.  1.  1. ],"[1.76857109 2.01855681 1.67068359 2.16885489 2.10477447 2.10263385
 2.18145771 1.74741562 2.19480193 2.26888461]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.48517021 0.56168426 0.44800048 0.63917045 0.58390655 0.61244098
 0.62271504 0.44733994 0.69936431 0.69239169]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.5,0.45,[1.433 1.606 1.53  1.484 1.57  1.582 1.456 1.454 1.319 1.466],[2.96 3.14 2.97 2.86 3.11 3.19 2.89 3.04 2.49 2.94],[2.  1.5 2.  1.  2.  2.  1.  2.  1.  1. ],"[2.02523005 2.24256252 2.04416367 1.99369626 2.16639705 2.23358879
 1.93285494 2.03151278 1.69937172 2.03655822]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55382136 0.62746487 0.53854172 0.51971189 0.59570735 0.60972405
 0.53046724 0.53471102 0.37396523 0.53580138]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.226 0.264 0.249 0.379 0.234 0.305 0.25  0.254 0.212 0.204],[2.82 2.61 2.24 3.3  2.81 2.97 2.38 2.9  2.55 2.49],[2. 2. 1. 2. 1. 2. 1. 1. 1. 1.],"[0.77160343 0.73256524 0.56026891 1.218102   0.92157814 0.99825183
 0.66100796 0.88868294 0.66684564 0.64637442]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.53449649 0.43812188 0.33658727 0.84776386 0.65525063 0.66673328
 0.4200314  0.63640266 0.44804499 0.43365225]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
