gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.397 0.294 0.221 0.228 0.235 0.227 0.216 0.33  0.322 0.358],[3.81 3.27 3.08 2.54 2.71 2.85 2.61 2.88 2.85 3.86],[2.  2.  2.  1.  2.  2.  1.5 1.  1.  2. ],"[1.51078207 1.10962237 0.87132793 0.76195791 0.72927667 0.80375783
 0.67608487 0.94165047 0.92225695 1.5238124 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.11982381 0.82144488 0.65940471 0.55273    0.49189874 0.56776968
 0.47982511 0.63486824 0.60573596 1.14739455]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.56  0.478 0.61  0.494 0.591 0.57  0.565 0.591 0.62  0.724],[3.09 2.72 3.03 2.66 3.42 2.87 3.29 2.92 3.62 3.35],[2. 1. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.30348971 1.10281881 1.33638215 1.05405471 1.54692563 1.19033392
 1.38419704 1.2048709  1.62862353 1.55626893]",[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.],"[0.76811618 0.60199178 0.72497529 0.57157974 0.93647824 0.64269171
 0.80764796 0.63351348 1.00476122 0.86755433]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.788 0.688 0.842 0.742 0.654 0.871 0.806 0.684 0.754 0.725],[3.12 2.9  3.04 2.8  2.79 3.57 2.89 2.94 3.13 2.45],[2.  1.  1.  2.  2.  2.  2.  1.5 2.  1. ],"[1.54765417 1.40843203 1.61587583 1.28707112 1.28036099 1.72962652
 1.42713292 1.40114964 1.54374126 1.12122349]",[1.  0.5 1.  0.5 0.  1.  1.  1.  0.5 0.5],"[0.74585302 0.68190615 0.77506284 0.59191732 0.6189938  0.89024664
 0.66611668 0.67593724 0.77909344 0.45735142]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.949 0.982 1.418 0.945 1.01  0.941 0.988 0.769 1.029 0.83 ],[2.81 3.19 4.46 2.79 3.08 2.66 3.15 2.5  3.05 2.96],[1.  1.  2.  2.  2.  1.5 1.  1.  2.  1. ],"[1.51093262 1.82795857 2.79106189 1.54505124 1.70580935 1.41882852
 1.81398181 1.22771312 1.76441013 1.55440943]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.60491395 0.82039387 1.365396   0.57385251 0.70709902 0.54010537
 0.81054614 0.45426585 0.72404392 0.67538111]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.25,[1.374 1.043 1.237 1.101 1.372 1.161 1.031 1.192 1.023 1.019],[3.68 2.83 3.13 2.89 3.5  3.19 2.74 3.15 2.55 2.83],[2. 2. 2. 2. 2. 2. 2. 2. 1. 1.],"[2.3360355  1.6210277  1.91291996 1.71174061 2.16964534 1.98296298
 1.58522012 1.92684294 1.45568772 1.63468749]",[1.   1.   1.25 1.   1.25 1.   1.   1.   1.   1.  ],"[0.94824314 0.53848864 0.68915775 0.60784473 0.80108333 0.75089755
 0.54329873 0.72546965 0.48140916 0.59869628]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.3,[1.177 1.057 1.082 1.143 1.153 1.219 1.111 1.285 1.42  1.51 ],[3.03 2.62 2.42 2.71 2.98 2.72 2.6  3.   3.4  3.41],[1.  1.  1.  1.  2.  1.  1.  1.5 2.  2. ],"[1.8906979  1.61517462 1.49182201 1.60230524 1.81241357 1.78852822
 1.550269   1.8829369  2.18309457 2.24476646]",[1.   1.   1.   1.   1.   1.   1.   1.   1.25 1.25],"[0.64831508 0.52187445 0.40273998 0.51093012 0.60520898 0.55599892
 0.48092818 0.62753406 0.76191354 0.74619224]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.25]
1.5,0.35000000000000003,[1.4   1.594 1.358 1.399 1.377 1.294 1.519 1.612 1.299 1.252],[3.14 3.29 3.13 2.99 3.14 3.01 3.15 3.47 2.73 2.9 ],[1. 2. 2. 2. 2. 2. 1. 2. 2. 1.],"[2.05789843 2.25662255 1.9750874  1.9219878  2.03272535 1.9275252
 2.13105033 2.40172376 1.77121353 1.86956692]","[1.      1.      1.      1.      1.      1.21875 1.      1.25    1.
 1.     ]","[0.65305529 0.69685693 0.62840771 0.58254444 0.61798414 0.56406816
 0.64467826 0.78865003 0.4945314  0.56790066]",[0.    0.    0.    0.    0.    0.125 0.    0.25  0.    0.   ]
1.5,0.4,[1.411 1.46  1.322 1.47  1.409 1.539 1.383 1.289 1.378 1.533],[2.95 3.18 2.7  2.95 2.9  3.13 2.97 2.74 2.93 3.31],[2.  2.  1.  1.  2.  2.  1.5 2.  1.5 2. ],"[1.93765286 2.07119557 1.7793957  2.02752524 1.88661283 2.14219008
 1.9962362  1.8511265  1.92977706 2.25381534]",[1.25  1.    1.    1.    1.    1.125 1.    1.    1.    1.25 ],"[0.53209622 0.62337819 0.4893664  0.5655892  0.51281401 0.6104518
 0.57203943 0.4893577  0.57134017 0.68762882]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125]
1.5,0.45,[1.874 1.912 1.6   1.534 1.294 1.399 1.319 1.374 1.488 1.775],[3.63 3.61 3.2  3.19 2.87 2.9  2.81 2.81 3.11 3.34],[2. 2. 2. 2. 1. 2. 2. 2. 2. 2.],"[2.66259573 2.56924566 2.27574972 2.15717572 1.87385899 1.93713925
 1.82817435 1.87736115 2.11703986 2.3563718 ]",[1.25 1.25 1.25 1.   1.   1.   1.25 1.   1.   1.25],"[0.76986746 0.75079717 0.62480062 0.6165556  0.5302097  0.52559628
 0.47592337 0.50059601 0.60547491 0.6544382 ]",[0.125 0.25  0.    0.    0.    0.    0.    0.    0.    0.   ]
1.6,0.05,[0.358 0.292 0.206 0.238 0.264 0.267 0.326 0.194 0.249 0.244],[3.41 2.93 2.63 2.53 2.61 3.   3.29 2.5  2.51 2.88],[2. 1. 2. 1. 1. 2. 2. 2. 2. 1.],"[1.22959588 0.93496952 0.66146734 0.71931437 0.7844671  0.89443775
 1.14158788 0.59233037 0.67377453 0.93802801]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.89531914 0.66691532 0.42674077 0.46205362 0.4810296  0.63117603
 0.82992894 0.39395635 0.40229016 0.69235906]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
