gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.341 0.327 0.184 0.2   0.282 0.304 0.395 0.372 0.217 0.218],[3.4  3.3  2.59 2.74 3.1  3.12 3.5  3.69 2.8  2.72],[2. 2. 1. 2. 2. 1. 2. 2. 1. 2.],"[1.13709402 1.07497995 0.65664155 0.6590619  0.90302219 1.07734472
 1.23449002 1.37765497 0.78245401 0.6432445 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.79927175 0.75672311 0.45264008 0.4690442  0.61108128 0.76032995
 0.88299832 1.01752496 0.55745401 0.43369128]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.475 0.534 0.508 0.617 0.564 0.668 0.648 0.616 0.515 0.604],[2.76 2.64 2.8  3.07 3.23 3.57 3.43 3.38 3.05 3.33],[1.  1.  2.  2.  2.  2.  1.5 2.  2.  2. ],"[1.10903145 1.07245971 1.13398905 1.28236201 1.39583672 1.71599231
 1.58807433 1.44847254 1.21156394 1.53163388]",[0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],"[0.62310372 0.56109496 0.61760721 0.65333857 0.84125603 1.02660205
 0.98065856 0.85030604 0.70950584 0.9342938 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.69  0.735 0.525 0.902 0.993 0.948 0.617 0.783 0.775 0.783],[2.61 3.08 2.4  3.36 3.28 3.42 2.63 3.   2.98 3.13],[2.  1.5 1.  1.  2.  2.  1.  1.5 1.  2. ],"[1.21625499 1.47414461 0.97085503 1.82514941 1.80208929 1.8667646
 1.18614353 1.50490389 1.5499512  1.4567267 ]",[1. 0. 0. 1. 1. 1. 0. 0. 1. 1.],"[0.51497569 0.78277986 0.456773   0.94104052 0.83105901 0.94427986
 0.55494541 0.74679842 0.7600574  0.66473451]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.034 0.989 0.969 1.051 1.108 1.03  1.062 0.877 0.776 0.944],[3.22 3.02 3.15 3.16 3.33 3.01 3.29 2.93 2.74 3.14],[2. 2. 1. 2. 2. 2. 2. 1. 1. 2.],"[1.81271413 1.70785211 1.72477955 1.77074722 1.92241048 1.75263927
 1.83181053 1.57108651 1.35848259 1.75167877]",[1. 1. 1. 1. 1. 1. 1. 1. 0. 1.],"[0.76814931 0.69757868 0.76665944 0.74022964 0.80806844 0.69013195
 0.80497948 0.67324472 0.58152947 0.7346231 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.164 1.455 1.116 1.124 0.94  1.17  1.049 1.221 0.996 1.104],[3.16 3.68 3.13 2.74 2.58 2.95 2.91 3.03 2.62 2.68],[2. 2. 1. 2. 1. 2. 2. 2. 1. 1.],"[1.90070317 2.30568553 1.84686535 1.66343363 1.47240508 1.802916
 1.66036782 1.79835989 1.505815   1.63932016]",[1.25 1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.70838749 0.87540782 0.72806652 0.54846537 0.53714446 0.6544724
 0.60684243 0.67439748 0.51627703 0.54092111]",[0.25 0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.3,[1.446 1.222 1.138 1.397 1.54  1.078 1.203 1.237 1.157 1.414],[3.54 2.9  2.68 3.23 3.6  2.38 2.86 3.18 2.92 3.1 ],[2. 2. 2. 2. 2. 2. 1. 2. 2. 2.],"[2.27071008 1.78382506 1.58502374 2.12315392 2.42287831 1.3938903
 1.76947544 1.97750403 1.75237269 1.98853276]",[1.25 1.25 1.   1.   1.   1.   1.   1.   1.   1.25],"[0.82824304 0.56205016 0.47690118 0.68281456 0.87505422 0.34185905
 0.60648716 0.69981604 0.55440394 0.62711186]",[0.125 0.125 0.    0.    0.    0.    0.    0.    0.    0.25 ]
1.5,0.35000000000000003,[1.717 1.206 1.468 1.037 1.402 1.464 1.502 1.112 1.233 1.693],[3.62 2.8  2.95 2.34 3.29 3.26 3.14 2.4  2.56 3.48],[2.  2.  2.  1.  1.  2.  2.  1.  1.5 2. ],"[2.51254435 1.75290937 1.98523696 1.39151724 2.19232834 2.09380515
 2.1294114  1.46048089 1.6275779  2.38930621]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.85036601 0.49113447 0.56554458 0.35249136 0.71483323 0.66880759
 0.62992898 0.39814324 0.42651345 0.7594002 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[2.025 1.481 1.211 1.686 1.779 1.262 1.157 1.31  1.428 1.257],[4.26 3.1  2.45 3.64 3.73 2.77 2.4  2.91 2.95 2.75],[2. 2. 1. 2. 2. 2. 1. 1. 1. 2.],"[3.04589595 2.13199022 1.59655728 2.53626236 2.6177027  1.76952958
 1.48428681 1.94271444 2.01165122 1.71923293]","[1.25    1.      1.      1.21875 1.25    1.      1.      1.      1.
 1.     ]","[1.02436886 0.61578233 0.39725064 0.81222244 0.80476263 0.478929
 0.34884736 0.55861288 0.55982993 0.4648677 ]",[0.25  0.    0.    0.125 0.25  0.    0.    0.    0.    0.   ]
1.5,0.45,[1.626 1.37  1.655 1.57  1.318 1.564 1.362 1.319 1.266 1.609],[3.21 2.75 3.38 3.1  2.64 3.07 2.92 2.78 2.78 3.3 ],[2. 1. 2. 2. 1. 2. 2. 1. 2. 2.],"[2.26892987 1.80344349 2.28908429 2.1234655  1.78057523 2.12522137
 1.90210869 1.88019917 1.75430376 2.31626987]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.6213609  0.47728871 0.67355878 0.57756462 0.45307035 0.5570274
 0.52407158 0.50515156 0.46184587 0.68268832]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.272 0.297 0.255 0.268 0.238 0.251 0.353 0.274 0.286 0.273],[3.16 2.93 2.79 3.17 2.56 2.54 3.   2.69 3.38 2.84],[2. 1. 1. 2. 1. 1. 1. 1. 2. 1.],"[1.07941217 1.00912988 0.81406771 0.99188798 0.74086661 0.73992469
 1.06551273 0.8805143  1.14878864 0.98687086]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.79131159 0.72079248 0.56167269 0.72526689 0.47597404 0.48673134
 0.74298099 0.59121255 0.85943745 0.69808424]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
