gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.294 0.205 0.249 0.316 0.316 0.284 0.266 0.252 0.231 0.279],[2.73 2.62 3.03 3.59 2.77 3.16 3.12 2.91 2.94 3.41],[1.  1.5 2.  2.  1.  2.  2.  2.  2.  2. ],"[0.82068236 0.61718644 0.85515779 1.20572618 0.90532507 0.96263785
 0.91636344 0.86744128 0.86923345 1.06793588]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.54367308 0.4103798  0.59143708 0.8755089  0.64117468 0.69165152
 0.65717399 0.60722156 0.6191358  0.79816904]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05014677 0.04965753 0.05035787 0.05059846 0.05116678 0.04981702
 0.05043032 0.04889505 0.04902411 0.04913662]"
1.5,0.1,[0.611 0.633 0.58  0.613 0.609 0.484 0.503 0.522 0.615 0.494],[3.3  3.58 3.15 3.28 2.69 2.84 3.16 2.63 2.76 2.76],[2. 2. 2. 2. 2. 1. 1. 1. 2. 2.],"[1.44901505 1.60163326 1.35544194 1.5373048  1.170331   1.19879126
 1.38784348 1.09864146 1.20038905 1.10306481]",[0. 1. 0. 0. 1. 0. 0. 0. 1. 0.],"[0.84452774 0.96087459 0.78391118 0.91623363 0.561935   0.71408118
 0.87785935 0.57352123 0.59829005 0.61324303]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09973878 0.10094829 0.10135283 0.09899674 0.10454128 0.09917325
 0.10036285 0.10057651 0.10158283 0.09991183]"
1.5,0.15000000000000002,[0.496 0.733 0.665 0.82  0.822 0.936 0.582 0.873 0.725 0.947],[2.54 2.95 2.54 2.97 2.99 3.19 2.25 3.61 2.8  3.38],[1.  1.  1.5 2.  2.  2.  1.  1.  2.  2. ],"[1.11365617 1.44639501 1.20783625 1.47617493 1.54394929 1.68752861
 0.92250968 1.91467222 1.37599352 1.85195107]",[0.  0.5 1.  0.5 1.  1.  0.  1.  1.  1. ],"[0.51926163 0.72729955 0.49814387 0.70897278 0.7150235  0.7592437
 0.36331046 1.04919859 0.6172899  0.91649697]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14953972 0.15188612 0.15104271 0.15144146 0.15319846 0.1495968
 0.14021255 0.14670045 0.15341198 0.14905155]"
1.5,0.2,[1.014 0.781 0.957 0.793 1.029 0.931 0.963 0.868 0.853 0.983],[3.24 2.44 3.01 2.68 2.69 2.98 2.89 2.45 3.01 2.91],[1.5 1.  2.  2.  2.  1.5 1.  1.  2.  1. ],"[1.80389713 1.24150401 1.63891198 1.3054999  1.46477519 1.63033523
 1.57379784 1.3185116  1.56698471 1.61347732]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.8098212  0.44529551 0.66612451 0.50408877 0.50091777 0.66307205
 0.62546776 0.47464441 0.68411728 0.68494094]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19908044 0.19443586 0.19925435 0.19405941 0.2057309  0.20047131
 0.20164104 0.20167428 0.20004593 0.19951831]"
1.5,0.25,[1.16  1.348 1.047 1.076 1.069 1.382 1.21  1.17  1.031 1.086],[2.63 3.49 2.86 2.9  3.07 3.39 3.32 3.08 2.81 3.06],[1.5 2.  2.  1.  1.  2.  1.5 2.  1.  1. ],"[1.57617639 2.17282715 1.65829197 1.77134486 1.74118217 2.14205156
 2.06847177 1.84536316 1.65473558 1.81063754]",[1.    1.125 1.    1.    1.    1.25  1.    1.    1.    1.   ],"[0.47328577 0.87513978 0.5960471  0.6498849  0.69492729 0.78790178
 0.81997873 0.6895221  0.58993089 0.69436557]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.25004167 0.25044739 0.24740219 0.24973862 0.24699074 0.25080707
 0.251223   0.25105684 0.25066313 0.24879956]"
1.5,0.3,[1.406 1.048 1.091 1.547 1.359 1.326 1.207 1.35  1.092 1.193],[3.35 2.79 2.59 3.55 3.14 3.16 2.85 3.11 2.79 2.88],[2.  2.  1.  2.  2.  2.  1.  2.  1.5 2. ],"[2.15581223 1.63253065 1.58263063 2.40368578 2.02235932 2.01530922
 1.82668704 1.98684607 1.65929922 1.72672771]",[1.125 1.    1.    1.125 1.    1.    1.    1.    1.    1.   ],"[0.72681076 0.53810621 0.45343385 0.83732713 0.67214143 0.67030922
 0.59024844 0.64998205 0.54779043 0.55143596]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.30429774 0.30306461 0.29836678 0.29946071 0.29708389 0.30159068
 0.30303852 0.29798923 0.2997924  0.30138074]"
1.5,0.35000000000000003,[1.357 1.303 1.353 1.315 1.343 1.416 1.336 1.52  1.484 1.178],[2.91 2.67 2.9  2.9  2.99 3.17 3.06 3.71 3.11 2.67],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.82653918 1.71597318 1.87192755 1.92091142 1.92153848 2.06325511
 1.94258652 2.42367762 2.08394356 1.61786373]",[1.    1.125 1.    1.    1.25  1.125 1.    1.25  1.    1.   ],"[0.52778918 0.46989652 0.54055548 0.57653154 0.53523965 0.61041819
 0.62231308 0.83685389 0.6289045  0.44550045]",[0.   0.   0.   0.   0.25 0.   0.   0.25 0.   0.  ],"[0.35372103 0.3524673  0.35259377 0.34489761 0.35789568 0.35102619
 0.34810952 0.3480428  0.34864474 0.35108099]"
1.5,0.4,[1.407 1.488 1.367 1.485 1.625 1.527 1.363 1.578 1.543 1.755],[2.86 3.16 2.94 3.12 3.32 3.21 2.74 3.02 3.3  3.64],[2. 2. 2. 1. 2. 2. 1. 2. 2. 2.],"[1.9570005  2.10569588 1.87585228 2.09748036 2.27949011 2.20029333
 1.80470396 2.04619815 2.2263569  2.5284581 ]",[1.    1.125 1.    1.    1.    1.    1.    1.    1.25  1.25 ],"[0.51701514 0.59451912 0.55789696 0.63139882 0.70200537 0.66299841
 0.48559263 0.57194766 0.62413766 0.78443161]",[0.    0.    0.    0.    0.    0.    0.    0.    0.25  0.125],"[0.39171808 0.40481418 0.39877548 0.39601983 0.39789379 0.40028107
 0.39203065 0.39632616 0.40223685 0.40172101]"
1.5,0.45,[1.54  1.776 1.552 1.57  1.435 1.472 1.472 1.519 1.34  1.465],[3.01 3.5  2.86 3.13 2.93 2.93 2.83 2.88 2.89 2.89],[2. 2. 2. 2. 2. 1. 2. 2. 1. 2.],"[2.08492323 2.48741641 1.96029938 2.11158064 1.96525223 2.05394384
 1.89812633 1.96579856 1.9063602  1.97587554]",[1.25 1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.55166579 0.73183536 0.50909333 0.5915904  0.53075089 0.59190526
 0.48421276 0.50956809 0.52634799 0.50660918]",[0.125 0.25  0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.4486312  0.45170683 0.44378004 0.45243334 0.45087704 0.45098126
 0.44806438 0.45042865 0.45297594 0.44796256]"
1.6,0.05,[0.291 0.315 0.329 0.246 0.324 0.246 0.268 0.337 0.236 0.475],[2.9  2.93 2.71 3.19 3.02 2.48 2.96 3.29 2.52 3.75],[1. 1. 1. 2. 2. 1. 2. 1. 1. 2.],"[0.93832452 1.04801114 0.90499531 1.08051295 0.94830924 0.66901289
 0.86846051 1.23402085 0.69672884 1.43964602]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.64818231 0.71902432 0.59964863 0.81102564 0.64587271 0.41725508
 0.57957868 0.87480088 0.47102694 1.02231814]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05096567 0.0501193  0.04988266 0.05021697 0.04990693 0.04994201
 0.05017977 0.04977162 0.05048912 0.05010687]"
