gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.258 0.341 0.287 0.318 0.192 0.285 0.303 0.247 0.251 0.312],[2.47 3.75 3.09 3.29 2.56 2.75 3.09 3.09 2.93 3.21],[1.5 2.  1.  2.  1.  2.  2.  2.  1.  2. ],"[0.62342148 1.28658397 1.00472716 1.12354969 0.6892107  0.76700173
 0.96759774 0.90616195 0.89615877 0.96952899]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.38378037 0.93716686 0.72555236 0.81780262 0.4730315  0.48636209
 0.66549813 0.67169418 0.63689852 0.63689959]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05055677 0.04919388 0.05118346 0.0493855  0.0522029  0.0475105
 0.04993262 0.05003933 0.04960606 0.04877249]"
1.5,0.1,[0.565 0.583 0.568 0.625 0.576 0.415 0.554 0.557 0.593 0.617],[3.2  3.35 3.3  3.34 2.75 2.48 2.84 3.02 2.92 3.58],[2. 2. 2. 2. 1. 1. 1. 2. 2. 2.],"[1.41348607 1.47560516 1.43896856 1.5220318  1.16325468 0.97077375
 1.22607096 1.23042729 1.20597598 1.65409728]",[0.  1.  0.  0.  0.  0.  0.  0.  0.  0.5],"[0.83985265 0.87878387 0.87750677 0.8943316  0.58992887 0.55186811
 0.67646891 0.6938062  0.66214664 1.02687804]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10140908 0.10141898 0.09851708 0.101119   0.10038669 0.10203824
 0.10084727 0.10464991 0.10054496 0.09952417]"
1.5,0.15000000000000002,[0.734 0.57  0.746 0.76  0.788 0.838 0.661 0.942 0.689 0.868],[2.86 2.21 2.84 2.73 3.12 3.27 2.66 3.66 2.57 3.49],[2.  1.  1.5 2.  2.  2.  2.  2.5 2.  2. ],"[1.28882263 0.90866772 1.35422519 1.37284383 1.53368694 1.66063427
 1.2002579  1.86818742 1.20465693 1.76061524]",[1.     0.     1.     1.     1.     0.     1.     1.1875 1.     1.    ],"[0.56942627 0.34212475 0.6425455  0.559894   0.74419231 0.84706737
 0.52274325 0.9516005  0.50965693 0.91849183]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.150122   0.15302663 0.1454055  0.15201196 0.14964046 0.14733109
 0.15092124 0.14926079 0.14910943 0.14905227]"
1.5,0.2,[0.715 1.032 0.912 0.925 1.037 0.844 1.083 1.09  1.161 0.928],[2.39 3.24 2.66 2.99 3.09 2.65 3.38 3.36 3.38 2.7 ],[1. 1. 1. 2. 2. 2. 2. 2. 2. 1.],"[1.19110646 1.85986376 1.47543962 1.68753958 1.76350475 1.29647352
 1.92776495 1.84452724 2.02115308 1.46032644]",[0.5 1.  1.  1.  1.  1.  1.  1.  1.  1. ],"[0.44041066 0.81634203 0.57958268 0.71677603 0.721656   0.45678602
 0.81983771 0.81761073 0.86266064 0.56103262]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20102901 0.20085942 0.19582711 0.19993768 0.20310061 0.20023697
 0.19938165 0.20023192 0.19998756 0.19779359]"
1.5,0.25,[1.408 1.104 1.201 0.967 1.056 1.291 0.962 1.227 1.087 1.231],[3.55 2.9  3.28 2.59 2.87 3.39 2.49 3.15 2.8  3.38],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[2.31483418 1.6963558  2.00039197 1.46384909 1.58587116 2.03444757
 1.36109701 1.81658418 1.66746517 2.021909  ]",[1.25 1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.86474629 0.61565877 0.7920033  0.49638815 0.55316609 0.78713983
 0.43130209 0.67759736 0.57140499 0.80908185]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.24804961 0.25121011 0.24881583 0.24709114 0.24822608 0.24952979
 0.25108436 0.2516382  0.25014947 0.25097155]"
1.5,0.3,[1.28  1.627 1.339 1.058 1.154 1.28  1.103 1.455 1.321 1.189],[3.08 3.61 2.99 2.26 2.79 3.   2.76 3.34 3.14 2.83],[2. 2. 1. 1. 1. 1. 2. 2. 1. 1.],"[1.92903202 2.37746437 1.9564572  1.38392198 1.70905041 1.97056164
 1.63272407 2.17309978 2.01089936 1.78233089]",[1.   1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.64676273 0.84101601 0.64214323 0.34381455 0.55214367 0.67054272
 0.51695502 0.75346599 0.69093354 0.59044124]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.30011072 0.30160203 0.29820004 0.30457962 0.30250876 0.30083547
 0.29914696 0.30005435 0.30067558 0.30010714]"
1.5,0.35000000000000003,[1.407 1.367 1.321 1.302 1.326 1.593 1.204 1.398 1.41  1.248],[3.12 2.79 3.2  2.62 2.7  3.59 2.62 3.01 3.25 2.74],[2. 1. 2. 1. 1. 2. 2. 1. 2. 2.],"[2.03114291 1.85139757 2.04600532 1.69058902 1.80437001 2.37763596
 1.64258605 1.99209155 2.17544098 1.66877144]",[1.25 1.   1.   1.   1.   1.25 1.   1.   1.25 1.25],"[0.64563266 0.50594347 0.66536201 0.45900088 0.48838368 0.77152512
 0.44613158 0.60436633 0.68924713 0.45769661]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.34867366 0.3463195  0.35112775 0.35092651 0.34997715 0.35057341
 0.34944049 0.35149829 0.34960811 0.34926106]"
1.5,0.4,[1.455 1.52  1.534 1.461 1.146 1.524 1.073 1.718 1.363 1.3  ],[2.96 3.03 3.31 3.18 2.61 3.22 2.33 3.4  2.94 2.67],[1.  2.  2.  1.5 1.  2.  1.  2.  2.  2. ],"[1.97749376 2.04802816 2.28259425 2.15004457 1.6751257  2.22848778
 1.48542839 2.32602479 1.90756421 1.74384273]",[1.    1.    1.    1.    1.    1.125 1.    1.25  1.    1.   ],"[0.56454881 0.58437154 0.69067042 0.65073366 0.46203976 0.64247399
 0.3508593  0.69965272 0.53928601 0.41709468]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.40048243 0.39910052 0.39894285 0.40203861 0.39836892 0.40169889
 0.40151194 0.39977231 0.39712692 0.39352837]"
1.5,0.45,[1.573 1.721 1.6   1.246 1.58  1.546 1.568 1.568 1.573 1.242],[3.26 3.52 3.39 2.61 2.98 3.18 3.34 3.02 3.04 2.35],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[2.23668574 2.43750453 2.3582901  1.69021125 2.04284566 2.14712024
 2.29694817 2.12836348 2.10932712 1.5219658 ]",[1.   1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.66494929 0.71038783 0.72283356 0.41308234 0.52493489 0.61592395
 0.68241875 0.56678816 0.57462985 0.31598924]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.44983926 0.4492768  0.44906727 0.45172092 0.44937455 0.44791632
 0.45013995 0.44997722 0.44916082 0.44989562]"
1.6,0.05,[0.272 0.341 0.304 0.276 0.237 0.194 0.262 0.279 0.235 0.288],[3.69 2.94 2.74 2.71 2.96 2.49 2.97 2.66 2.77 2.88],[2.  2.  1.  1.  1.5 1.  1.  1.  2.  1. ],"[1.25459766 0.97215902 0.93977374 0.81570457 0.94209741 0.63959419
 0.92705682 0.71770904 0.73862694 1.00968019]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.96828357 0.63314535 0.63436175 0.53905418 0.68284998 0.47513557
 0.66098565 0.46884429 0.48829491 0.71455751]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05000317 0.05152784 0.04930207 0.04750594 0.05169554 0.05015289
 0.04932548 0.04868933 0.04964774 0.05009506]"
