gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.234 0.27  0.263 0.309 0.28  0.292 0.235 0.256 0.23  0.291],[2.97 2.86 2.38 3.22 3.22 3.17 2.97 2.86 2.67 2.79],[2. 1. 1. 2. 2. 2. 2. 1. 1. 1.],"[0.82286262 0.97464106 0.62338929 1.07589803 0.98210618 0.93188698
 0.89487995 0.87146393 0.69476967 0.81605258]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.587909   0.68357783 0.3589557  0.74921102 0.70847337 0.62632729
 0.64749165 0.59890106 0.4818943  0.5571268 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04971996 0.05039    0.05075727 0.05183694 0.05100427 0.05069302
 0.05047508 0.04946535 0.05083916 0.04872606]"
1.5,0.1,[0.544 0.581 0.444 0.616 0.53  0.558 0.506 0.63  0.471 0.705],[3.34 3.32 2.48 2.81 2.84 3.06 3.18 3.22 3.19 3.58],[2.  2.  1.5 2.  1.5 2.  2.  2.  2.  2. ],"[1.49011939 1.42831448 0.84507737 1.23309223 1.15816638 1.25422113
 1.30227671 1.46173832 1.23166067 1.65620831]","[0.      0.      0.      1.      0.      0.      0.      1.      0.
 1.09375]","[0.90018225 0.87162564 0.4126555  0.61892719 0.65229175 0.69027581
 0.75434702 0.82312992 0.75993459 0.93106915]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125],"[0.09901326 0.09947035 0.10039029 0.10108553 0.10171045 0.10070116
 0.09873251 0.09958468 0.09866933 0.09883596]"
1.5,0.15000000000000002,[0.736 0.745 0.838 0.718 0.79  0.827 0.556 0.789 0.689 0.631],[2.94 2.91 3.08 2.91 3.33 3.03 2.69 3.06 2.67 2.48],[2.  2.  2.  2.  2.  1.5 1.  2.  2.  1. ],"[1.37768162 1.39150709 1.48268537 1.41461917 1.70082986 1.59807017
 1.14090158 1.52132241 1.19867515 1.06305499]",[0.  1.  1.  1.  1.  0.5 0.  1.  1.  0. ],"[0.66401646 0.6584535  0.66635908 0.66691409 0.87867409 0.79402293
 0.56324289 0.73366799 0.48155112 0.42809162]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14973933 0.15369375 0.14970662 0.1469819  0.14530947 0.14913746
 0.14487386 0.14975152 0.15169282 0.15117899]"
1.5,0.2,[0.936 0.962 1.096 0.896 0.818 0.943 0.988 1.085 1.116 0.973],[2.81 3.07 3.29 2.86 2.78 3.08 3.01 3.4  3.5  3.38],[1. 2. 1. 1. 2. 2. 2. 2. 2. 2.],"[1.64204424 1.65478705 1.91335414 1.54594423 1.42558171 1.68871721
 1.6727826  1.9534422  2.0800822  1.87184112]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.67261614 0.69636969 0.86857204 0.62515322 0.57635319 0.70981096
 0.68753968 0.88618389 0.87934001 0.87944366]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20125    0.19930485 0.19873166 0.19943302 0.19455041 0.20071987
 0.19984787 0.2017037  0.20090878 0.20074944]"
1.5,0.25,[1.175 0.974 1.283 1.078 1.059 1.156 1.189 1.27  1.416 1.228],[3.38 2.6  3.55 2.68 3.04 3.02 3.06 3.42 3.42 3.31],[1.  1.  1.5 1.  2.  2.  1.5 2.  1.  1. ],"[2.11569725 1.47540679 2.23155149 1.60622422 1.80307333 1.84632091
 1.90083262 2.094465   2.23514606 2.07507176]",[1.    1.    1.    1.    1.    1.125 1.    1.    1.    1.   ],"[0.84443077 0.50485503 0.9308093  0.55555039 0.67496603 0.67462413
 0.66741709 0.80113371 0.8757497  0.82001316]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25056806 0.25308269 0.24918291 0.25187775 0.25005821 0.24878361
 0.24609665 0.25130614 0.24827905 0.24920046]"
1.5,0.3,[1.212 1.119 1.357 1.359 1.269 1.3   1.392 1.292 1.45  1.236],[3.03 2.6  3.43 3.05 3.33 2.96 3.45 3.13 3.11 2.8 ],[1.5 1.  2.  2.  2.  2.  2.  2.  1.5 2. ],"[1.89386879 1.58267592 2.15556361 2.03410361 2.0670925  1.7972086
 2.16604781 1.96160678 2.01212352 1.69236511]","[1.      1.      1.      1.25    1.      1.      1.21875 1.      1.
 1.     ]","[0.62978431 0.44700453 0.76368372 0.66906699 0.73871482 0.55572423
 0.75464156 0.62903842 0.67931651 0.50855652]",[0.    0.    0.    0.    0.    0.    0.125 0.    0.    0.   ],"[0.30309952 0.30242331 0.29705796 0.29894839 0.29936917 0.30271037
 0.29335065 0.30432911 0.29980551 0.30233656]"
1.5,0.35000000000000003,[1.455 1.584 1.614 1.076 1.695 1.314 1.289 1.19  1.869 1.205],[3.2  3.45 3.51 2.51 3.51 2.84 2.97 2.58 3.84 2.83],[2. 2. 2. 1. 2. 1. 2. 2. 2. 1.],"[2.11198889 2.26652331 2.42905171 1.54263506 2.47254276 1.86061057
 1.84866667 1.64111465 2.76181757 1.75365326]",[1.   1.25 1.   1.   1.25 1.   1.   1.   1.25 1.  ],"[0.64791907 0.71439318 0.81149739 0.43181902 0.7859119  0.53373984
 0.56393523 0.42365859 0.89774225 0.52611969]",[0.   0.25 0.   0.   0.25 0.   0.   0.   0.25 0.  ],"[0.34925558 0.34975847 0.34978268 0.3508846  0.34943116 0.35025779
 0.35073123 0.34541826 0.3520359  0.3472732 ]"
1.5,0.4,[1.561 1.498 1.35  1.463 1.617 1.497 1.455 1.162 1.458 1.299],[3.27 2.96 2.72 3.13 3.42 2.89 2.96 2.59 3.13 2.87],[2.  1.  2.  2.  1.  2.  2.  1.  2.  1.5],"[2.2307286  1.96360073 1.76986245 2.08601875 2.36283174 1.95150492
 2.00202234 1.62767458 2.05749068 1.88962691]",[1.25  1.    1.    1.125 1.    1.    1.    1.    1.    1.   ],"[0.65874862 0.53531948 0.44994607 0.61749396 0.75671175 0.53838419
 0.56134363 0.42079714 0.61930037 0.53383833]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39965906 0.4077135  0.40126022 0.3954968  0.39994136 0.39786692
 0.39651793 0.39836399 0.40004767 0.39789892]"
1.5,0.45,[1.798 1.383 1.25  1.398 1.334 1.366 1.431 1.9   1.515 1.344],[3.5  2.81 2.53 2.77 2.94 2.69 3.05 3.84 3.1  2.66],[2. 1. 1. 1. 2. 2. 2. 2. 1. 1.],"[2.53503411 1.88688835 1.65587968 1.88351988 1.91714164 1.77963152
 2.0605665  2.72083938 2.1236154  1.79170353]",[1.25 1.   1.   1.   1.   1.   1.   1.25 1.   1.  ],"[0.7354406  0.49771293 0.40869401 0.48418883 0.5302819  0.43710405
 0.58383433 0.85009414 0.61946989 0.46249516]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.45279453 0.44857732 0.44562201 0.44713272 0.45108513 0.45170197
 0.44817372 0.44756487 0.4477141  0.44912473]"
1.6,0.05,[0.309 0.292 0.275 0.212 0.312 0.219 0.242 0.242 0.238 0.292],[2.73 2.79 2.5  2.74 3.16 2.59 2.72 2.72 2.99 2.6 ],[2.  1.  1.  1.5 1.  1.  1.  1.  1.  1. ],"[0.78210562 0.9150465  0.71854373 0.70413228 1.03564355 0.75338995
 0.78198363 0.7802636  0.92415586 0.84084605]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.4793859  0.62141429 0.44813846 0.4814272  0.75298791 0.53402716
 0.51890502 0.51617913 0.68804257 0.55886424]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04989045 0.04969103 0.04897548 0.04950207 0.04915894 0.05061713
 0.04867637 0.05173398 0.05024479 0.05068364]"
