gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.316 0.293 0.318 0.305 0.237 0.28  0.313 0.306 0.32  0.211],[3.06 2.97 3.21 2.84 2.9  2.95 3.07 3.41 3.22 2.58],[1. 1. 2. 1. 1. 2. 2. 2. 1. 1.],"[0.9709477  0.94675722 1.07209205 0.90064654 0.89483519 0.89633863
 0.94680044 1.19279828 1.18484398 0.69147756]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.66975507 0.64809511 0.75344092 0.59375384 0.66599363 0.61132642
 0.64457388 0.86660688 0.8624984  0.46793019]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05011171 0.05045919 0.05088514 0.04934899 0.04959129 0.05084746
 0.05108237 0.0498878  0.04989403 0.0500289 ]"
1.5,0.1,[0.582 0.498 0.496 0.436 0.55  0.624 0.552 0.573 0.64  0.493],[3.48 3.02 2.83 2.61 2.96 3.61 2.87 3.13 3.43 2.74],[2.  2.  2.  1.  1.5 2.  2.  2.  2.  2. ],"[1.52340754 1.181597   1.07135455 1.00321943 1.24889746 1.63190659
 1.2176656  1.28596502 1.56775052 1.06024164]",[0.5 0.  0.  0.  0.  0.  0.  0.  1.  0. ],"[0.93756587 0.67923006 0.59987994 0.55133955 0.70872412 1.01357773
 0.63769856 0.75990911 0.93495817 0.56866693]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09912569 0.10357928 0.09972876 0.10028185 0.09832293 0.09930001
 0.10178895 0.09960661 0.10249503 0.10024458]"
1.5,0.15000000000000002,[0.815 0.778 0.678 0.746 0.807 0.74  0.798 0.816 0.803 0.764],[3.06 3.19 2.52 3.05 2.9  3.02 2.86 3.47 2.98 2.79],[2.  1.5 1.  2.  2.  1.  2.  2.  1.5 2. ],"[1.5652957  1.65898861 1.19224938 1.48713973 1.40715774 1.55762572
 1.40836311 1.73472987 1.51242214 1.36743725]",[1.  0.5 0.  1.  1.  1.  1.  1.  1.  1. ],"[0.74936858 0.8681567  0.50716149 0.71756454 0.64131302 0.78726134
 0.63495246 0.87193201 0.73998379 0.60390271]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14792673 0.14949726 0.1578341  0.15012239 0.15031426 0.14877409
 0.14925306 0.14986852 0.15097433 0.15164353]"
1.5,0.2,[0.859 0.792 0.871 1.014 0.898 1.28  1.079 0.988 0.89  0.936],[2.73 2.77 2.7  3.16 2.85 3.73 3.48 3.26 2.67 3.  ],[1. 2. 1. 1. 1. 2. 2. 2. 1. 2.],"[1.42763692 1.33667068 1.42970168 1.89419619 1.51542964 2.29229561
 1.96621892 1.83360196 1.44417697 1.55046976]",[0.5 1.  1.  1.  1.  1.  1.  1.  1.  1. ],"[0.58544698 0.52985428 0.55406692 0.8226166  0.66182613 1.0393995
 0.88351506 0.83906583 0.55854464 0.65070475]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19477607 0.20008966 0.19918205 0.20157128 0.19894294 0.20026858
 0.20237065 0.20043899 0.20068189 0.19807813]"
1.5,0.25,[0.923 1.058 1.004 1.175 1.052 1.145 0.954 1.158 1.157 1.142],[2.48 2.8  2.64 3.26 2.8  3.15 2.6  3.26 2.94 2.98],[1.  1.5 2.  1.  2.  2.  1.  2.  2.  2. ],"[1.38514705 1.56240585 1.45671849 1.96966212 1.677059   1.9121586
 1.44380276 1.93729384 1.80210892 1.7434394 ]",[1.    1.    1.    1.    1.    1.    1.    1.    1.125 1.   ],"[0.44663875 0.53513778 0.48316868 0.78099269 0.57901701 0.72643472
 0.50261684 0.75637221 0.62146194 0.61432563]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24561952 0.2505733  0.25429678 0.24867712 0.25360992 0.25116508
 0.25136856 0.2468462  0.24560512 0.25050352]"
1.5,0.3,[1.401 1.194 1.378 1.231 1.237 1.274 1.099 1.163 1.201 1.635],[3.29 2.98 3.16 2.89 2.9  3.08 2.8  2.82 2.9  3.96],[2.  2.  2.  1.5 2.  2.  2.  2.  2.  2.5],"[2.12867223 1.82171332 2.03967257 1.83392187 1.77892242 1.96166412
 1.65196622 1.73805214 1.81111345 2.6187137 ]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   1.25],"[0.73962926 0.61496039 0.6975815  0.57501745 0.58312042 0.64202606
 0.53127042 0.5334623  0.58407976 0.99845064]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.29999016 0.30059251 0.29835345 0.30172872 0.29978761 0.30165894
 0.29888986 0.31235969 0.29935593 0.29883819]"
1.5,0.35000000000000003,[1.299 1.246 1.4   1.532 1.596 1.484 1.489 1.348 1.446 1.441],[2.99 2.84 3.08 3.44 3.32 3.22 3.24 2.99 3.01 3.43],[2. 2. 1. 2. 2. 2. 2. 2. 2. 2.],"[1.90907632 1.87433617 2.069455   2.24418201 2.24428639 2.16978134
 2.15233509 1.87866899 2.01790467 2.23484084]",[1.    1.    1.    1.25  1.25  1.    1.125 1.    1.    1.   ],"[0.564423   0.53801414 0.65462895 0.71431873 0.68772633 0.66623886
 0.6352135  0.56702837 0.59096619 0.75025222]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ],"[0.35582965 0.35191824 0.35042654 0.34832336 0.34821703 0.34547724
 0.3505332  0.34956964 0.34941952 0.3516535 ]"
1.5,0.4,[1.38  1.339 1.516 1.431 1.238 1.438 1.501 1.528 1.653 1.752],[2.81 2.78 3.21 3.04 2.85 3.02 3.16 3.09 3.5  3.72],[2. 1. 2. 1. 1. 1. 2. 2. 1. 2.],"[1.87950684 1.923043   2.14037907 2.08519127 1.82686775 2.06905561
 2.10942302 2.0953879  2.47659947 2.61596797]",[1.    1.    1.25  1.    1.    1.    1.    1.25  1.    1.125],"[0.49602784 0.52086892 0.6118256  0.59812096 0.53014046 0.59892621
 0.62105388 0.57271212 0.77344029 0.82721187]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.40716248 0.39995044 0.40173504 0.4028278  0.39872357 0.40098803
 0.39160039 0.40054589 0.398833   0.40039856]"
1.5,0.45,[1.252 1.409 1.646 1.485 1.483 1.354 1.496 1.684 1.454 1.5  ],[2.51 2.79 3.31 2.94 2.85 2.91 3.1  3.17 2.99 3.19],[2.  1.  2.  1.  2.  2.  2.  1.5 2.  2. ],"[1.56229836 1.96234139 2.25275507 2.04320624 1.91783444 1.90056676
 2.054005   2.2025059  1.97821489 2.14503818]",[1.   1.   1.25 1.   1.   1.   1.25 1.   1.   1.  ],"[0.36711282 0.50647836 0.64499689 0.56240301 0.47990475 0.48867223
 0.54851122 0.63434184 0.55253008 0.61619785]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45084094 0.45123956 0.44955513 0.44747623 0.45254619 0.44942096
 0.4465363  0.45283091 0.45012611 0.44684053]"
1.6,0.05,[0.329 0.251 0.3   0.295 0.375 0.275 0.268 0.339 0.305 0.246],[3.13 2.41 2.93 2.87 2.99 2.6  2.73 3.32 3.19 3.17],[2. 1. 1. 2. 2. 1. 1. 1. 2. 2.],"[1.10553212 0.66816257 0.90932081 0.89480861 1.03971256 0.88056819
 0.80778657 1.2419456  1.0432415  0.94536699]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.76991994 0.41059665 0.62691358 0.57517299 0.68985478 0.60552974
 0.53825044 0.92357829 0.74528984 0.69422686]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05244072 0.04942356 0.04912527 0.05146548 0.05046935 0.04977229
 0.04962402 0.04975523 0.05003501 0.04915811]"
