gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.271 0.361 0.328 0.295 0.256 0.275 0.319 0.305 0.334 0.27 ],[2.92 3.37 3.11 3.38 2.78 3.44 3.8  3.25 3.24 3.25],[2.  2.  2.  2.  1.  2.  2.  2.  2.  1.5],"[0.83804376 1.13612318 1.07527502 1.1797702  0.86135073 1.15708398
 1.28044931 1.07175196 1.02147491 1.06507211]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.59143243 0.76201918 0.73794591 0.88652557 0.59289126 0.85689599
 0.95451791 0.75322657 0.70192657 0.79728647]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04929317 0.05206078 0.04931062 0.04974165 0.05193309 0.05099984
 0.0501912  0.04725916 0.04985725 0.05061743]"
1.5,0.1,[0.562 0.591 0.663 0.475 0.467 0.47  0.496 0.616 0.613 0.511],[3.02 3.36 3.82 2.74 2.51 2.74 2.79 3.2  3.05 3.06],[2. 2. 2. 2. 1. 1. 1. 2. 2. 1.],"[1.27062374 1.42728945 1.88532159 1.00316117 0.92010978 1.10820514
 1.19133645 1.42429418 1.35606996 1.26301376]",[0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],"[0.72767574 0.84934878 1.18239679 0.54406693 0.4737377  0.63106586
 0.6869175  0.78121557 0.75480287 0.77745224]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09927856 0.09873108 0.09943611 0.09867748 0.09778427 0.10074917
 0.09851091 0.09734056 0.09918632 0.09828417]"
1.5,0.15000000000000002,[0.841 0.797 0.795 0.786 0.802 0.836 0.633 0.758 0.877 0.698],[3.13 2.95 3.04 3.19 3.11 3.39 2.31 2.84 3.07 3.14],[1. 2. 2. 2. 2. 2. 1. 1. 2. 2.],"[1.62559669 1.50546006 1.49269449 1.5982691  1.61417639 1.66109361
 1.01944843 1.41777008 1.57497996 1.49874225]",[0. 1. 1. 1. 1. 1. 0. 1. 1. 0.],"[0.83642371 0.73504014 0.69756571 0.78035162 0.79129919 0.84224107
 0.37464618 0.68311371 0.74364207 0.76446002]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1519711  0.14819092 0.15178596 0.15026826 0.1500631  0.1496545
 0.15349219 0.14736668 0.15035038 0.15161269]"
1.5,0.2,[0.771 1.063 0.91  1.021 1.266 0.824 0.885 0.985 1.094 1.043],[2.49 3.41 2.91 3.33 3.77 2.82 2.86 3.39 3.27 2.99],[1.5 2.  1.  2.  2.5 2.  1.5 2.  2.  1. ],"[1.23261456 1.90531088 1.62704712 1.82307929 2.21167626 1.42686552
 1.51385956 1.94587436 1.83626902 1.81025919]",[1.     1.     1.     1.     1.25   1.     1.     1.     1.1875 1.    ],"[0.46507    0.84578329 0.69367981 0.82530097 0.9622744  0.5992996
 0.61226044 0.90093845 0.78748362 0.75191935]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.19614428 0.1994082  0.19834701 0.19913985 0.20277788 0.19901914
 0.20136592 0.2004863  0.20052579 0.20162158]"
1.5,0.25,[1.269 1.059 1.146 1.114 1.154 0.986 1.288 1.094 1.034 1.191],[3.41 2.85 3.06 3.   3.11 2.6  3.48 3.01 2.83 2.94],[2. 2. 2. 1. 2. 1. 2. 1. 2. 2.],"[2.11546266 1.64486881 1.83199194 1.78531521 1.82132074 1.39074514
 2.16336165 1.81702837 1.60335766 1.77779934]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.84210633 0.59030582 0.69144263 0.67069851 0.69684625 0.45604543
 0.8493846  0.67500261 0.59128979 0.6293008 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.2478736  0.25158656 0.25036688 0.24845699 0.24939111 0.24918351
 0.24935985 0.24980462 0.24776356 0.2526219 ]"
1.5,0.3,[1.389 1.288 1.374 1.206 0.915 1.205 1.488 1.292 1.3   1.002],[3.52 2.97 3.22 3.06 1.97 2.86 3.45 3.14 3.13 2.28],[2.  1.  2.  2.  1.  1.  2.  1.5 1.  1.5],"[2.29514289 1.91860253 2.03824783 1.87691402 1.09590835 1.74320902
 2.26130085 1.95824743 2.01560746 1.31864285]",[1.125 1.    1.    1.    1.    1.    1.25  1.    1.    1.   ],"[0.83025886 0.64021629 0.68596633 0.64384762 0.24403335 0.59194193
 0.76956256 0.68328711 0.71588822 0.3274197 ]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.29884791 0.30153902 0.29973869 0.29910137 0.30412844 0.2997615
 0.30028715 0.30198289 0.29866326 0.30092779]"
1.5,0.35000000000000003,[1.256 1.454 1.337 1.468 1.3   1.487 1.409 1.467 1.327 1.813],[2.78 2.96 3.   3.26 2.9  3.4  2.94 3.16 3.03 3.94],[1.  1.5 2.  2.  2.  2.  2.  2.  1.5 2.5],"[1.7594357  1.99294765 1.93380693 2.18040828 1.85463164 2.25675925
 1.97579536 2.09669497 1.98555358 2.72857509]",[1.   1.   1.   1.   1.   1.25 1.25 1.25 1.   1.25],"[0.51155118 0.55813014 0.5881624  0.67999813 0.55249235 0.72287009
 0.54455269 0.64365054 0.61668395 0.89243496]",[0.    0.    0.    0.    0.    0.125 0.    0.25  0.    0.25 ],"[0.34966842 0.35156416 0.34960765 0.35142599 0.34835374 0.3466725
 0.35248087 0.35309564 0.35039868 0.35365986]"
1.5,0.4,[1.389 1.784 1.604 1.387 1.615 1.364 1.478 1.427 1.346 1.313],[2.71 3.56 3.29 3.12 3.17 2.77 3.06 3.05 2.88 2.76],[1. 2. 2. 1. 2. 2. 2. 1. 1. 2.],"[1.88758077 2.52159752 2.21262879 2.10228317 2.15865747 1.82060027
 2.01934764 2.07626672 1.8827469  1.78570058]",[1.    1.25  1.25  1.    1.    1.    1.125 1.    1.    1.   ],"[0.47010335 0.77107445 0.64643983 0.65460251 0.61607507 0.4845407
 0.56756297 0.6314541  0.56734346 0.45395864]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.39952467 0.39859315 0.40164839 0.39766789 0.39985077 0.39946061
 0.40699218 0.39817067 0.39912399 0.40259683]"
1.5,0.45,[1.399 1.315 1.756 1.365 1.892 1.54  1.474 1.548 1.631 1.566],[2.84 2.56 3.47 2.84 3.92 2.98 2.79 3.15 3.23 3.33],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[1.87404973 1.63727845 2.41272122 1.90472498 2.77366835 2.06813732
 1.92258759 2.12378481 2.31014534 2.28805203]",[1.    1.    1.25  1.    1.25  1.25  1.    1.25  1.125 1.   ],"[0.4804633  0.36786439 0.70003384 0.49113367 0.89260694 0.54332286
 0.47481294 0.56853822 0.63848335 0.69774502]",[0.    0.    0.25  0.    0.125 0.125 0.    0.    0.    0.   ],"[0.45365878 0.44289827 0.4524184  0.44861058 0.45229818 0.44727397
 0.44744857 0.45134861 0.45196042 0.45009235]"
1.6,0.05,[0.259 0.283 0.307 0.274 0.244 0.246 0.228 0.279 0.267 0.305],[2.86 3.1  3.27 2.84 2.97 3.05 2.77 3.13 2.52 2.74],[1. 2. 2. 2. 1. 2. 1. 2. 1. 2.],"[0.92270146 0.88699887 1.18749403 0.78032223 0.87813648 0.87205896
 0.76111543 0.92879923 0.71202422 0.75522393]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.64465458 0.62873471 0.8623152  0.52130673 0.63435535 0.63629602
 0.53293916 0.66153361 0.45653472 0.45766534]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05163123 0.0517446  0.05013391 0.04911349 0.05064329 0.04987451
 0.04775148 0.04906138 0.04970201 0.04997004]"
