gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.305 0.315 0.326 0.264 0.223 0.325 0.375 0.264 0.28  0.195],[3.24 3.3  3.09 3.09 2.72 3.25 3.32 3.1  3.19 2.33],[2.  1.  2.  2.  1.  1.  2.  1.5 1.  2. ],"[1.08463148 1.1813815  1.02556879 0.93903698 0.73178911 1.21000955
 1.13659576 1.04334051 1.04939239 0.46710401]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.77637891 0.8701968  0.69213068 0.66381725 0.50513872 0.89183145
 0.77115753 0.75993841 0.77068634 0.27733839]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0506815  0.05049268 0.04979191 0.04969663 0.04942966 0.04976893
 0.04938925 0.05082567 0.05060055 0.05107973]"
1.5,0.1,[0.476 0.481 0.601 0.502 0.409 0.546 0.557 0.652 0.531 0.525],[2.87 2.64 3.33 2.85 2.63 3.05 2.84 3.54 2.67 3.21],[2.  2.  1.5 2.  1.  1.  1.  2.  1.  2. ],"[1.08067426 0.96999062 1.52835489 1.11818593 0.97238839 1.31883128
 1.23303578 1.64303589 1.13492003 1.35783723]",[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"[0.60572492 0.48338661 0.93878336 0.59380116 0.58497078 0.75656687
 0.70277821 0.98986877 0.62180235 0.78387177]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10024211 0.09847515 0.09974352 0.09842626 0.10009584 0.10170976
 0.10091712 0.09999278 0.10195485 0.09983836]"
1.5,0.15000000000000002,[0.754 0.725 0.793 0.848 0.695 0.687 0.702 0.781 0.644 0.722],[2.76 3.16 3.16 3.36 2.76 2.85 2.92 3.13 2.68 2.65],[1. 2. 1. 2. 1. 2. 1. 1. 1. 1.],"[1.37023355 1.54262632 1.62151923 1.78866115 1.37533162 1.3480516
 1.40767254 1.5789081  1.25466029 1.25941237]",[1.  0.  1.  1.  1.  1.  0.5 1.  0.  1. ],"[0.63899149 0.77797056 0.8241236  0.9309103  0.6602242  0.6105516
 0.66938397 0.78765077 0.61275355 0.55943739]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14775042 0.15023857 0.15002662 0.15029543 0.14993986 0.14992016
 0.15052336 0.15125481 0.14879743 0.15143441]"
1.5,0.2,[0.858 0.749 1.077 1.002 0.926 0.892 0.809 0.761 0.964 1.095],[2.68 2.64 3.27 3.17 2.98 2.78 2.6  2.63 2.86 3.07],[2. 2. 2. 2. 2. 1. 1. 1. 2. 1.],"[1.34034908 1.22690259 1.86731589 1.73585069 1.61099824 1.45808516
 1.37121429 1.34260337 1.52230068 1.78184043]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.51137447 0.46890942 0.75023459 0.73619737 0.62733369 0.58667098
 0.56472564 0.54151939 0.56390468 0.72445761]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.20266139 0.19977981 0.20192776 0.19835209 0.20343492 0.20183106
 0.20084334 0.20433972 0.20167735 0.2009462 ]"
1.5,0.25,[1.145 1.06  1.376 1.019 1.052 1.131 1.142 1.317 1.231 1.152],[2.93 2.81 3.6  2.86 2.88 2.95 2.86 3.43 3.12 2.94],[2. 2. 2. 1. 2. 2. 2. 2. 2. 1.],"[1.7857058  1.63987346 2.29414611 1.61926394 1.58733648 1.75336065
 1.67494996 2.07975393 1.9056517  1.76262778]",[1.   1.   1.25 1.   1.   1.   1.   1.   1.   1.  ],"[0.61105798 0.56137981 0.91856017 0.59822329 0.56317632 0.61875798
 0.60693971 0.81239065 0.70706284 0.64826743]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ],"[0.25068329 0.25095785 0.24911083 0.24718617 0.25113458 0.25073209
 0.25037397 0.24565605 0.25122244 0.24755635]"
1.5,0.3,[1.17  1.404 1.305 1.416 1.501 1.277 1.119 1.211 1.185 1.385],[2.7  3.15 3.14 3.27 3.52 2.98 2.7  2.91 2.9  3.1 ],[1.  1.  1.5 2.  2.  2.  1.  2.  2.  2. ],"[1.69933122 2.12055501 1.99334396 2.12985958 2.34896357 1.85244309
 1.6413794  1.81087828 1.75069308 2.01480389]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.49448015 0.71077962 0.69876205 0.75485835 0.81119074 0.62112717
 0.50864869 0.58801146 0.56797824 0.65980389]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ],"[0.3052928  0.30281346 0.29823656 0.30294564 0.2993954  0.29829559
 0.30254134 0.29812569 0.30140674 0.30036419]"
1.5,0.35000000000000003,[1.355 1.37  1.504 1.294 1.446 1.382 1.31  1.443 1.376 1.296],[3.05 2.96 3.33 2.81 3.11 3.14 3.11 3.16 3.01 2.91],[1.  2.  2.  2.  2.  1.5 2.  2.  2.  1. ],"[1.94740984 1.95158313 2.20916113 1.83468041 2.00542136 2.0613142
 1.92329371 2.03126185 1.9043097  1.86956762]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.62569658 0.55439624 0.70821813 0.51694359 0.60074423 0.66697948
 0.60711573 0.62495936 0.58013184 0.57300207]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.34885388 0.3490863  0.35157561 0.35036187 0.34979558 0.34928647
 0.35279562 0.34830812 0.35050024 0.34830093]"
1.5,0.4,[1.496 1.377 1.396 1.54  1.422 1.161 1.575 1.582 1.319 1.302],[3.01 2.8  2.92 3.05 3.   2.47 3.38 3.35 2.93 2.73],[2.  1.  2.  2.  2.  1.5 2.  2.  2.  2. ],"[2.07407641 1.85429721 2.01135573 2.11331371 1.98305263 1.51773089
 2.2804715  2.31330002 1.95502704 1.78423942]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.55544116 0.4913016  0.53425612 0.57912914 0.55733974 0.36714007
 0.72266389 0.69368271 0.55531879 0.44306754]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.40348339 0.39920503 0.39981438 0.39978585 0.39868857 0.39457125
 0.40152456 0.40158081 0.39766383 0.40893471]"
1.5,0.45,[1.66  1.321 1.409 1.459 1.417 1.658 1.627 1.667 1.397 1.626],[3.21 2.65 2.88 2.92 2.82 3.21 3.29 3.32 2.84 3.15],[1.  2.  1.  1.  1.5 2.  1.  2.  1.5 2. ],"[2.2850378  1.73607967 1.929647   1.99124772 1.86632944 2.20808798
 2.3446723  2.31534216 1.87300319 2.23908753]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.65232357 0.40979427 0.51808817 0.55823258 0.50806406 0.60776327
 0.70018621 0.65612036 0.49277614 0.62474244]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45199157 0.4487799  0.45115922 0.45170391 0.45019541 0.44926882
 0.44892225 0.44866827 0.44632991 0.44861475]"
1.6,0.05,[0.382 0.211 0.245 0.244 0.248 0.333 0.294 0.29  0.253 0.223],[3.15 2.5  2.88 2.76 3.02 3.02 2.8  2.84 3.05 2.26],[2.  1.  1.5 1.  1.5 2.  1.  1.  1.  1. ],"[1.07273683 0.7076699  0.83639774 0.85090109 1.01089635 1.00909035
 0.88715672 0.91617245 0.95917666 0.54861138]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.69107546 0.48363487 0.60023319 0.60088644 0.74650671 0.67513772
 0.58177342 0.64111142 0.69527285 0.32589654]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05177137 0.04798682 0.05030391 0.04926104 0.05055476 0.04935772
 0.04870096 0.05046529 0.04851865 0.0515736 ]"
