gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.201 0.258 0.292 0.331 0.355 0.204 0.235 0.295 0.255 0.357],[2.24 3.12 3.16 3.54 3.58 2.53 3.06 3.06 2.61 3.21],[1.  2.  2.  2.  2.  1.  1.  1.  2.  1.5],"[0.54955639 0.93955653 1.05776954 1.23502309 1.25812042 0.61529643
 0.9387565  1.09652903 0.70144325 1.15688101]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.33798962 0.68855922 0.76221778 0.91892751 0.92304657 0.42423747
 0.68902506 0.79192332 0.43371376 0.83200675]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05227107 0.04847621 0.05105068 0.04958669 0.04963969 0.04956089
 0.04813654 0.05057451 0.05303434 0.04970796]"
1.5,0.1,[0.534 0.571 0.562 0.636 0.491 0.471 0.581 0.567 0.47  0.591],[3.29 3.22 3.25 3.2  3.12 2.84 3.42 3.5  2.39 3.42],[2. 2. 2. 2. 2. 2. 1. 2. 2. 2.],"[1.48006836 1.47593746 1.4538191  1.4733838  1.30951534 1.10144321
 1.53767894 1.52512889 0.82002554 1.51180341]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.88151123 0.88118465 0.89170973 0.85443177 0.80205745 0.67267734
 0.94398204 0.95391673 0.37821402 0.89726972]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.099406   0.09931039 0.10071181 0.10056053 0.10140106 0.09898878
 0.10106898 0.09921384 0.09644819 0.09901074]"
1.5,0.15000000000000002,[0.914 0.799 0.721 0.878 0.865 0.779 0.784 0.741 0.748 0.726],[3.65 3.17 2.99 3.35 3.51 3.24 2.9  2.83 2.99 2.88],[2. 2. 2. 2. 2. 2. 2. 1. 2. 1.],"[1.88888305 1.61477363 1.35480476 1.7435138  1.87713015 1.6031685
 1.50991741 1.3869465  1.46561738 1.35530245]",[1.  0.5 1.  1.  1.  1.  1.  1.  1.  1. ],"[0.98767272 0.8220478  0.62891853 0.88078674 0.96288455 0.76394487
 0.68792278 0.65900949 0.70622224 0.65702853]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14902567 0.14905435 0.14610123 0.15277669 0.15034385 0.14641186
 0.14882552 0.15326126 0.15037906 0.14836066]"
1.5,0.2,[0.997 0.938 1.048 1.011 1.029 0.853 0.868 0.848 0.954 1.049],[3.26 2.8  3.16 3.14 3.48 2.42 2.44 2.52 3.07 3.11],[2.  1.5 2.  2.  2.  1.  1.  1.5 2.  2. ],"[1.76073162 1.54014068 1.78591149 1.77696482 1.97296404 1.30708082
 1.25681905 1.32860271 1.68357256 1.69741779]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.77093914 0.59628081 0.75891747 0.7402363  0.9152785  0.48591505
 0.44838155 0.48234355 0.7334633  0.69706012]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19900113 0.19644664 0.2000273  0.20166692 0.20052883 0.20108394
 0.19699791 0.20109085 0.19992778 0.19925363]"
1.5,0.25,[0.987 0.874 1.058 1.057 1.203 1.006 1.229 1.071 1.091 1.098],[2.5  2.29 3.01 2.8  3.17 2.31 3.29 3.   2.95 3.22],[1.  1.  1.5 1.  1.5 1.  2.  2.  1.5 2. ],"[1.44958885 1.21869525 1.77613696 1.64820486 1.96285528 1.37797935
 2.04280518 1.73547163 1.76605223 1.89606047]","[1.      1.      1.      1.      1.      1.      1.      1.21875 1.
 1.     ]","[0.48606591 0.36366535 0.67890246 0.5812322  0.7430335  0.39328819
 0.77202577 0.6003697  0.63211668 0.74888335]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.24810494 0.24743254 0.24797467 0.24682848 0.2478845  0.25154004
 0.25128283 0.24885864 0.24586437 0.24857333]"
1.5,0.3,[1.215 1.304 1.053 1.212 1.009 1.211 1.524 1.106 1.28  0.996],[2.85 2.83 2.57 2.77 2.5  2.95 3.66 2.5  3.26 2.35],[2.  1.5 2.  2.  1.  2.  2.  1.  2.  1. ],"[1.77651872 1.79853098 1.42512184 1.6897634  1.46265328 1.80339031
 2.43688038 1.47244345 2.05367841 1.37754513]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.56750505 0.54935862 0.43177223 0.52414206 0.44723275 0.605872
 0.88466237 0.41377402 0.73694502 0.37970333]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.30423669 0.29819165 0.30158033 0.30193486 0.29891388 0.30150311
 0.30021787 0.30064949 0.30050621 0.30439189]"
1.5,0.35000000000000003,[1.244 1.282 1.581 1.516 1.327 1.435 1.452 2.033 1.654 1.362],[2.53 2.73 3.43 3.45 2.7  3.03 3.13 4.27 3.61 2.98],[2. 2. 2. 2. 2. 2. 2. 2. 2. 1.],"[1.63113268 1.73871954 2.32929673 2.29653935 1.68990396 2.03772698
 2.05432166 3.03687855 2.41772749 1.95833738]",[1.   1.   1.   1.25 1.25 1.   1.   1.25 1.25 1.  ],"[0.39246081 0.46217596 0.75092698 0.71269902 0.41896646 0.5562719
 0.62012488 1.06963551 0.78440108 0.60437986]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.25 0.  ],"[0.34802242 0.35438534 0.35143813 0.3486931  0.34994033 0.3472734
 0.34748669 0.35267525 0.35011809 0.35022727]"
1.5,0.4,[1.523 1.176 1.619 1.313 1.359 1.527 1.607 1.543 1.461 1.557],[3.08 2.43 3.42 2.72 2.85 3.14 3.58 3.15 3.03 3.11],[2. 1. 2. 1. 2. 2. 2. 2. 2. 2.],"[2.06610296 1.5364726  2.33231575 1.84272242 1.87995108 2.16110645
 2.41372865 2.11456702 2.0482509  2.1480982 ]",[1.   1.   1.   1.   1.   1.   1.   1.   1.25 1.  ],"[0.55333928 0.38141156 0.69395393 0.5021194  0.50623526 0.61626514
 0.774068   0.59756751 0.56543108 0.60592291]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.39763713 0.40595842 0.4018052  0.40311413 0.40180597 0.40168791
 0.40123214 0.39878501 0.39963626 0.40029726]"
1.5,0.45,[1.487 1.701 1.509 1.588 1.556 1.576 1.308 1.826 1.721 1.491],[2.97 3.33 3.2  3.41 3.26 3.01 2.72 3.59 3.45 3.07],[1. 2. 2. 2. 2. 1. 2. 2. 2. 2.],"[2.02111066 2.32506606 2.14360193 2.36931539 2.24934438 2.11119957
 1.76806963 2.55469732 2.44044232 2.0716041 ]",[1.    1.    1.    1.    1.    1.    1.125 1.25  1.25  1.   ],"[0.57017682 0.68355056 0.61892663 0.71444356 0.65859853 0.59265465
 0.4221248  0.73991216 0.70087384 0.58427988]",[0.    0.    0.    0.    0.    0.    0.    0.25  0.125 0.   ],"[0.45208095 0.45143223 0.44875847 0.44969384 0.45126365 0.4490868
 0.45552323 0.44888254 0.44778437 0.45080806]"
1.6,0.05,[0.209 0.261 0.301 0.249 0.259 0.232 0.282 0.37  0.237 0.305],[2.75 2.54 3.02 2.71 2.85 2.9  3.02 3.09 3.   3.27],[1.  1.  1.  1.  1.  1.  2.  1.  1.5 2. ],"[0.78880245 0.78004652 1.03110267 0.84924897 0.88703926 0.92895164
 0.85822847 1.14475005 0.92895088 1.06382703]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.55743282 0.52493727 0.73340491 0.62381928 0.62457466 0.68635887
 0.58621675 0.7753134  0.66525764 0.75335828]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05109457 0.04977184 0.04954235 0.05084006 0.05070396 0.0502755
 0.0492709  0.05036296 0.04901143 0.04981572]"
