gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.301 0.289 0.242 0.246 0.326 0.345 0.237 0.364 0.312 0.252],[3.13 3.22 2.72 3.06 2.98 3.19 2.95 3.53 3.14 3.18],[2.  2.  1.5 2.  2.  2.  2.  2.  2.  2. ],"[0.94549326 1.02243603 0.81001849 0.84426373 1.02816231 1.12005429
 0.83513585 1.22285856 1.07771216 0.89786935]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.65086679 0.74765575 0.55631549 0.58819622 0.68213936 0.75584225
 0.59096898 0.85602994 0.77160193 0.6248005 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04983789 0.04909386 0.05108307 0.04920082 0.04818597 0.04963705
 0.04891459 0.04870813 0.05123618 0.04820661]"
1.5,0.1,[0.672 0.568 0.491 0.582 0.52  0.64  0.565 0.457 0.656 0.574],[3.81 2.67 2.79 3.04 2.96 3.06 3.55 2.68 3.4  3.22],[2.  2.  2.  2.  2.  2.  2.  1.5 2.  2. ],"[1.85632809 1.09444679 1.08496553 1.30888168 1.13656425 1.31153373
 1.50621647 0.99551896 1.60750758 1.36251818]",[0.  0.5 0.  0.  0.  0.5 0.5 0.  1.  0. ],"[1.17542538 0.54613502 0.58415498 0.7335411  0.62799979 0.7120391
 0.89840397 0.55460588 0.95606715 0.80616564]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1007296  0.09901983 0.10082093 0.10017933 0.10029384 0.09972273
 0.09706141 0.09891602 0.10151522 0.10119214]"
1.5,0.15000000000000002,[0.683 0.922 0.836 0.745 0.718 0.786 0.838 0.751 0.601 0.773],[2.69 3.12 3.26 2.88 2.94 3.17 3.27 2.95 2.47 2.9 ],[2. 2. 2. 2. 1. 1. 2. 2. 1. 2.],"[1.20462922 1.6972456  1.63257694 1.43419937 1.39300981 1.6515517
 1.64727646 1.40849832 1.05967324 1.47503182]",[1.     1.     1.     1.     1.     0.5    1.1875 1.     0.     0.5   ],"[0.53103059 0.77447216 0.78531009 0.68597183 0.67573808 0.83212116
 0.81198593 0.68359659 0.44821023 0.69489144]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.14716586 0.1505702  0.15220029 0.15004626 0.14929264 0.15048666
 0.15271967 0.15080477 0.15133716 0.15023204]"
1.5,0.2,[1.053 1.209 0.774 0.974 0.882 0.867 0.981 0.664 1.265 1.139],[3.11 3.59 2.67 3.02 2.8  2.79 3.09 2.64 3.79 3.17],[2. 2. 1. 1. 1. 1. 2. 1. 2. 2.],"[1.74969546 2.17753692 1.33284693 1.74391997 1.52384201 1.44292957
 1.66208324 1.25002101 2.35421304 1.84525231]","[1.      1.09375 1.      1.      1.      0.      1.      0.      1.21875
 1.     ]","[0.67858706 0.93669951 0.53094752 0.73511992 0.62452744 0.62540943
 0.69225414 0.53419765 1.07861246 0.76027184]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20172566 0.19879988 0.19920176 0.2019025  0.20018849 0.20062491
 0.19999117 0.19788554 0.19913879 0.1989148 ]"
1.5,0.25,[1.225 1.085 1.125 0.796 1.058 0.939 1.072 1.112 1.085 1.095],[3.27 2.82 3.15 2.33 2.69 2.33 2.75 2.9  3.02 2.92],[2. 2. 2. 1. 2. 1. 2. 2. 2. 2.],"[1.96814918 1.67858151 1.84883588 1.22393924 1.53168302 1.31254198
 1.58105123 1.676663   1.78004665 1.7013638 ]",[1.   1.   1.   0.   1.   1.   1.25 1.   1.   1.  ],"[0.77210731 0.59224606 0.68663862 0.41397464 0.52104093 0.35762011
 0.48679586 0.59963175 0.65191433 0.59008939]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24979145 0.24600212 0.25246409 0.24684976 0.24957402 0.24186456
 0.25101656 0.25116472 0.24616074 0.24995868]"
1.5,0.3,[1.395 1.206 1.03  1.289 1.302 1.384 1.149 1.398 1.223 1.202],[3.4  2.8  2.66 3.03 3.29 3.18 2.86 3.5  2.93 2.96],[2.  2.  2.  2.  2.  2.  1.5 2.  2.  2. ],"[2.13075844 1.75422364 1.50259568 1.89221963 2.06505594 1.94496806
 1.74981268 2.24622763 1.76721111 1.79524565]",[1.    1.    1.    1.    1.125 1.    1.    1.    1.    1.25 ],"[0.75788246 0.52597412 0.45886033 0.5968876  0.72784891 0.65400127
 0.57376227 0.83188254 0.55865642 0.56506743]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.2980269  0.30040948 0.30164361 0.30149853 0.29994649 0.30119931
 0.30462464 0.29696612 0.30527548 0.29924803]"
1.5,0.35000000000000003,[1.284 1.346 1.446 1.368 1.418 1.023 1.343 1.339 1.236 1.475],[2.81 2.87 3.21 3.04 3.26 2.27 2.8  3.04 2.66 3.06],[1.  2.  1.  2.  1.  1.5 1.  2.  1.  2. ],"[1.79068152 1.82924114 2.09684268 2.01169134 2.18154523 1.34708825
 1.89670807 1.96642173 1.75167659 2.02598252]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.53809363 0.51131878 0.70289981 0.60746282 0.73884991 0.32165368
 0.5567807  0.60675681 0.49177913 0.61734605]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35189765 0.35027125 0.34864878 0.3518887  0.34820923 0.35606366
 0.34809626 0.34930357 0.35362786 0.34982587]"
1.5,0.4,[1.306 1.492 1.733 1.17  1.311 1.645 1.595 1.584 1.605 1.155],[2.84 3.1  3.5  2.54 2.67 3.37 3.3  3.18 3.23 2.61],[2. 1. 2. 1. 2. 2. 2. 2. 2. 1.],"[1.84919031 2.15526891 2.46137227 1.60103224 1.73652705 2.27155331
 2.24401389 2.18842012 2.16229345 1.6220955 ]",[1.125 1.    1.    1.    1.    1.25  1.    1.125 1.25  1.   ],"[0.49666589 0.63682409 0.76826985 0.42052992 0.41879267 0.68851864
 0.6751821  0.61855439 0.59771337 0.45849443]",[0.    0.    0.    0.    0.    0.25  0.    0.125 0.25  0.   ],"[0.39783105 0.40334898 0.39639276 0.39948705 0.39736347 0.4017348
 0.40124672 0.40568942 0.39927549 0.40017678]"
1.5,0.45,[1.422 1.479 1.369 1.161 1.51  1.238 1.35  1.319 1.236 1.49 ],[2.99 3.06 2.87 2.58 3.12 2.62 2.7  2.67 2.71 3.  ],[2.  2.  1.5 1.  1.  1.  1.  1.  2.  2. ],"[2.05024195 2.12107096 1.8661675  1.63286435 2.19784842 1.6813053
 1.84601051 1.7723935  1.71675309 2.06808942]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.53191187 0.587736   0.50385792 0.43793271 0.63112906 0.42200842
 0.46834449 0.44129486 0.44644304 0.56716839]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45077019 0.45017114 0.44494411 0.44969533 0.45092603 0.4525585
 0.45112538 0.44928472 0.45484071 0.44951315]"
1.6,0.05,[0.225 0.277 0.297 0.354 0.273 0.234 0.332 0.295 0.263 0.391],[2.5  2.63 3.58 2.79 3.49 2.93 3.08 3.11 2.74 3.3 ],[1.5 1.  2.  1.5 2.  2.  2.  2.  1.  2. ],"[0.6470004  0.74449194 1.29403447 0.88424137 1.28449113 0.82184829
 0.95094725 0.92730428 0.86365085 1.07109877]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.43401517 0.50363562 0.98762578 0.56478092 0.98286455 0.59198013
 0.669895   0.66350363 0.56860935 0.70477065]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05053919 0.05043018 0.05038764 0.05071174 0.05067332 0.04967592
 0.05002712 0.04913815 0.04983604 0.05004064]"
1.6,0.1,[0.399 0.498 0.477 0.617 0.487 0.481 0.689 0.345 0.442 0.49 ],[2.44 2.96 2.87 3.15 2.77 2.9  2.96 2.41 2.88 2.57],[1. 2. 1. 2. 1. 2. 1. 1. 1. 1.],"[0.85677864 1.15871546 1.12628583 1.44781838 1.13700985 1.12516999
 1.38566658 0.80591144 1.07864879 1.00348625]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44499641 0.67181605 0.64783613 0.83828835 0.63262508 0.64933259
 0.74251472 0.44246906 0.62040416 0.52071281]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09433962 0.10243316 0.10053569 0.09973414 0.09884989 0.10083456
 0.10070874 0.09937933 0.09533183 0.09928027]"
