gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.228 0.182 0.302 0.317 0.344 0.327 0.304 0.276 0.254 0.293],[2.8  2.71 3.5  2.87 2.64 3.41 3.28 2.68 3.57 3.15],[2. 2. 2. 2. 2. 1. 1. 1. 2. 2.],"[0.75535922 0.67943084 1.1592208  0.83630289 0.81819777 1.37705359
 1.16606958 0.80307562 1.19790193 1.07661531]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.532233   0.4813327  0.85596397 0.52919351 0.47393996 1.04722388
 0.86872461 0.54166754 0.9055771  0.78701998]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04963405 0.04692051 0.05063191 0.05246534 0.04901028 0.0484551
 0.05126616 0.04933446 0.04951988 0.04924265]"
1.5,0.1,[0.483 0.617 0.569 0.482 0.606 0.574 0.624 0.549 0.46  0.556],[2.61 3.46 3.15 2.89 3.15 3.27 3.31 3.22 2.55 2.82],[1.  1.5 1.  2.  2.  2.  2.  2.  2.  2. ],"[1.01243912 1.67176893 1.45820168 1.08267015 1.37173297 1.48197893
 1.47694377 1.39123097 0.9097227  1.20894437]",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"[0.57156388 1.00262586 0.91166176 0.5858928  0.77989947 0.87408342
 0.84616801 0.85537404 0.44495707 0.65296719]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10107468 0.10075603 0.09973571 0.10249271 0.10037666 0.10003362
 0.10010512 0.10039965 0.09959231 0.0984162 ]"
1.5,0.15000000000000002,[0.888 0.732 0.862 0.924 0.741 0.841 0.573 0.839 0.699 0.831],[3.29 2.84 3.43 3.31 2.81 3.02 2.56 3.22 2.69 3.63],[2.  1.  1.5 1.5 1.  2.  2.  2.  1.  2. ],"[1.75564622 1.37345649 1.8782528  1.77595324 1.3863545  1.49699313
 1.04604277 1.62743834 1.25993146 1.8554537 ]",[1.  0.  1.  1.  0.5 1.  0.  1.  1.  1. ],"[0.84225999 0.67059027 0.94485681 0.88310168 0.66914015 0.70095065
 0.48003447 0.80992125 0.57525617 0.97441489]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15107479 0.14978821 0.15021342 0.15193115 0.14981597 0.14907153
 0.15259769 0.15131437 0.14809181 0.14967629]"
1.5,0.2,[0.815 0.873 0.873 1.008 0.875 0.809 1.153 1.04  0.828 0.898],[2.89 2.89 2.88 3.22 2.81 2.76 3.51 2.88 2.64 2.78],[2. 2. 2. 2. 1. 2. 2. 2. 2. 1.],"[1.47778982 1.53272905 1.43472188 1.76078779 1.46799058 1.33794468
 2.07039978 1.67871102 1.33598819 1.47927721]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.59973135 0.65205034 0.59288594 0.77228498 0.60715379 0.54981724
 0.90841431 0.65340096 0.4849805  0.59852281]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.19581198 0.19777483 0.19566769 0.20000245 0.19813878 0.19866088
 0.20069767 0.20041105 0.20190692 0.20145813]"
1.5,0.25,[1.091 1.127 1.143 1.074 1.143 1.112 1.253 1.323 1.278 1.055],[2.94 3.09 2.88 2.9  2.89 2.87 3.28 3.63 3.35 2.93],[1.  2.  2.  2.  2.  1.  1.  2.  2.  1.5],"[1.7224022  1.75672391 1.77533987 1.67958068 1.6867821  1.71507783
 2.07246581 2.26233805 2.04356623 1.69442986]","[1.      1.25    1.      1.      1.      1.      1.      1.21875 1.
 1.     ]","[0.66447312 0.64893338 0.60960257 0.6068463  0.58155749 0.62990449
 0.84098754 0.89366373 0.78873469 0.63090447]",[0.    0.25  0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.24991357 0.24562911 0.245868   0.25037872 0.25460813 0.25166277
 0.25028463 0.24868318 0.24843106 0.25040881]"
1.5,0.3,[1.334 1.211 1.184 1.356 1.276 1.37  1.296 1.258 1.159 1.329],[3.09 2.84 2.74 3.1  3.06 3.25 3.25 3.14 3.01 3.19],[2. 1. 1. 2. 2. 2. 2. 2. 2. 1.],"[1.99488738 1.78741019 1.756217   1.98330242 1.89467728 2.01611585
 1.99546164 1.96053876 1.84188279 2.13392504]",[1.25 1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.62623748 0.55489066 0.59151058 0.64280071 0.63248062 0.6717555
 0.72270407 0.64675702 0.62429246 0.72723192]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ],"[0.30390559 0.30353645 0.29780282 0.29837709 0.30226982 0.29891808
 0.29741003 0.30056771 0.29930497 0.29757458]"
1.5,0.35000000000000003,[1.289 1.546 1.344 1.219 1.033 1.369 1.328 1.522 1.389 1.513],[2.77 3.32 2.97 2.55 2.36 3.06 2.93 3.27 2.97 3.  ],[1. 2. 2. 1. 1. 2. 2. 2. 2. 2.],"[1.76682724 2.24960078 1.88181231 1.60679109 1.43726493 1.95857692
 1.87302429 2.22178962 1.93331767 2.04566077]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.49962509 0.72135738 0.55668535 0.44136629 0.38168998 0.60157069
 0.552099   0.69319831 0.56147624 0.59312171]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35162706 0.35172585 0.35415108 0.34360714 0.35093917 0.35116837
 0.34924877 0.35300094 0.3521104  0.34463121]"
1.5,0.4,[1.315 1.665 1.273 1.547 1.349 1.63  1.29  1.444 1.663 1.491],[3.   3.35 2.65 3.53 2.83 3.47 2.81 3.15 3.37 3.21],[2.  2.  1.  2.  2.  2.  1.5 1.5 2.  2. ],"[1.91597058 2.39539453 1.71482441 2.31691624 1.83471799 2.41546878
 1.77199383 2.16770982 2.32427563 2.14588576]",[1.   1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.54867627 0.68377588 0.47539325 0.73501805 0.48273557 0.76137698
 0.49047039 0.62368211 0.7043147  0.6617433 ]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.40162383 0.40172493 0.40043164 0.40142488 0.40159083 0.40069323
 0.3939727  0.40144255 0.39911493 0.40137624]"
1.5,0.45,[1.461 1.531 1.501 1.33  1.388 1.297 1.306 1.471 1.388 1.448],[2.87 3.1  2.97 2.71 2.91 2.66 2.83 3.05 3.   2.86],[2.  2.  1.5 2.  2.  1.  2.  2.  2.  2. ],"[1.93011416 2.07071417 2.01035902 1.83159483 1.96825355 1.73820735
 1.76614044 2.02866275 1.99028229 1.97304364]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.49451602 0.56255316 0.52889417 0.45508544 0.51841346 0.43993648
 0.48010772 0.57900943 0.56682038 0.51909833]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.45348438 0.4484317  0.44898937 0.45302127 0.45353654 0.44709618
 0.44645879 0.4469141  0.44989475 0.45066863]"
1.6,0.05,[0.237 0.246 0.307 0.227 0.31  0.23  0.375 0.291 0.213 0.218],[2.87 2.61 2.93 2.2  3.21 2.93 3.44 2.89 2.72 2.62],[1.  1.  1.5 1.  2.  2.  2.  1.  1.  1. ],"[0.82788958 0.83263637 0.85533073 0.51040788 1.10654997 0.88312397
 1.26997532 0.89482363 0.78528371 0.7041274 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.59833331 0.59450405 0.55175895 0.299236   0.78410978 0.62939411
 0.88224827 0.63835818 0.57464406 0.47503865]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04962209 0.04717676 0.05059563 0.04978925 0.05000111 0.04898633
 0.0515759  0.04993499 0.05068628 0.05014069]"
1.6,0.1,[0.561 0.617 0.527 0.546 0.458 0.589 0.486 0.657 0.591 0.482],[2.87 3.5  2.93 3.11 2.74 3.16 2.72 3.38 2.99 2.72],[1. 2. 2. 2. 2. 2. 1. 2. 2. 1.],"[1.24512261 1.59637535 1.21911557 1.3045818  1.00943311 1.3109432
 1.04169115 1.60829249 1.31357055 1.10818126]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.71207085 0.99691735 0.67114682 0.7671111  0.57944287 0.75310934
 0.5722307  0.96308192 0.73092529 0.60181591]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10091358 0.10016976 0.10312081 0.10018966 0.09718635 0.0995196
 0.10197851 0.09998432 0.10064428 0.09688569]"
