gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.292 0.369 0.205 0.233 0.196 0.179 0.376 0.33  0.182 0.356],[2.45 3.55 2.   3.3  2.55 2.55 3.75 3.05 2.75 2.55],[2.  2.  1.  2.  1.  1.5 2.5 1.  2.  1. ],"[0.5546875  1.29572804 0.43154111 1.0588514  0.93932735 0.6754527
 1.27543661 1.16198259 0.58211614 0.91764337]",[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0. ],"[0.2578125  0.88381398 0.22216611 0.82871529 0.7213708  0.47486676
 0.89516318 0.82039324 0.41961614 0.5732586 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04954955 0.04818865 0.06862745 0.0499811  0.05083645 0.05539773
 0.04927885 0.0521508  0.0443787  0.04957965]"
1.5,0.1,[0.473 0.618 0.85  0.552 0.48  0.928 0.542 0.382 0.859 0.643],[2.45 3.25 3.95 3.6  2.95 4.3  3.35 2.5  4.3  2.85],[1.  2.  2.  2.  1.5 1.  1.  1.  3.  1. ],"[0.86114861 1.37067801 2.15028132 1.56508642 1.2258693  2.60641089
 1.52377243 1.00944758 2.23341533 1.32745073]",[0.     1.     1.     0.     0.     1.     0.     0.     1.1875 1.    ],"[0.42716423 0.73633963 1.29085749 0.99996496 0.7230861  1.62473365
 0.98414841 0.64060602 1.40355388 0.70401323]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.10228898 0.10055096 0.09857733 0.09912493 0.10277108 0.10215889
 0.09956069 0.10006639 0.09845411 0.10576923]"
1.5,0.15000000000000002,[0.56  0.348 0.713 0.37  0.965 0.534 0.513 1.023 0.623 0.633],[2.3  1.9  2.65 2.05 3.95 2.65 2.65 4.25 2.6  2.3 ],[1.5 1.  1.5 1.  1.5 1.  1.  2.  1.  1. ],"[0.93235013 0.65699542 1.27898852 0.7413296  2.27888962 1.11471269
 1.01428408 2.31795971 1.23495187 1.12460464]",[0.  0.  1.  0.  1.  0.  0.  1.  0.  0.5],"[0.40582425 0.30269855 0.57410571 0.33156398 1.304561   0.57501542
 0.52990908 1.29558422 0.64305733 0.49543899]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.155051   0.14726631 0.14939551 0.14736842 0.14856802 0.14291845
 0.15803571 0.15146105 0.15378062 0.15042928]"
1.5,0.2,[0.592 0.946 0.844 1.193 1.705 0.779 0.83  0.886 0.979 0.705],[1.8  2.7  2.5  2.85 4.7  3.55 2.45 2.85 2.9  2.2 ],[1. 2. 2. 2. 3. 2. 1. 2. 1. 1.],"[0.83359375 1.44989317 1.25328874 1.70796618 3.13165149 1.67032453
 1.24246878 1.40484367 1.63441742 0.98460938]",[0.5    1.     1.     1.     2.1875 0.     0.5    1.     1.     1.    ],"[0.18671875 0.54315489 0.40485124 0.56030993 1.43827991 0.87458784
 0.40340628 0.56929679 0.64799164 0.27835937]",[0.     0.     0.     0.     0.3125 0.     0.     0.     0.     0.    ],"[0.225      0.19702176 0.22277228 0.19477912 0.20007483 0.1978022
 0.21045576 0.1907994  0.19843431 0.18421053]"
1.5,0.25,[1.057 1.41  1.136 1.048 1.029 1.361 1.101 1.698 1.924 1.232],[2.9  4.2  3.   2.35 2.95 3.3  3.2  4.8  4.75 3.4 ],[1.  3.  2.  1.  2.  1.  2.  4.  2.5 2. ],"[1.7760964  2.37509597 1.75108801 1.45799978 1.6000791  2.25642797
 1.7405428  3.13766574 3.34059254 1.99998301]","[1.         1.25       1.         1.         1.         1.
 1.25       2.48541667 1.5        1.125     ]","[0.62951437 0.98459304 0.57975012 0.39178884 0.5719541  0.85603735
 0.66493245 1.38699435 1.3908855  0.7845045 ]","[0.         0.25       0.         0.         0.         0.
 0.25       0.98541667 0.         0.        ]","[0.24454106 0.24710336 0.2579991  0.25364431 0.2394015  0.24756389
 0.26065751 0.25061576 0.25006572 0.24526617]"
1.5,0.3,[1.613 1.523 1.605 0.972 1.531 1.491 1.062 1.381 1.411 1.7  ],[4.1  3.35 3.95 2.45 3.45 3.65 2.55 3.1  2.9  3.8 ],[2.  3.  2.  1.  1.5 2.  2.  1.  1.  2. ],"[2.71071538 2.16442273 2.61776499 1.42100062 2.26298082 2.34071586
 1.4402312  2.07581134 1.97764354 2.56204734]",[1.125 1.25  1.    1.    1.5   1.    1.    1.    1.    1.125],"[1.06933354 0.68156141 0.99872202 0.40010218 0.7834398  0.86240165
 0.36972339 0.70258136 0.62716746 0.92719626]",[0.    0.25  0.    0.    0.    0.    0.    0.    0.    0.125],"[0.30055381 0.29682733 0.2979915  0.31024531 0.30532359 0.30066199
 0.31195335 0.30804862 0.29727936 0.30342787]"
1.5,0.35000000000000003,[1.373 0.709 1.297 1.12  1.425 1.467 1.577 1.534 1.8   1.706],[3.15 1.95 2.95 2.35 3.2  3.3  3.55 3.15 4.   3.65],[2.  1.  1.5 1.5 1.  3.  2.  1.  3.  2. ],"[1.98940686 0.89934896 1.93896481 1.41006802 2.16619739 2.12429499
 2.34947988 2.27258756 2.68765268 2.59188991]","[1.25    1.      1.      1.      1.      1.5625  1.25    1.      1.78125
 1.125  ]","[0.62993421 0.19622396 0.59716793 0.32940395 0.7180437  0.58913874
 0.76284658 0.69122769 0.84905404 0.87847133]",[0.25   0.     0.     0.     0.     0.3125 0.25   0.     0.25   0.125 ],"[0.3444619  0.28358209 0.34078591 0.36146789 0.35329021 0.35209003
 0.34956012 0.35445159 0.3584981  0.35355788]"
1.5,0.4,[1.615 1.106 1.605 1.363 2.244 1.995 1.197 1.334 1.755 1.551],[3.2  2.85 2.85 2.85 4.45 4.25 2.55 2.95 3.85 3.15],[1.  2.  1.5 1.5 2.5 2.  1.5 1.5 2.  2. ],"[2.2144267  1.59647687 2.08651003 1.93445083 3.26878652 3.07166795
 1.58091836 1.84994607 2.68943007 2.16310976]",[1.     1.125  1.     1.125  1.5625 1.125  1.     1.     1.25   1.25  ],"[0.69697064 0.47909406 0.48909792 0.56233169 1.08222341 1.01298265
 0.37037148 0.55111794 0.89968397 0.59294375]","[0.      0.125   0.      0.      0.28125 0.125   0.      0.      0.125
 0.125  ]","[0.40130324 0.35777778 0.40778342 0.39094203 0.399231   0.40109968
 0.37740385 0.39476886 0.39932457 0.39893617]"
1.5,0.45,[1.371 1.236 1.162 1.785 1.59  1.521 2.079 1.293 1.462 1.6  ],[2.7  2.55 1.95 3.7  3.15 3.2  4.1  2.9  2.85 3.  ],[1.  1.5 1.  2.  2.  2.  3.  1.  1.  1.5],"[1.89566188 1.64649435 1.35546303 2.57162453 2.14622426 2.06727882
 2.88758956 1.82449048 2.05908149 2.16583744]",[1.     1.     1.     1.25   1.25   1.     2.0625 1.     1.     1.    ],"[0.46616053 0.41561056 0.20370521 0.79848    0.56575551 0.5698545
 0.80882979 0.53074048 0.62885688 0.54552494]","[0.      0.      0.      0.25    0.125   0.      0.28125 0.      0.
 0.     ]","[0.4510392  0.45026654 0.45578231 0.45279828 0.45712464 0.45146213
 0.44240401 0.45626243 0.44822987 0.45110887]"
1.6,0.05,[0.321 0.217 0.159 0.386 0.241 0.317 0.43  0.258 0.199 0.251],[2.1  3.5  1.95 3.6  2.15 4.25 4.1  3.   2.8  2.95],[1.  1.  1.  1.5 1.  3.  2.  2.5 1.5 1. ],"[0.59312289 1.28198218 0.27287111 1.39403228 0.70591844 1.38078259
 1.68284994 0.68161091 0.57728281 0.97100605]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.27827914 1.06556372 0.12521486 1.00377044 0.44540514 1.0391444
 1.27541891 0.43356403 0.36868906 0.70102314]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.06544503 0.05297912 0.04910714 0.0491226  0.05160229 0.0497488
 0.0501592  0.05469846 0.03867403 0.04978215]"
