gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.351 0.294 0.312 0.418 0.342 0.424 0.105 0.081 0.474 0.23 ],[3.15 2.45 3.9  3.6  3.65 3.2  2.1  2.15 4.45 2.25],[1.  1.  2.  2.5 3.  1.  1.5 1.  3.  1.5],"[1.1520318  0.6832977  1.39151737 1.32124101 1.20069231 1.35577193
 0.27482611 0.27083984 1.75018724 0.49577688]",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],"[0.85302667 0.38056333 1.1057111  0.91213457 0.89009661 0.94620772
 0.16779486 0.19271484 1.25397142 0.25944876]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05087473 0.04129464 0.05113478 0.05139825 0.05083695 0.05061393
 0.03846154 0.04237288 0.0490811  0.04807692]"
1.5,0.1,[0.483 0.688 0.382 0.431 0.283 0.511 0.635 0.284 0.666 0.373],[2.25 4.05 2.55 2.05 2.1  3.5  2.7  2.75 3.4  2.  ],[1.5 3.  2.5 1.  1.  1.  1.  2.  2.5 1. ],"[0.80269521 1.8563179  0.683125   0.67501272 0.58230502 1.63930668
 1.17655863 0.82780143 1.46446151 0.66162202]",[0.  0.5 0.5 0.  0.  0.  0.5 0.  1.  0. ],"[0.3274999  1.17582474 0.305      0.24220022 0.27761752 1.13264469
 0.55995706 0.53097526 0.76343612 0.28037202]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.11056106 0.10107383 0.0625     0.08050847 0.11261261 0.09819615
 0.10859896 0.08488372 0.10562473 0.09302326]"
1.5,0.15000000000000002,[0.897 1.008 0.916 0.96  0.869 0.849 1.004 0.943 0.467 0.846],[3.95 3.85 3.1  3.25 2.7  3.65 3.75 3.8  2.4  3.  ],[2.  1.5 2.  2.  1.5 2.5 3.  2.  1.5 1. ],"[2.06084157 2.17691713 1.67229174 1.74998201 1.38347222 1.81738852
 2.04319866 2.12892788 0.7803952  1.56506325]",[1.    1.    1.    1.125 1.    1.    1.125 1.    0.    1.   ],"[1.15991384 1.17016054 0.74944017 0.79446443 0.5723394  0.94497641
 1.01596477 1.19540737 0.32453583 0.75573707]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.14157973 0.14931773 0.15522703 0.14951768 0.13220339 0.14658444
 0.149044   0.14528017 0.1390625  0.1553442 ]"
1.5,0.2,[0.89  1.058 1.604 0.975 1.153 1.017 1.24  1.203 0.708 1.08 ],[2.75 2.9  4.35 2.5  3.7  3.3  3.45 3.9  2.7  3.45],[2.  2.  2.  1.5 2.5 2.  1.  1.  1.  2. ],"[1.44011163 1.61100971 2.96500282 1.46029674 2.10122653 1.81364227
 2.18618583 2.39227647 1.38811479 1.85751227]","[1.         1.         1.38541667 1.         1.25       1.
 1.         1.         0.         1.125     ]","[0.55422296 0.57331439 1.31858864 0.48089    0.95376559 0.81505829
 0.9307537  1.14735459 0.62954546 0.82993659]",[0.   0.   0.25 0.   0.25 0.   0.   0.   0.   0.  ],"[0.20074006 0.19372442 0.19713955 0.2024209  0.19736842 0.21538462
 0.20459912 0.19594173 0.19966958 0.1980342 ]"
1.5,0.25,[0.905 1.627 0.793 0.741 1.15  1.342 1.08  0.955 1.123 1.408],[2.65 4.3  2.2  2.05 2.6  3.7  2.7  2.5  3.05 3.6 ],[2.  2.  1.  1.  2.  2.5 1.  2.  2.  1.5],"[1.3048206  2.87611422 1.12744571 1.00833994 1.57736682 2.28011114
 1.64083392 1.376063   1.71104427 2.390484  ]","[1.09375 1.25    1.      0.5     1.125   1.28125 1.      1.      1.25
 1.     ]","[0.39153935 1.23959383 0.31592227 0.26224619 0.43830432 0.92471563
 0.56060931 0.41532082 0.61709895 0.97853637]","[0.125   0.125   0.      0.      0.125   0.15625 0.      0.      0.125
 0.     ]","[0.24046921 0.24861985 0.23322684 0.25378788 0.2740113  0.25069716
 0.23133777 0.25663717 0.2579023  0.24938807]"
1.5,0.3,[1.666 1.269 1.033 1.29  1.615 1.538 1.002 0.973 1.468 0.974],[4.1  3.2  2.   3.5  3.6  3.35 2.4  2.7  3.7  1.9 ],[2.  2.  1.  2.  2.  3.  2.5 1.  1.  1.5],"[2.74748437 1.87063885 1.2618147  2.07461627 2.45892023 2.17635923
 1.2550651  1.51092225 2.50757537 1.18894345]","[1.         1.125      1.         1.         1.         1.77083333
 1.25       0.         1.         1.        ]","[1.09484765 0.66731854 0.23759595 0.75586627 0.82976984 0.64764829
 0.2800651  0.53684998 0.99951567 0.17644345]",[0.    0.    0.    0.    0.    0.25  0.125 0.    0.    0.   ],"[0.30002192 0.29718434 0.31140351 0.28857567 0.29940096 0.30434783
 0.32022472 0.28923611 0.30243631 0.29285714]"
1.5,0.35000000000000003,[1.026 1.223 1.517 1.766 1.441 1.329 1.226 0.92  1.401 1.856],[2.4  2.55 3.55 3.45 3.1  3.15 2.6  2.3  2.95 3.6 ],[1.  1.5 2.  1.5 1.5 2.  2.  2.  1.  2. ],"[1.43668343 1.59670427 2.32389454 2.46336145 2.15782504 2.01590567
 1.66308077 1.22882813 2.08949795 2.65498809]",[1.    1.    1.    1.    1.    1.125 1.    1.125 1.    1.125],"[0.3737928  0.39748552 0.83663868 0.73482141 0.64864535 0.65677481
 0.43964327 0.29757812 0.61869717 0.83541411]",[0.    0.    0.    0.    0.    0.125 0.    0.125 0.    0.   ],"[0.34382284 0.33891753 0.35055808 0.34710545 0.36530612 0.34373089
 0.35509554 0.35057471 0.35463347 0.35199846]"
1.5,0.4,[0.858 2.209 1.5   0.674 1.477 1.003 2.046 1.106 1.278 1.12 ],[2.05 4.8  3.15 1.85 2.6  2.1  4.25 2.65 3.   2.35],[1.5 2.5 1.  1.  1.  2.  3.  1.  2.  1. ],"[1.10190581 3.46368454 2.11315813 0.90718156 1.90904951 1.22768336
 3.0002533  1.54939747 1.9585521  1.42716139]","[1.       1.40625  1.       0.       1.       1.125    2.296875 0.5
 1.25     1.      ]","[0.23315581 1.26440781 0.66374407 0.22124406 0.44680586 0.25971461
 0.96348572 0.45731983 0.64043686 0.30919264]","[0.      0.28125 0.      0.      0.      0.      0.25    0.      0.25
 0.     ]","[0.38392857 0.40413834 0.38361045 0.36982249 0.38669834 0.39590444
 0.38624086 0.40614088 0.39694134 0.38625592]"
1.5,0.45,[1.422 2.044 1.027 1.735 1.649 1.322 1.712 1.087 1.212 1.133],[3.4  4.1  2.2  3.8  3.1  2.5  3.25 2.05 2.4  2.9 ],[2.  3.  1.  2.  2.5 1.  2.5 1.  2.  2. ],"[2.1574027  3.00877763 1.33296025 2.61496251 2.24796136 1.73614668
 2.31066137 1.34584961 1.49547061 1.59377815]","[1.125   2.0625  1.      1.      1.78125 1.      1.25    1.      1.125
 1.125  ]","[0.66437292 0.914283   0.31421025 0.8574918  0.57296136 0.41382002
 0.60342565 0.22553711 0.28218936 0.44426643]",[0.     0.3125 0.     0.     0.125  0.     0.25   0.     0.125  0.125 ],"[0.44187828 0.45989358 0.4562109  0.45039445 0.44790047 0.44889051
 0.45129988 0.44954128 0.40079365 0.43741275]"
1.6,0.05,[0.148 0.103 0.179 0.388 0.367 0.137 0.237 0.31  0.399 0.314],[2.35 2.1  3.05 3.35 2.65 2.8  2.2  3.2  2.65 4.  ],[1.5 1.  2.  3.  1.  1.  1.  2.  1.  2. ],"[0.4300592  0.38781788 0.67834071 1.00104561 0.961952   0.86683356
 0.55053235 1.05339018 1.00465047 1.50452225]",[0.  0.  0.  0.5 0.  0.  0.  0.  0.  0. ],"[0.27576233 0.29406788 0.51107997 0.60573311 0.57499216 0.73239752
 0.3122511  0.75112883 0.60786092 1.20183975]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04328622 0.03899083 0.05125473 0.05726257 0.047991   0.05056043
 0.06116208 0.04876436 0.04977863 0.05032566]"
