gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.363 0.229 0.37  0.283 0.291 0.363 0.295 0.498 0.247 0.245],[4.25 2.45 3.25 3.05 3.1  3.2  3.4  3.45 3.25 2.15],[3.5 1.  1.  2.  2.  2.  2.  1.  1.  1.5],"[1.38258516 0.57973526 1.32071835 0.88734952 1.02394521 1.15694781
 1.12036828 1.41770421 1.11422076 0.38398437]",[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"[1.02782442 0.37114151 0.95998837 0.59579678 0.71787832 0.79966021
 0.82038049 0.92590733 0.86448932 0.13085938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0506209  0.05817175 0.0483045  0.05116175 0.04748302 0.05064789
 0.04918716 0.04777172 0.05034001 0.06097561]"
1.5,0.1,[0.726 0.42  0.757 0.396 0.503 0.626 0.389 0.79  0.639 0.734],[3.95 2.25 4.05 2.7  3.1  3.55 3.15 4.4  3.75 4.25],[4.  1.  2.  1.  1.5 1.  1.5 2.  1.  2. ],"[1.75796717 0.8194406  2.15199926 0.86256672 1.39316912 1.76299665
 1.24791145 2.26439935 1.77596291 2.10901144]",[1. 0. 1. 0. 0. 0. 0. 1. 0. 0.],"[1.04965418 0.39268279 1.30378148 0.45826984 0.88237811 1.11260603
 0.8611927  1.47236444 1.15881203 1.38642538]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09976513 0.10474632 0.1013961  0.08294931 0.09852375 0.09955691
 0.09962273 0.09902443 0.10309186 0.09973638]"
1.5,0.15000000000000002,[0.614 0.939 0.527 0.843 0.891 0.87  0.587 0.886 0.584 0.724],[2.4  3.95 2.4  2.85 2.8  3.6  2.4  3.05 2.3  3.1 ],[1.  2.  1.  1.5 1.  2.  1.5 2.  2.  2. ],"[1.05521712 2.13003001 1.07951793 1.50315746 1.56117174 1.82782405
 1.02240482 1.50134828 0.96512066 1.46420792]",[0.    1.125 0.    1.    1.    0.625 0.    1.    1.125 1.   ],"[0.46234602 1.1652595  0.53147105 0.61819652 0.64237291 0.97183039
 0.41415287 0.62888734 0.3532066  0.73721818]",[0.    0.125 0.    0.    0.    0.125 0.    0.    0.125 0.   ],"[0.15160509 0.15109344 0.14816473 0.18020833 0.16686967 0.15368519
 0.15035587 0.14416476 0.14983713 0.15529786]"
1.5,0.2,[0.857 1.078 1.155 0.997 0.918 1.314 0.864 1.405 1.337 1.605],[3.   3.3  3.7  2.9  2.7  4.   2.65 3.9  4.45 5.05],[1.5 1.5 2.5 2.5 1.  2.  1.  2.5 2.5 4.5],"[1.58630263 1.87410108 2.17091415 1.3230021  1.54287859 2.54430732
 1.53320983 2.59145299 2.7449097  3.19867166]","[0.5        1.125      1.25       1.25       1.         1.
 0.5        1.5625     1.         2.24791667]","[0.75180556 0.80476514 1.00883835 0.4339396  0.55850359 1.23704718
 0.64820007 1.12686253 1.35177005 1.56706766]","[0.        0.125     0.3125    0.25      0.        0.        0.
 0.1875    0.        0.8046875]","[0.1968744  0.18778539 0.2013254  0.20348837 0.22145329 0.20044675
 0.1977918  0.20092405 0.20394238 0.19705713]"
1.5,0.25,[0.63  1.261 1.093 0.857 1.286 1.452 1.377 0.883 1.231 1.311],[2.2  3.25 2.75 2.45 3.   3.6  3.55 2.3  3.25 3.45],[1.  2.  1.  2.  2.  2.  2.5 2.  2.  1. ],"[1.01192999 2.08192916 1.63138455 1.26239913 1.93253939 2.3585483
 2.30095168 1.2286325  1.94042971 2.19392529]",[0.   1.25 1.   1.   1.   1.25 1.25 1.   1.25 1.  ],"[0.35567999 0.78753219 0.54632595 0.39286788 0.67261507 0.84487643
 0.89357863 0.3098825  0.75687258 0.87031689]",[0.    0.25  0.    0.    0.    0.25  0.125 0.    0.25  0.   ],"[0.22580645 0.24863107 0.2514847  0.2399651  0.25436548 0.23916449
 0.24626543 0.27878788 0.2541221  0.25120431]"
1.5,0.3,[1.362 1.353 1.19  0.997 0.894 1.467 1.247 1.317 1.58  1.216],[3.05 3.45 3.15 2.4  2.45 3.4  2.85 2.45 3.85 2.85],[2.  1.  1.  1.  1.  2.  1.5 1.  2.  2. ],"[2.0257136  2.26759714 1.9764418  1.41987137 1.38397556 2.13376462
 1.84504416 1.70739898 2.56184908 1.77109258]",[1.     1.     1.     1.     0.     1.5625 1.125  1.     1.25   1.125 ],"[0.62383371 0.84586863 0.76364883 0.40019363 0.47438388 0.72984921
 0.61178    0.43142242 0.96884066 0.559325  ]",[0.    0.    0.    0.    0.    0.125 0.125 0.    0.25  0.   ],"[0.30647359 0.30054731 0.30534573 0.30186047 0.29735723 0.30062687
 0.30156183 0.32826087 0.30130651 0.30816888]"
1.5,0.35000000000000003,[1.424 1.935 0.932 1.189 0.879 1.757 0.899 1.808 1.224 1.174],[3.25 4.2  2.15 2.4  2.55 3.5  1.85 3.9  2.3  2.55],[2.  1.5 1.  1.5 2.  2.  1.  1.  1.  1. ],"[2.08031028 2.94953977 1.25142485 1.55122449 1.28820589 2.50353511
 1.10234375 2.79965048 1.554717   1.69618002]",[1.125 1.    1.    1.    0.    1.125 1.    1.    1.    1.   ],"[0.6385012  1.06633665 0.29517485 0.33716199 0.43117464 0.74401362
 0.17109375 0.9929122  0.36858419 0.46566245]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ],"[0.34665149 0.3500499  0.37837838 0.38016529 0.33498759 0.34487535
 0.30909091 0.35363551 0.36216216 0.35099033]"
1.5,0.4,[1.493 1.207 1.921 1.358 1.149 1.795 1.055 1.416 2.729 1.37 ],[3.4  2.45 3.85 2.65 2.5  3.45 2.3  2.7  5.6  2.75],[1.5 1.5 3.  2.  1.  2.  1.  1.  4.  1.5],"[2.19628897 1.50491056 2.70521208 1.73030854 1.57128696 2.55563983
 1.47820951 1.91737974 4.29310244 1.87159934]","[1.         1.         2.0625     1.         1.         1.40625
 1.         1.         2.59895833 1.        ]","[0.70622549 0.33694181 0.82644011 0.4250351  0.41270542 0.6965578
 0.3733267  0.48228147 1.55637454 0.4979055 ]","[0.         0.         0.3125     0.         0.         0.125
 0.         0.         0.69270833 0.        ]","[0.40239368 0.37765957 0.4017455  0.4009159  0.39977028 0.40544244
 0.4021891  0.39950876 0.40065173 0.40155928]"
1.5,0.45,[1.952 1.623 1.092 1.321 1.595 1.51  1.378 1.671 2.103 1.531],[4.05 3.2  2.3  2.85 2.95 3.15 3.1  3.45 4.15 3.  ],[2.5 2.  1.5 1.  1.5 2.  2.5 1.5 2.  1.5],"[2.78745951 2.18784999 1.40315523 1.88106074 2.13129549 2.08203388
 1.88175919 2.39456057 3.12875896 2.13984396]","[1.25    1.5625  1.      1.      1.      1.125   1.40625 1.      1.40625
 1.     ]","[0.85992045 0.5430746  0.33355073 0.54920038 0.53389559 0.54101825
 0.49347794 0.74524112 0.98083416 0.61851218]",[0.375 0.25  0.    0.    0.    0.125 0.25  0.    0.125 0.   ],"[0.46308725 0.45304569 0.44185203 0.45418803 0.44562412 0.44521189
 0.455081   0.44819508 0.4487091  0.45082292]"
1.6,0.05,[0.181 0.218 0.267 0.304 0.186 0.341 0.13  0.258 0.302 0.062],[2.15 1.85 2.35 3.3  1.75 3.05 2.6  3.5  3.05 2.3 ],[1.  1.  2.  2.5 1.  2.  2.  1.  1.5 1. ],"[0.47897908 0.65719035 0.53895285 0.86274421 0.29375    0.95245239
 0.55370096 1.40050583 1.11030374 0.24951265]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.31960408 0.43419841 0.27645285 0.54184578 0.103125   0.59942505
 0.41761697 1.13699264 0.79993997 0.18232515]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05319149 0.05129221 0.04964539 0.04194631 0.04807692 0.05688376
 0.04783223 0.04949843 0.04811122 0.01666667]"
