gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.116 0.395 0.385 0.447 0.264 0.261 0.356 0.47  0.429 0.36 ],[1.9  4.1  3.05 2.85 2.75 2.9  4.15 2.35 2.9  4.25],[1. 2. 2. 1. 1. 1. 2. 1. 2. 3.],"[0.36173311 1.71072218 0.93636646 1.0968081  0.8449203  1.02665752
 1.64772443 0.87801439 1.12006156 1.4206602 ]",[0.  0.  0.  0.  0.  0.  0.  0.5 0.  0. ],"[0.23067842 1.31427442 0.51683521 0.64430566 0.57260585 0.77353252
 1.28014325 0.40457689 0.70804984 1.09021586]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04511971 0.05080932 0.05928412 0.05090329 0.05709754 0.04912124
 0.05021748 0.05570776 0.05142583 0.05080951]"
1.5,0.1,[0.608 0.335 0.471 0.574 0.824 0.356 0.677 0.503 0.905 0.719],[2.85 2.   3.   2.7  4.2  1.95 3.7  2.55 5.6  3.5 ],[1.5 1.5 1.  1.  2.  1.  3.  1.5 4.  2. ],"[1.29753401 0.5500093  1.27736939 1.29091495 2.30555886 0.50707692
 1.67596494 0.98669775 2.83029629 1.7430598 ]","[1.      0.      0.      0.      1.      0.      1.09375 0.      1.875
 0.5    ]","[0.66999495 0.1937593  0.77961548 0.68271182 1.46229409 0.16801442
 1.00905821 0.503104   1.93890225 1.02064769]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.75 0.  ],"[0.10012701 0.09042553 0.09482048 0.10846868 0.09751658 0.0754717
 0.09799621 0.10645933 0.09772278 0.10265994]"
1.5,0.15000000000000002,[0.805 1.115 0.434 1.093 0.605 0.776 0.673 0.497 0.707 0.827],[2.9  4.55 1.65 4.1  2.65 3.2  2.45 2.7  3.6  2.55],[2.  3.  1.  2.5 2.  2.  1.  1.5 2.  1. ],"[1.48295465 2.47900933 0.59390625 2.3304105  1.05927302 1.58956406
 1.20279787 1.01284131 1.66986696 1.38487219]","[1.09375 1.25    0.      1.125   0.      1.09375 0.      0.      0.
 1.     ]","[0.65697809 1.38628473 0.15328125 1.26714146 0.45147272 0.77384141
 0.57052248 0.49995069 0.91029665 0.55420813]",[0.125 0.375 0.    0.125 0.    0.125 0.    0.    0.    0.   ],"[0.14941176 0.15258612 0.12096774 0.14972656 0.1494833  0.15156507
 0.1585131  0.1507177  0.14700997 0.14849188]"
1.5,0.2,[0.681 1.474 0.8   1.546 1.156 1.474 1.152 0.996 0.813 0.756],[2.05 4.05 2.3  4.9  3.5  4.05 4.   3.5  2.45 2.65],[1.  1.5 1.  4.  3.  4.  2.  1.5 1.  1.5],"[1.049239   2.7477658  1.14790312 2.9294857  1.94386198 2.55222761
 2.3946251  1.99538985 1.35730151 1.2957191 ]","[0.         1.125      1.         2.19010417 1.25       2.15625
 1.         1.         1.         1.        ]","[0.38107493 1.26533171 0.36684843 1.36318932 0.75929167 1.06458113
 1.20168687 0.98602706 0.51989916 0.53927379]","[0.        0.125     0.        0.8109375 0.3125    0.53125   0.
 0.        0.        0.       ]","[0.2054155  0.20715409 0.2119403  0.19877012 0.21428571 0.19407559
 0.19945034 0.19405022 0.20304114 0.18266476]"
1.5,0.25,[0.674 1.176 1.356 1.095 0.597 1.776 1.041 1.691 1.138 1.414],[2.15 3.   3.8  3.1  2.55 4.   3.25 4.3  2.85 3.6 ],[1.  2.  2.  2.  2.  1.5 3.  2.  1.  2. ],"[0.95442724 1.80544742 2.42138395 1.80790095 0.98843147 2.83561089
 1.74236632 2.83173007 1.77946503 2.31898176]",[0.5    1.125  1.125  1.25   0.     1.125  1.4375 1.25   1.     1.125 ],"[0.25989599 0.58533023 1.02232389 0.65703426 0.33843147 1.12023003
 0.65799132 1.14550266 0.64352753 0.89149153]",[0.    0.    0.125 0.25  0.    0.    0.125 0.25  0.    0.   ],"[0.24782609 0.26944758 0.24927098 0.25499303 0.21014493 0.25393553
 0.24498567 0.25097258 0.24545455 0.25084382]"
1.5,0.3,[1.631 2.029 0.99  1.587 1.418 1.506 0.682 1.068 1.192 1.569],[4.15 4.4  2.8  3.25 3.4  3.65 1.95 2.15 2.2  3.6 ],[2.  2.5 2.  2.  2.  2.  1.5 1.5 2.  2. ],"[2.79924466 3.12462118 1.59819039 2.23069218 2.12973928 2.38076485
 0.92289822 1.3915397  1.50867001 2.38093723]",[1.25  1.125 1.    1.25  1.25  1.    1.    1.    1.125 1.   ],"[1.1401199  1.19349325 0.56528023 0.69324101 0.69067678 0.84661873
 0.19555447 0.31614908 0.29304501 0.81246188]",[0.25  0.125 0.    0.    0.125 0.    0.    0.    0.    0.   ],"[0.29814162 0.29874974 0.29573855 0.30246496 0.296585   0.30186764
 0.28921569 0.32183908 0.32022472 0.2972942 ]"
1.5,0.35000000000000003,[1.31  1.304 1.528 1.265 0.897 0.907 1.459 1.265 1.281 1.403],[3.   3.   2.95 2.7  1.75 1.95 2.6  2.35 3.1  3.  ],[2.  2.  1.  1.  1.  1.  1.  1.5 1.5 2. ],"[1.82323746 1.85500445 2.0334929  1.80924353 0.996875   1.15518426
 1.87109615 1.65117444 1.91501959 1.92783231]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.125],"[0.54472184 0.54875445 0.55053391 0.51644568 0.096875   0.22705926
 0.44902584 0.39227551 0.6266651  0.53305692]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.   ],"[0.34576613 0.36797455 0.34637893 0.35708745 0.34883721 0.38624339
 0.34679089 0.35304834 0.34788954 0.34974641]"
1.5,0.4,[1.581 1.405 1.472 1.496 1.711 1.439 1.935 0.939 2.078 1.006],[3.25 2.95 3.35 2.9  3.4  3.05 4.05 2.25 4.1  2.3 ],[2.  2.  2.  1.5 1.5 1.5 2.5 1.5 1.  1.5],"[2.24427493 1.91477163 2.17692587 1.95084124 2.38430633 2.05489816
 2.90733521 1.18698193 3.10542138 1.37007277]",[1.    1.25  1.25  1.125 1.125 1.    1.25  1.    1.    1.   ],"[0.65817874 0.53723257 0.61432821 0.51490374 0.70759734 0.5754548
 0.94418823 0.25416943 1.05307458 0.34897902]","[0.      0.25    0.125   0.      0.      0.      0.28125 0.      0.
 0.     ]","[0.39450687 0.39058957 0.40348837 0.39097744 0.40644444 0.41047503
 0.40115115 0.37228261 0.39910564 0.41753555]"
1.5,0.45,[1.329 1.351 0.792 1.647 2.664 1.394 1.707 1.899 2.038 1.135],[2.55 3.05 2.1  3.35 5.5  2.75 3.7  3.6  4.6  2.  ],[1.  2.  1.  1.5 4.  1.  2.  2.  3.  1. ],"[1.73365268 1.92337022 1.0941894  2.25982978 4.01147219 1.84639691
 2.51076654 2.56856152 3.34496233 1.31514974]","[1.        1.125     0.        1.        2.2265625 1.        1.25
 1.25      2.125     1.       ]","[0.44395541 0.54622178 0.29184565 0.67418525 1.39842898 0.4896098
 0.82773432 0.71836621 1.13773577 0.19014974]","[0.        0.        0.        0.        0.6015625 0.        0.25
 0.25      0.375     0.       ]","[0.44561875 0.45080201 0.43333333 0.45072993 0.44686426 0.46691481
 0.44494091 0.45760083 0.44953523 0.42346939]"
1.6,0.05,[0.252 0.306 0.096 0.274 0.255 0.229 0.355 0.196 0.071 0.273],[3.45 2.8  2.4  2.   2.1  2.3  2.65 2.3  2.2  3.  ],[2.  2.  1.  1.  1.  1.  2.  1.5 1.5 1. ],"[1.08692728 0.70246083 0.42138238 0.53014629 0.56852098 0.68220961
 0.62548673 0.44980814 0.22712302 1.01642538]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.83919779 0.40558583 0.32567926 0.25670879 0.31070848 0.43411391
 0.27548673 0.24355814 0.14899802 0.76881796]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04935645 0.05714286 0.04418985 0.06451613 0.07142857 0.05402888
 0.05063291 0.05555556 0.02659574 0.05020796]"
1.6,0.1,[0.616 0.696 0.457 0.493 0.569 0.209 0.419 0.703 0.28  0.586],[2.7  3.75 2.8  2.65 2.9  1.7  2.05 3.8  1.75 2.75],[1.  2.  1.  1.  2.  1.  1.5 2.  1.  1. ],"[1.25832744 1.69642155 1.18572723 1.15337791 1.12695798 0.33503906
 0.58844215 1.80654648 0.34907924 1.31094907]","[0.5     0.      0.      0.      1.25    0.      0.      1.09375 0.
 0.     ]","[0.67077861 1.01895573 0.70806609 0.65071678 0.55332517 0.13503906
 0.17594215 1.11451157 0.09595424 0.74335874]",[0.    0.    0.    0.    0.25  0.    0.    0.125 0.    0.   ],"[0.10469314 0.10189097 0.09757933 0.0969158  0.10581583 0.09722222
 0.11538462 0.10051395 0.07857143 0.09835966]"
