gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.29  0.287 0.387 0.35  0.282 0.381 0.391 0.188 0.283 0.27 ],[2.9  3.35 3.75 3.   3.75 3.9  3.2  2.3  3.15 3.7 ],[1.5 2.  1.5 2.5 3.  2.  2.  1.  1.  3. ],"[0.81589015 1.00257354 1.46964986 0.93316242 1.17160833 1.39691047
 1.11526728 0.53549537 0.98817177 1.15244717]",[0.  0.  0.  0.5 0.  0.5 0.  0.  0.  0. ],"[0.50846827 0.7223001  1.07968099 0.53863117 0.87487981 1.00779914
 0.73450556 0.32475319 0.70750771 0.85184903]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0476081  0.05382908 0.05024801 0.05449591 0.04840371 0.05028811
 0.05279733 0.05230496 0.04725738 0.04754062]"
1.5,0.1,[0.714 0.411 0.597 0.258 0.674 0.457 0.669 0.349 0.571 0.676],[3.55 2.6  3.   1.85 4.65 2.5  3.35 2.6  2.85 3.95],[1.5 1.  1.  1.  2.5 1.  2.  1.5 2.5 2. ],"[1.7294372  1.0102264  1.47343477 0.39495908 2.23522369 0.92062647
 1.5957716  0.84180816 1.09337669 1.87340169]",[0.5   0.    0.    0.    0.    0.    1.    0.    1.125 0.5  ],"[1.02953486 0.58451839 0.90229524 0.14183408 1.58024322 0.48172266
 0.91331311 0.48868316 0.53556419 1.19708333]",[0.    0.    0.    0.    0.    0.    0.    0.    0.125 0.   ],"[0.09734751 0.09700772 0.09907961 0.12318841 0.09781269 0.09720373
 0.09979984 0.10443038 0.1075     0.09940209]"
1.5,0.15000000000000002,[0.94  0.797 0.792 0.613 0.935 0.634 1.007 0.674 0.553 1.036],[3.95 2.8  3.75 2.6  3.95 3.1  4.1  3.65 2.6  3.9 ],[1.  2.  2.  2.  2.  2.  2.5 1.5 2.  2.5],"[2.26027285 1.48129847 1.8353268  0.97687912 2.14304269 1.31807586
 2.19778461 1.78399043 0.90507862 2.09283042]","[0.5     1.      1.09375 1.      0.      0.      1.125   0.      0.5
 1.125  ]","[1.29140688 0.67968714 1.02183803 0.37766037 1.20887521 0.71131011
 1.21594257 1.09531855 0.33476612 1.08996177]",[0.    0.    0.125 0.    0.    0.    0.125 0.    0.    0.125],"[0.14823822 0.14975295 0.15117043 0.12616822 0.15114879 0.152481
 0.1510019  0.15088709 0.13819095 0.15291399]"
1.5,0.2,[0.945 0.855 1.073 0.57  1.079 1.311 1.42  0.887 0.617 0.61 ],[2.95 2.65 3.1  2.05 3.55 4.05 4.05 2.05 1.75 2.  ],[2.  1.5 1.  1.5 2.  1.  2.  1.  1.  1. ],"[1.52137317 1.46336052 1.8361571  0.78858587 1.99115246 2.59699014
 2.6777316  1.22974974 0.77447917 0.90049111]",[1.   0.5  1.   0.5  1.   1.   1.25 1.   1.   0.  ],"[0.59149036 0.5720153  0.80504138 0.21124212 0.87498119 1.30164102
 1.21438016 0.33287474 0.15885417 0.31743447]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ],"[0.20081967 0.20600677 0.20035785 0.2037037  0.20402608 0.20085806
 0.2010805  0.20462633 0.17741935 0.20336538]"
1.5,0.25,[1.306 1.124 1.275 1.107 1.113 0.797 1.218 0.678 0.952 0.944],[3.65 3.   3.2  2.65 3.   2.1  3.35 2.1  2.6  2.05],[3.  1.  1.5 1.  2.  1.  1.  1.5 1.  1. ],"[2.11945566 1.80522242 2.01780248 1.60216946 1.70572369 1.0796616
 2.17638085 0.9078125  1.50603782 1.17793062]",[1.25 1.   1.   1.   1.   1.   0.5  1.   1.   1.  ],"[0.80729746 0.65698024 0.76821752 0.48752102 0.63936626 0.2734116
 0.98688195 0.2203125  0.56817466 0.23730562]",[0.3125 0.     0.     0.     0.     0.     0.     0.     0.     0.    ],"[0.25183562 0.24805506 0.25498373 0.2677643  0.24759036 0.26449275
 0.246553   0.3046875  0.24708406 0.29411765]"
1.5,0.3,[1.072 1.362 1.072 1.599 0.716 1.511 1.057 0.936 1.416 0.929],[2.9  3.5  2.95 3.5  1.85 3.65 2.6  2.25 3.45 2.6 ],[2.  2.  1.  2.  1.  2.  1.  1.  1.5 2. ],"[1.66732372 2.24372356 1.74603214 2.41965633 0.91995908 2.41121027
 1.57910744 1.28040806 2.24645284 1.37989596]",[1.    1.    0.    1.125 1.    1.125 1.    1.    1.    1.   ],"[0.60034069 0.83643901 0.66673526 0.8616241  0.21683408 0.89853021
 0.49238869 0.34603306 0.83727315 0.42989596]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.   ],"[0.30006645 0.29661441 0.29753356 0.30592681 0.26865672 0.29737617
 0.29468599 0.32692308 0.29063786 0.31896552]"
1.5,0.35000000000000003,[1.261 1.107 1.355 1.922 1.021 1.41  1.67  0.808 1.055 2.007],[3.   2.5  3.15 4.05 2.3  2.65 2.95 1.9  2.25 4.35],[2.  1.  2.5 2.  2.  2.  2.  1.  1.  3. ],"[1.8148091  1.61711832 1.95203131 2.92138111 1.31958333 1.81528887
 2.16743078 1.00400437 1.41795287 3.12299358]","[1.125   1.      1.25    1.      1.25    1.125   1.125   1.      1.
 1.59375]","[0.5382466  0.50759684 0.61829108 0.98563282 0.29770833 0.43579668
 0.5504508  0.21572312 0.36443724 1.10713359]","[0.125   0.      0.25    0.      0.25    0.125   0.      0.      0.
 0.34375]","[0.33797468 0.34588563 0.34346847 0.3473582  0.35326087 0.35418502
 0.34283109 0.34761905 0.3584392  0.34779317]"
1.5,0.4,[1.675 1.178 1.334 2.17  1.84  1.688 1.435 2.013 0.939 1.189],[3.35 2.5  2.7  4.45 3.5  3.3  2.9  3.75 2.3  2.05],[1.  1.5 1.5 2.5 2.5 2.  1.  2.5 1.  1. ],"[2.48547906 1.46313864 1.76471722 3.2569525  2.52568396 2.35922171
 2.0645107  2.79932073 1.31739435 1.40102764]","[1.      1.      1.      2.125   1.5625  1.25    1.      1.78125 1.
 1.     ]","[0.81707391 0.36157614 0.4645219  1.07027038 0.6802738  0.63641897
 0.580743   0.82741521 0.36207208 0.22837139]","[0.      0.      0.      0.25    0.25    0.25    0.      0.28125 0.
 0.     ]","[0.39983654 0.4054878  0.42504188 0.40077121 0.40805604 0.40285924
 0.40219275 0.40211389 0.42209992 0.43783784]"
1.5,0.45,[1.257 1.698 1.236 2.19  1.395 1.18  1.593 1.245 1.471 1.345],[2.5  3.1  2.7  4.45 3.05 2.35 2.9  2.6  3.25 2.85],[1.  2.  2.  2.5 1.  1.  2.  1.  2.  2. ],"[1.67552672 2.25984462 1.70495933 3.24702775 1.95574518 1.4909378
 2.06692772 1.64292722 2.14595086 1.87433544]",[1.    1.25  1.25  1.25  1.    1.    1.125 1.    1.    1.125],"[0.43299742 0.60305751 0.42283042 1.05645158 0.56009088 0.34796905
 0.48631249 0.40386472 0.60840203 0.47863232]",[0.    0.125 0.25  0.25  0.    0.    0.    0.    0.    0.125],"[0.45043915 0.44826106 0.44618834 0.44274084 0.46192696 0.40789474
 0.4539505  0.46358543 0.45892291 0.43137255]"
1.6,0.05,[0.239 0.213 0.297 0.162 0.209 0.096 0.198 0.246 0.285 0.13 ],[3.2  2.   3.   2.1  2.35 2.1  2.45 2.6  3.45 2.8 ],[1.5 1.  2.  1.  1.5 1.  1.5 1.  2.  1.5],"[1.16165054 0.47499045 0.73516774 0.56234918 0.45390036 0.41481639
 0.57800316 0.6686016  1.22241635 0.6508234 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.91708267 0.25604514 0.43282399 0.41469293 0.24765036 0.31457225
 0.37004418 0.40473441 0.90586361 0.52479801]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04874584 0.04627949 0.04964539 0.05114723 0.05       0.04634831
 0.05056444 0.0503876  0.05085336 0.04381443]"
