gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.395 0.264 0.474 0.122 0.336 0.174 0.245 0.294 0.351 0.215],[3.6  3.45 3.6  2.45 3.1  2.5  3.7  2.2  4.3  2.6 ],[2.  1.5 1.5 1.5 2.  2.  2.  1.  3.5 2. ],"[1.43712802 1.1442394  1.36824921 0.60021751 1.10018418 0.56508424
 1.23027535 0.81295619 1.34746674 0.51425829]",[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],"[1.04414706 0.86098745 0.93133514 0.45512778 0.78110764 0.37602174
 0.98459663 0.51282192 0.9921811  0.30878954]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04983801 0.0452474  0.0511811  0.04890444 0.05107358 0.05069124
 0.0514721  0.05211864 0.04846186 0.053125  ]"
1.5,0.1,[0.505 0.721 0.671 0.374 0.523 0.55  0.625 0.661 0.755 0.555],[3.1  3.8  4.7  2.5  3.85 3.7  2.75 2.6  4.25 2.75],[1.5 3.  2.5 1.5 2.  2.5 1.5 2.  2.  2. ],"[1.29150039 1.61439838 2.27130929 0.84433872 1.65191682 1.459377
 1.19954019 0.99339036 2.22685343 1.07958424]",[0.   1.25 0.   0.   0.   0.   0.5  1.   0.   0.5 ],"[0.78130752 0.88451557 1.61158639 0.48579379 1.11998323 0.92680864
 0.57743326 0.33635911 1.48758952 0.55263111]",[0.     0.4375 0.     0.     0.     0.     0.     0.     0.     0.    ],"[0.10152284 0.10442073 0.09833345 0.09354383 0.09952038 0.10151615
 0.10506208 0.12       0.10044978 0.10796325]"
1.5,0.15000000000000002,[0.832 0.821 0.814 0.948 1.193 0.63  0.715 0.992 0.603 0.804],[2.95 3.15 3.6  3.75 5.05 3.05 2.8  3.25 2.9  2.65],[1.  2.  3.  1.  3.5 2.  1.  1.5 1.5 1. ],"[1.64253767 1.48012912 1.79412786 2.10961029 2.84615001 1.27395849
 1.46582515 1.87506115 1.27954728 1.42817216]","[1.         1.         1.25       0.5        1.45833333 0.
 0.         1.         0.         1.        ]","[0.82514571 0.67934787 0.97371771 1.19830658 1.67941112 0.63808202
 0.74998042 0.88895275 0.68128068 0.65556474]","[0.         0.         0.375      0.         0.45833333 0.
 0.         0.         0.         0.        ]","[0.15033794 0.13934426 0.15214008 0.14644981 0.15065248 0.15159755
 0.14998071 0.15374976 0.14388656 0.15046476]"
1.5,0.2,[0.932 0.995 0.632 0.804 1.007 0.884 1.037 0.787 1.129 0.888],[3.2  2.6  2.2  2.95 3.   2.75 3.65 2.15 3.45 3.  ],[1.  1.5 1.  2.  1.  1.5 3.  1.  2.  2. ],"[1.7649669  1.59283876 0.99988963 1.51767255 1.77286022 1.47171206
 1.9185993  1.09337932 2.02291817 1.39123532]","[0.      1.      1.      0.5     1.      1.09375 1.      0.5     1.
 1.125  ]","[0.83570054 0.56586122 0.3323115  0.69332257 0.75664928 0.55984683
 0.8710285  0.3509965  0.85808663 0.49436032]",[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125],"[0.19896755 0.19826373 0.20364742 0.19554916 0.19505737 0.1923258
 0.1986017  0.19604863 0.20259171 0.18951613]"
1.5,0.25,[1.199 0.828 1.239 0.843 1.368 1.375 1.154 1.424 1.38  1.14 ],[3.3  2.4  3.45 2.65 3.45 3.05 2.7  3.7  3.55 3.1 ],[2.  1.5 1.5 2.  2.  1.  1.5 2.5 2.  2. ],"[1.90439731 1.26466124 2.11887221 1.37795313 2.16836656 2.17675859
 1.747576   2.26807933 2.20528054 1.91767622]","[1.125   1.      1.      1.      1.125   1.      1.      1.21875 1.
 1.     ]","[0.71683628 0.4006964  0.88144545 0.48967188 0.83780626 0.79511797
 0.59074006 0.85100779 0.82101541 0.73804975]",[0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.  ],"[0.24842054 0.24704392 0.24869598 0.24501992 0.25137478 0.25312006
 0.24237223 0.25112571 0.24589399 0.24609067]"
1.5,0.3,[1.386 1.322 1.129 1.499 0.996 1.914 1.528 1.385 1.289 0.931],[3.4  2.8  2.25 4.1  2.35 4.25 2.95 3.4  3.1  2.55],[2.5 1.  1.  2.  2.  2.5 1.  1.5 2.5 1. ],"[2.11832715 1.8718163  1.55711479 2.64650057 1.28541114 3.0775534
 2.11105548 2.14205273 1.79925549 1.43085428]","[1.25    1.      1.      1.125   1.25    1.78125 1.      1.      1.25
 1.     ]","[0.72701856 0.58033681 0.3767437  1.13043002 0.31646582 1.12378142
 0.61042072 0.79244335 0.53050549 0.47160135]","[0.25    0.      0.      0.125   0.      0.28125 0.      0.      0.25
 0.     ]","[0.30418674 0.30073582 0.30469862 0.29800914 0.29850047 0.30095253
 0.30278732 0.2955298  0.33710407 0.30386258]"
1.5,0.35000000000000003,[1.458 1.287 1.498 1.251 1.098 1.037 0.879 1.523 1.809 1.242],[3.3  2.7  3.05 3.05 2.25 2.05 2.   3.4  3.6  2.6 ],[2.  1.  2.  2.  1.5 1.  1.  2.  2.  1.5],"[2.19467111 1.80187707 2.01992399 1.86931815 1.37705946 1.22005342
 1.09076823 2.22171817 2.60546587 1.68316257]",[1.25  1.    1.125 1.25  1.    1.    1.    1.25  1.    1.   ],"[0.7026301  0.53156457 0.59568082 0.58167167 0.25987196 0.23880342
 0.21264323 0.71561466 0.80605181 0.42320163]",[0.125 0.    0.125 0.25  0.    0.    0.    0.25  0.    0.   ],"[0.34591253 0.35455975 0.34784935 0.3482024  0.37096774 0.35955056
 0.33888889 0.32763857 0.35059111 0.34114583]"
1.5,0.4,[1.154 0.916 1.937 2.082 1.781 1.184 1.99  1.081 1.467 1.936],[2.   2.05 4.25 3.95 3.8  2.3  4.2  1.95 3.   3.95],[1.  1.  2.5 2.5 2.  1.5 2.  2.  2.  2. ],"[1.46366869 1.23095238 2.84558308 2.93540474 2.68272739 1.45915658
 3.07713093 1.2046875  2.05916929 2.85020887]",[1.     1.     1.125  1.5625 1.25   1.     1.25   1.125  1.125  1.25  ],"[0.2741057  0.22704613 0.96031697 0.91177193 0.87147556 0.31228158
 1.00066609 0.1796875  0.58232603 0.94109327]",[0.    0.    0.125 0.25  0.25  0.    0.25  0.    0.    0.25 ],"[0.40794574 0.34502924 0.39703602 0.39964423 0.39891667 0.41858553
 0.40153742 0.42156863 0.39986306 0.40178343]"
1.5,0.45,[1.747 1.59  0.879 0.983 1.382 1.621 1.035 0.953 1.758 1.61 ],[3.05 3.45 1.85 2.2  2.65 3.35 2.25 1.75 3.8  3.05],[2.  2.  1.  1.  1.  1.  1.5 1.  2.  1.5],"[2.35022415 2.28990119 1.07799154 1.2860004  1.8655693  2.35853582
 1.27505208 1.10416667 2.56373264 2.21418926]",[1.125 1.125 1.    1.    1.    1.    1.    1.    1.125 1.125],"[0.57024368 0.71222785 0.20299154 0.2988422  0.46283492 0.69891667
 0.24067708 0.12604167 0.80152561 0.62077495]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.125 0.   ],"[0.44021938 0.45042984 0.48181818 0.46094873 0.4428392  0.448863
 0.421875   0.47169811 0.45582439 0.44572891]"
1.6,0.05,[0.38  0.377 0.13  0.345 0.14  0.344 0.109 0.361 0.293 0.327],[5.05 2.8  2.65 2.95 2.95 2.45 2.1  3.05 3.55 3.1 ],[3. 1. 2. 1. 2. 1. 1. 2. 2. 1.],"[2.04761726 0.97338223 0.56255825 0.98246182 0.67952917 0.83206253
 0.31767532 1.20885816 1.25290622 1.11353881]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.664878   0.61400723 0.44004849 0.64964932 0.52587927 0.48460159
 0.20673782 0.84215894 0.97625828 0.77243774]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04761905 0.04990758 0.05344748 0.05712731 0.04829932 0.05030303
 0.03816794 0.04886309 0.0508046  0.05263158]"
