gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.411 0.189 0.211 0.135 0.225 0.307 0.296 0.289 0.294 0.307],[2.9  2.65 2.25 1.6  2.4  2.15 2.85 3.85 3.1  3.4 ],[2.  1.5 1.  1.  1.  1.  1.  2.5 1.  2. ],"[1.08078542 0.59742392 0.423496   0.2015625  0.57179027 0.55543293
 1.03605907 1.16489647 1.02818095 1.11162052]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.67838063 0.41695517 0.2250585  0.0703125  0.35382152 0.27555012
 0.75037792 0.89977196 0.72237041 0.80322209]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05154759 0.04644809 0.04439252 0.04545455 0.06451613 0.04363002
 0.05012067 0.04788156 0.05477245 0.04723127]"
1.5,0.1,[0.734 0.741 0.472 0.578 0.573 0.87  0.448 0.452 0.217 0.52 ],[4.   4.2  2.5  2.6  2.   4.05 2.15 3.   2.65 3.45],[2.  2.  1.  1.  1.  1.5 1.  1.  2.5 2. ],"[1.95373    2.20313649 0.99394412 1.09892609 0.94872317 2.19675443
 0.76568325 1.17727908 0.59922661 1.33853561]",[1.  0.  0.  0.5 0.5 1.  0.  0.  0.  0. ],"[1.22864455 1.43951955 0.49716677 0.49638703 0.37753176 1.33408354
 0.31216762 0.71917361 0.37578911 0.85788376]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10068047 0.10179501 0.10193032 0.09470752 0.1024531  0.09925739
 0.10056657 0.10675381 0.0698324  0.10504404]"
1.5,0.15000000000000002,[1.334 0.833 1.259 0.896 1.222 0.786 0.636 0.99  0.508 0.746],[4.8  3.2  5.15 2.75 4.45 2.6  2.4  3.1  2.3  2.95],[3.  2.  5.  2.  4.  1.5 1.  1.5 1.  2. ],"[2.93571941 1.69571652 2.89571479 1.44089994 2.4804221  1.27948833
 1.09201782 1.80073807 0.92991335 1.44363725]","[1.26041667 0.5        2.38697917 1.125      1.3671875  1.
 0.5        1.125      0.         1.        ]","[1.63254558 0.89971432 1.65183051 0.53855619 1.27607335 0.52011333
 0.45764282 0.84067948 0.37249147 0.67835405]","[0.26041667 0.         1.13697917 0.         0.59375    0.
 0.         0.125      0.         0.        ]","[0.14878074 0.1531333  0.15428535 0.15870307 0.15152956 0.15168539
 0.12857143 0.14815027 0.14586995 0.15239295]"
1.5,0.2,[1.255 1.173 0.991 0.823 0.738 0.811 1.178 0.98  1.084 0.91 ],[3.3  4.1  3.15 2.45 2.2  3.05 3.1  3.1  3.3  2.75],[1.5 2.  2.  1.  1.  2.  1.5 1.5 2.  1. ],"[2.13654629 2.3073638  1.68762899 1.3075379  1.0923233  1.51147524
 1.93162206 1.69733097 1.7955575  1.52950495]",[1.   1.25 1.   1.   0.5  0.   1.   1.   1.25 0.5 ],"[0.89588467 1.14963064 0.72157674 0.45905157 0.39100494 0.71422182
 0.78140539 0.70646182 0.7143075  0.6469488 ]",[0.   0.25 0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.20021727 0.2001735  0.20562561 0.20460585 0.18523677 0.20175439
 0.2011309  0.2090604  0.21641791 0.20352055]"
1.5,0.25,[1.433 1.325 1.177 1.185 0.885 1.849 1.378 1.135 1.075 1.499],[3.75 3.35 3.05 3.   2.35 5.5  3.95 3.15 2.95 3.8 ],[2.  1.  1.  2.  2.  5.  2.  2.  1.  2.5],"[2.30546436 2.15185401 1.95015344 1.76213997 1.18561474 3.63901302
 2.39272558 1.83046681 1.75249918 2.43821103]","[1.         1.         1.         1.125      1.         2.87233073
 1.25       1.125      1.         1.45833333]","[0.94890918 0.8231919  0.74544762 0.63797005 0.32233349 1.7391534
 1.03940526 0.67455861 0.65728434 0.96361997]","[0.         0.         0.         0.125      0.         1.12233073
 0.25       0.         0.         0.3125    ]","[0.24859318 0.24621095 0.25236706 0.26181435 0.26960784 0.25018373
 0.23980523 0.24966443 0.24427799 0.2512506 ]"
1.5,0.3,[1.218 1.485 1.33  1.139 1.214 1.725 1.427 0.8   0.967 1.183],[2.9  2.8  3.3  3.1  2.75 4.2  2.9  2.55 2.35 3.1 ],[2. 1. 2. 2. 1. 2. 2. 1. 1. 2.],"[1.81902765 2.03526794 2.11581692 1.75023803 1.69090366 2.8312377
 1.95251876 1.30150389 1.37663535 1.7524851 ]","[1.125   1.      1.125   1.      1.      1.21875 1.25    0.      0.
 1.     ]","[0.57908624 0.52555114 0.73061184 0.59242553 0.56292515 1.13311759
 0.52313643 0.48119139 0.4383541  0.55189917]",[0.    0.    0.125 0.    0.    0.25  0.    0.    0.    0.   ],"[0.29446547 0.30132291 0.2996587  0.28522727 0.28947368 0.30224296
 0.30281521 0.30532044 0.31900452 0.30237154]"
1.5,0.35000000000000003,[1.501 2.3   1.547 1.257 1.615 1.719 1.351 1.065 1.443 1.271],[3.4  5.   3.45 2.5  3.7  3.75 2.95 2.3  3.05 2.7 ],[2.  3.  2.  1.5 1.5 1.5 1.  2.  2.  1. ],"[2.22750685 3.6082783  2.2089933  1.70444302 2.44365701 2.66484447
 1.83206412 1.48210647 2.01049361 1.72931727]","[1.25    1.40625 1.25    1.      1.125   1.      1.      1.25    1.
 1.     ]","[0.72007277 1.32163889 0.71291176 0.41147427 0.88093728 0.90967174
 0.53640982 0.33913772 0.61808943 0.50241298]","[0.25    0.28125 0.25    0.      0.125   0.      0.      0.125   0.
 0.     ]","[0.35139793 0.35212391 0.35148736 0.31538462 0.35312286 0.34859347
 0.34382022 0.31798246 0.35234333 0.35181391]"
1.5,0.4,[1.638 1.443 0.925 1.548 1.562 1.643 1.833 1.701 1.807 2.08 ],[3.35 2.7  2.5  3.25 3.4  3.2  3.75 3.25 3.85 4.1 ],[1.  2.  2.  1.5 2.  1.  2.  2.  2.5 2.5],"[2.34595647 1.82892873 1.36937263 2.20083836 2.26406327 2.21447134
 2.72319231 2.37493265 2.71218669 3.03162897]","[1.      1.25    0.625   1.      1.40625 1.      1.25    1.      1.25
 1.40625]","[0.74302678 0.43840138 0.41859138 0.68153904 0.70544511 0.6126647
 0.87327471 0.64743021 0.82897136 0.95726374]",[0.    0.25  0.125 0.    0.25  0.    0.25  0.    0.25  0.125],"[0.39371023 0.42010772 0.40619725 0.39805165 0.40054431 0.40058161
 0.39952619 0.40369198 0.40671866 0.40424544]"
1.5,0.45,[1.952 0.682 1.807 1.629 1.413 1.61  1.144 0.999 1.627 2.196],[4.3  1.3  3.8  3.3  2.4  2.8  2.35 1.9  3.05 4.2 ],[2.  1.  2.  2.5 1.  2.  1.  1.  2.  2.5],"[2.94380351 0.7640625  2.62957126 2.32504768 1.70613297 2.01816161
 1.59282789 1.17407552 2.1064744  3.11052117]","[1.         1.         1.125      2.         1.         1.125
 1.         1.         1.125      1.76041667]","[0.94648905 0.0640625  0.84341098 0.58891487 0.35535172 0.45507567
 0.38887281 0.15845052 0.54407205 0.98122429]",[0.     0.     0.125  0.3125 0.     0.     0.     0.     0.     0.1875],"[0.45098644 0.4516129  0.45341483 0.45490196 0.46305419 0.45014849
 0.45397112 0.43069307 0.45630038 0.4529767 ]"
1.6,0.05,[0.15  0.136 0.294 0.176 0.219 0.369 0.396 0.373 0.281 0.382],[1.85 1.95 2.7  2.15 2.15 3.4  3.35 2.9  3.6  2.45],[1.  1.  1.  1.  1.  2.  2.  2.  2.5 1. ],"[0.40345403 0.42449372 0.9506827  0.40922681 0.34895833 1.27187962
 1.28936928 1.00984574 1.09328937 0.90922514]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.24486028 0.28543122 0.65291659 0.22016431 0.11145833 0.90822605
 0.89915016 0.6373848  0.81156329 0.53041655]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.07297297 0.04272152 0.04690287 0.05035971 0.04929577 0.05130181
 0.05014845 0.05172414 0.04795099 0.05033003]"
1.6,0.1,[0.316 0.527 0.651 0.366 0.455 0.632 0.644 0.202 0.713 0.616],[2.15 2.55 3.75 2.5  3.15 2.3  2.95 1.55 4.   3.1 ],[1.  1.5 1.  1.  1.5 1.  2.  1.  3.5 1.5],"[0.65449998 0.94930786 1.81513911 0.93876002 1.34795949 0.96053079
 1.26351199 0.33916106 1.89996609 1.38338607]","[0.      0.      1.      0.      0.      1.      0.59375 0.      1.125
 1.     ]","[0.32285936 0.4467688  1.16005793 0.55115016 0.88832204 0.37264017
 0.6262073  0.13916106 1.16779751 0.75238021]",[0.    0.    0.    0.    0.    0.    0.125 0.    0.25  0.   ],"[0.10106383 0.10067114 0.09982106 0.09914365 0.09750291 0.10802469
 0.1183953  0.10674157 0.09959373 0.1029654 ]"
1.6,0.15000000000000002,[0.986 0.775 0.993 0.592 0.774 0.788 0.645 0.992 1.181 0.482],[3.65 2.6  3.75 2.25 2.7  2.65 2.4  3.45 4.65 2.4 ],[1.5 2.  2.  2.  1.  2.  1.  2.  4.  1. ],"[2.07028998 1.3012178  1.89792109 0.92955792 1.45474942 1.29217654
 1.19932321 1.88538155 2.57480716 0.98187301]","[1.       1.       0.5      0.5      1.       1.125    0.       1.
 1.653125 0.      ]","[1.11109808 0.50680862 0.98778926 0.34713605 0.66125272 0.49217654
 0.54170603 0.90656685 1.39282474 0.47028854]","[0.        0.        0.        0.        0.        0.125     0.
 0.        0.6640625 0.       ]","[0.15065789 0.15038186 0.1570216  0.15978456 0.14951827 0.1537037
 0.15666179 0.15445944 0.14886921 0.15053699]"
1.6,0.2,[0.794 0.34  1.135 0.869 0.627 0.788 0.726 0.731 0.699 0.793],[2.6  2.25 4.   3.   2.2  2.5  2.1  2.   2.4  2.45],[2.  1.  2.  1.  1.5 1.  1.  1.  1.5 1. ],"[1.25655815 0.75791044 2.31653838 1.66783242 0.90515625 1.23816122
 1.02061556 0.98979742 1.17935506 1.25898955]",[0.5 0.  0.5 1.  1.  0.5 1.  1.  1.  0.5],"[0.46222221 0.39897489 1.17740264 0.78618264 0.26453125 0.41732382
 0.29795931 0.27407476 0.4448824  0.47649444]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20620843 0.20075937 0.20284818 0.19558378 0.19230769 0.20282048
 0.17039106 0.21833648 0.19297445 0.19133574]"
1.6,0.25,[1.083 1.219 1.331 1.694 1.306 1.641 0.783 1.214 1.204 1.034],[3.25 2.95 3.15 4.7  3.15 4.25 2.1  3.05 3.45 2.8 ],[3.  2.  1.  2.5 1.5 2.5 1.  1.  1.5 2. ],"[1.76572452 1.83201884 2.04036839 3.06693453 2.0473448  2.84278355
 1.08664977 1.9239253  2.11251988 1.62373113]","[1.25       1.125      1.         1.38541667 1.         1.625
 0.5        1.         1.         1.25      ]","[0.63447452 0.55858134 0.73978245 1.38832125 0.72919294 1.19672642
 0.30930602 0.69897413 0.90658726 0.55297917]",[0.25   0.125  0.     0.3125 0.     0.3125 0.     0.     0.     0.    ],"[0.2446319  0.25925926 0.2534378  0.24899322 0.25179648 0.25286976
 0.2398374  0.23868047 0.24861191 0.24321267]"
1.6,0.3,[1.178 0.611 0.739 0.501 1.85  1.183 1.233 1.074 1.397 1.911],[2.85 1.7  2.05 1.5  4.25 3.35 2.95 2.85 3.2  4.3 ],[2.  1.  1.  1.  2.  2.  2.  1.5 1.  2. ],"[1.71933263 0.73697917 1.03478254 0.59050781 2.92843134 1.94029116
 1.9180714  1.62498055 2.16507714 3.06390452]",[1.   0.5  0.5  0.   1.25 0.5  1.   1.   1.   1.25],"[0.54633459 0.08697917 0.29064192 0.09675781 1.13020136 0.73669009
 0.65880016 0.55549813 0.76644433 1.17556224]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.25],"[0.30592559 0.31818182 0.29749104 0.27678571 0.29743474 0.3017155
 0.30016572 0.29483815 0.29304536 0.30052748]"
1.6,0.35000000000000003,[1.034 1.453 1.376 0.999 0.979 1.407 1.367 1.474 1.028 1.86 ],[2.   3.05 2.6  2.5  2.2  3.15 3.45 3.2  2.7  3.95],[1.5 1.5 1.  1.  1.5 1.  1.  2.  2.  2. ],"[1.27115885 2.10995056 1.82639552 1.46123634 1.22413876 2.13145062
 2.24726051 2.10505722 1.43634644 2.7858326 ]",[1.    1.125 1.    1.    1.    1.    1.    1.    1.    1.25 ],"[0.20865885 0.61167175 0.43323146 0.43185401 0.27257626 0.74132611
 0.84667457 0.68086288 0.41212769 0.95412789]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25],"[0.39189189 0.35218042 0.33576642 0.35357445 0.3828125  0.35649788
 0.34628114 0.35039455 0.31020408 0.34982916]"
1.6,0.4,[1.551 1.242 1.436 1.375 1.286 1.43  1.365 0.84  0.99  1.264],[3.   2.45 2.9  2.7  2.65 3.15 3.   2.   2.2  2.95],[1.5 1.5 1.5 2.  1.  2.  1.5 1.  1.  1.5],"[2.18728714 1.56188981 2.00983593 1.76113134 1.7539295  2.02666783
 1.88142404 1.10531594 1.33075949 1.83664334]",[1.125 1.    1.    1.25  1.    1.625 1.    1.    1.    1.   ],"[0.61876907 0.36755387 0.5427705  0.41347509 0.47228887 0.58916783
 0.55193186 0.27699563 0.31747824 0.55099881]",[0.125 0.    0.    0.25  0.    0.125 0.    0.    0.    0.   ],"[0.39581901 0.39473684 0.39496088 0.39449541 0.39596774 0.38345324
 0.38845424 0.37580645 0.3647343  0.40445026]"
1.6,0.45,[2.087 0.989 1.504 1.402 1.32  1.387 1.473 1.128 1.71  1.446],[4.1  2.1  3.1  2.85 2.6  2.85 3.25 2.45 3.4  2.9 ],[2.5 1.  2.  1.5 1.  1.  2.  1.  2.  2. ],"[2.99008918 1.24076993 2.05068391 1.89457786 1.67483569 1.94563945
 2.0877764  1.52345517 2.38074235 1.92259603]",[1.25  1.    1.25  1.    1.    1.    1.25  1.    1.    1.125],"[0.90155463 0.25717618 0.57138703 0.47577903 0.40296069 0.54515117
 0.62376273 0.39796689 0.71819352 0.49837728]",[0.25  0.    0.25  0.    0.    0.    0.25  0.    0.    0.125],"[0.44711954 0.4375     0.45578437 0.43996711 0.46090535 0.45474544
 0.45795988 0.45448113 0.44806998 0.43569132]"
1.7000000000000002,0.05,[0.12  0.315 0.214 0.326 0.192 0.189 0.173 0.311 0.362 0.211],[2.05 2.   2.9  3.4  2.6  2.3  1.9  2.   3.35 2.  ],[1.  1.  1.5 1.  1.5 1.  1.  1.  2.5 2. ],"[0.53495851 0.63451991 0.82448791 1.29473301 0.48627597 0.45970203
 0.38016766 0.62871831 0.84288273 0.37958333]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39371096 0.33393397 0.59888977 0.97670627 0.28783847 0.29485828
 0.21239422 0.30586675 0.48487492 0.15770833]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04860943 0.05692308 0.04882271 0.05029499 0.05833333 0.04791667
 0.04761905 0.05454545 0.0380334  0.0617284 ]"
1.7000000000000002,0.1,[0.243 0.283 0.447 0.545 0.468 0.408 0.582 0.373 0.566 0.458],[2.1  2.25 3.2  3.1  2.45 2.9  2.5  2.2  2.5  3.15],[1.  1.  1.5 1.  1.  1.  2.  1.5 1.  2. ],"[0.58772186 0.5878682  1.27164245 1.28086784 0.93894811 1.08110263
 0.97732738 0.58368304 1.10894848 1.17593059]",[0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0. ],"[0.31037811 0.28239945 0.83539367 0.77571342 0.49871374 0.68217685
 0.40335277 0.21180804 0.54206616 0.72261027]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09111111 0.09893048 0.09971876 0.10159339 0.08571429 0.08843981
 0.09654562 0.11363636 0.09899929 0.09059059]"
1.7000000000000002,0.15000000000000002,[0.45  0.701 0.677 0.623 0.879 0.463 0.741 0.504 0.867 0.886],[2.3  2.2  3.   2.35 2.95 1.4  2.95 1.85 2.9  3.2 ],[1. 1. 1. 1. 3. 1. 1. 1. 2. 2.],"[0.95734564 1.08711728 1.59104936 0.9934189  1.3976197  0.53322917
 1.50282977 0.70994315 1.45738063 1.71556794]",[0.   1.   0.   0.5  1.25 0.   0.   0.   1.   1.  ],"[0.47765814 0.34180478 0.89199846 0.3902939  0.5616822  0.07385417
 0.76808856 0.2200994  0.62860866 0.84564606]",[0.     0.     0.     0.     0.3125 0.     0.     0.     0.     0.    ],"[0.15193026 0.14720812 0.15126445 0.14583333 0.14508929 0.15
 0.15097781 0.16463415 0.15215564 0.15109413]"
1.7000000000000002,0.2,[0.936 0.948 0.85  0.653 0.921 0.953 0.477 0.513 0.608 0.964],[2.7  2.8  2.35 1.75 3.1  3.05 1.85 1.95 1.75 2.35],[1.5 2.  2.  1.  2.  2.  1.  1.  1.  2. ],"[1.51344721 1.54410638 1.17783854 0.85885676 1.626132   1.66423169
 0.64361979 0.85748749 0.781565   1.25786179]",[1.    1.    1.125 0.5   1.    1.    0.    0.    0.    1.   ],"[0.5585644  0.64659661 0.34971354 0.22760676 0.68736247 0.69626294
 0.17799479 0.36252899 0.200315   0.33911179]",[0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.   ],"[0.20645161 0.19186813 0.20879121 0.18466899 0.18755497 0.19486405
 0.15254237 0.19714562 0.21904762 0.22519084]"
1.7000000000000002,0.25,[0.777 1.026 0.977 0.923 1.536 0.638 0.431 0.987 1.034 0.964],[1.5  2.85 2.5  2.7  4.5  1.55 1.15 2.55 2.35 3.05],[1.  1.  2.  1.5 2.5 1.  1.  2.  1.5 2. ],"[0.86276042 1.62472887 1.36223555 1.47436175 2.90867904 0.75416667
 0.45625    1.51584386 1.34842399 1.54263609]",[1.    0.    1.25  1.    1.125 1.    0.    1.125 1.125 1.125],"[0.11276042 0.66702624 0.38098555 0.51498675 1.3591429  0.11666667
 0.01875    0.52141026 0.34608024 0.57915952]","[0.      0.      0.25    0.      0.15625 0.      0.      0.      0.
 0.125  ]","[0.25641026 0.24214378 0.25503356 0.25303398 0.25104826 0.33333333
 0.20833333 0.25467464 0.23195876 0.25414781]"
1.7000000000000002,0.3,[0.654 0.548 1.093 0.786 1.28  1.171 1.017 0.881 1.021 1.076],[1.85 1.75 2.3  1.95 3.1  2.8  2.4  2.15 2.45 2.6 ],[1.  1.  1.  1.  1.5 1.  1.5 1.  1.  2. ],"[0.86354167 0.63411458 1.47013502 1.03705419 1.98079599 1.86100893
 1.32967377 1.26386603 1.47845835 1.51563777]",[0.5 0.  1.  1.  1.  1.  1.  1.  1.  1. ],"[0.18854167 0.10286458 0.39513502 0.23939794 0.72541269 0.65506411
 0.37425385 0.40766791 0.4558021  0.42760066]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.23728814 0.28846154 0.2826087  0.32352941 0.30354101 0.299673
 0.29225979 0.30397589 0.3018598  0.30399443]"
