gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.445 0.129 0.185 0.223 0.252 0.422 0.261 0.285 0.27  0.281],[3.85 1.9  2.95 2.9  3.   3.85 2.4  3.7  3.5  3.35],[2.5 1.  1.  1.5 2.  2.  1.  1.5 2.  2. ],"[1.54775434 0.39168544 0.68385278 0.69153867 0.69951198 1.5291386
 0.69896318 1.28434929 1.16113351 0.92139074]",[0.  0.  0.  0.  0.  0.5 0.  0.  0.  0. ],"[1.10856367 0.24090419 0.50563012 0.47513242 0.46513698 1.10035747
 0.42606279 0.9657946  0.87661203 0.62847082]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05152101 0.0545977  0.05129151 0.06102941 0.04216867 0.04852235
 0.04972875 0.04749745 0.04928265 0.05094495]"
1.5,0.1,[0.391 0.615 0.37  0.195 0.497 0.337 0.536 0.393 0.509 0.668],[2.9  3.9  1.8  2.15 2.55 2.7  2.85 2.65 3.5  3.45],[2.  2.  1.  1.  1.  1.  2.  1.  2.5 2. ],"[0.84706575 1.71278113 0.57612971 0.66703563 1.10477474 0.94027706
 1.15742827 0.96976634 1.41547001 1.50949902]",[0.  0.  0.  0.  0.  0.  1.  0.  0.  0.5],"[0.47646028 1.07811317 0.20737971 0.44054637 0.59227474 0.60907894
 0.59022857 0.56478587 0.91703251 0.8681416 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10492958 0.10019455 0.13690476 0.10047353 0.09078947 0.10056374
 0.10224558 0.10022866 0.10010044 0.10376238]"
1.5,0.15000000000000002,[0.708 1.124 0.637 0.836 0.854 0.711 0.917 0.844 0.792 0.809],[2.5  4.   2.5  3.9  4.   3.15 3.15 3.85 3.2  2.5 ],[2.  2.  1.5 2.5 1.5 2.  2.  3.  1.  1. ],"[0.99987505 2.35859979 1.13447633 1.95999737 2.26925555 1.3149629
 1.74157482 1.81913046 1.65473967 1.39554088]","[1.      1.      0.5     0.59375 0.      0.5     1.125   1.      0.
 1.     ]","[0.35768755 1.23233025 0.46592164 1.12695294 1.35780535 0.63390822
 0.83044201 0.96908163 0.86629973 0.61029918]",[0.    0.    0.    0.25  0.    0.    0.125 0.    0.    0.   ],"[0.16083916 0.1481896  0.15895954 0.15044035 0.14839475 0.15402844
 0.14368218 0.14937196 0.15100459 0.15286969]"
1.5,0.2,[0.897 0.711 1.243 1.058 0.714 1.503 0.988 1.024 0.668 0.787],[2.8  1.8  4.1  3.15 2.4  4.8  2.5  2.45 2.2  2.5 ],[1.  1.  2.  2.  2.  2.  1.5 1.  2.  2. ],"[1.56818712 0.82267857 2.55462797 1.78540514 1.08864864 3.03109262
 1.46073514 1.44093955 0.98003422 1.24376678]",[1.    0.5   1.125 1.    0.    1.25  1.    1.    0.5   0.5  ],"[0.63361681 0.15392857 1.26684416 0.7380266  0.32771114 1.50987985
 0.47816678 0.45666221 0.29800297 0.4504074 ]",[0.    0.    0.125 0.    0.    0.25  0.    0.    0.    0.   ],"[0.21276596 0.28985507 0.20223551 0.19851026 0.24237288 0.19978377
 0.20521024 0.1989843  0.21387283 0.20152091]"
1.5,0.25,[1.057 1.289 0.783 1.192 1.28  1.492 1.07  0.857 0.685 1.254],[3.5  3.5  2.05 3.3  3.85 3.75 3.25 2.4  1.85 3.1 ],[1.5 2.  1.  2.  1.5 1.5 1.  1.5 1.  1.5],"[2.03921055 2.16634653 1.1170867  1.98966801 2.2522121  2.49967885
 1.9886439  1.24930336 0.85104167 2.01576386]",[0.    1.    0.5   1.125 1.    1.    0.5   1.    1.    1.   ],"[0.93018955 0.88709848 0.34794607 0.77716801 0.99299579 1.0621819
 0.84933421 0.4030143  0.18854167 0.72909394]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.   ],"[0.25204257 0.25135245 0.25306748 0.25500208 0.24689948 0.24994875
 0.24861173 0.23890533 0.22641509 0.24884615]"
1.5,0.3,[1.072 1.272 1.217 1.201 0.918 1.1   1.249 0.771 1.059 1.157],[2.65 2.75 3.1  2.4  2.25 2.8  2.9  2.   2.4  2.9 ],[2.  1.5 2.  1.5 1.  2.  1.5 1.  2.  1.5],"[1.49114397 1.74670964 1.92055042 1.62204599 1.27197321 1.6971545
 1.86165724 1.07421861 1.43432234 1.69300488]",[1.125 1.125 1.125 1.    1.    1.    1.    1.    1.25  1.   ],"[0.45989397 0.52330876 0.657318   0.39367685 0.40921686 0.54787472
 0.59676466 0.27031236 0.38432234 0.60707958]",[0.125 0.    0.    0.    0.    0.    0.    0.    0.125 0.   ],"[0.29591837 0.30722749 0.29574612 0.30565693 0.30020641 0.2976948
 0.31231263 0.3089172  0.28870293 0.29650133]"
1.5,0.35000000000000003,[1.222 1.308 0.852 1.313 1.784 1.638 1.377 1.556 1.533 1.759],[2.8  2.85 2.15 3.1  3.95 3.5  2.95 3.4  3.25 3.6 ],[1.  2.  1.  1.  2.  2.  2.  1.  2.  1.5],"[1.86311749 1.86323634 1.10747569 1.98401578 2.80176375 2.3620304
 1.91912317 2.44308775 2.10803399 2.51529594]",[1.    1.25  1.    1.    1.25  1.125 1.    1.    1.125 1.   ],"[0.6197337  0.49878322 0.26606944 0.69788296 0.97608321 0.71385535
 0.49080285 0.83558043 0.64201837 0.78979545]",[0.    0.25  0.    0.    0.25  0.125 0.    0.    0.125 0.   ],"[0.34587068 0.33305921 0.328125   0.34873633 0.34915978 0.34902849
 0.37401575 0.34735943 0.34822521 0.35047147]"
1.5,0.4,[2.235 1.418 1.751 1.217 2.025 1.761 1.057 1.564 1.172 1.241],[4.65 3.1  3.65 2.85 4.   3.15 2.25 3.5  2.05 3.  ],[2.5 1.  2.  1.5 2.  1.5 1.  1.5 1.  2. ],"[3.39250895 2.02026768 2.593903   1.67400423 2.97174989 2.37751141
 1.46744022 2.41834785 1.37907704 1.77296003]",[1.6875 1.     1.125  1.     1.125  1.125  1.     1.     1.     1.125 ],"[1.172111   0.60681553 0.86294597 0.48475863 0.93186952 0.61686688
 0.36509647 0.81308661 0.23259267 0.49463971]",[0.3125 0.     0.     0.     0.     0.125  0.     0.     0.     0.125 ],"[0.39809173 0.40023399 0.39728407 0.39397019 0.40239824 0.406639
 0.38756281 0.40003892 0.42372881 0.39551084]"
1.5,0.45,[1.785 1.771 1.163 1.236 1.378 1.098 2.002 1.112 1.765 1.167],[3.5  3.5  2.4  2.4  3.   2.55 3.7  2.25 3.65 2.  ],[3.  2.  1.  2.  2.  1.  2.5 1.5 1.5 1. ],"[2.41149908 2.52032376 1.58648008 1.56658986 1.91477742 1.5332079
 2.74823889 1.38879457 2.49973935 1.34475074]",[1.5625 1.     1.     1.     1.25   0.5    2.125  1.     1.     1.    ],"[0.6669312  0.70269681 0.41978086 0.33455861 0.50617147 0.44946766
 0.78456091 0.27785707 0.75911435 0.21662574]",[0.3125 0.     0.     0.     0.25   0.     0.25   0.     0.     0.    ],"[0.44539171 0.44651685 0.44203159 0.4551495  0.44971537 0.45118203
 0.44946796 0.45959596 0.44851594 0.42771084]"
1.6,0.05,[0.264 0.187 0.206 0.168 0.326 0.32  0.285 0.448 0.257 0.334],[2.75 2.6  2.55 1.75 3.75 3.45 2.75 4.05 2.85 3.45],[1.5 1.  1.  1.  2.  2.  2.  3.  2.  1. ],"[0.81983551 0.69789612 0.76833771 0.40297141 1.37983485 1.14856427
 0.61221635 1.54891914 0.70738998 1.3705601 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56041169 0.50990784 0.56452912 0.23656516 1.03452235 0.83690045
 0.33409135 1.13087715 0.43395248 1.0412144 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04561879 0.05827308 0.04925631 0.04972376 0.05165018 0.0506167
 0.04338843 0.05270426 0.04068522 0.05206754]"
