gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.261 0.32  0.369 0.226 0.421 0.336 0.416 0.279 0.294 0.348],[2.7  3.8  4.25 2.45 4.1  3.   3.2  2.8  3.35 2.7 ],[1.  1.5 2.  2.  2.5 1.  2.  2.  2.5 1.5],"[0.85411596 1.50592344 1.79294987 0.42656686 1.49389074 1.03152557
 1.10855412 0.71758995 0.92018131 0.82835149]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.5562644  1.15105284 1.4232874  0.18750436 1.07235754 0.72585235
 0.70798039 0.4652462  0.60475162 0.5011054 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0515041  0.04978405 0.04980669 0.04362416 0.04917506 0.05228973
 0.05172826 0.05172414 0.05644172 0.05193906]"
1.5,0.1,[0.527 0.563 0.546 0.584 0.339 0.715 0.561 0.582 0.562 0.466],[2.35 2.8  3.1  2.8  3.1  3.8  3.3  3.5  3.1  2.15],[1.  1.  1.5 2.  1.5 2.  1.  2.5 1.  1. ],"[0.97526264 1.25603238 1.34180325 1.05650742 1.09173443 1.87210467
 1.55497702 1.38310433 1.36717171 0.84605024]",[0.  0.  0.  0.5 0.  1.  0.  0.5 0.  0. ],"[0.44928608 0.68104459 0.80391262 0.49869492 0.73216412 1.15899432
 1.0021694  0.78329964 0.84317268 0.39277876]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.11021898 0.10216648 0.0997921  0.11480363 0.07968127 0.09891124
 0.10117072 0.10680017 0.10264287 0.09592326]"
1.5,0.15000000000000002,[0.778 0.963 0.485 0.644 0.636 0.723 0.571 0.907 0.88  0.756],[2.95 3.5  2.   2.5  3.1  2.8  2.85 3.95 3.1  3.4 ],[1.  2.  1.  1.  2.  1.5 2.5 3.  1.  2. ],"[1.53166726 1.86304553 0.71455843 1.15302143 1.24573585 1.33952352
 1.09948701 2.06450456 1.73742776 1.67978212]","[0.5     1.125   0.      0.5     0.5     0.5     1.1875  1.09375 1.
 0.     ]","[0.79479592 0.91975939 0.25440218 0.50946674 0.6183921  0.63367024
 0.47917451 1.13344987 0.82020364 0.91138612]",[0.    0.125 0.    0.    0.    0.    0.25  0.125 0.    0.   ],"[0.15039309 0.14857303 0.13983051 0.14859155 0.12531646 0.14858548
 0.13733906 0.15161088 0.14652036 0.14716841]"
1.5,0.2,[1.138 1.08  1.012 0.962 1.039 0.717 0.737 1.063 0.999 0.81 ],[3.75 3.55 2.7  3.05 3.15 2.3  2.35 3.6  3.25 2.6 ],[2.  2.5 2.  1.5 2.  1.  2.  3.  2.  2. ],"[2.17862504 1.87471691 1.52435046 1.66175392 1.77943487 1.07479476
 1.0095066  1.88316853 1.78061456 1.28685659]","[1.         1.125      1.         1.         1.125      0.
 1.         1.33333333 1.21875    1.125     ]","[1.01036332 0.81827159 0.50389148 0.70550392 0.76599493 0.37787094
 0.27747535 0.85855916 0.75488213 0.46107534]",[0.     0.125  0.     0.     0.125  0.     0.     0.1875 0.25   0.125 ],"[0.19375457 0.19656602 0.19829572 0.20087065 0.20203805 0.1966759
 0.2107438  0.17610063 0.19469027 0.20696721]"
1.5,0.25,[1.173 0.955 1.228 1.379 0.858 1.298 0.884 1.216 1.416 1.672],[2.9  2.6  3.9  3.6  2.15 3.6  2.2  3.4  3.3  4.6 ],[1.  1.  3.  2.  1.  1.  1.5 2.  1.  2. ],"[1.76239308 1.42945559 2.3100459  2.25414942 1.27076355 2.36354351
 1.19857565 2.02590963 2.25132421 3.03931566]","[1.      1.      1.25    1.25    1.      1.      1.09375 1.      1.
 1.125  ]","[0.58231496 0.51168215 0.99449109 0.8499502  0.40152526 0.99905072
 0.33783346 0.82675191 0.87656835 1.3451018 ]",[0.    0.    0.5   0.25  0.    0.    0.125 0.    0.    0.125],"[0.26272912 0.24670659 0.25314331 0.2474694  0.26878834 0.25237441
 0.23830935 0.25078718 0.24852507 0.25101845]"
1.5,0.3,[0.926 2.129 1.124 1.878 1.741 1.331 1.59  1.456 0.588 1.236],[2.3  5.1  3.1  3.95 3.85 2.9  3.6  3.55 1.5  2.6 ],[1.  3.  2.  2.  2.  1.  2.  2.5 1.  1. ],"[1.33985122 3.56488441 1.74079327 2.78710331 2.70901529 1.87399347
 2.4164781  2.30462267 0.634375   1.74446297]","[1.         2.         1.         1.38541667 1.25       1.
 1.         1.25       0.         1.        ]","[0.39883559 1.45941566 0.60163312 1.00525516 0.97774087 0.59039972
 0.85236677 0.81189806 0.059375   0.46711922]",[0.    0.375 0.    0.125 0.25  0.    0.    0.25  0.    0.   ],"[0.30266286 0.3021965  0.30438102 0.29938108 0.29496512 0.2908778
 0.2986541  0.298432   0.375      0.3       ]"
1.5,0.35000000000000003,[1.139 1.243 1.325 1.224 0.585 0.775 1.748 1.081 1.181 1.804],[2.45 3.   3.   3.05 1.55 1.9  3.45 2.2  2.55 4.25],[1.  2.  2.  2.  1.  1.  3.  1.5 1.5 2. ],"[1.60115948 1.87376444 1.91160188 1.90120095 0.65       0.93662218
 2.42807069 1.35338808 1.61201657 2.93114653]","[1.      1.25    1.      1.125   0.      1.      1.84375 1.      1.
 1.125  ]","[0.46898175 0.63060037 0.60291047 0.62244118 0.09375    0.16240343
 0.66742616 0.31281191 0.41221189 1.10857573]","[0.      0.25    0.      0.125   0.      0.      0.28125 0.      0.
 0.125  ]","[0.35241585 0.34043834 0.36506656 0.34326499 0.44565217 0.33838384
 0.3493547  0.35316699 0.36769006 0.34762061]"
1.5,0.4,[0.954 2.094 1.842 1.397 1.078 1.83  1.185 1.798 1.705 1.573],[2.2  4.05 3.55 2.55 2.3  3.65 2.55 3.4  3.5  3.45],[1.  1.5 2.  1.  2.  1.5 1.  1.5 2.  1.5],"[1.22854492 3.09413645 2.44269276 1.7673381  1.35843791 2.6416101
 1.56036194 2.46967771 2.31517683 2.32267749]","[0.5     1.      1.      1.      1.      1.      1.      1.      1.125
 1.09375]","[0.29260742 0.98334544 0.69479237 0.39370529 0.31117229 0.78913207
 0.42320373 0.76804197 0.67054793 0.7395354 ]",[0.    0.    0.    0.    0.    0.    0.    0.    0.125 0.   ],"[0.38235294 0.40245607 0.40471046 0.39367089 0.39072848 0.40236295
 0.41528239 0.39268364 0.40730531 0.3934533 ]"
1.5,0.45,[1.705 1.181 1.684 1.38  1.421 1.396 1.948 1.435 1.479 1.024],[3.45 2.5  3.25 3.05 2.9  3.05 3.7  2.65 2.95 2.15],[2.5 1.  2.  2.  2.  1.5 2.  1.5 1.  1. ],"[2.37386782 1.56190561 2.32265067 1.95076769 1.8625393  2.00351955
 2.7827191  1.88757827 2.10297333 1.25057292]",[1.25 1.   1.25 1.25 1.25 1.   1.25 1.   1.   1.  ],"[0.70627749 0.37518686 0.66679129 0.52571886 0.4594143  0.61671535
 0.83653685 0.41736342 0.63328339 0.22401042]",[0.25 0.   0.25 0.25 0.25 0.   0.25 0.   0.   0.  ],"[0.45226757 0.46743295 0.45766944 0.4538598  0.4047619  0.45241171
 0.45117835 0.44608079 0.44530115 0.43478261]"
1.6,0.05,[0.23  0.392 0.246 0.478 0.284 0.229 0.276 0.242 0.524 0.25 ],[2.9  3.4  2.6  3.65 3.35 2.05 2.05 3.25 4.6  4.1 ],[2.  2.  2.5 2.  2.  1.5 1.  1.  3.  2. ],"[0.61113278 1.30976167 0.54396856 1.67417413 1.24601113 0.34274802
 0.46354167 1.14253567 1.90171499 1.48266575]",[0.  0.  0.  0.  0.  0.  0.  0.  0.5 0. ],"[0.39785153 0.89723726 0.28459356 1.20489312 0.94512002 0.13962302
 0.17916667 0.88985012 1.37228078 1.22130101]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04307116 0.05305207 0.068      0.05016549 0.05076894 0.04605263
 0.06849315 0.04708448 0.05055776 0.05041089]"
