gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.069 0.221 0.186 0.522 0.36  0.334 0.2   0.173 0.27  0.339],[1.45 2.7  2.65 4.3  4.05 3.85 2.55 2.65 2.85 3.55],[1.  2.  1.  2.  1.  1.5 2.  1.5 1.  2. ],"[0.109375   0.54954207 0.79323269 1.92019869 1.74303289 1.5216902
 0.43639329 0.74371667 0.91831997 1.2203935 ]",[0.  0.  0.  0.5 0.  0.  0.  0.  0.  0. ],"[0.034375   0.34876082 0.59397732 1.40264498 1.41212469 1.16540357
 0.25279954 0.54830651 0.68804653 0.85725874]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.02857143 0.04761905 0.04408782 0.04947151 0.05073413 0.04888929
 0.05220884 0.05183312 0.04925054 0.04962003]"
1.5,0.1,[0.472 0.775 0.482 0.625 0.605 0.226 0.573 0.538 0.528 0.282],[2.95 4.25 2.05 2.9  4.3  2.25 2.8  2.6  2.85 2.1 ],[1.  3.  1.5 2.  1.5 1.  1.  1.  1.5 1. ],"[1.16931054 1.9930783  0.72496466 1.23682618 2.18271945 0.55395383
 1.39097316 1.19305168 1.1032994  0.66382823]",[0.   1.25 0.   0.5  0.   0.   0.5  0.   0.   0.  ],"[0.70407617 1.23785369 0.22183966 0.64620118 1.54376681 0.32914914
 0.80125148 0.61668449 0.5736119  0.361338  ]",[0.  0.5 0.  0.  0.  0.  0.  0.  0.  0. ],"[0.09541284 0.09638837 0.11309524 0.09609121 0.10211982 0.08318891
 0.0931894  0.0992268  0.10423197 0.09717568]"
1.5,0.15000000000000002,[1.033 0.63  0.443 1.339 0.488 0.554 0.83  0.741 0.998 0.799],[4.1  2.6  1.95 4.95 2.25 2.4  2.3  2.85 4.9  3.3 ],[3.5 2.  1.  2.5 2.  2.  1.  1.  4.  1. ],"[2.15269674 1.16618045 0.67563449 3.13921735 0.82551098 0.83708147
 1.17391772 1.44357492 2.52984092 1.73491   ]","[1.21875 0.5     0.      1.59375 0.      1.      1.      1.      1.09375
 0.     ]","[1.15440572 0.49826053 0.26704074 1.80555341 0.35109692 0.28708147
 0.34579272 0.69270822 1.51195762 0.92388705]","[0.5     0.      0.      0.46875 0.      0.      0.      0.      0.34375
 0.     ]","[0.14628024 0.16535067 0.10958904 0.15114825 0.17244611 0.14761905
 0.20149254 0.14813106 0.15025866 0.15441022]"
1.5,0.2,[0.951 0.849 0.717 0.742 0.61  1.414 0.94  0.973 0.92  1.031],[2.45 2.2  2.35 2.25 2.85 4.3  3.35 2.7  3.1  2.75],[1.  2.  1.  1.5 2.  2.5 2.  1.5 1.5 1.5],"[1.43320951 1.1348394  1.20417245 1.05912789 1.12783459 2.70268518
 1.72251004 1.44339228 1.72356177 1.61511037]",[1.    1.    0.5   1.    0.    1.    0.5   1.125 1.    1.   ],"[0.50039701 0.31315971 0.44968026 0.36147164 0.51689709 1.27167932
 0.7906741  0.52229853 0.76040259 0.58796193]",[0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.   ],"[0.20302172 0.19546248 0.20229555 0.1875     0.18196203 0.20339184
 0.19244227 0.18807339 0.2004876  0.21681922]"
1.5,0.25,[1.069 0.762 1.643 1.013 0.763 0.899 0.915 1.116 1.296 1.293],[2.7  2.4  4.1  3.25 1.85 2.45 2.75 2.4  3.25 3.5 ],[1.  2.  2.  1.5 1.  1.  2.  1.  2.  2. ],"[1.64202192 1.06771272 2.75642036 1.82438807 0.9559674  1.36291416
 1.53399496 1.66683093 2.01654598 2.12352712]","[1.      1.      1.25    0.      1.      1.      1.09375 1.      1.
 1.     ]","[0.57966841 0.31595491 1.11253608 0.81567836 0.2387799  0.45115879
 0.58775472 0.51193591 0.73142635 0.84111745]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ],"[0.24951969 0.24333925 0.25184551 0.24978189 0.20093458 0.24875592
 0.24840692 0.2504583  0.25041592 0.24952634]"
1.5,0.3,[0.964 0.816 1.486 1.192 1.427 1.383 1.136 1.282 1.389 0.953],[2.2  1.95 3.2  2.6  3.35 3.15 2.7  3.05 3.35 2.15],[1.  2.  2.5 2.  2.  2.  1.5 1.5 2.  1. ],"[1.23887556 0.9734375  2.05184182 1.6412804  2.1489354  2.03678184
 1.6396662  2.03476187 2.18532337 1.28976398]","[1.      1.      1.25    1.      1.25    1.40625 1.      1.125   1.25
 1.     ]","[0.30996931 0.1578125  0.62215432 0.46686634 0.7081395  0.62193809
 0.48947088 0.74877859 0.76188587 0.33468586]",[0.    0.    0.25  0.    0.125 0.25  0.    0.125 0.25  0.   ],"[0.30964467 0.27678571 0.28177966 0.28886169 0.29900863 0.28255528
 0.3230198  0.3007257  0.29939895 0.3       ]"
1.5,0.35000000000000003,[1.209 1.169 0.844 1.223 1.215 1.47  2.073 1.377 1.561 1.592],[2.7  2.7  2.15 2.8  2.5  3.15 4.55 2.65 3.15 3.3 ],[1.  2.  2.  2.  1.5 2.  3.  1.  2.  2. ],"[1.70369003 1.66469218 1.05674014 1.64426161 1.60848597 2.1055115
 3.28309249 1.87800984 2.18816152 2.25529396]",[0.5    1.25   1.     1.     1.     1.125  2.1875 1.     1.125  1.125 ],"[0.52390488 0.41859843 0.22861514 0.51887098 0.40848597 0.59711307
 1.17734298 0.53631062 0.64912343 0.72935402]",[0.     0.125  0.     0.     0.     0.125  0.3125 0.     0.125  0.    ],"[0.34822036 0.3719346  0.33663366 0.35952178 0.33536585 0.34819605
 0.35560891 0.33006279 0.35435651 0.34761834]"
1.5,0.4,[0.993 1.949 1.365 1.535 0.984 1.197 1.216 1.523 1.837 1.58 ],[2.2  3.85 2.45 3.25 2.05 2.2  2.45 3.15 3.75 3.5 ],[1.  1.5 1.  2.  1.  1.  1.5 1.5 2.5 2. ],"[1.34498578 2.88814449 1.61601515 2.07615958 1.23858642 1.48480896
 1.65039835 2.07883124 2.66243213 2.29286194]",[0.    1.125 1.    1.25  1.    1.    1.    1.    1.25  1.125],"[0.3672514  0.92991695 0.34726515 0.58968497 0.19405517 0.32860779
 0.37993937 0.60734686 0.79291308 0.73077088]",[0.    0.    0.    0.25  0.    0.    0.    0.    0.25  0.125],"[0.39078234 0.39901866 0.39138577 0.40608303 0.44186047 0.39729602
 0.38681818 0.39316239 0.39536963 0.39991765]"
1.5,0.45,[1.49  2.049 0.998 1.561 1.598 1.125 1.474 1.06  1.013 1.943],[2.85 4.2  1.7  3.25 2.95 2.2  3.1  2.65 1.95 3.8 ],[2.  3.  1.  1.5 2.  1.  1.  2.  1.  3. ],"[1.99023316 2.99515567 1.13508092 2.33179379 2.08945678 1.36516066
 2.06156881 1.48258464 1.10170247 2.75558258]","[1.       2.078125 1.       1.125    1.125    1.       1.       1.25
 1.       1.5625  ]","[0.52230103 0.86380802 0.14289342 0.6948309  0.51684935 0.27394972
 0.58720358 0.37399089 0.19154622 0.80863434]","[0.      0.375   0.      0.      0.125   0.      0.      0.25    0.
 0.28125]","[0.45234221 0.45164076 0.43010753 0.44868827 0.45615605 0.44704861
 0.45336513 0.39041096 0.45495495 0.44951284]"
1.6,0.05,[0.318 0.133 0.152 0.333 0.321 0.08  0.315 0.315 0.435 0.11 ],[2.7  2.   2.7  4.6  3.   2.15 2.55 2.65 3.7  1.75],[1. 1. 2. 1. 2. 1. 1. 1. 1. 1.],"[0.87870433 0.39748751 0.63156177 2.03487353 0.94453121 0.26486817
 0.70561922 0.96648059 1.58944466 0.27997477]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56515452 0.28498751 0.46222583 1.68976855 0.61191403 0.18596192
 0.38667391 0.64069934 1.16296761 0.17372477]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05121836 0.0391015  0.05299861 0.04927052 0.06382979 0.03333333
 0.05668934 0.04952077 0.05028644 0.03915663]"
