gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.257 0.396 0.334 0.239 0.428 0.158 0.291 0.386 0.453 0.32 ],[2.8  2.55 2.85 2.6  4.05 2.25 2.75 4.45 3.3  2.8 ],[1. 1. 1. 2. 3. 1. 1. 3. 1. 2.],"[0.9710512  1.05765573 0.98274224 0.60453788 1.49664371 0.38290031
 0.92997239 1.71112897 1.28733311 0.95201865]",[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0. ],"[0.73447893 0.62047311 0.64509576 0.34125663 1.06700504 0.23680656
 0.63934739 1.32967145 0.82014561 0.63404075]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04912959 0.05098967 0.0538099  0.04651163 0.04922444 0.05365854
 0.05818023 0.0522623  0.05392546 0.04778944]"
1.5,0.1,[0.704 0.567 0.346 0.641 0.243 0.356 0.547 0.615 0.439 0.546],[3.3  3.1  2.15 3.55 1.75 2.4  3.05 3.15 2.8  2.45],[2.  1.5 1.5 2.  1.  2.  1.5 1.  1.  2. ],"[1.53909365 1.26504864 0.50523438 1.65940307 0.46310639 0.66443266
 1.3232782  1.42036232 1.16932251 0.92104956]","[1.25    1.      0.      0.59375 0.      0.      0.      0.      0.
 0.5    ]","[0.82328554 0.68223614 0.16773438 0.99772094 0.22111421 0.30193266
 0.78729187 0.82724708 0.74130432 0.38042456]",[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.  ],"[0.1030871  0.08960177 0.07222222 0.1009418  0.10296846 0.07438017
 0.10042735 0.1067456  0.10128226 0.10431655]"
1.5,0.15000000000000002,[0.36  0.586 0.673 0.77  0.811 0.786 0.836 1.375 0.744 0.802],[1.95 2.5  2.4  2.75 2.9  3.1  2.9  4.95 3.4  3.  ],[1.  1.  1.  2.  2.  1.  1.5 3.  1.5 1. ],"[0.57752604 1.05849686 1.1226017  1.34201737 1.45304934 1.58329341
 1.50778994 2.95333625 1.57419216 1.62901189]",[0.    0.    0.    1.125 1.125 0.5   1.    1.875 0.    1.   ],"[0.21815104 0.51875077 0.49506264 0.5854744  0.62707278 0.82213924
 0.66931338 1.58863898 0.8233865  0.82784001]",[0.     0.     0.     0.125  0.125  0.     0.     0.4375 0.     0.    ],"[0.11594203 0.15344628 0.15802469 0.14646465 0.15125786 0.14790703
 0.14164649 0.15222747 0.14992877 0.15011898]"
1.5,0.2,[1.172 1.328 0.912 0.577 0.778 0.902 0.919 0.822 0.91  0.818],[4.1  3.55 2.9  1.6  2.25 3.2  2.9  2.9  2.7  3.3 ],[1.  1.  1.5 1.  1.  1.5 2.  2.  2.  2. ],"[2.52561513 2.37538549 1.55088174 0.67846354 1.08326659 1.70295824
 1.41436345 1.47273052 1.49838126 1.6831112 ]",[0.5   1.    1.    0.5   1.    0.5   1.    0.5   1.125 0.   ],"[1.31940175 1.0477854  0.62300088 0.08783854 0.35592284 0.7671184
 0.49112126 0.61569927 0.56102775 0.86615258]",[0.    0.    0.    0.    0.    0.    0.    0.    0.125 0.   ],"[0.19776702 0.19974171 0.19396961 0.25       0.18934911 0.18923983
 0.18632708 0.18171161 0.20057424 0.20211197]"
1.5,0.25,[1.302 1.252 0.713 1.396 1.185 0.857 0.73  1.153 1.119 1.153],[3.1  3.15 1.65 3.65 2.75 3.   1.85 3.3  3.2  2.85],[2.  1.  1.  1.5 1.  1.  1.  2.  2.  2. ],"[2.00914129 2.04542916 0.86291118 2.30243053 1.77965701 1.58658795
 1.01066155 1.89732494 1.8606966  1.72540493]",[1.125 1.    1.    1.    1.    0.    1.    1.    1.25  1.   ],"[0.72632879 0.80637887 0.16759868 0.93701305 0.65192263 0.70621686
 0.25284905 0.77470531 0.66289387 0.57909146]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ],"[0.24713243 0.2551059  0.28921569 0.24807468 0.25100241 0.24691487
 0.2295082  0.24661145 0.24825716 0.25047103]"
1.5,0.3,[1.454 1.11  0.916 1.079 1.511 1.365 1.803 1.279 1.031 1.665],[3.1  2.25 2.15 2.7  3.3  3.4  4.15 3.1  2.45 3.9 ],[2.  1.  1.  1.5 2.  2.  3.  1.  1.  1. ],"[2.10835813 1.43622817 1.25475075 1.58267037 2.22617096 2.08968388
 2.74099148 1.9834404  1.48086854 2.75085373]","[1.      1.      1.      1.      1.125   1.25    1.96875 1.      1.
 1.     ]","[0.66569455 0.34599379 0.30943825 0.47134225 0.7071524  0.7062122
 0.98669461 0.70092086 0.45699159 1.07101975]","[0.      0.      0.      0.      0.      0.25    0.40625 0.      0.
 0.     ]","[0.29658012 0.27751196 0.28606965 0.29487179 0.30217164 0.30020586
 0.29881154 0.29981851 0.29847909 0.30350595]"
1.5,0.35000000000000003,[1.601 1.67  1.291 2.047 1.504 1.296 1.272 1.031 1.533 1.701],[3.5  3.6  2.7  4.45 3.5  3.15 3.15 2.   3.4  3.3 ],[1.  2.  2.  2.  2.  1.5 1.5 1.  1.5 2. ],"[2.5278161  2.45270657 1.72640366 3.18070933 2.25395318 2.03768475
 1.96125849 1.26705729 2.28283494 2.33737702]",[1.     1.625  1.     1.25   1.     1.125  1.     1.     1.125  1.5625],"[0.84627313 0.78776516 0.44280991 1.14030406 0.7592785  0.69508221
 0.6664831  0.22955729 0.73683885 0.64234528]",[0.    0.25  0.    0.25  0.    0.125 0.    0.    0.125 0.   ],"[0.35164939 0.34133653 0.35943775 0.35124628 0.34954981 0.34803705
 0.34261715 0.32638889 0.33889695 0.3424919 ]"
1.5,0.4,[1.108 1.454 1.111 1.087 0.964 1.268 1.377 0.778 1.446 1.824],[2.3  3.4  2.65 2.5  2.15 3.05 2.65 2.05 3.1  3.55],[1.  3.  1.  1.  1.  2.  1.  1.  1.5 2. ],"[1.47313887 2.11966376 1.59204529 1.44623825 1.25786862 1.82080457
 1.79659183 1.08050008 2.04845872 2.53004921]","[1.      1.40625 1.      1.      1.      1.125   1.      0.      1.125
 1.25   ]","[0.37451827 0.6634748  0.47910583 0.3720195  0.244978   0.56123426
 0.43663089 0.27659383 0.56110521 0.70324257]",[0.     0.3125 0.     0.     0.     0.125  0.     0.     0.125  0.25  ],"[0.40504808 0.40078375 0.39582463 0.40196078 0.39569536 0.37997433
 0.40304709 0.40408163 0.41817633 0.39911884]"
1.5,0.45,[1.717 1.625 1.13  1.899 0.859 1.309 0.859 1.09  1.84  1.087],[3.15 3.2  2.2  3.5  2.   2.6  1.65 1.9  3.9  2.35],[2.  2.  1.  3.  1.  1.5 1.  1.  1.5 2. ],"[2.24444468 2.19978455 1.43824278 2.58604569 1.14836851 1.71426402
 1.034375   1.33892085 2.73523803 1.43117994]","[1.      1.125   1.      1.40625 0.      1.      1.      1.      1.
 1.125  ]","[0.57025035 0.5884198  0.31495177 0.6551497  0.29023863 0.39942027
 0.14375    0.25103022 0.90302367 0.32649244]",[0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.  ],"[0.44770197 0.45098039 0.46360153 0.45413466 0.45038722 0.45432692
 0.44897959 0.43440233 0.45016561 0.43396226]"
1.6,0.05,[0.326 0.337 0.276 0.373 0.252 0.12  0.27  0.241 0.226 0.303],[3.15 3.25 2.55 2.4  2.65 2.65 2.9  3.4  3.35 2.65],[2.  2.  2.  2.  2.  1.5 1.  2.  2.  1. ],"[1.02857569 1.06887719 0.60601162 0.75639888 0.52902843 0.5574184
 0.92690369 1.11334216 1.01235814 0.87621056]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.68853663 0.75084741 0.33257412 0.37749263 0.31145031 0.42968403
 0.65922791 0.88045642 0.77966771 0.5893087 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04928734 0.05143184 0.06148867 0.06382979 0.05495979 0.04805353
 0.05517241 0.04924866 0.04754892 0.04860375]"
